iban,currency
RO25FIOJ3589218366788438,JPY
RO92GVKT5512559578524310,TOP
RO34CTJG1230893177074743,WST
RO12FSHU1384096425762463,RON
RO22VPEC6157080924614338,CUC
RO67RSER6552527632000893,XAF
RO30ZIIV5391684172205521,JOD
RO96UYOX1561605661858430,STD
RO28ZELN4690433581790064,PGK
RO21HKJU8541147508486677,BGN
RO31KZNE8532438934927998,BIF
RO24IAOY8490794234953668,IRR
RO79WMXN1891225708285239,SGD
RO31QEGQ2763668550667746,NIS
RO62HFFT2644917030942025,XDR
RO51RXKR0926821370235301,SCR
RO27BMZV2439263371921474,HUF
RO65NTUZ3151671838637517,MUR
RO02CTYL1661217003631251,DOP
RO32BBTW2459391084347809,ALL
RO53CRAY5262032239161938,PYG
RO78JMTZ9595100183619438,TZS
RO96FSYI4775538516847657,XCD
RO75ZOYL7990276341879392,BHD
RO53MEQD4114715704345255,EGP
RO52NNDY6476346579576626,SAR
RO86WZDR1120809866020764,MXN
RO29YIMH0609640028058777,KZT
RO10DPUU9021055953011976,KGS
RO55DMXM3491964970348414,BTN
RO68FSSU6040510130985904,NIS
RO16GLAG6856851067355163,ISK
RO04QEBL2040226653884709,PKR
RO07YAFK3344833080135959,TOP
RO66TAIK7278225797854563,XPF
RO30EJMD9395343890452604,MOP
RO80TSCC8034137671354887,TND
RO88LGTC5984351322353611,MXN
RO12NZJH8154135357409064,VEF
RO66GKEQ7565517067707178,GGP
RO84ZGEF3350630049141657,CDF
RO16FNIJ4929914513388974,USD
RO47QCUL3445608325834586,NGN
RO66ZAKF3846758364558576,XOF
RO25ITUB1350335082996573,ETB
RO87MIEG5475289315966620,HTG
RO09HHUY3321710928369725,TOP
RO77XBJG7111120613707600,MWK
RO04IUKB4975975229156312,KES
RO98THUT5136284763758139,INR
RO76LXPQ2774493494291157,SZL
RO65XVCA4050271836372006,IRR
RO76FFLX4076457136278103,ZAR
RO56WAIN8373352804265411,ZMW
RO09BFWD1915433510689808,BBD
RO64XXTU1521554823736370,BWP
RO10JWWF0753294608179112,SYP
RO07UWXE4687621470453273,HRK
RO84HGJP4886984326220685,SLL
RO51PLPQ0883966210242816,USD
RO61ENKR3162615138468511,PGK
RO64NFWV6562486979324187,AWG
RO35ZEJW6796796477486156,NOK
RO25WEFZ6386652184704285,RUB
RO48KSJI2219311923147432,SVC
RO52LOSU5851843034664820,BTN
RO93ZBLS2090073737279841,XCD
RO97IUAI5928159149660566,KES
RO59OSJM3377860768603543,SRD
RO48IGMK7100277896210964,BZD
RO58COIB0733945401588458,HKD
RO16IJZA9656172364201507,QAR
RO61CQSW3769576754350078,ARS
RO74BQMH1892860646575504,MZN
RO36RYFI8915967847898139,SRD
RO25BPUB9685536472848688,THB
RO77WSIH2584384986724758,KHR
RO23VLQG7312268886486936,SZL
RO95AZPG8835251567418564,BMD
RO50BRIP4027006267479627,MKD
RO93WLZL7612541073470472,BWP
RO68VKEX1135477973105444,MYR
RO65PGKO7098315506734433,BOB
RO97HUWS5365930441360192,SLL
RO20UTTU2857305214590975,PGK
RO83ATRZ3091390023494640,BSD
RO71HGVP6208912841196129,HKD
RO67OSFJ7588721029758346,JMD
RO02VVTZ8727282249470785,BTN
RO25GXJB7276060330241653,SEK
RO77ZCDH0060949340696401,BZD
RO04MMXW9730315256435035,EGP
RO93VCLL8363124835784444,DKK
RO44VJIS7931027104210326,KES
RO65PKRT4181397745321476,GYD
RO39EZPU0868908421495045,GGP
RO04DUUJ3771931116670363,IDR
RO04KNEG5359341748474461,RSD
RO04UMUA8210441569083310,JPY
RO60CYRI0953838307006811,KGS
RO45KCPN8749061767374894,GBP
RO26EDOF2403046386093089,GYD
RO27ZXTG5482626184206282,TVD
RO52YDXS0138475809429278,AFN
RO94GOBY7531733955406873,STD
RO62IHCB8621431720117899,ZAR
RO64MUBB9855825404284594,JPY
RO51TAOA6334341828887929,MWK
RO44EENS0943922999983298,SZL
RO57RTNO4865954683745512,MZN
RO12ABAZ2424588350818689,STD
RO16TCZP7334009399144097,ETB
RO98GNYS8684201850593900,BHD
RO07PZTL8841066274269757,XCD
RO13YIOZ1617311531772828,ARS
RO92RYPZ2930683751405465,AED
RO65IWYQ0915854078613179,TZS
RO30MEHX0311347515873968,TVD
RO60KJVA4433425118433245,SZL
RO39WKRW0363715697958188,ALL
RO69RCPG5737255084965324,SZL
RO69OSUI1990072906228478,NZD
RO39OXCP0752097317301051,COP
RO43AYIF6519957700115904,CUC
RO82IZHQ4584651701950903,TMT
RO55MCXF3039236432260202,ZWD
RO22GBGL6097992740166032,VUV
RO18MALJ7720256109121961,MGA
RO48XVTF4829727023649065,PHP
RO35GHDT3850229873431849,ILS
RO60IBSU5133700206980596,ERN
RO56SVVN2590065422175895,SCR
RO49QAYU8579247224333966,KGS
RO76LOKE5734178974630372,KZT
RO45CHMW1117076749522147,XPF
RO23RALD0294295879982783,KZT
RO30PCUI7890950270970437,MUR
RO36FBSN8255407446586031,SVC
RO59OYST2424336348238296,UYU
RO56BNPZ5808514032355796,BND
RO64RAHC3852400882296803,PHP
