first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,job,iban,currency,balance,latitude,longitude
Theodor,Tomescu,3100614265838,1951-04-14,"Drumul Diaconu Nr. 86 Bl. 58  Sc. 47 Ap. 250, Rasnov, 632660",Bacău,0259 700 363,4c:97:da:87:30:2e,13.10.123.207,"Chimist Sef Sectie, Laborator",RO10DGMK7796388095525887,FJD,93002102343,22.3384785,-89.609041
Nidia,Mocanu,5510612070492,1910-01-22,"Strada Dima Nr. 95 Bl. 24  Sc. 69 Ap. 336, Targu Mures, 753828",Caraș Severin,0784 289 594,c2:92:7f:9c:db:9f,86.195.195.237,Expert/Specialist Standardizare,RO22GVJF0630973332510120,RON,51612218939,-55.6643435,-100.985049
Ioana,Barbu,3760202254937,1953-04-30,"Strada Stancu Nr. 309 Bl. 84  Sc. 78 Ap. 931, Navodari, 284493",Harghita,0763 545 378,eb:de:59:a2:42:4a,171.16.79.41,Subinginer Materiale De Constructii,RO91YJLP2474504673276963,MGA,26603179126,28.287833,130.559819
Gheorghe,Stănescu,8971125390171,1981-04-23,"Intrarea Nicoleta Marin Nr. 574, Lupeni, 738848",Sibiu,0260 870 681,0b:ef:4d:4b:8f:cb,141.190.174.88,Reglor Si Reglor-Conductor La Masini-Unelte,RO16FYON3573599345255095,JMD,40274622491,-53.4082965,165.295511
Valentina,Georgescu,8801204010256,2010-06-22,"Aleea Dochioiu Nr. 129, Targoviste, 527697",Argeș,0729 476 010,85:bd:dd:96:40:59,185.48.23.241,Sef Statie Epurare Ape Reziduale,RO65KKMW9162960633415592,RWF,73039810117,-0.158036,97.861158
Mirona,Voinea,4310911526039,1970-02-14,"Bulevardul Stan Nr. 14, Zimnicea, 548675",Sălaj,0233 726 371,d3:18:6d:38:a0:01,89.60.232.145,Sef Centru Dirijare Zbor,RO86XIFM0870105648086841,TZS,40457515127,-64.4322055,122.616962
Lavinia,Nemeș,3131012224851,1920-03-07,"Intrarea Pop Nr. 827 Bl. 36  Sc. 74 Ap. 202, Satu Mare, 205244",Vaslui,0232 907 700,14:96:69:e5:31:96,31.132.101.133,"Maistru Constructii Civile, Industriale Si Agricole",RO50HCTY3691315382141754,UAH,54187718919,-0.958597,-136.595771
Paul,Popescu,5120120069218,1994-10-09,"Aleea Niță Nr. 685, Siret, 365765",Satu Mare,0739 423 903,f7:c2:4c:8b:fc:17,54.8.33.4,"Tehnician Protectia Navigatiei Aeriene (Comunicatii, Navigatie, Supraveghere)",RO71TFRH2756541045929394,ILS,21166912138,-79.0918985,-49.723254
Ortansa,Ioniță,2750710201917,1998-06-18,"Strada Aanei Nr. 42 Bl. 33  Sc. 40 Ap. 225, Campulung, 137937",Buzău,0765 788 669,49:fa:bf:db:cf:be,4.111.45.159,Cercetator Economist In Economia Generala,RO52OFGT6039222374841726,FKP,73926016130,-51.051005,-19.609928
Suzana,Mazilescu,6420331246301,2023-05-14,"Soseaua Pamela Tabacu, Pantelimon, 351767",Buzău,0257 049 651,b8:29:f8:2d:ac:d9,169.92.105.174,Tehnician Gestiune Salariala,RO44WGRA5121477852575605,BAM,33599102166,-0.9012595,91.558572
Eugen,Stan,1870122082627,1927-10-06,"Bulevardul Romeo Florea Nr. 525 Bl. 79  Sc. 97 Ap. 228, Valea lui Mihai, 662272",Cluj,0235 621 594,52:3c:d9:9b:0e:30,69.219.82.67,Operator Standuri Incercari,RO44XABB2821609482596808,ALL,52282990350,-51.749054,-27.622783
Camil,Voinea,6970618142901,1958-10-30,"Strada Alida Aanei Nr. 48, Roseti, 403523",Sălaj,0753 978 866,9d:6c:32:e7:6a:e6,17.55.243.133,Asistent De Cercetare In Masini Si Echipamente Termice,RO37WAQZ9663415594974281,OMR,3090636200,-48.405884,60.342060
Consuela,Oprea,2860118407209,1935-11-24,"Aleea Dobre Nr. 48, Cobadin, 673209",Vaslui,0233 579 617,7b:e0:c3:fe:bc:b4,65.152.245.240,Tehnician Minier,RO85QUPG6300759070983247,TJS,24468043104,-36.0351775,166.933963
Traian,Voinea,6090815337546,1963-07-29,"Strada Francisc Manole Nr. 25 Bl. 15  Sc. 18 Ap. 491, Campina, 515532",Suceava,0771 467 610,db:0b:79:92:b2:4e,175.30.114.10,Inginer De Receptie Si Control Aeronave,RO07HLRJ8757258425025577,SPL,37292718880,-9.075954,114.401857
Olimpian,Ababei,2300219044509,1985-03-26,"Soseaua Astrid Georgescu Nr. 49 Bl. 43  Sc. 56 Ap. 515, Savinesti (Poiana Teiului), 128014",Maramureș,0746 926 089,56:fd:f1:9b:df:dc,10.125.89.240,Sef Formatie Industria Petroliera/Petrochimica,RO48LJSA8793008579825721,PKR,18655857597,-15.416480,83.704744
Tania,Popescu,5120124425085,2022-05-14,"Drumul Marin Nr. 344, Ludus, 520037",Argeș,0235 661 857,da:53:1c:cd:e0:be,180.210.2.213,Masinist La Confectionarea Materialelor Electroizolante Stratificate (Mica),RO76MBII5812223774725480,IDR,32449880211,59.4592045,12.100775
Jasmina,Stănescu,1781103250182,1981-07-13,"Aleea Camelia Niță Nr. 10, Dorohoi, 282333",Timiș,0757 058 826,4b:38:ec:56:c1:a8,151.176.62.16,Cercetator In Arhitectura,RO82LTMC6508084145144334,PAB,31072948799,-27.441430,58.635268
Nae,Barbu,6680710147125,1944-01-30,"Drumul Dinu Nr. 47, Cristuru Secuiesc, 969966",București,0752 704 142,f6:30:a1:9d:91:b1,114.9.172.187,Operator La Colectatul Si Manipulatul Lemnului,RO67FDCX6180563978384742,NGN,46542268365,55.6049295,9.428584
Oliviu,Dima,4271208445813,1992-02-04,"Aleea Mocanu, Baile Borsa, 775622",Teleorman,0747 042 600,0c:f4:25:73:54:51,60.244.136.114,Tipograf Flexograf,RO27LWRY9539024969515126,AUD,18089140760,-85.7262825,75.542256
Francesca,Barbu,4750824398702,1995-06-12,"Soseaua Alina Nemeș Nr. 73 Bl. 72  Sc. 59 Ap. 579, Radauti, 507493",Teleorman,0784 486 103,a2:8e:cc:93:a4:81,86.0.250.241,Electrician Exploatare Centrale Si Statii Electrice,RO15ENQS1958985120947432,ILS,77137990642,-76.5344795,85.481889
Horațiu,Dobre,6630811288021,1995-09-10,"Drumul Eftimie Nr. 12 Bl. 88  Sc. 96 Ap. 584, Valea Mare (Negresti), 856086",Vaslui,0248 156 238,34:87:e3:df:d0:84,20.137.194.197,Verificator Bani,RO40KYQF4229417506123890,MWK,53298744131,-57.873164,98.497724
Simona,Diaconu,5900303039952,1956-08-16,"Strada Diaconu, Targu Mures, 858337",Suceava,0248 385 506,24:28:bf:46:b9:55,55.95.139.136,Masinist La Confectionarea Materialelor Electroizolante Impregnate,RO95BJHL3566292075696225,TMT,26379218743,17.714731,-69.281667
Ionelia,Mocanu,1650822226773,1974-12-24,"Drumul George Nistor Nr. 58, Peris, 855499",Covasna,0262 799 158,39:6e:a8:50:dd:ce,148.132.183.77,Inginer De Cercetare In Centrale Nuclearoelectrice,RO38FUQV2076018448626373,MOP,47097594148,-89.902808,126.169103
Lucențiu,Tudor,2060514392684,1960-09-04,"Drumul Silvia Dinu Nr. 288 Bl. 90  Sc. 97 Ap. 398, Harsova, 748537",București,0749 066 250,63:51:6e:7a:f2:67,22.4.43.143,"Psiholog In Specialitatea Psihologie Educationala, Consiliere Scolara Si Vocationala",RO49QVKC4922529072213983,MKD,18324319929,12.964362,-57.015382
Timotei,Dobre,3180628334902,1962-11-23,"Intrarea Pleșu Mocanu Nr. 33 Bl. 35  Sc. 48 Ap. 660, Deta, 513366",Suceava,0732 437 059,71:fb:d3:28:54:d7,19.130.105.136,Tehnician Aviatie,RO14PTNH4872845085540165,XOF,72418194725,87.496702,-43.976558
Zenovia,Diaconu,5540103405611,1996-11-29,"Drumul Popescu, Corabia, 891976",Vrancea,0763 511 540,35:25:e6:39:53:38,107.234.214.153,Gazda Club,RO94ORTB1876491514777354,KZT,49059501713,54.9035515,-65.556482
Clementina,Ionescu,5790331526411,1957-07-29,"Intrarea Pușcașu Nr. 890 Bl. 99  Sc. 10 Ap. 686, Hateg, 358605",Giurgiu,0241 114 375,93:ae:df:1d:34:e3,47.158.60.205,Operator La Masini-Unelte Cu Comanda Numerica,RO26QVVS6275709187796412,DZD,35257352038,55.0686415,10.814611
Camelia,Barbu,5370826191901,2021-02-15,"Strada Silvian Albu Nr. 747, Valea Mare (Negresti), 377963",Tulcea,0231 217 607,18:88:0f:8e:58:1e,67.70.14.253,Proiectant Produse Bancare,RO85TCUN9677724342337668,BRL,27877707333,45.666580,72.562266
Silvia,Toma,6401016096196,1935-11-27,"Drumul Gabriela Ardelean Nr. 78, Mioveni, 834432",Timiș,0254 346 341,7c:ad:0f:db:13:b7,217.156.65.232,Vulcanizator De Produse Industriale Din Cauciuc,RO31XRGL4914470445869552,ALL,54389264446,28.681283,-120.296784
Cristian,Dobre,7310402401061,1963-02-27,"Intrarea Brândușa Diaconu, Tuzla, 752402",Satu Mare,0243 764 239,e5:50:90:46:ff:52,10.223.46.43,Degresator-Imersioner,RO09JLNP8998856366372792,BGN,23307629846,73.630503,-4.263143
Diana,Diaconescu,4070103233855,1975-02-20,"Intrarea Rareș Florea Nr. 892 Bl. 16  Sc. 15 Ap. 222, Adjud, 878409",Constanța,0242 884 869,ef:03:2b:f0:f3:cc,104.167.122.232,Sef Vama,RO09MYPZ5147200821540753,DZD,35366880128,-45.2503815,60.557371
Florența,Albu,4040207257136,1946-06-09,"Aleea Nistor Nr. 46 Bl. 72  Sc. 66 Ap. 769, Fundulea, 536808",Constanța,0734 874 701,b8:a3:ad:79:e0:eb,83.201.4.140,"Operator Camera Diafilm, Diapozitive",RO07JYTM3851505429201256,SRD,32523565938,-80.062088,62.203680
Robert,Stoica,4691115026412,1927-02-16,"Soseaua Casiana Diaconescu Nr. 23 Bl. 41  Sc. 25 Ap. 706, Bocsa, 519350",Timiș,0765 464 458,eb:7e:e1:83:5e:e3,7.71.183.8,Croitor-Stantator Piese Incaltaminte,RO23URGG6046822313241798,KES,260027140,75.7349065,-121.817133
Arian,Pușcașu,3950419424199,1974-10-16,"Soseaua Pavel Ene Nr. 497 Bl. 37  Sc. 15 Ap. 605, Rasnov Romacril, 584832",Argeș,0784 956 903,35:c7:15:8c:5d:4f,117.234.187.68,Manager Relatii Cu Clientii Bancii/Societate De Leasing,RO76JLKI7366223660973908,TOP,62886985766,-42.6469835,169.922219
Robert,Tabacu,3470521240607,1976-03-12,"Drumul Diaconu Nr. 49 Bl. 76  Sc. 39 Ap. 202, Baicoi, 800601",Dâmbovița,0711 180 771,f5:b2:01:b8:3b:73,208.109.132.125,Expert Accesare Fonduri Structurale Si De Coeziune Europene,RO96AXYR9916933233022196,WST,20546315818,68.5481875,-151.388347
Valeria,Dinu,3270623306466,2011-06-08,"Drumul Dumitrescu, Orsova, 527612",Mehedinți,0248 202 066,18:ea:dd:86:28:c6,115.119.112.76,Operator Flotare Produse Fluide,RO61RYGL9800482097948007,ANG,38161920906,-23.3950525,-168.632223
Filip,Mocanu,4530630376526,1983-09-09,"Soseaua Mazilescu, Bacau, 563399",Covasna,0246 270 470,dc:2e:f7:94:63:0e,156.83.176.24,Senzitometrist,RO04JGNR7630050633950598,GYD,89551052171,-33.4546915,-152.612252
Oana,Nistor,3650631383961,1988-12-18,"Aleea Voicu Diaconu Nr. 79, Ramnicu Valcea, 677404",Vrancea,0786 282 653,e4:b0:9e:a9:e8:d8,166.21.96.59,Decapator,RO91GWKC8761471468377842,STD,25653835642,21.8951645,149.816984
Emanuela,Stănescu,6940820117567,1979-04-14,"Drumul Paul Nistor, Iernut, 125249",Arad,0711 954 120,44:79:51:fa:e3:c3,75.13.137.59,Operator La Prepararea Produselor Lactate,RO75JUJH8044171779596150,DKK,1239664820,47.3837405,170.560113
Antim,Preda,1851227252167,1939-08-10,"Soseaua Stancu Nr. 235 Bl. 47  Sc. 70 Ap. 606, Targu Neamt, 422890",Tulcea,0242 888 598,45:33:ea:2b:1a:09,43.116.152.132,Camerista Hotel,RO54FIVL8649425017730360,LRD,20363789758,-68.5212725,45.748369
Florin,Toma,2330320399697,1960-01-14,"Bulevardul Manole Nr. 322, Lunca Cetatuii, 998391",Giurgiu,0741 346 807,75:1b:47:7c:d9:7e,70.253.243.134,Reditionar,RO47KWEP1804969700787888,JEP,11240988556,67.3043635,29.020955
Janina,Nistor,4081025029511,1961-05-06,"Bulevardul Tabacu, Baia Sprie, 385107",Vâlcea,0267 989 690,d7:24:0e:a0:cb:1b,105.247.56.110,Operator Scamosetor,RO17BEVO7337326361751916,GNF,21150740801,-31.898165,-130.803439
Aurelian,Diaconescu,4041015027921,1935-03-24,"Bulevardul Ionescu Nr. 52 Bl. 87  Sc. 23 Ap. 338, Gaesti, 546751",Vaslui,0724 835 167,38:5b:27:d5:74:08,139.166.170.116,Instructor Statie,RO29GYFU4809037838644333,LAK,62671617293,14.3048085,-9.823092
Jan,Tudor,4520613062164,1923-11-10,"Bulevardul Diaconescu Nr. 96 Bl. 81  Sc. 67 Ap. 874, Sibiu, 417483",Prahova,0761 475 976,ef:82:1d:2f:c6:dc,200.119.160.113,Operator Chimist La Produsele Farmaceutice Si Chimice Pure,RO53HHHL2129391314508554,KES,75284042175,-66.7832595,167.153270
Simi,Diaconu,5781213259687,1983-12-09,"Bulevardul Stancu Nr. 167 Bl. 54  Sc. 96 Ap. 578, Eforie Nord, 427386",Bihor,0763 873 520,a3:56:2b:5c:af:31,109.225.241.182,Conducator Intreprindere Mica ,RO88XYHM6678624796850699,HTG,32286689617,69.962882,168.785236
Savina,Stoica,3301226120528,1986-09-18,"Drumul Ina Stan, Bailesti, 504268",Ilfov,0243 367 687,65:d4:d7:5e:1d:b2,124.59.34.125,Inspector Culte,RO45SFKI1269334693077787,TND,6331881889,33.2733035,86.875639
Livia,Ene,4141108454111,1939-02-21,"Bulevardul Gheorghiu, Lunca Cetatuii, 127400",Călărași,0756 463 535,51:7e:2c:0f:a8:49,219.53.213.53,Preparator Sampanie,RO88NXQS8223942047808879,BND,33574638995,30.0844545,-90.455829
Anica,Mazilescu,7020905229727,1968-12-30,"Aleea George Mocanu Nr. 416 Bl. 19  Sc. 92 Ap. 166, Negresti, 338737",Brașov,0232 354 410,cd:7c:a8:21:cc:e3,205.122.150.18,Operator Fabricatie Flux,RO93QKFF5485154365481457,PGK,45139683938,80.9903565,68.544170
Dimitrina,Toma,5700926065090,1947-03-21,"Intrarea Barbu Nr. 26, Tecuci, 148725",Arad,0755 927 543,18:35:d0:9f:64:76,158.84.17.228,Geolog-Sef,RO66AIFG7610844236556990,LSL,97598412943,42.0408855,-124.681061
Mădălin,Toma,6220404382431,1913-03-07,"Drumul Cristea Nr. 48, Mioveni, 927144",Iași,0768 817 031,aa:50:8c:cc:cd:79,5.91.161.41,Secretar Organizatie Sindicala,RO16XAYN5325488583926123,FKP,3831811152,1.211772,-46.500186
Beniamin,Ene,4411114392873,1926-08-19,"Soseaua Pop, Anina, 218649",Dolj,0720 164 999,69:08:e4:62:0e:5e,102.104.199.204,Asistent De Cercetare In Metrologie,RO96IZKN7266519409090769,GYD,66795964294,-59.920238,-78.565151
Antoaneta,Tudor,1540909221001,1963-10-03,"Soseaua Iustina Ionescu, Petrosani, 660873",Dâmbovița,0234 728 017,7a:30:59:70:15:67,143.73.251.94,Saluzitor Franghii,RO54FJIJ3713663218627289,BAM,82471570884,-89.7500605,43.454936
Veta,Ababei,8760524253253,2020-12-18,"Strada Grațian Diaconu Nr. 16, Valea Mare (Negresti), 947317",București,0233 471 210,a8:b9:70:51:69:e5,214.165.114.40,Montator Materiale Geotextile Si Geocompozite,RO20ZLDG5493703726931598,CAD,25475221896,47.355941,-171.042630
