"personal_id","user_id","personal_number","birthdate","address","country","phone_number"
"36","19970","3531127052840","2013-07-12","Aleea Sergiu Tabacu Nr. 614 Bl. 56  Sc. 93 Ap. 131, Codlea, 410364","Sibiu","0727 620 420"
"37","19971","1330124438997","1989-05-30","Drumul Dinu Nr. 361 Bl. 39  Sc. 61 Ap. 349, Pechea, 853645","Argeș","0237 087 403"
"38","19972","7080505024459","1963-03-25","Strada Arina Ababei Nr. 25 Bl. 75  Sc. 68 Ap. 588, Fagetel (Remetea), 778030","Iași","0788 759 354"
"39","19973","4420731026907","1989-01-17","Intrarea Manole Nr. 981, Borcea, 858122","Cluj","0250 376 833"
"40","19984","7960222184396","2016-07-09","Soseaua Niță, Remetea, 307105","Bihor","0744 719 551"
"41","10001","7651129058767","1951-05-11","Aleea Barbu, Pancota, 810259","Gorj","0728 717 397"
"42","10002","4531202089184","1922-11-24","Strada Gheorghiu Nr. 53, Targu Frumos, 207494","Hunedoara","0257 279 795"
"43","10003","2331012336604","2018-03-09","Soseaua Dobre Nr. 71, Moldova Veche, 828640","Iași","0722 153 734"
"44","10004","5210928012429","1964-04-17","Strada Estera Tabacu, Negresti, 363994","Galați","0759 761 110"
"45","10005","7070903182286","1915-06-05","Drumul Ioniță, Afumati, 929995","Cluj","0727 927 287"
"46","10006","2730302142103","1957-08-18","Bulevardul Preda Nr. 146, Sighetu Marmatiei, 903271","Harghita","0235 973 507"
"47","10007","2110216370088","1911-05-22","Drumul Mocanu, Bocsa, 151145","Alba","0734 343 779"
"48","10008","2551006092451","1996-05-22","Strada Sorina Dinu Nr. 441 Bl. 56  Sc. 13 Ap. 760, Corund, 755743","Hunedoara","0747 491 077"
"49","10009","7201017512435","1912-05-12","Intrarea Dumitra Dochioiu, Gura Humorului, 969882","Vâlcea","0785 322 077"
"50","10010","1121225269509","1940-05-20","Strada Barbu Nr. 112 Bl. 35  Sc. 89 Ap. 379, Caracal, 191966","Caraș Severin","0759 735 811"
"51","10011","8120518151292","1987-06-04","Drumul Marioara Tudor, Tufesti, 450593","Bistrița-Năsăud","0238 088 720"
"52","10012","8750312013111","1959-04-08","Drumul Sabin Tudor, Boldesti-Scaeni, 336252","Brăila","0240 853 198"
"53","10013","3801201318855","1924-06-05","Aleea Bianca Ionescu Nr. 91 Bl. 75  Sc. 30 Ap. 527, Vicovu de Sus, 158565","Galați","0750 174 000"
"54","10014","2320407346672","1985-11-21","Soseaua Diaconescu Nr. 30 Bl. 43  Sc. 18 Ap. 246, Tufesti, 442187","Covasna","0234 526 717"
"55","10015","7960306079591","1973-11-13","Soseaua Stoica Nr. 763 Bl. 68  Sc. 51 Ap. 728, Pecica, 791579","Caraș Severin","0725 183 230"
"56","10016","6700422514370","2003-09-03","Drumul Ababei Nr. 931 Bl. 80  Sc. 91 Ap. 415, Bals, 729051","Brăila","0722 043 183"
"57","10017","7770927232071","1973-02-16","Bulevardul Adela Tudor Nr. 481 Bl. 78  Sc. 51 Ap. 680, Calarasi, 460406","Iași","0740 150 349"
"58","10018","7880203130044","2016-02-06","Drumul Ducu Eftimie, Lunca Cetatuii, 389724","Suceava","0767 310 874"
"59","10019","6510705104715","1924-03-17","Soseaua Amalia Dochioiu Nr. 42 Bl. 43  Sc. 67 Ap. 997, Pantelimon, 224990","Caraș Severin","0730 109 613"
"60","10020","2820818319240","1921-08-10","Drumul Preda Nr. 67 Bl. 11  Sc. 33 Ap. 719, Dobroesti, 220773","Constanța","0263 979 681"
"61","10021","5210312512997","1983-04-08","Intrarea Barbu Nr. 23, Bumbesti-Jiu, 107202","Botoșani","0730 943 503"
"62","10022","1190504183018","1911-12-01","Soseaua Ardelean, Harsova, 196159","Constanța","0753 669 295"
"63","10023","4450323268124","1976-03-06","Intrarea Cristea, Poiana Mare, 524015","Suceava","0255 215 677"
"64","10024","5010605083832","1986-10-12","Drumul Preda, Floresti, 845684","Iași","0784 047 487"
"65","10025","4950827107821","1952-10-16","Strada Albu Nr. 957 Bl. 67  Sc. 15 Ap. 561, Salonta, 243300","Maramureș","0249 485 091"
"66","10026","7001108195930","1986-11-25","Soseaua Stănescu, Rasinari, 356727","Neamț","0762 973 728"
"67","10027","6980408262736","2011-09-14","Aleea Tomescu, Oltenita, 693035","București","0248 709 155"
"68","10028","3910716053297","1950-10-16","Bulevardul Ababei Nr. 436 Bl. 98  Sc. 47 Ap. 239, Videle, 528830","Covasna","0733 078 412"
"69","10029","5820719265362","1918-10-12","Bulevardul Marin Nr. 565 Bl. 19  Sc. 19 Ap. 800, Lumina, 530499","Maramureș","0724 058 083"
"70","10030","1511216356724","1931-05-08","Drumul Roxana Dumitrescu, Reghin, 278495","Brașov","0769 524 558"
"71","10031","7011104450319","1925-05-29","Drumul Ancuța Barbu, Rodna, 441509","Vâlcea","0723 670 938"
"72","10032","4080709145331","1947-02-06","Bulevardul Eftimie, Dancu, 741289","Suceava","021 986 0432"
"73","10033","5571225168485","2019-07-23","Soseaua Ene, Savinesti (Poiana Teiului), 360919","Argeș","0246 554 139"
"74","10034","1210329369089","1962-01-29","Aleea Bartolomeu Mocanu, Rosiori de Vede, 630674","Suceava","0768 686 243"
"75","10035","8260910304225","1908-12-22","Soseaua Eftimie Nr. 917 Bl. 83  Sc. 80 Ap. 287, Greci, 184018","Hunedoara","0232 415 227"
"76","10036","6470517465809","1926-08-18","Drumul Gheorghiu, Sadova, 204671","Dolj","0750 310 592"
"77","10037","1390931385075","2022-03-20","Intrarea Paul Eftimie, Poiana Mare, 444985","Vâlcea","0786 155 130"
"78","10038","2290324203120","1943-03-01","Strada Iris Ababei, Comanesti, 959916","București","0253 300 374"
"79","10039","1091211044914","1973-02-08","Strada Ionescu Nr. 832 Bl. 40  Sc. 94 Ap. 962, Horodnic de Sus, 978030","Bihor","0754 767 788"
"80","10040","3550816077556","2011-01-19","Intrarea Simina Cristea, Insuratei, 846460","Timiș","0768 353 957"
"81","10041","8950727524951","2013-02-09","Intrarea Mioara Dima, Iasi, 304230","Suceava","0243 597 878"
"82","10042","5570331387003","1962-10-04","Strada Georgescu Nr. 44 Bl. 84  Sc. 67 Ap. 280, Sacele, 219476","Dolj","0248 805 693"
"83","10043","3370123075654","1964-02-02","Aleea Dima Nr. 64 Bl. 26  Sc. 40 Ap. 389, Alexandria, 619491","Maramureș","0235 922 495"
"84","10044","8550402158038","2004-12-01","Aleea Gheorghiu Nr. 67 Bl. 16  Sc. 76 Ap. 962, Negresti, 890158","Satu Mare","0244 805 413"
"85","10045","3560731207927","1924-07-04","Intrarea Preda Nr. 20, Caracal, 456554","Teleorman","0239 261 753"
"86","10046","6580531379103","2021-01-20","Drumul Nistor Nr. 887, Jibou, 950324","Vâlcea","0247 149 321"
"87","10047","6380702269495","1918-02-17","Strada Dobre Nr. 99, Podu Iloaiei, 685602","Vaslui","0746 925 791"
"88","10048","7940207365890","1923-03-28","Aleea Dumitrescu Nr. 878 Bl. 38  Sc. 96 Ap. 353, Valea Mare (Babeni), 440622","Vrancea","0254 152 868"
"89","10049","3940908466531","1988-11-11","Drumul Iustin Dobre Nr. 82 Bl. 49  Sc. 44 Ap. 297, Covasna, 386307","Bacău","0737 272 438"
"90","10050","4721022301781","1938-08-30","Drumul Barbu Nr. 614, Uricani, 373095","Olt","0737 317 599"
"91","10051","1330604237934","1946-01-27","Soseaua Dobre Nr. 512, Rovinari, 448868","Argeș","0238 412 569"
"92","10052","5160418026993","1951-12-22","Intrarea Stan Nr. 291, Chisineu-Cris, 341717","Argeș","0758 525 474"
"93","10053","4131005527417","1988-06-23","Intrarea Octav Preda Nr. 681, Valea lui Mihai, 880438","Suceava","0767 325 728"
"94","10054","3321020425048","2002-08-16","Bulevardul Ababei, Ramnicu Valcea, 758688","Botoșani","0736 394 843"
"95","10055","6620804458179","1914-04-02","Drumul Cristina Florea Nr. 998, Baicoi, 867820","Mureș","0726 706 291"
"96","10056","3230925032567","1976-04-21","Intrarea Andrian Nemeș Nr. 90 Bl. 49  Sc. 65 Ap. 276, Caracal, 423900","Covasna","0752 778 553"
"97","10057","7900512439399","1927-06-01","Aleea Niță Nr. 14, Peretu, 820030","București","0233 151 454"
"98","10058","1060827235000","2009-12-03","Aleea Nemeș, Sebes, 971520","Constanța","0750 167 815"
"99","10059","3880601188354","1924-04-23","Strada Gheorghiu Nr. 219, Harsova, 323365","Tulcea","0729 937 642"
"100","10060","2700126287253","1933-01-31","Drumul Toma, Busteni, 484943","Ilfov","0759 369 174"
"101","10061","6790422144132","1943-07-06","Intrarea Dumitrescu Nr. 80 Bl. 55  Sc. 36 Ap. 477, Dumbravita, 509654","Călărași","0736 849 448"
"102","10062","2701128024497","1931-09-28","Drumul Mazilescu, Rasnov Romacril, 607048","Teleorman","0770 342 799"
"103","10063","5900524325186","1915-07-02","Bulevardul Ciprian Gheorghiu Nr. 38, Diosig, 770468","Cluj","0721 329 581"
"104","10064","1121109392875","1938-10-29","Drumul Stan, Tecuci, 660299","Sibiu","0257 130 497"
"105","10065","4980404311965","1964-08-17","Strada Tabacu, Adjud, 985189","București","0267 545 221"
"106","10066","5631128054337","1957-09-05","Intrarea Mazilescu Nr. 576, Oradea, 103229","Bacău","0263 455 239"
"107","10067","5670718152504","1939-03-06","Intrarea Suzana Popescu Nr. 254, Moinesti, 314893","Constanța","0256 751 669"
"108","10068","7880520126690","1923-05-20","Aleea Tudor Nr. 49, Filiasi, 508621","Botoșani","0761 210 803"
"109","10069","3180429424657","1921-01-09","Soseaua Maximilian Mocanu Nr. 832, Nasaud, 238449","Teleorman","0764 245 825"
"110","10070","6280127337175","2001-06-11","Intrarea Ancuța Dumitrescu Nr. 37, Cornetu, 128554","Brașov","0248 738 037"
"111","10071","1180221093700","2024-02-14","Bulevardul Mazilescu Nr. 36 Bl. 82  Sc. 75 Ap. 762, Braila, 693019","Vaslui","0771 233 233"
"112","10072","2710710256591","1968-08-10","Soseaua Popa, Slatina, 207738","Vâlcea","0723 791 775"
"113","10073","7401123053696","1912-07-10","Strada Pop, Barbulesti, 512694","Caraș Severin","0243 259 989"
"114","10074","1630912313541","1937-02-17","Soseaua Clara Popa, Rovinari, 878950","Harghita","0724 411 740"
"115","10075","5550725122443","1908-12-05","Drumul Ionescu Nr. 883, Sabaoani, 915118","Bistrița-Năsăud","0245 295 573"
"116","10076","6500709287468","1954-04-11","Strada Mazilescu Nr. 743, Lunca Cetatuii, 810324","Teleorman","0266 315 066"
"117","10077","1440309089895","1969-03-30","Aleea Filofteia Ababei Nr. 763 Bl. 58  Sc. 88 Ap. 584, Dej, 632194","Olt","0727 754 661"
"118","10078","2070314372551","1971-06-18","Bulevardul Dinu Nr. 10 Bl. 66  Sc. 67 Ap. 428, Husi, 584489","Sibiu","0252 105 447"
"119","10079","4740728422165","1922-09-07","Soseaua Aanei, Targu Secuiesc, 230966","Dolj","0726 885 040"
"120","10080","3610727134116","1959-08-12","Bulevardul Popescu Nr. 19 Bl. 64  Sc. 88 Ap. 693, Craiova, 812846","Harghita","0749 038 496"
"121","10081","6930716010710","1910-05-03","Soseaua Pop, Fetesti, 914414","Sălaj","0259 592 668"
"122","10082","5890822078208","1934-02-11","Soseaua Popescu Nr. 21 Bl. 42  Sc. 12 Ap. 499, Campulung Moldovenesc, 477054","Giurgiu","0732 662 627"
"123","10083","7960314101900","1929-07-21","Drumul Albu, Tuzla, 207001","Cluj","0730 143 755"
"124","10084","4660910175737","1926-06-07","Intrarea Dochioiu, Seini, 667957","Olt","0784 742 045"
"125","10085","1100507270639","1916-06-18","Soseaua Teea Ene Nr. 74, Draganesti-Olt, 963352","Bistrița-Năsăud","0743 630 681"
"126","10086","8510421431195","1936-11-27","Soseaua Tabacu Nr. 556 Bl. 68  Sc. 42 Ap. 244, Urlati, 861682","Prahova","0785 009 648"
"127","10087","6420610290718","1944-11-29","Intrarea Ardelean Nr. 96, Sighetu Marmatiei, 840001","Buzău","0231 627 042"
"128","10088","4081209170888","1933-11-01","Bulevardul Savina Georgescu, Bistrita, 357411","Tulcea","0784 935 526"
"129","10089","7220222331425","2000-01-05","Strada Dumitrescu Nr. 626, Dumbravita, 369669","Giurgiu","0269 688 104"
"130","10090","5000917034508","1980-07-08","Aleea Florian Stănescu, Moinesti, 908895","Galați","0742 510 249"
"131","10091","4980808282168","1945-02-15","Intrarea Albu Nr. 567 Bl. 77  Sc. 68 Ap. 608, Hateg, 862639","Ilfov","0248 724 816"
"132","10092","1680326320635","1948-04-17","Aleea Pamfil Mazilescu Nr. 569 Bl. 49  Sc. 53 Ap. 823, Topoloveni, 909946","Brașov","0731 574 719"
"133","10093","1030802417173","1971-07-13","Soseaua Popescu Nr. 768, Boldesti-Scaeni, 208837","Vrancea","0744 223 727"
"134","10094","3561016433857","1972-12-24","Intrarea Nicuță Ardelean Nr. 64, Cudalbi, 838079","Sălaj","0269 474 005"
"135","10095","5680128333983","1926-10-08","Intrarea Despina Suciu Nr. 591, Barlad, 866684","Constanța","0261 868 421"
"136","10096","6981117049658","1974-04-28","Intrarea Georgescu Nr. 153 Bl. 99  Sc. 44 Ap. 650, Babeni, 881923","Harghita","0253 566 789"
"137","10097","6001014193565","1961-12-29","Soseaua Anemona Nemeș Nr. 57 Bl. 27  Sc. 31 Ap. 988, Alexandria, 637722","Arad","0731 072 405"
"138","10098","5160205195056","1947-10-16","Aleea Nemeș Nr. 463, Baia Sprie, 648285","Buzău","0726 688 358"
"139","10099","7760931303691","1953-11-18","Aleea Mazilescu Nr. 79 Bl. 36  Sc. 26 Ap. 382, Copsa Mica, 557403","Vrancea","0249 633 191"
"140","10100","3031131152721","1986-03-26","Bulevardul Dominic Tabacu, Chitila, 805844","Mureș","0765 443 325"
"141","10101","5131103013399","1915-04-08","Soseaua Floare Stan Nr. 39, Dragu-Brad, 153493","Satu Mare","0248 298 228"
"142","10102","8880430294936","1914-07-19","Soseaua Nicoleta Cristea Nr. 401 Bl. 51  Sc. 44 Ap. 474, Poienile de sub Munte, 704423","Ialomița","0753 848 823"
"143","10103","7091128094795","1916-02-27","Intrarea Ecaterina Mazilescu Nr. 237 Bl. 60  Sc. 48 Ap. 889, Boldesti-Scaeni, 186330","Dolj","0231 755 263"
"144","10104","5791105426042","2017-04-29","Aleea Tabacu, Targu Mures, 693244","Vâlcea","0731 664 486"
"145","10105","2360122517742","1957-03-20","Bulevardul Tabacu Nr. 310 Bl. 92  Sc. 86 Ap. 730, Dragasani, 824797","Iași","0746 543 940"
"146","10106","1340210020941","1935-11-06","Bulevardul Dumitrescu Nr. 117, Bumbesti-Jiu, 283934","Hunedoara","0238 193 394"
"147","10107","2890522240706","1932-07-26","Intrarea Dima Nr. 36, Baraolt, 912244","Neamț","0780 111 845"
"148","10108","7880627196272","1933-08-22","Soseaua Toma, Gaesti, 140278","Brăila","0733 601 755"
"149","10109","4330713209890","2013-09-08","Strada Gheorghiu, Harsova, 402915","Suceava","0251 679 651"
"150","10110","7271013349488","2020-10-28","Drumul Marius Dinu Nr. 79 Bl. 75  Sc. 93 Ap. 881, Arad, 873185","Sibiu","0767 149 842"
"151","10111","6930605193741","1948-10-03","Aleea Aristița Tabacu Nr. 58 Bl. 57  Sc. 18 Ap. 295, Tufesti, 579571","Buzău","0721 267 300"
"152","10112","3231222063041","1927-02-02","Drumul Alexandrina Toma Nr. 54 Bl. 49  Sc. 40 Ap. 106, Simeria, 243425","Timiș","0267 264 238"
"153","10113","4850923161140","1943-09-26","Aleea Dinu, Petrila, 479323","Sălaj","0757 054 148"
"154","10114","4140904039228","1935-08-10","Bulevardul Stănescu Nr. 74 Bl. 70  Sc. 10 Ap. 830, Rasnov, 502418","Sibiu","0728 791 068"
"155","10115","4190625300067","1987-06-03","Soseaua Dochioiu Nr. 87, Urziceni, 646080","Bistrița-Năsăud","0741 764 164"
"156","10116","3861228188880","2016-12-27","Aleea Tabacu, Buzau, 598400","Brașov","0738 902 273"
"157","10117","5500318147268","1981-05-01","Bulevardul Florea, Rovinari, 588300","Teleorman","0266 112 474"
"158","10118","3760606169168","2014-04-22","Intrarea Albertina Dima Nr. 57 Bl. 87  Sc. 60 Ap. 600, Domnesti, 387968","București","0236 058 541"
"159","10119","2721227237154","1955-10-12","Bulevardul Tudor Mocanu Nr. 890 Bl. 87  Sc. 46 Ap. 839, Petrila, 604044","Gorj","0767 089 257"
"160","10120","5350728409889","2008-02-18","Intrarea Mazilescu Nr. 27, Apahida, 775318","Mehedinți","0764 350 584"
"161","10121","1620225070448","1942-12-21","Strada Mircea Manole, Filiasi, 878767","Dolj","0736 161 850"
"162","10122","1341003108125","1913-12-03","Bulevardul Dinu Nr. 61 Bl. 36  Sc. 63 Ap. 501, Reghin, 232030","Satu Mare","0240 879 785"
"163","10123","6900927185388","1947-10-29","Strada Cristea Nr. 53, Pitesti, 474734","Buzău","0742 018 412"
"164","10124","8920928434845","1995-06-09","Drumul Doru Preda Nr. 987 Bl. 14  Sc. 84 Ap. 604, Peretu, 218853","Covasna","0250 749 619"
"165","10125","5141015076000","2014-04-29","Intrarea Nistor Nr. 49 Bl. 87  Sc. 11 Ap. 354, Targu Ocna, 896236","Suceava","0231 567 915"
"166","10126","7180826206546","1922-01-23","Drumul Savina Albu Nr. 77 Bl. 64  Sc. 61 Ap. 502, Targu Lapus, 826218","Sibiu","0735 432 711"
"167","10127","8200130401876","1946-02-22","Strada Stela Pușcașu, Slatina, 646760","Maramureș","0766 488 934"
"168","10128","8561103179617","1931-06-24","Strada Valentina Preda Nr. 73 Bl. 86  Sc. 47 Ap. 490, Iasi, 999012","Brașov","0735 268 934"
"169","10129","3410425217577","2011-02-06","Drumul Nicolaie Ioniță Nr. 188 Bl. 13  Sc. 51 Ap. 686, Alexandria, 533925","Teleorman","0732 095 960"
"170","10130","4030215300678","1969-12-19","Drumul Dochioiu, Miercurea-Ciuc, 654534","Călărași","0732 982 675"
"171","10131","5020512365204","1981-06-20","Strada Ivan Voinea Nr. 800 Bl. 57  Sc. 12 Ap. 136, Fetesti-Gara, 416548","Vâlcea","021 991 2807"
"172","10132","3370118524139","2004-11-25","Aleea Dobre, Arad, 301681","Satu Mare","0236 130 124"
"173","10133","7350324518385","1949-04-06","Intrarea Lili Dobre Nr. 525, Vicovu de Sus, 487616","Bihor","0739 470 231"
"174","10134","2491204451340","1928-12-08","Bulevardul Dorian Stoica Nr. 82, Timisoara, 500152","Neamț","0256 838 994"
"175","10135","2041211068474","2003-05-30","Soseaua Eftimie Nr. 97 Bl. 91  Sc. 29 Ap. 778, Targu Secuiesc, 505413","Bihor","0724 810 600"
"176","10136","3301125214956","2015-12-03","Aleea Stoica, Valenii de Munte, 243203","Harghita","0269 032 248"
"177","10137","6501020193721","1930-07-17","Bulevardul Tomescu, 1 Decembrie, 627531","Vaslui","0769 800 225"
"178","10138","5330108176793","1964-03-19","Strada Simion Suciu, Ploiesti, 387020","Arad","0734 382 316"
"179","10139","7920122333526","2009-06-30","Intrarea Cristea Nr. 78 Bl. 54  Sc. 82 Ap. 387, Raducaneni, 823847","Harghita","0723 725 699"
"180","10140","2560615300050","2013-03-28","Intrarea Daniela Ioniță Nr. 504 Bl. 65  Sc. 79 Ap. 429, Valea Caselor (Dragasani), 982478","Dâmbovița","0758 390 721"
"181","10141","3581019417504","1992-11-15","Soseaua Stan, Valea Caselor (Dragasani), 906189","Bihor","0730 566 365"
"182","10142","1931205331425","1966-02-08","Drumul Rodica Dochioiu Nr. 55, Falticeni, 549304","Galați","0254 403 393"
"183","10143","7760522192769","2012-06-22","Aleea Stănescu Nr. 81 Bl. 70  Sc. 97 Ap. 219, Schela Cladovei, 667982","Bihor","0255 264 941"
"184","10144","5310831357542","1949-09-08","Strada Cristea Nr. 882, Cajvana, 951722","București","0761 216 005"
"185","10145","3200415288831","1978-09-29","Aleea Georgescu Nr. 88 Bl. 50  Sc. 59 Ap. 846, Techirghiol, 511599","Vâlcea","0267 847 668"
"186","10146","8440803261224","1963-12-18","Strada Romulus Pop Nr. 451, Roman, 656940","Teleorman","0762 511 073"
"187","10147","6491126334312","1969-07-04","Intrarea Stoica Nr. 400, Baicoi, 989309","Iași","0726 399 717"
"188","10148","8011003158980","1919-03-18","Drumul Stan Nr. 78, Remetea, 232735","Călărași","0259 995 091"
"189","10149","4890502179331","2004-01-22","Drumul Ene Nr. 55, Pogoanele, 826452","Gorj","0769 158 468"
"190","10150","3991228410230","1908-11-14","Bulevardul Florea Nr. 109 Bl. 88  Sc. 97 Ap. 384, Motatei, 991600","Brăila","0757 741 050"
"191","10151","5150808283860","1916-03-02","Strada Tudor Florea Nr. 671 Bl. 13  Sc. 34 Ap. 308, Balotesti, 459261","Călărași","0261 505 085"
"192","10152","7060205090578","1965-04-18","Strada Dima Nr. 945 Bl. 65  Sc. 47 Ap. 720, Titu, 545720","Iași","0772 495 045"
"193","10153","2020704425981","1985-04-12","Aleea Oprea Nr. 928, Buhusi, 992087","Botoșani","0748 127 611"
"194","10154","2250811312579","1991-01-31","Strada Amelia Pușcașu Nr. 652 Bl. 51  Sc. 52 Ap. 578, Valenii de Munte, 217008","Teleorman","0744 606 359"
"195","10155","2240412436751","1967-10-15","Soseaua Luana Stancu Nr. 476, Drobeta-Turnu Severin, 889242","Mehedinți","0784 423 873"
"196","10156","7330210264704","1993-02-28","Bulevardul Suciu Nr. 369, Darabani, 954596","Teleorman","0743 527 989"
"197","10157","2230621266166","2003-01-27","Soseaua Nistor, Baia Mare, 258458","Covasna","0766 441 264"
"198","10158","2220425278808","1984-02-09","Strada Voinea Nr. 98 Bl. 39  Sc. 66 Ap. 586, Dragu-Brad, 558057","Olt","0252 625 064"
"199","10159","3131107285875","1976-09-26","Soseaua Dana Stănescu Nr. 14, Rosu, 273200","Mehedinți","0740 983 916"
"200","10160","8590814062898","1966-12-13","Bulevardul Nemeș Nr. 44, Seini, 385308","Buzău","0740 067 746"
"201","10161","5470322186273","1980-04-19","Bulevardul Stănescu, Seini, 901921","Neamț","0737 429 407"
"202","10162","8870201187180","1933-02-22","Soseaua Ardelean Nr. 560, Vladimirescu, 797191","Brașov","0729 492 241"
"203","10163","6880419258029","1910-02-01","Intrarea Barbu Nr. 22 Bl. 18  Sc. 60 Ap. 794, Dancu, 433831","Călărași","0766 402 171"
"204","10164","6260122269045","1909-12-23","Drumul Dochioiu, Campia Turzii, 491803","Bistrița-Năsăud","0764 892 830"
"205","10165","2770719524620","1951-12-13","Intrarea Nistor, Curcani, 282983","Alba","0237 362 779"
"206","10166","4521227067457","1956-12-28","Aleea Florin Tomescu, Negresti-Oas, 766890","Dolj","0772 410 033"
"207","10167","5890420239250","1922-02-28","Strada Flora Oprea Nr. 14 Bl. 92  Sc. 75 Ap. 272, Viseu de Sus, 294558","Dolj","0755 087 300"
"208","10168","7060525014130","1932-08-07","Bulevardul Pop Nr. 587, Rasnov Romacril, 646131","Brașov","0264 104 802"
"209","10169","7451010428548","1965-10-09","Drumul Dorian Pușcașu Nr. 258, Barbulesti, 403653","Galați","0711 370 213"
"210","10170","6861111303468","1955-09-04","Soseaua Marin Nr. 68 Bl. 26  Sc. 60 Ap. 688, Ploiesti, 892859","Iași","0763 857 373"
"211","10171","2660211387247","1915-04-23","Drumul Ene, Vicovu de Sus, 825041","Vrancea","0736 352 440"
"212","10172","2800510433039","2010-09-05","Strada Stan Nemeș, Caracal, 495886","Brașov","0729 736 533"
"213","10173","7040528514311","1962-04-21","Intrarea Stoica Nr. 987, Husi, 652284","Ialomița","0268 031 915"
"214","10174","8690126017200","1996-05-08","Strada Tudor Nr. 23 Bl. 77  Sc. 81 Ap. 680, Valu lui Traian, 341118","Covasna","0254 636 983"
"215","10175","3820526431588","1919-01-25","Strada Preda Nr. 72, Buhusi, 384312","Dâmbovița","0252 954 190"
