personal_number,birthdate,address,phone_number
6680330077559,2015-10-07,"Drumul Denisa Diaconescu, Sfantu Gheorghe, 931559",0732 803 619
7100506011556,1925-11-16,"Aleea Valter Dumitrescu, Alexandria, 346521",0763 357 720
5320129394991,1920-09-15,"Soseaua Dima Nr. 34, Babadag, 149093",0770 787 753
4170730157314,2015-07-28,"Drumul Stan, Borsa, 390337",0788 682 573
3710810231161,1917-09-03,"Drumul Marin Nr. 882 Bl. 65  Sc. 34 Ap. 202, Marasesti, 549310",0758 048 622
6501215404997,1939-08-15,"Soseaua Mocanu Nr. 478 Bl. 13  Sc. 40 Ap. 725, Teius, 393253",0258 871 740
3970918422189,1992-01-16,"Bulevardul Pop Nr. 626 Bl. 29  Sc. 61 Ap. 446, Bumbesti-Jiu, 159987",0746 846 039
4680225088751,1954-05-07,"Soseaua Consuela Cristea, Buftea, 845600",0727 823 676
8170628323701,1928-11-10,"Aleea Marin Nr. 837 Bl. 24  Sc. 65 Ap. 797, Jilava, 488204",0764 873 446
2161022030850,1932-06-11,"Intrarea Florea, Buzau, 920908",0261 234 090
6940820380863,1914-12-08,"Bulevardul Ardelean Nr. 49 Bl. 20  Sc. 96 Ap. 803, Radauti, 416347",0245 953 830
2541111388331,2005-12-30,"Soseaua Toma Popescu Nr. 181 Bl. 38  Sc. 22 Ap. 260, Straja, 397557",0739 517 513
1311023454626,1961-10-01,"Drumul Cristofor Marin Nr. 41, Valenii de Munte, 425754",0764 849 979
4480418227998,1912-02-07,"Intrarea Mazilescu Nr. 949, 1 Decembrie, 353991",0711 835 401
8710930031908,1908-05-20,"Intrarea Codruța Georgescu Nr. 99 Bl. 82  Sc. 41 Ap. 144, Targu Secuiesc, 533683",0736 419 945
5851023171447,1970-01-19,"Intrarea Eftimie Nr. 51 Bl. 24  Sc. 73 Ap. 415, Urziceni, 359697",0762 618 753
1141027059662,2010-07-27,"Aleea Mihail Barbu Nr. 63 Bl. 43  Sc. 17 Ap. 171, Sannicolau Mare, 526291",0257 075 780
6821214373767,1952-06-20,"Drumul Stancu Nr. 97 Bl. 96  Sc. 70 Ap. 809, Fundulea, 756355",0767 619 023
5280131177877,1912-12-02,"Aleea Dochioiu, Savinesti (Poiana Teiului), 142682",0728 509 622
2480114202016,2003-11-15,"Intrarea Tabacu Nr. 63, Draganesti-Olt, 572712",0265 115 569
2260415348576,1949-10-07,"Drumul Eftimie Nr. 825 Bl. 40  Sc. 29 Ap. 567, Tudora, 447253",0268 416 830
6001104378954,2010-09-14,"Intrarea Aurelian Popescu Nr. 89, Cumpana, 177111",0735 400 579
1770908056903,1922-08-13,"Bulevardul Suciu, Dumbravita, 422508",0250 826 993
3180616311733,1982-10-09,"Drumul Stelian Aanei Nr. 204 Bl. 99  Sc. 71 Ap. 762, Rosiori de Vede, 344540",0267 780 122
1000618095698,1954-04-28,"Bulevardul Dumitrescu Nr. 73 Bl. 35  Sc. 64 Ap. 839, Simeria, 865327",0738 023 936
2150403293266,1980-08-21,"Strada Barbu Nr. 347 Bl. 58  Sc. 15 Ap. 306, Greci, 688127",0232 366 632
8850901096025,1951-10-05,"Strada Voinea, Dumbravita, 210063",0256 264 122
8490312090749,2010-10-21,"Soseaua Stoica Nr. 72 Bl. 92  Sc. 95 Ap. 850, Botosani, 462758",0754 250 135
6291023187695,1990-05-24,"Drumul Arsenie Dima Nr. 66 Bl. 88  Sc. 20 Ap. 379, Poienile de sub Munte, 916846",0750 378 221
1390611178971,1950-09-15,"Drumul Lioara Tudor Nr. 778, Darabani, 751236",0766 036 295
2320205390974,1993-04-04,"Drumul Luana Suciu Nr. 732, Gilau, 813489",0720 992 308
7450813137255,1989-02-26,"Drumul Niță Nr. 79, Brad, 417797",0738 790 884
6110118113282,1944-01-10,"Aleea Ionescu Nr. 195 Bl. 65  Sc. 32 Ap. 681, Tecuci, 979471",0735 519 959
4150925135454,1997-03-04,"Bulevardul Bogdana Ardelean Nr. 12, Sadova, 773805",0738 386 883
4890626074392,1981-07-05,"Strada Dinu Nr. 47, Breaza de Sus, 117300",0236 348 105
8131001080817,1992-10-03,"Soseaua Gheorghiu Nr. 65, Balotesti, 122613",0240 504 999
7381222232103,1993-03-24,"Strada Cătălin Diaconescu, Cugir, 315200",0735 329 613
8800617451551,1945-09-27,"Strada Stancu, Motru, 626052",0756 947 429
7790921343110,2001-09-27,"Aleea Octavia Pop Nr. 81 Bl. 42  Sc. 19 Ap. 718, Victoria, 645403",021 726 7734
6931204527264,1960-03-11,"Intrarea Nadia Suciu Nr. 89, Lupeni, 345181",0756 776 663
6041011262931,1987-03-16,"Soseaua Sabina Stoica Nr. 51 Bl. 66  Sc. 39 Ap. 239, Zalau, 974813",0250 732 225
7240130300010,1973-08-07,"Soseaua Zenovia Florea Nr. 60, Bosanci, 643611",0251 624 919
7920907456831,1928-11-26,"Drumul Ardelean Nr. 41 Bl. 24  Sc. 55 Ap. 235, Rasnov Romacril, 318120",0721 547 686
3290123410684,2005-01-15,"Bulevardul Pușcașu Nr. 94 Bl. 77  Sc. 89 Ap. 893, Iernut, 400360",0255 844 357
5360805029589,1956-06-23,"Aleea Tabacu, Draganesti-Olt, 561071",0747 944 270
8650813202050,2004-06-09,"Strada Diaconescu, Baraolt, 501613",0250 631 652
7990324115219,1913-01-03,"Drumul Stănescu Nr. 35, Giarmata, 471694",0756 426 587
1870426162776,1934-08-26,"Strada Valentin Cristea, Fieni, 400733",0724 559 690
6670606152001,1973-05-25,"Drumul Ionescu Nr. 71, Peris, 396247",0732 174 184
2890805268180,1941-04-15,"Bulevardul Gențiana Dobre Nr. 35, Campia Turzii, 911459",0231 301 776
2190418054763,1918-01-14,"Soseaua Tudor Nr. 755 Bl. 26  Sc. 39 Ap. 584, Bals, 100834",0749 183 570
5980503107284,1920-09-21,"Intrarea Popa Nr. 780 Bl. 50  Sc. 51 Ap. 805, Gura Humorului, 817343",0737 120 506
4680127176423,1984-08-18,"Aleea Stan Nr. 918, Straja, 721583",0749 334 956
5321122122519,1908-07-11,"Intrarea Ghiță Georgescu, Rasinari, 214007",0732 328 284
6820207220199,1947-04-17,"Intrarea Ababei Nr. 448 Bl. 12  Sc. 14 Ap. 336, Cluj-Napoca, 217108",0726 617 457
3650931017711,1946-09-09,"Bulevardul Norbert Ionescu Nr. 945, Simeria, 154689",0769 783 687
8080108434943,1950-12-10,"Drumul Nistor Nr. 38, Teius, 608350",0740 760 136
8020215315219,1936-05-31,"Bulevardul Stănescu Nr. 419, Lumina, 867310",0247 611 272
8241018115050,1974-05-30,"Bulevardul Toma Nr. 29 Bl. 10  Sc. 11 Ap. 795, Valea Mare (Babeni), 710658",0255 294 351
1820310529106,1917-01-15,"Aleea Ioniță Nr. 49 Bl. 10  Sc. 34 Ap. 851, Lumina, 142862",0258 186 018
6570127452328,1912-03-07,"Strada Barbu Nr. 948 Bl. 21  Sc. 34 Ap. 413, Medias, 464792",0761 531 149
5860504392140,1975-11-06,"Soseaua Mihai Toma Nr. 474 Bl. 12  Sc. 83 Ap. 140, Pancota, 842533",0745 150 139
3070419378357,1967-06-07,"Aleea Suciu, Gherla, 555188",021 201 1826
8190722057663,1924-12-22,"Strada Nemeș Nr. 82 Bl. 18  Sc. 10 Ap. 808, Sacele, 746755",0266 552 659
7830229252342,1944-11-12,"Intrarea Popescu Nr. 88 Bl. 47  Sc. 98 Ap. 192, Alesd, 680162",0733 130 392
4800828434550,2022-02-20,"Strada Pop Nr. 542, Sfantu Gheorghe, 449220",0757 922 414
4321121413432,1975-07-08,"Aleea Tudor Nr. 628 Bl. 92  Sc. 10 Ap. 997, Tasnad, 927765",0259 102 224
3630607433339,2003-09-04,"Strada Dacian Aanei Nr. 61, Corabia, 102593",0780 107 076
3960910267444,1920-07-18,"Soseaua Pușcașu Nr. 10 Bl. 96  Sc. 87 Ap. 130, Lipova, 898237",0742 963 001
7680807065470,1989-08-17,"Drumul Ernest Stănescu Nr. 165, Radauti, 479886",0763 525 108
7110614412566,1925-08-12,"Soseaua Suciu, Husi, 182086",0711 010 028
2681021359906,1960-08-03,"Soseaua Stan Nr. 78, Buzau, 926686",0241 020 107
2130230368094,1928-05-16,"Strada Tudor Ardelean Nr. 90, Corund, 728209",0761 486 869
4850515432801,1933-06-14,"Aleea Nemeș, Fagetel (Remetea), 485713",0761 370 233
7810902054944,1939-10-13,"Aleea Stoica Nr. 232, Otopeni, 924951",0733 372 174
3660508069273,1993-10-31,"Aleea Aanei Nr. 11 Bl. 72  Sc. 43 Ap. 866, Dragalina, 343314",0254 114 943
7690708151179,1918-03-02,"Intrarea Tomescu, Fagaras, 856900",0238 212 463
8430629185135,1975-03-24,"Bulevardul Constanța Marin, 1 Decembrie, 603517",0245 142 494
3070702376878,2002-07-31,"Intrarea Dima Nr. 44, Satu Mare, 168840",0265 712 040
4700122326925,2009-11-12,"Drumul Preda, Insuratei, 667667",0232 454 280
8010506185202,1950-10-20,"Drumul Teodor Stancu Nr. 59, Apahida, 620832",0233 632 987
6521004242345,1971-12-11,"Strada Ioniță Nr. 937 Bl. 50  Sc. 63 Ap. 733, Alesd, 453205",0738 272 918
2610506311181,1939-01-02,"Intrarea Ionescu Nr. 79, Fagaras, 105121",0245 674 614
6100131440614,1988-10-28,"Aleea Ionuț Ionescu Nr. 389, Stei, 662471",0231 694 787
6881009311495,2003-07-19,"Soseaua Tabacu, Valea Mare (Babeni), 295075",0767 940 552
4850619513277,2015-03-10,"Drumul Ioniță Nr. 51 Bl. 88  Sc. 70 Ap. 389, Techirghiol, 946004",0764 277 307
4490813238558,2018-10-26,"Strada Stănescu, Baciu, 550172",0250 522 630
5220613114601,2019-04-10,"Intrarea Ionescu Nr. 222, Tasnad, 466945",0743 474 754
6700812288972,1993-09-08,"Aleea Ioniță, Vatra Dornei, 516188",0738 929 653
8710513464914,1952-08-22,"Aleea Mazilescu Nr. 111 Bl. 26  Sc. 43 Ap. 505, Fagaras, 404212",0764 703 947
4660525322632,1932-10-21,"Aleea Dina Dumitrescu Nr. 43 Bl. 99  Sc. 25 Ap. 781, Iasi, 493682",0780 179 656
5200503374297,1908-05-23,"Aleea Nistor, Vladimirescu, 380080",0253 735 707
1600807191705,2011-12-05,"Drumul Toma, Slatina, 569864",0760 614 112
8310631364497,1927-03-22,"Soseaua Ene Nr. 82, Branesti, 183225",0266 914 475
2490909361720,1982-02-11,"Strada Albu Nr. 388 Bl. 26  Sc. 29 Ap. 612, Teius, 114589",0749 009 385
7141024359116,2014-04-27,"Strada Ene Nr. 926, Agnita, 338561",0244 982 882
7681210312064,1973-02-25,"Intrarea Lelia Stan, Vaslui, 206622",0767 591 725
5231011079943,1996-08-17,"Bulevardul Pușcașu Nr. 96, Darmanesti, 718036",0754 322 426
7800713087751,2006-03-19,"Soseaua Albu Nr. 613 Bl. 57  Sc. 22 Ap. 117, Sibiu, 536740",0723 121 224
2760104123672,1948-10-16,"Soseaua Vera Nistor Nr. 42 Bl. 20  Sc. 18 Ap. 115, Zimnicea, 990470",0240 537 894
7090517269172,1992-05-04,"Strada Florea Nr. 317 Bl. 81  Sc. 10 Ap. 270, Tecuci, 560371",0759 067 107
6640501303248,1998-10-28,"Soseaua Miruna Ene Nr. 689 Bl. 24  Sc. 41 Ap. 420, Baicoi, 816318",0268 598 187
3621007348788,1968-09-26,"Intrarea Voinea, Matca, 263902",0266 857 673
6740208011576,2022-04-03,"Soseaua Nicolae Stancu, Buftea, 160618",0746 278 293
5541213380181,2009-04-21,"Bulevardul Dobre Nr. 338 Bl. 11  Sc. 89 Ap. 314, Chitila, 294941",0733 330 976
5130827114850,1981-09-28,"Drumul Suciu Nr. 535, Reghin, 907962",0728 910 978
6140617081795,1967-08-24,"Drumul Raluca Florea Nr. 154 Bl. 47  Sc. 21 Ap. 731, Sighisoara, 830266",0237 486 768
8360430224785,1946-12-28,"Bulevardul Florea Nemeș Nr. 580 Bl. 51  Sc. 17 Ap. 986, Topoloveni, 937898",0754 848 101
4440101012222,1972-07-27,"Strada Pop Nr. 19, Ramnicu Valcea, 358955",0256 796 462
5210802171264,2003-11-26,"Strada Ababei Nr. 76, Corabia, 615218",0733 328 038
3330927425671,2006-08-29,"Bulevardul Dinu Nr. 98, Motru, 529781",0232 490 538
2460128011995,1979-05-08,"Bulevardul Diaconu, Arbore, 390424",0255 866 704
8830329458815,1955-06-28,"Aleea Evanghelina Nistor, Savinesti (Poiana Teiului), 820096",0745 373 853
8010522112687,2015-10-01,"Intrarea Popa Nr. 27, Cernavoda, 497838",0784 692 497
2030819073321,1920-07-26,"Drumul Dobre, Borsa, 755353",0739 334 235
1150320382824,1923-09-06,"Strada Pleșu Ardelean Nr. 537, Covasna, 572801",0243 242 045
5120803195084,1935-04-15,"Bulevardul Niță Nr. 38 Bl. 11  Sc. 73 Ap. 638, Timisoara, 548203",0743 067 486
8020419238562,1978-09-28,"Drumul Cristofor Stancu Nr. 609, Pancota, 333995",0731 020 317
7610713279531,1951-02-22,"Strada Gheorghiu Nr. 83, Savinesti (Poiana Teiului), 297382",0727 430 953
8041011383565,2002-01-14,"Drumul Tomescu Nr. 56 Bl. 85  Sc. 59 Ap. 846, Branesti, 796720",0263 035 582
3790708218870,2018-02-08,"Strada Popa, Floresti, 301340",0722 197 939
6801202228653,2006-12-01,"Soseaua Pop Nr. 959 Bl. 38  Sc. 62 Ap. 243, Videle, 872762",0758 122 128
3150916175424,1998-09-12,"Drumul Violeta Stan Nr. 234 Bl. 21  Sc. 32 Ap. 740, Sangeorz-Bai, 828802",0265 051 743
3590720399222,1947-03-30,"Strada Dima, Seini, 267634",0266 383 970
2810114148714,1908-08-04,"Drumul Barbu Nr. 514, Corund, 899497",0751 955 948
3170614207499,1987-06-24,"Soseaua Albu Nr. 28, Salonta, 630285",0232 627 699
8530911401838,1948-03-05,"Bulevardul Dochioiu Nr. 641 Bl. 23  Sc. 72 Ap. 812, Greci, 583249",0256 679 075
4101005116626,2013-09-12,"Bulevardul Ionescu, Podu Iloaiei, 703386",0785 865 539
1850601421724,2016-06-05,"Aleea Florea Nr. 72 Bl. 59  Sc. 65 Ap. 782, Caransebes, 444541",0723 154 312
4431219318888,1990-02-06,"Strada Iacob Oprea, Strehaia, 607015",0769 661 416
7990703313733,2013-07-06,"Aleea Toma, Talmaciu, 984855",0768 322 038
4820608401991,1915-12-13,"Strada Lucian Stoica Nr. 336 Bl. 23  Sc. 39 Ap. 571, Poienile de sub Munte, 497198",0733 583 478
1121208233925,1997-06-09,"Intrarea Mazilescu, Intorsura Buzaului, 362463",0723 328 693
2220822065028,2008-10-24,"Soseaua Dacian Oprea, Mangalia, 298357",0749 615 407
1860809389231,2008-04-09,"Intrarea Suciu Nr. 857, Brasov, 289923",0263 760 079
5020427013265,1926-01-23,"Strada Popa, Horodnic de Sus, 636170",0729 369 975
6450626020441,1943-06-01,"Aleea Popescu Nr. 329 Bl. 84  Sc. 47 Ap. 528, Corabia, 150503",0249 694 300
6291019164241,1926-02-01,"Strada Nemeș Nr. 293, Constanta, 726654",0730 455 814
8960323109694,1935-06-07,"Soseaua Voinea Nr. 888, Motatei, 135471",0788 835 046
5020917283495,1983-04-27,"Soseaua Diaconu Nr. 52, Otelu Rosu, 904584",0769 365 377
1370412467561,1966-05-05,"Bulevardul Niță Nr. 698, Sadova, 630926",0736 772 032
2610325394889,1982-09-10,"Strada Ducu Ardelean Nr. 641 Bl. 73  Sc. 27 Ap. 721, Siria, 352661",0242 751 176
4240405356619,1948-05-31,"Intrarea Mazilescu Nr. 79, Boldesti-Scaeni, 616957",0784 249 467
2380902214334,1930-09-01,"Drumul Tomescu, Valu lui Traian, 215361",0251 504 802
3130905512031,1953-06-05,"Strada Nistor Nr. 62, Blaj, 304306",0735 980 218
5100409415915,1959-07-02,"Intrarea Stan Nr. 55 Bl. 96  Sc. 55 Ap. 639, Arad, 905738",0238 387 203
5110124106769,1932-02-05,"Bulevardul Stoica, Cornetu, 255488",0248 624 070
8650301395209,1964-09-05,"Intrarea Diaconescu Nr. 30 Bl. 32  Sc. 53 Ap. 344, Valu lui Traian, 567593",0260 422 494
6800321308646,2016-03-26,"Strada Nicu Albu Nr. 404 Bl. 89  Sc. 20 Ap. 262, Campulung Moldovenesc, 405533",0238 287 031
6900121249609,1994-03-21,"Bulevardul Albu Nr. 81, Bistrita, 209069",0232 950 419
3911009191211,2021-08-12,"Soseaua Stănescu, Marginea, 606580",0250 786 917
1441214096773,1931-09-11,"Aleea Vicenția Pușcașu Nr. 49 Bl. 22  Sc. 43 Ap. 879, Siria, 297655",0753 222 757
7591007462004,1977-03-15,"Intrarea Georgescu Nr. 316 Bl. 31  Sc. 83 Ap. 414, Campia Turzii, 270475",0249 427 323
5430525323372,1977-10-10,"Strada Ababei, Cornetu, 406046",0264 931 682
6370827096337,1913-04-03,"Strada Lucrețiu Ioniță Nr. 22, Dej, 386213",0231 166 361
4680215050047,1997-04-29,"Drumul Suciu, Copsa Mica, 843864",0724 148 253
2510708434439,1980-11-17,"Strada Eftimie Nr. 60 Bl. 50  Sc. 86 Ap. 922, Vicovu de Jos, 813836",0239 802 591
4600929106261,1908-12-17,"Intrarea Vasilica Diaconescu Nr. 133 Bl. 72  Sc. 13 Ap. 533, Carei, 437370",0765 281 737
6580528215777,1955-12-11,"Soseaua Popa, Targoviste, 535667",0234 361 910
2470803266227,2014-05-24,"Aleea Ababei Nr. 23 Bl. 89  Sc. 19 Ap. 483, Feldru, 286668",0752 096 347
1501117292351,1948-11-23,"Soseaua Diaconescu, Cernavoda, 200919",0262 190 321
5960629085502,1912-07-26,"Aleea Ciprian Preda Nr. 90, Pitesti, 215790",0784 080 349
8960107057302,1925-05-05,"Drumul Amedeu Ionescu Nr. 57 Bl. 34  Sc. 83 Ap. 267, Sebes, 844836",0241 629 694
7210502243871,1995-06-25,"Strada Pușcașu Nr. 14, Campia Turzii, 976661",0743 472 487
3330413343743,1930-09-20,"Aleea Oprea Nr. 175 Bl. 69  Sc. 66 Ap. 927, Sovata, 635128",0238 532 765
8260305132896,1937-04-09,"Strada Anemona Marin Nr. 533 Bl. 41  Sc. 92 Ap. 435, Constanta, 497857",0250 944 723
7520114518874,1972-03-26,"Soseaua Tabacu Nr. 11 Bl. 50  Sc. 41 Ap. 560, Segarcea, 605019",0754 265 119
4470513234422,1936-06-03,"Drumul Stănescu Nr. 91 Bl. 10  Sc. 85 Ap. 158, Savinesti (Poiana Teiului), 471234",0241 243 725
1371012154447,1945-03-24,"Strada Lili Georgescu Nr. 68 Bl. 61  Sc. 66 Ap. 724, Craiova, 329043",0724 151 035
7110703221023,1925-02-09,"Bulevardul Popa, Cornetu, 158209",0784 526 217
1470124182701,1947-04-24,"Aleea Stănescu Nr. 681 Bl. 27  Sc. 54 Ap. 256, Beclean, 586524",0730 745 006
6920419047378,1965-02-23,"Strada Toma Nr. 649 Bl. 73  Sc. 52 Ap. 174, Odobesti, 190947",0241 828 012
3540827111839,1990-05-04,"Strada Marin, Navodari, 955907",0769 231 604
2430201087531,2017-02-09,"Bulevardul Manole, Timisoara, 895137",0238 559 459
4570528292380,2006-08-11,"Aleea Silvian Stancu Nr. 29 Bl. 34  Sc. 98 Ap. 192, Otopeni, 379479",0786 704 782
5340829245961,2018-09-30,"Intrarea Suciu Nr. 577 Bl. 86  Sc. 97 Ap. 342, Pantelimon, 360156",0244 793 734
5820919108121,1964-03-27,"Strada Flavia Tabacu, Anina, 410546",0263 834 968
4611222177648,1992-04-03,"Aleea Aureliana Suciu Nr. 72 Bl. 55  Sc. 69 Ap. 432, Drobeta-Turnu Severin, 338227",0753 410 925
3480426526103,1949-08-14,"Strada Oprea Nr. 52 Bl. 15  Sc. 81 Ap. 610, Cluj-Napoca, 852656",0237 285 931
2650823403830,2014-03-11,"Soseaua Tatiana Tudor Nr. 35, Cajvana, 881599",0747 099 172
6091018344451,1909-09-19,"Bulevardul Oprea Nr. 163, Turda, 410020",0243 646 550
8150103110681,1979-08-22,"Aleea Preda Nr. 839 Bl. 95  Sc. 50 Ap. 574, Draganesti-Olt, 647236",0764 042 527
8620808315502,1920-06-27,"Drumul Stancu, Vaslui, 461322",0242 687 930
1651121424958,2016-01-05,"Soseaua Eftimie Nr. 31, Caracal, 659013",0747 699 220
6620507442469,1936-03-05,"Drumul Popa, Deva, 792537",0763 389 625
8870924127720,1933-01-25,"Bulevardul Toma, Sacueni, 883212",0233 162 977
6710621207124,1923-07-09,"Strada Nemeș, Simleu Silvaniei, 660196",0739 963 350
1490827277611,1910-02-23,"Intrarea Manole, Popesti-Leordeni, 966634",0244 460 594
8600202263151,1958-06-19,"Aleea Mocanu Nr. 640 Bl. 71  Sc. 97 Ap. 310, Vatra Dornei, 643293",0243 176 120
7530716426571,1942-01-20,"Bulevardul Dana Popa Nr. 75 Bl. 55  Sc. 47 Ap. 676, Dragasani, 596894",0725 494 249
2051102057805,1977-03-01,"Aleea Popescu Nr. 77 Bl. 78  Sc. 64 Ap. 570, Oituz, 344370",0257 583 221
3970929191801,1973-03-25,"Soseaua Ionescu Nr. 15, Negresti-Oas, 685150",0771 590 097
2460609302151,2012-09-18,"Strada Ardelean Nr. 56, Techirghiol, 825831",0234 016 597
8740629356932,1949-11-15,"Bulevardul Stancu, Miercurea-Ciuc, 150913",0744 933 119
3310524160108,1999-05-16,"Soseaua Nistor, Roseti, 124121",0761 859 363
2461009057855,1986-05-28,"Intrarea Florea, Roseti, 661444",0763 202 479
6620320067848,1916-10-03,"Bulevardul Preda, Valenii de Munte, 396893",0749 068 885
3960608201437,1930-02-07,"Drumul Dochioiu Nr. 54, Viseu de Sus, 787370",0266 928 275
7660928058744,1936-06-16,"Bulevardul Mazilescu, Arbore, 187344",0724 642 780
3061013066127,1924-10-21,"Drumul Gheorghiu, Curtici, 633360",0254 278 342
5461009096495,2019-11-11,"Intrarea Dobre Nr. 41, Viseu de Sus, 860703",0788 575 478
5520830465039,2006-12-19,"Drumul Pușcașu, Sebis, 196881",0236 647 265
2320201071213,1939-04-21,"Drumul Dumitrescu Nr. 878 Bl. 88  Sc. 21 Ap. 565, Rasinari, 681250",0232 596 759
7760806236530,2022-06-16,"Drumul Eftimie, Savinesti, 129784",0239 627 929
8330211168461,1975-09-06,"Aleea Popescu, Magurele, 867664",0259 697 963
7211216469029,1923-01-08,"Strada Dima Nr. 398 Bl. 93  Sc. 70 Ap. 939, Targu Secuiesc, 450563",0245 718 028
1100623290081,1920-09-18,"Aleea Ionescu Nr. 49, Strejnicu, 221553",0262 832 683
6851130419831,1923-05-06,"Bulevardul Laura Stoica Nr. 442 Bl. 81  Sc. 25 Ap. 805, Tomesti, 615892",0729 376 179
6110510098579,1969-12-08,"Soseaua Sânziana Tudor, Rodna, 173452",0745 452 411
6371118288618,1921-10-25,"Drumul Marin, Reghin, 843000",0267 439 900
3120129221011,1922-09-23,"Drumul Preda Nr. 214 Bl. 40  Sc. 12 Ap. 766, Deta, 290909",0265 387 359
6700526210497,1959-12-20,"Drumul Petrică Dima Nr. 352 Bl. 68  Sc. 43 Ap. 354, Urziceni, 964314",0252 259 470
6860712166234,1917-07-15,"Bulevardul Jasmina Albu Nr. 17 Bl. 24  Sc. 69 Ap. 570, Saveni, 761068",0736 946 725
2970402168281,1988-05-27,"Drumul Eftimie Nr. 367 Bl. 15  Sc. 76 Ap. 233, Valea Mare (Negresti), 889034",0732 439 349
3920408278414,1917-08-30,"Intrarea Stănescu Nr. 76, Dragasani, 706678",0756 700 523
8141104325269,1937-04-17,"Intrarea Niță Nr. 731 Bl. 30  Sc. 23 Ap. 997, Nasaud, 320951",0263 972 129
6240318522719,2004-10-23,"Drumul Popa, Buzau, 890468",0264 701 120
8690720446538,1994-08-09,"Bulevardul Monica Stancu Nr. 355 Bl. 42  Sc. 23 Ap. 161, Anina, 409024",0731 479 472
5570823466261,2020-12-01,"Aleea Remus Diaconescu Nr. 307, Valu lui Traian, 309166",0755 811 933
6220107525712,1984-08-02,"Soseaua Suzana Eftimie Nr. 29 Bl. 19  Sc. 26 Ap. 603, Adjud, 967963",0724 394 511
8660131314935,1952-12-09,"Intrarea Toma Nr. 816 Bl. 29  Sc. 19 Ap. 801, Peretu, 856709",0233 916 172
5250128258683,1944-06-23,"Intrarea Stan Nr. 837, Sadova, 336064",0727 740 926
8131110390208,1958-11-21,"Strada Stoica, Baia Mare, 141609",0720 824 557
3331024203410,1960-11-09,"Strada Tabacu Nr. 59, Rosiori de Vede, 283315",0738 931 250
6610417029454,1917-06-08,"Bulevardul Oprea Nr. 33 Bl. 63  Sc. 32 Ap. 927, Odobesti, 799385",0756 077 199
2510203032902,1955-09-29,"Aleea Clarisa Stancu, Satu Mare, 748611",0728 014 895
8571118356349,1996-02-21,"Aleea Toma Nr. 777 Bl. 16  Sc. 83 Ap. 571, Suceava, 798774",0756 412 707
