first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency
Teodora,Nistor,5520525262648,1951-03-19,"Bulevardul Sava Oprea Nr. 34, Balan, 998536",0255 303 744,71:00:9a:10:e2:98,14.226.19.3,RO42KKRC9170771466164854,KES
Evanghelina,Stancu,8231127362155,2003-02-10,"Soseaua Heracleea Nemeș Nr. 470, Boldesti-Scaeni, 874283",0770 595 806,3a:cf:58:03:e4:13,60.97.197.59,RO65KIBL8813002201211850,RON
Octaviana,Diaconu,2680125240442,2003-07-30,"Drumul Tabacu Nr. 52, Sangeorgiu de Mures, 315952",0258 018 975,68:a8:ce:a8:18:b6,82.66.97.254,RO95FWUX5458005950022984,ISK
Ligia,Popescu,3031023240930,1987-09-08,"Intrarea Dinu, Slobozia, 509783",0254 888 278,a4:63:ae:3a:69:c5,218.121.129.49,RO69SUMM9216951891035504,BTN
Vlădelina,Dima,3350115129792,1918-09-04,"Drumul Ababei Nr. 228, Ocna Mures, 152621",0264 724 405,d9:86:09:6a:f6:88,16.57.155.110,RO23XENV6461816276241554,AWG
Suzana,Dinu,7910915126764,1985-12-24,"Bulevardul Ionescu Nr. 742, Toplita, 363076",0743 344 451,c2:38:a5:ac:9a:f2,212.0.13.155,RO34VNOB6838634359634397,BBD
Nicoară,Pop,6880717348363,1974-09-28,"Strada Voinea Nr. 526, Cristuru Secuiesc, 249475",0766 023 737,77:cb:2c:85:88:e7,98.95.184.153,RO39TYZD8168531657748326,HKD
Leopoldina,Suciu,6120229274805,1911-10-22,"Drumul Nistor Nr. 14, Petrila, 791481",0745 654 754,92:4c:52:3b:22:19,85.98.109.77,RO75OQQU7119152093758761,CLP
Jasmina,Preda,4110320414787,1954-04-19,"Bulevardul Bogdan Tomescu, Modelu, 793438",0755 549 272,20:f0:04:51:2c:7b,66.156.96.119,RO96NBWJ3910855413494612,SEK
Andrian,Popescu,2200209258801,1939-06-10,"Bulevardul Eftimie Nr. 31 Bl. 92  Sc. 66 Ap. 442, Santana, 466008",0253 331 391,d7:c1:da:dc:c5:75,64.129.66.132,RO83FLGY3075093233148482,BYR
Iustina,Ioniță,3460215164661,1936-10-11,"Drumul Diaconescu Nr. 94, Husi, 568481",0768 792 632,94:a3:e8:bd:d1:16,60.44.78.193,RO71UAZF8530912374652608,MOP
Dragoș,Ene,7121221154487,1940-11-06,"Strada Marinela Tomescu Nr. 70, Simeria, 946293",0742 841 141,e3:7b:a3:9e:93:aa,12.12.228.28,RO13OIFW6062528756683377,ETB
Lia,Dochioiu,1811005226406,1963-12-16,"Drumul Nistor Nr. 82 Bl. 80  Sc. 71 Ap. 363, Sacele, 459657",0259 299 068,56:a6:c2:fd:f8:9c,145.149.201.62,RO48AIVS0893811005287061,MMK
Adelina,Gheorghiu,3450515010306,1965-07-04,"Intrarea Francesca Pop Nr. 377 Bl. 98  Sc. 12 Ap. 708, Lupeni, 737216",0738 977 316,48:80:ee:7b:3e:83,17.148.191.68,RO28NKSV0132401570932344,XCD
Vlădelina,Dochioiu,4150829364911,1919-10-27,"Intrarea Dumitrescu Nr. 80 Bl. 26  Sc. 91 Ap. 326, Calarasi, 267433",0723 356 240,f9:dc:32:95:67:50,29.150.154.101,RO95MBJS7506877630106990,CNY
Mioara,Voinea,7510126195492,2020-03-26,"Bulevardul Popescu Nr. 97, Apahida, 177687",0725 569 233,bd:1a:21:2a:72:bc,97.214.219.184,RO62SSAI6094627157458378,BBD
Julieta,Tomescu,6680330077559,2015-10-07,"Drumul Denisa Diaconescu, Sfantu Gheorghe, 931559",0732 803 619,c5:34:d8:fc:20:e0,59.42.5.107,RO48TOYU2128003550325810,BBD
Simi,Suciu,7100506011556,1925-11-16,"Aleea Valter Dumitrescu, Alexandria, 346521",0763 357 720,cd:e9:e8:48:b7:3c,5.193.210.52,RO08EFCM1255963096593747,MYR
Eufrosina,Dima,5320129394991,1920-09-15,"Soseaua Dima Nr. 34, Babadag, 149093",0770 787 753,66:31:58:89:33:e8,41.170.93.113,RO50CUAW2382863818355518,PAB
Emanuela,Ene,4170730157314,2015-07-28,"Drumul Stan, Borsa, 390337",0788 682 573,92:f0:a5:a1:35:32,46.161.232.228,RO17SBEX9026367566241179,HKD
Nicoară,Manole,3710810231161,1917-09-03,"Drumul Marin Nr. 882 Bl. 65  Sc. 34 Ap. 202, Marasesti, 549310",0758 048 622,3d:01:92:ad:8f:25,169.8.72.96,RO26POJY1116221619397236,NGN
Georgel,Cristea,6501215404997,1939-08-15,"Soseaua Mocanu Nr. 478 Bl. 13  Sc. 40 Ap. 725, Teius, 393253",0258 871 740,5a:40:1e:8d:ad:6c,76.106.205.198,RO25YWYS6652111651155799,COP
Noemi,Albu,3970918422189,1992-01-16,"Bulevardul Pop Nr. 626 Bl. 29  Sc. 61 Ap. 446, Bumbesti-Jiu, 159987",0746 846 039,93:ed:61:f2:b2:87,108.5.222.160,RO90NTCS1308242013500200,AMD
Roxana,Ioniță,4680225088751,1954-05-07,"Soseaua Consuela Cristea, Buftea, 845600",0727 823 676,f4:d2:66:c3:eb:c2,56.237.230.96,RO05SGGZ6690575895538483,ZAR
Manuela,Diaconescu,8170628323701,1928-11-10,"Aleea Marin Nr. 837 Bl. 24  Sc. 65 Ap. 797, Jilava, 488204",0764 873 446,57:f7:8d:ca:4b:66,1.58.232.25,RO75ASEZ5843495268271987,BBD
Aurel,Dobre,2161022030850,1932-06-11,"Intrarea Florea, Buzau, 920908",0261 234 090,c3:03:26:06:d8:27,186.172.54.12,RO77UYWT7836587307055275,VEF
Alis,Tabacu,6940820380863,1914-12-08,"Bulevardul Ardelean Nr. 49 Bl. 20  Sc. 96 Ap. 803, Radauti, 416347",0245 953 830,23:0a:75:39:f1:c5,108.186.227.120,RO24AXPT1780656730913617,XDR
Tudora,Dobre,2541111388331,2005-12-30,"Soseaua Toma Popescu Nr. 181 Bl. 38  Sc. 22 Ap. 260, Straja, 397557",0739 517 513,af:7f:b4:81:59:3d,110.94.184.90,RO34IUUE6234929181105373,PLN
Dina,Ioniță,1311023454626,1961-10-01,"Drumul Cristofor Marin Nr. 41, Valenii de Munte, 425754",0764 849 979,04:83:b9:e8:a8:86,110.85.51.16,RO96SRRD2672951687890112,BMD
Iustina,Popescu,4480418227998,1912-02-07,"Intrarea Mazilescu Nr. 949, 1 Decembrie, 353991",0711 835 401,8b:95:70:a8:72:49,126.117.222.101,RO96ZJTN7347615442659850,GMD
Jeana,Georgescu,8710930031908,1908-05-20,"Intrarea Codruța Georgescu Nr. 99 Bl. 82  Sc. 41 Ap. 144, Targu Secuiesc, 533683",0736 419 945,e0:1e:e8:c2:8e:aa,96.200.212.150,RO06LYGR8688337619338036,ANG
Mihnea,Dima,5851023171447,1970-01-19,"Intrarea Eftimie Nr. 51 Bl. 24  Sc. 73 Ap. 415, Urziceni, 359697",0762 618 753,01:6d:ec:b1:81:d7,140.61.255.93,RO02VUDE3958929564041331,AUD
Alis,Gheorghiu,1141027059662,2010-07-27,"Aleea Mihail Barbu Nr. 63 Bl. 43  Sc. 17 Ap. 171, Sannicolau Mare, 526291",0257 075 780,24:a3:20:fd:f7:04,30.28.135.219,RO05FFIR3789958292445784,SDG
Francesca,Stancu,6821214373767,1952-06-20,"Drumul Stancu Nr. 97 Bl. 96  Sc. 70 Ap. 809, Fundulea, 756355",0767 619 023,c1:c4:d3:f2:0b:93,134.210.118.70,RO86YQED7828645392951671,LYD
Mircea,Niță,5280131177877,1912-12-02,"Aleea Dochioiu, Savinesti (Poiana Teiului), 142682",0728 509 622,fe:bf:86:28:18:6d,62.63.70.50,RO46GOBW2968253652109649,VND
Norman,Ioniță,2480114202016,2003-11-15,"Intrarea Tabacu Nr. 63, Draganesti-Olt, 572712",0265 115 569,7b:98:17:90:19:17,1.90.221.140,RO46CURB2263061746891061,VEF
Ernest,Nistor,2260415348576,1949-10-07,"Drumul Eftimie Nr. 825 Bl. 40  Sc. 29 Ap. 567, Tudora, 447253",0268 416 830,72:d7:99:74:1f:65,173.93.32.235,RO47IFQW2794621442770264,GHS
Oana,Eftimie,6001104378954,2010-09-14,"Intrarea Aurelian Popescu Nr. 89, Cumpana, 177111",0735 400 579,7a:0e:93:59:80:f7,105.187.56.144,RO95YHJF1833985195875633,GBP
Iuliu,Marin,1770908056903,1922-08-13,"Bulevardul Suciu, Dumbravita, 422508",0250 826 993,e5:55:1d:b1:45:9f,103.247.147.48,RO98KXXK0733746872899622,DJF
Anișoara,Pop,3180616311733,1982-10-09,"Drumul Stelian Aanei Nr. 204 Bl. 99  Sc. 71 Ap. 762, Rosiori de Vede, 344540",0267 780 122,07:1e:f3:b3:c7:ea,60.145.94.1,RO31RHUY7695881612856541,YER
Gicu,Ene,1000618095698,1954-04-28,"Bulevardul Dumitrescu Nr. 73 Bl. 35  Sc. 64 Ap. 839, Simeria, 865327",0738 023 936,ff:0a:56:89:53:54,221.93.184.122,RO13SVCV1631780330907335,GYD
Valentin,Georgescu,2150403293266,1980-08-21,"Strada Barbu Nr. 347 Bl. 58  Sc. 15 Ap. 306, Greci, 688127",0232 366 632,55:cf:5a:8d:21:05,31.171.13.63,RO33RSRS6084167265673522,KGS
Eustațiu,Suciu,8850901096025,1951-10-05,"Strada Voinea, Dumbravita, 210063",0256 264 122,72:6c:cf:3c:45:af,6.218.76.63,RO63DGTK7872448099949915,AED
Zamfir,Stănescu,8490312090749,2010-10-21,"Soseaua Stoica Nr. 72 Bl. 92  Sc. 95 Ap. 850, Botosani, 462758",0754 250 135,b6:29:b5:3b:bc:cf,93.201.46.221,RO43YREE1526313413324524,GNF
Ducu,Eftimie,6291023187695,1990-05-24,"Drumul Arsenie Dima Nr. 66 Bl. 88  Sc. 20 Ap. 379, Poienile de sub Munte, 916846",0750 378 221,15:5b:a1:fd:db:f8,83.152.32.8,RO68IDRC7212944236506936,BTN
Silvian,Ababei,1390611178971,1950-09-15,"Drumul Lioara Tudor Nr. 778, Darabani, 751236",0766 036 295,78:58:24:fa:7d:a1,116.196.229.33,RO80RAUQ6156878297716795,SRD
Bebe,Tudor,2320205390974,1993-04-04,"Drumul Luana Suciu Nr. 732, Gilau, 813489",0720 992 308,c1:35:6f:c6:60:b6,53.161.3.212,RO73LTUO5691640258854321,MNT
Geanina,Ardelean,7450813137255,1989-02-26,"Drumul Niță Nr. 79, Brad, 417797",0738 790 884,2d:ea:db:e1:3b:b7,145.89.125.1,RO25WDLQ1977663600304066,OMR
Anatolie,Preda,6110118113282,1944-01-10,"Aleea Ionescu Nr. 195 Bl. 65  Sc. 32 Ap. 681, Tecuci, 979471",0735 519 959,59:71:15:7e:d2:fe,81.142.191.168,RO05EHBF8464830956201450,USD
Sever,Oprea,4150925135454,1997-03-04,"Bulevardul Bogdana Ardelean Nr. 12, Sadova, 773805",0738 386 883,25:87:f1:78:53:7e,164.255.208.173,RO05EUSX8092941769347533,UGX
Margareta,Ene,4890626074392,1981-07-05,"Strada Dinu Nr. 47, Breaza de Sus, 117300",0236 348 105,5b:aa:3c:33:22:11,195.205.197.155,RO71SVCO9119763666502879,KYD
Noemi,Suciu,8131001080817,1992-10-03,"Soseaua Gheorghiu Nr. 65, Balotesti, 122613",0240 504 999,43:6b:4d:a0:7f:4a,126.195.136.190,RO40ZHUT5756401660238441,VND
Luana,Toma,7381222232103,1993-03-24,"Strada Cătălin Diaconescu, Cugir, 315200",0735 329 613,c4:15:b8:65:99:6d,138.41.11.78,RO36XZFO5743096797745765,KRW
Horațiu,Georgescu,8800617451551,1945-09-27,"Strada Stancu, Motru, 626052",0756 947 429,fa:da:f2:96:52:17,205.232.74.15,RO78UBLU3278945824310838,HRK
Emanoil,Aanei,7790921343110,2001-09-27,"Aleea Octavia Pop Nr. 81 Bl. 42  Sc. 19 Ap. 718, Victoria, 645403",021 726 7734,ae:af:5b:4c:d5:04,178.57.243.245,RO45POVP4866958267496649,USD
Antoaneta,Marin,6931204527264,1960-03-11,"Intrarea Nadia Suciu Nr. 89, Lupeni, 345181",0756 776 663,52:d4:46:e6:cc:1e,199.58.2.201,RO26WAVV9373576944838640,KWD
Vera,Pop,6041011262931,1987-03-16,"Soseaua Sabina Stoica Nr. 51 Bl. 66  Sc. 39 Ap. 239, Zalau, 974813",0250 732 225,c6:9d:d7:cb:86:d7,140.62.126.41,RO07BFAH8730295254528472,LTL
Panagachie,Pop,7240130300010,1973-08-07,"Soseaua Zenovia Florea Nr. 60, Bosanci, 643611",0251 624 919,e8:11:49:24:4a:0d,159.11.49.162,RO83SICH1642972206816474,HUF
Robert,Tudor,7920907456831,1928-11-26,"Drumul Ardelean Nr. 41 Bl. 24  Sc. 55 Ap. 235, Rasnov Romacril, 318120",0721 547 686,a1:1e:9f:80:60:3f,2.196.49.123,RO84BEVJ8550435154717958,PLN
Frusina,Pușcașu,3290123410684,2005-01-15,"Bulevardul Pușcașu Nr. 94 Bl. 77  Sc. 89 Ap. 893, Iernut, 400360",0255 844 357,34:24:df:c9:98:28,162.203.227.99,RO96PLSP5145569165268842,IDR
Laura,Voinea,5360805029589,1956-06-23,"Aleea Tabacu, Draganesti-Olt, 561071",0747 944 270,74:ee:cb:13:c8:24,115.157.134.224,RO77OKAF0470442306985915,KHR
Natalia,Mazilescu,8650813202050,2004-06-09,"Strada Diaconescu, Baraolt, 501613",0250 631 652,26:7e:7a:08:fd:b9,32.41.198.54,RO37IGRZ0289417676063316,FJD
Didina,Toma,7990324115219,1913-01-03,"Drumul Stănescu Nr. 35, Giarmata, 471694",0756 426 587,80:5c:46:eb:e8:aa,63.171.100.237,RO04OXRA5902096154734874,CRC
Lioara,Tabacu,1870426162776,1934-08-26,"Strada Valentin Cristea, Fieni, 400733",0724 559 690,a1:ae:a8:fa:28:32,1.43.23.159,RO33MJPE5162485330331650,NIS
Codrina,Tudor,6670606152001,1973-05-25,"Drumul Ionescu Nr. 71, Peris, 396247",0732 174 184,ae:dc:df:77:08:4c,187.212.225.163,RO67BLJM7561654172224810,NAD
Mălina,Ioniță,2890805268180,1941-04-15,"Bulevardul Gențiana Dobre Nr. 35, Campia Turzii, 911459",0231 301 776,50:ce:1b:4b:ef:52,73.222.246.120,RO96UTFF4467695200314683,SLL
Remus,Dobre,2190418054763,1918-01-14,"Soseaua Tudor Nr. 755 Bl. 26  Sc. 39 Ap. 584, Bals, 100834",0749 183 570,8d:e1:50:bc:f0:3f,181.118.155.71,RO94QJPG4485106555114812,NAD
Janeta,Ioniță,5980503107284,1920-09-21,"Intrarea Popa Nr. 780 Bl. 50  Sc. 51 Ap. 805, Gura Humorului, 817343",0737 120 506,4c:f0:3c:12:6e:02,170.96.228.9,RO56YGME3707140457491140,PAB
Noemi,Tabacu,4680127176423,1984-08-18,"Aleea Stan Nr. 918, Straja, 721583",0749 334 956,52:61:89:93:09:4c,210.88.242.42,RO21SIWK3261916694688094,XAF
Voichița,Diaconu,5321122122519,1908-07-11,"Intrarea Ghiță Georgescu, Rasinari, 214007",0732 328 284,b6:4c:4b:f8:ab:1e,177.56.105.28,RO56MIYT2099303659854647,BOB
Laura,Popa,6820207220199,1947-04-17,"Intrarea Ababei Nr. 448 Bl. 12  Sc. 14 Ap. 336, Cluj-Napoca, 217108",0726 617 457,94:95:57:28:01:9a,176.208.63.76,RO79HMXA0462527722437143,STD
Stela,Albu,3650931017711,1946-09-09,"Bulevardul Norbert Ionescu Nr. 945, Simeria, 154689",0769 783 687,5d:a0:98:b8:93:55,68.218.10.229,RO49BHTW6001138525729648,SPL
Alida,Nistor,8080108434943,1950-12-10,"Drumul Nistor Nr. 38, Teius, 608350",0740 760 136,4b:a2:96:21:02:eb,25.74.65.166,RO39IJXA5789028846508529,VND
Teodosia,Cristea,8020215315219,1936-05-31,"Bulevardul Stănescu Nr. 419, Lumina, 867310",0247 611 272,07:e2:ba:d3:f4:d6,200.19.123.143,RO53TKYI3044020789812857,MYR
Veniamin,Ionescu,8241018115050,1974-05-30,"Bulevardul Toma Nr. 29 Bl. 10  Sc. 11 Ap. 795, Valea Mare (Babeni), 710658",0255 294 351,d9:f1:fe:67:30:f1,171.162.151.8,RO59PEDW9576328776372904,LKR
Nidia,Georgescu,1820310529106,1917-01-15,"Aleea Ioniță Nr. 49 Bl. 10  Sc. 34 Ap. 851, Lumina, 142862",0258 186 018,cd:fc:97:5d:97:5b,219.102.153.31,RO67YVZP8754126123249808,HRK
Ada,Diaconescu,6570127452328,1912-03-07,"Strada Barbu Nr. 948 Bl. 21  Sc. 34 Ap. 413, Medias, 464792",0761 531 149,6c:b7:e1:99:ea:c7,70.42.243.246,RO83MXTG6760771849561619,NAD
Blanduzia,Stan,5860504392140,1975-11-06,"Soseaua Mihai Toma Nr. 474 Bl. 12  Sc. 83 Ap. 140, Pancota, 842533",0745 150 139,ff:ef:bb:bf:96:33,89.54.246.29,RO52QPEM9066297016408458,SGD
Anica,Oprea,3070419378357,1967-06-07,"Aleea Suciu, Gherla, 555188",021 201 1826,09:0d:49:99:bf:53,162.218.170.134,RO57YUMP0740873051840312,LKR
Magdalena,Nistor,8190722057663,1924-12-22,"Strada Nemeș Nr. 82 Bl. 18  Sc. 10 Ap. 808, Sacele, 746755",0266 552 659,65:ef:aa:88:ed:e7,167.40.89.190,RO10HIQZ9446578280260262,BDT
Eremia,Dima,7830229252342,1944-11-12,"Intrarea Popescu Nr. 88 Bl. 47  Sc. 98 Ap. 192, Alesd, 680162",0733 130 392,46:5a:ca:6a:16:69,44.129.189.247,RO43GTAR1046255576678271,VUV
Catrina,Niță,4800828434550,2022-02-20,"Strada Pop Nr. 542, Sfantu Gheorghe, 449220",0757 922 414,e7:40:e0:40:7b:4f,70.117.0.13,RO81FHKA8431140341108682,GBP
Beniamin,Ardelean,4321121413432,1975-07-08,"Aleea Tudor Nr. 628 Bl. 92  Sc. 10 Ap. 997, Tasnad, 927765",0259 102 224,58:f0:d0:20:30:d8,21.17.72.225,RO77PFOU6726347912213693,TWD
Evelina,Mocanu,3630607433339,2003-09-04,"Strada Dacian Aanei Nr. 61, Corabia, 102593",0780 107 076,de:8e:6f:5b:e3:e8,14.252.203.239,RO12KHII4253568118768369,MOP
Simion,Ioniță,3960910267444,1920-07-18,"Soseaua Pușcașu Nr. 10 Bl. 96  Sc. 87 Ap. 130, Lipova, 898237",0742 963 001,bb:c1:a0:7c:78:1c,204.242.93.41,RO68ZWFC7642592292831253,NIS
Estera,Nemeș,7680807065470,1989-08-17,"Drumul Ernest Stănescu Nr. 165, Radauti, 479886",0763 525 108,97:46:bd:1a:80:de,4.50.25.162,RO80ZJIW1495535384550142,NPR
Geta,Ionescu,7110614412566,1925-08-12,"Soseaua Suciu, Husi, 182086",0711 010 028,36:f1:54:3b:9b:75,33.81.117.82,RO17QCCQ2659707979859641,KWD
Corina,Stoica,2681021359906,1960-08-03,"Soseaua Stan Nr. 78, Buzau, 926686",0241 020 107,b3:d2:3d:7c:d6:42,99.65.98.66,RO44LGFX8575741776173089,BSD
Albertina,Tabacu,2130230368094,1928-05-16,"Strada Tudor Ardelean Nr. 90, Corund, 728209",0761 486 869,91:42:16:ad:c1:55,218.161.151.69,RO55AOKW1158516919600867,FKP
Marian,Pop,4850515432801,1933-06-14,"Aleea Nemeș, Fagetel (Remetea), 485713",0761 370 233,b9:f6:e4:b5:29:4a,184.168.97.93,RO14KYRC6769730734676729,SRD
Decebal,Marin,7810902054944,1939-10-13,"Aleea Stoica Nr. 232, Otopeni, 924951",0733 372 174,32:8e:d0:3e:91:21,118.146.5.248,RO83PIVS9084092621815908,TTD
Nora,Toma,3660508069273,1993-10-31,"Aleea Aanei Nr. 11 Bl. 72  Sc. 43 Ap. 866, Dragalina, 343314",0254 114 943,e1:4e:5c:02:4e:fe,48.98.189.77,RO62YSHW2198413764502550,IMP
Malvina,Stănescu,7690708151179,1918-03-02,"Intrarea Tomescu, Fagaras, 856900",0238 212 463,5c:81:5f:51:cb:15,78.248.144.161,RO48EWNX4957917922131990,PGK
Fiona,Mocanu,8430629185135,1975-03-24,"Bulevardul Constanța Marin, 1 Decembrie, 603517",0245 142 494,a0:bd:70:9d:c8:e8,155.64.222.175,RO31WVFF3235625662614125,TRY
Gabriel,Aanei,3070702376878,2002-07-31,"Intrarea Dima Nr. 44, Satu Mare, 168840",0265 712 040,ce:0f:3e:2b:15:ae,10.11.213.114,RO88CSPN3179249653894524,NIO
Noemi,Dochioiu,4700122326925,2009-11-12,"Drumul Preda, Insuratei, 667667",0232 454 280,6a:bb:44:b0:95:72,218.129.106.254,RO48ECQH1112137188699556,BTN
Catrina,Pușcașu,8010506185202,1950-10-20,"Drumul Teodor Stancu Nr. 59, Apahida, 620832",0233 632 987,b1:77:cc:d9:51:f4,203.116.167.86,RO25QPVT5745639403143182,ARS
Amelia,Nistor,6521004242345,1971-12-11,"Strada Ioniță Nr. 937 Bl. 50  Sc. 63 Ap. 733, Alesd, 453205",0738 272 918,32:c8:11:36:20:8d,175.38.70.17,RO95HNHM6650824941530703,ERN
Eva,Stănescu,2610506311181,1939-01-02,"Intrarea Ionescu Nr. 79, Fagaras, 105121",0245 674 614,68:ae:d1:3b:75:55,217.97.237.171,RO40JKPM9752912398508290,LAK
Silvia,Stoica,6100131440614,1988-10-28,"Aleea Ionuț Ionescu Nr. 389, Stei, 662471",0231 694 787,d0:1f:27:47:f1:8e,32.203.95.55,RO43NMBW9075925240080690,GGP
Dorina,Toma,6881009311495,2003-07-19,"Soseaua Tabacu, Valea Mare (Babeni), 295075",0767 940 552,15:15:6c:92:9e:b9,47.127.209.103,RO60REYT2900014133787504,SVC
Sonia,Popescu,4850619513277,2015-03-10,"Drumul Ioniță Nr. 51 Bl. 88  Sc. 70 Ap. 389, Techirghiol, 946004",0764 277 307,2c:0f:fd:a6:3a:9a,34.162.56.218,RO22BNYL1518797443007929,HKD
Ofelia,Dima,4490813238558,2018-10-26,"Strada Stănescu, Baciu, 550172",0250 522 630,16:b9:4b:7f:7f:5a,65.115.86.61,RO86FBES8021726266403989,PYG
Iuliu,Dobre,5220613114601,2019-04-10,"Intrarea Ionescu Nr. 222, Tasnad, 466945",0743 474 754,d1:9e:16:f9:e7:89,28.46.63.170,RO61DZGX6327526127713715,TTD
Iosefina,Ardelean,6700812288972,1993-09-08,"Aleea Ioniță, Vatra Dornei, 516188",0738 929 653,42:79:d8:fb:7c:48,109.235.69.151,RO24STVR8321610350180626,SVC
Mina,Georgescu,8710513464914,1952-08-22,"Aleea Mazilescu Nr. 111 Bl. 26  Sc. 43 Ap. 505, Fagaras, 404212",0764 703 947,16:9a:de:5c:00:4b,133.123.33.52,RO24EZWS4872475953640682,MKD
Paulica,Ardelean,4660525322632,1932-10-21,"Aleea Dina Dumitrescu Nr. 43 Bl. 99  Sc. 25 Ap. 781, Iasi, 493682",0780 179 656,0c:ce:71:4f:17:91,155.25.92.28,RO83FOZT4257269882377294,BHD
Virginia,Popa,5200503374297,1908-05-23,"Aleea Nistor, Vladimirescu, 380080",0253 735 707,13:25:71:bb:10:fc,67.240.200.198,RO91ETXB9143528313444553,BHD
Saveta,Georgescu,1600807191705,2011-12-05,"Drumul Toma, Slatina, 569864",0760 614 112,ed:db:13:ef:f4:b0,33.159.192.254,RO94EZFS1787636247135399,DJF
Gabi,Preda,8310631364497,1927-03-22,"Soseaua Ene Nr. 82, Branesti, 183225",0266 914 475,3f:dd:89:9d:cf:b6,154.246.12.94,RO22CEGV0300299979642196,KGS
Valeriu,Mocanu,2490909361720,1982-02-11,"Strada Albu Nr. 388 Bl. 26  Sc. 29 Ap. 612, Teius, 114589",0749 009 385,e0:68:9b:85:f7:1c,57.77.149.136,RO11UMEB0335811407624514,AZN
Sorina,Preda,7141024359116,2014-04-27,"Strada Ene Nr. 926, Agnita, 338561",0244 982 882,0a:ca:30:63:fb:4d,119.52.125.3,RO69SVZE4989455280334577,BZD
Nichifor,Popa,7681210312064,1973-02-25,"Intrarea Lelia Stan, Vaslui, 206622",0767 591 725,34:a8:60:d9:7a:9c,98.85.200.123,RO29ZACE1944807334326691,HUF
Cristina,Mocanu,5231011079943,1996-08-17,"Bulevardul Pușcașu Nr. 96, Darmanesti, 718036",0754 322 426,b1:6f:97:69:78:cc,216.222.50.57,RO52LHOJ5012975768199013,MYR
Aurelian,Nistor,7800713087751,2006-03-19,"Soseaua Albu Nr. 613 Bl. 57  Sc. 22 Ap. 117, Sibiu, 536740",0723 121 224,34:e0:cb:93:ce:cf,159.151.218.157,RO21DPPZ8652845369880243,BTN
Vlădelina,Nistor,2760104123672,1948-10-16,"Soseaua Vera Nistor Nr. 42 Bl. 20  Sc. 18 Ap. 115, Zimnicea, 990470",0240 537 894,ee:54:86:09:6a:f5,164.79.34.75,RO13BYXL9585462939441851,AED
Mitruț,Pușcașu,7090517269172,1992-05-04,"Strada Florea Nr. 317 Bl. 81  Sc. 10 Ap. 270, Tecuci, 560371",0759 067 107,aa:b8:57:b5:e4:4e,158.190.10.31,RO91RNFS3463479872925986,MXN
Crenguța,Dima,6640501303248,1998-10-28,"Soseaua Miruna Ene Nr. 689 Bl. 24  Sc. 41 Ap. 420, Baicoi, 816318",0268 598 187,2c:1e:58:96:46:b0,43.222.72.107,RO96CGKP2418350772697963,AUD
