"personal_number","birthdate","phone_number","job","user_id"
"1471008069059","1979-07-22","0259 690 725","Tehnician Agronom ","5008"
"2001226347857","2009-08-05","0788 428 276","Cercetator In Stiintele Politice","5009"
"3270208327251","1944-02-13","0240 072 646","Cercetator In Constructii Hidrotehnice","5010"
"7091206287028","1994-10-22","0736 106 844","Inginer De Cercetare In Confectii Din Piele Si Inlocuitori","5011"
"5540815177027","1928-03-03","0742 679 580","Distilator La Prelucrarea Titeiului","5012"
"5250128382320","1931-01-02","0767 982 863","Codificator","5013"
"6800303115192","1941-09-11","0741 001 284","Colector Si Preparator Faina, Sange, Carne, Oase","5014"
"6471102463140","1971-04-02","0253 400 656","Electromecanic Auto","5015"
"4270808283220","1932-12-18","0755 209 070","Sef Lectorat","5016"
"4600218037363","1969-07-25","0249 726 674","Pedichiurist","5017"
"3030122262998","2009-02-22","0743 870 483","Asistent De Nutritie","5018"
"5150508515225","1968-05-26","0746 836 745","Cercetator In Matematica-Fizica","5019"
"7280705312013","1953-12-23","0245 593 830","Montator, Reglor Si Depanator Pentru Aparate De Masura Electrice Si Relee","5020"
"1591116227967","1971-04-07","0722 913 889","Director Economic","5021"
"2670622114201","1918-12-21","021 286 1851","Intretinator Textile-Piele","5022"
"1000230396460","1950-01-19","0745 251 727","Finisor Textile (Vopsitor, Imprimeur)","5023"
"5530125339305","2022-10-17","0760 626 205","Producator Delegat Evenimente De Marketing","5024"
"6570923527002","1995-08-04","0257 098 546","Analist Financiar","5025"
"3410425517861","1946-06-09","0757 210 666","Tehnician Pedolog","5026"
"3850912204155","1965-03-22","0720 930 125","Tehnician Proiectant Transporturi Si Comunicatii","5027"
"8560214325015","1992-06-06","0759 151 592","Medic Veterinar ","5028"
"1920525258287","1961-04-15","0711 499 115","Tehnician Pedolog","5029"
"2181211037998","2002-05-13","0250 927 462","Lipitor Lentile Si Prisme","5030"
"8861107360823","1954-11-12","0738 962 942","Perceptor","5031"
"1711101511573","2010-02-10","0248 117 507","Instructor Auto","5032"
"6931027401303","1931-10-18","0268 929 724","Scafandru Salvator","5033"
"3360514320277","1984-10-18","0753 193 075","Dispecer Retea Distributie","5034"
"7291203464363","1965-04-22","0762 160 455","Inspector Protectie Sociala","5035"
"3760106146119","1950-02-09","0758 457 011","Presedintele Romaniei","5036"
"8461229285210","1974-07-21","0722 384 588","Director Centrul Judetean De Asistenta Si Resurse Educationale (Cjare)","5037"
"7140212065572","2007-07-20","0744 641 218","Pontator","5038"
"5470602386379","1956-03-16","0784 216 000","Consilier Inginer Industrializarea Lemnului","5039"
"3861122111043","1915-02-01","0234 790 955","Medic Expertiza A Capacitatii De Munca","5040"
"2960819271837","1957-07-25","0727 651 216","Lipitor Si Protejator Spete","5041"
"4840715326603","1916-02-10","0267 483 338","Director Resurse Umane","5042"
"2810321070869","1947-10-19","0231 737 733","Sef Birou Organizatie Politica, Obsteasca, Umanitara","5043"
"7530911220012","1930-05-06","0768 360 609","Pregatitor Lemn, Stuf, Paie","5044"
"3621016150864","1937-03-17","0253 132 399","Sef Laborator Informatica","5045"
"6680117206396","1960-04-12","0737 478 802","Conducator Intreprindere Mica ","5046"
"3020422032631","1959-06-15","0721 113 622","Desenator Film Animatie","5047"
"5151019293024","1990-02-19","0236 418 750","Organist","5048"
"2740918448177","1933-07-27","0740 374 621","Operator La Instalatii Automate Pentru Prelucrarea Topiturii De Sticla","5049"
"6260828087962","1945-08-02","0763 635 920","Asistent De Cercetare In Cadastru","5050"
"5820208155411","2011-02-16","0744 572 597","Decan, Rector, Prorector, Prodecan","5051"
"2790507331250","1938-04-16","0760 835 887","Maistru In Industrializarea Lemnului","5052"
"7460928265523","2000-07-06","0232 213 198","Inginer De Cercetare In Comunicatii","5053"
"5150220281573","1940-09-22","0759 811 055","Director Centru De Calcul","5054"
"5000906428049","1961-08-24","0748 828 079","Artificier La Lucrari De Suprafata","5055"
"7710813378382","2019-01-21","0769 110 446","Inspector Documente Secrete","5056"
"2411218357516","2012-12-08","0726 751 261","Sef Serviciu/Sef Birou Daune","5057"
"4180614373809","1934-12-15","0785 772 821","Sofer Autobuz","5058"
"1530821150846","2022-10-10","0731 449 771","Procuror Sef Birou/Serviciu","5059"
"2161210096886","1990-01-07","0748 399 108","Sef Manevra","5060"
"6291222386494","1975-03-23","0761 069 211","Editor Imagine","5061"
"8840602038581","1977-12-19","0766 384 475","Muncitor Necalificat La Demolarea Cladirilor, Captuseli Zidarie, Placi","5062"
"8831016125474","1961-07-18","0260 046 641","Bibliograf","5063"
"6410816335545","1941-12-26","0231 927 352","Operator La Sfaramarea Minereurilor","5064"
"7890516264315","1984-12-11","0239 190 282","Asistent De Cercetare In Stiintele Politice","5065"
"3710807124601","1987-12-04","0267 980 479","Dispecer Operatiuni Salubrizare","5066"
"2440730086652","2022-10-30","0732 489 000","Pilot Aeronave","5067"
"8110122221187","1931-05-19","0245 968 800","Tehnician Acustician-Audioprotezist","5068"
"6170619089888","2007-06-29","0723 082 207","Prim-Grefier","5069"
"3280613041221","1997-06-02","0248 354 085","Sef Oficiu Interjudetean Difuzare Film","5070"
"6610214525421","2000-11-05","0754 626 069","Trasator","5071"
"6860828323226","2013-09-06","0747 581 726","Arbitru Judecator Sportiv","5072"
"2931112366317","2006-01-28","0762 438 525","Director Unitati Tip Fast-Food","5073"
"1301114347366","1931-11-14","0254 405 717","Administrator Sistem Documentar","5074"
"4940307233434","1919-07-06","0728 675 249","Croitor-Confectioner Imbracaminte, Dupa Comanda","5075"
"8111212386871","1960-08-02","0264 256 241","Operator Radionavigant Instructor Aviatie","5076"
"3190107184623","2013-09-20","0234 757 129","Ghid Turism Ornitologic","5077"
"8290130403304","1954-08-27","0727 243 101","Tehnician Agronom ","5078"
"7060401153911","1953-05-19","0770 465 268","Chimist In Materiale Oxidice (Sticla, Ceramica)","5079"
"3210425085310","1918-06-10","0724 562 589","Sef Agentie Publicitate","5080"
"6580711043269","1974-05-21","0259 464 065","Operator La Confectionarea Industriala A Palariilor","5081"
"8130302307965","1924-09-16","0755 103 176","Bobinator Transformatoare","5082"
"7390423515666","1970-02-02","0233 768 334","Curatitor-Reparator Palarii","5083"
"6050924372072","2014-09-19","0788 405 358","Confectioner Cablaje Auto","5084"
"5470504025136","2018-02-25","0259 040 691","Gazda Club","5085"
"5911101360499","1965-04-15","0264 893 871","Medic (Farmacist) Director","5086"
"1570210527241","2003-11-20","0770 730 198","Prelucrator Presa Scrisa","5087"
"8260617343773","1966-06-28","0742 459 179","Asistent De Cercetare Economist In Management","5088"
"5170813033724","1960-10-13","0737 310 914","Educatoare","5089"
"4120712468531","1974-01-09","0761 010 362","Expert Receptie Investitii Industriale","5090"
"7511226526285","1961-03-09","0231 617 420","Referent Transmitere","5091"
"2520706191401","1918-12-09","0743 656 351","Cantaret Bisericesc","5092"
"5211121445541","1946-01-07","0758 076 135","Manipulant Marfuri","5093"
"3650117011475","1986-02-08","0246 476 498","Organizator Spectacole","5094"
"1140302523748","1908-11-05","0732 097 142","Muncitor Plantatii Si Amenajare Zona Verde","5095"
"6420706357358","1954-12-12","0720 778 355","Inginer Constructii Civile, Industriale Si Agricole","5096"
"5580327095821","1989-10-25","0750 267 246","Regizor Scena","5097"
"1630104399160","1936-02-28","0232 923 824","Inginer Materiale De Constructii","5098"
"6470824324916","1987-03-05","0248 137 845","Inspector De Specialitate Farmacolog","5099"
"7290213090487","1937-08-18","0756 560 108","Expert Administratia Publica","5100"
"7781024214616","1938-01-18","0780 633 705","Sef Centrala Telefonica","5101"
"4240206255503","1967-08-10","0785 153 787","Cercetator In Centrale Hidroelectrice In Ingineria Mediului","5102"
"6141226448665","1993-04-11","0256 078 715","Impletitor Papura","5103"
"8000602270512","1920-04-07","0265 589 599","Gestionar Depozit","5104"
"3231214102612","1959-06-09","0245 091 971","Inspector Scolar Pentru Implementarea Descentralizarii Institutionale","5105"
"5330205515775","1961-05-15","0736 847 712","Director Proiect","5106"
"1990923269194","1967-09-14","0265 575 101","Tipograf-Tiparitor","5107"
"6100612518056","1919-03-16","0738 517 003","Electrician Exploatare Centrale Si Statii Electrice","5108"
"3821126191613","2020-12-17","0238 390 347","Tragator Fete Pe Calapod","5109"
"8090330075591","1921-07-21","0244 852 269","Director Centru Informare Turistica","5110"
"8320117195261","1942-10-20","0238 981 135","Gardian De Inchisoare","5111"
"8260208286303","1991-06-30","0761 887 730","Tamplar Mecanic La Frezat Si Gaurit","5112"
"7160214158032","1961-04-06","0231 577 015","Inspector Documente Secrete","5113"
"1290215235312","1955-07-20","0722 554 601","Reglor Benzi Montaj","5114"
"3010716412721","1985-03-08","0731 935 699","Analist Pret De Revenire/Costuri","5115"
"4670123288235","1932-01-18","0784 840 610","Carmangier","5116"
"3790930149441","1924-02-02","0747 891 486","Agent Transporturi","5117"
"5051130340135","1968-10-08","0738 807 880","Sef Cart","5118"
"1581017414438","2000-02-17","0723 933 261","Sef Mecanic Instructor","5119"
"6011021146949","1980-07-26","0770 775 151","Specialist Imbunatatire Procese","5120"
"6660818263371","1979-07-03","0736 936 103","Cercetator In Medicina Veterinara","5121"
"1791205127506","2004-10-15","0261 826 324","Ajutor Fochist","5122"
"2510307227967","1943-06-23","0767 201 357","Cazangiu Tevar","5123"
"5251129457211","1956-06-22","0788 135 592","Operator Circulatie Miscare","5124"
"8520518343963","1910-03-21","0780 014 684","Expert Actuar","5125"
"7021213269131","2009-05-31","0250 532 924","Tamplar Manual Ajustor Montator","5126"
"1071001082574","1919-03-10","0763 906 775","Sef Oficiu Somaj","5127"
"2880814331329","1983-08-26","0242 952 578","Diriginte Santier (Studii Superioare)","5128"
"1111216125339","1953-02-07","0749 495 721","Sef Formatie Paza Si Ordine","5129"
"1480824175498","1973-08-09","0771 140 501","Controlor Poarta","5130"
"3190314309054","2013-07-16","0254 173 669","Inginer De Cercetare In Instalatii Si Utilaje Pentru Transportul Si Depozitarea Produselor Petroliere","5131"
"3070626512735","1980-07-31","0762 075 935","Montor Emisie","5132"
"2110212357069","1915-07-28","0769 951 718","Cercetator In Geografie","5133"
"4010911272651","1961-12-21","0754 032 205","Inginer Masini Hidraulice Si Pneumatice","5134"
"1520111307578","1990-02-23","0243 583 300","Muncitor Necalificat La Ambalarea Produselor Solide Si Semisolide","5135"
"7441216178589","1971-03-29","0739 857 885","Fermier In Productia Animala","5136"
"7860212156759","1954-03-24","0253 723 462","Asistent De Cercetare In Bacteriologie, Microbiologie, Biochimie, Farmacologie","5137"
"8880908111501","1915-10-02","0243 906 921","Modelor Prototipuri Auto","5138"
"8200715215817","1998-08-16","0760 836 892","Ignifugator","5139"
"5510814440109","1926-06-04","0235 688 418","Operator Meteorolog","5140"
"8721120152639","1923-08-30","0761 849 388","Fermentator Otet","5141"
"4170930278224","1957-08-29","0740 668 958","Linolist","5142"
"8410517447749","1913-07-12","0247 342 158","Inginer De Cercetare In Prepararea Substantelor Minerale Utile","5143"
"2740710418231","1929-11-23","0269 252 850","Inginer De Cercetare In Echipamente De Proces","5144"
"5140507468336","1975-12-31","0732 920 734","Operator La Sfaramarea Minereurilor","5145"
"7670324409647","1962-01-25","0747 733 052","Diriginte Santier","5146"
"3650419165891","2000-12-13","0241 085 876","Masurator De Gaze, Temperatura Si Radiatii","5147"
"2180822162943","2023-10-26","0745 606 787","Casier","5148"
"7520115160741","1994-01-27","0757 875 097","Liftier","5149"
"1080516397261","1954-07-27","0732 482 734","Regizor Studio","5150"
"8120718247132","1994-04-10","0727 617 726","Sef Licitatie","5151"
"7340517440064","1979-02-17","0248 673 433","Evaluator Asigurari","5152"
"6680605443732","2002-12-03","0238 258 595","Tamplar Universal","5153"
"8450931267965","2004-08-06","0721 047 890","Preparator Benzi Cauciucate Si Compozitii Emplastre","5154"
"8720815359625","2023-11-26","0770 310 132","Vinificator-Pivnicer","5155"
"8480424526799","2005-12-18","0732 411 423","Tragator Fete Pe Calapod","5156"
"8050518340401","2023-01-22","0758 775 717","Functionar In Activitati Comerciale, Administrative Si Preturi","5157"
"8080826353205","1977-12-27","0239 207 025","Secretar Al Organizatiilor Umanitare","5158"
"7220420120912","1930-09-29","0711 373 103","Maistru In Industria Alimentara","5159"
"4880107334843","1974-06-17","0253 736 148","Sef Complex Zootehnic","5160"
"6790125360873","1938-02-28","0768 036 836","Incleietor Placi Aglomerate","5161"
"5341021023428","1949-06-18","0234 641 868","Tinichigiu Restaurator","5162"
"3490516040637","1963-09-22","0254 083 699","Chestor Parlament","5163"
"3830624211847","1981-02-20","0240 519 092","Cercetator Economist In Economia Generala","5164"
"5180313323472","1949-01-15","0726 664 289","Telexist","5165"
"7120910201056","1947-08-18","0720 513 408","Agent Tranzit","5166"
"8070709135040","1991-11-27","0244 597 171","Organizator Prestari Servicii","5167"
"2331018394440","1985-05-16","0767 024 180","Servant Pompier","5168"
"4670402060728","1972-08-19","0740 722 371","Operator Metrar-Volator-Dublator Textile","5169"
"2990925112868","1918-05-23","0260 384 991","Analist Investitii","5170"
"3450230112757","2015-10-30","0786 948 001","Cartograf","5171"
"5101009354316","1916-07-25","0739 614 969","Muncitor Necalificat In Agricultura","5172"
"6451105147627","2019-08-06","0771 425 245","Pregatitor Si Montator Utilaje Tehnologice","5173"
"2320422046924","1956-12-05","0732 546 501","Inginer Mineralurg","5174"
"4450825194689","1971-04-02","0759 731 320","Operator Textile Netesute","5175"
"2710416143581","2002-02-28","0733 389 837","Cercetator In Demografie","5176"
"3920612392347","1925-12-05","0721 737 717","Administrator De Retea De Telefonie Voip","5177"
"3280721250991","1950-01-02","0765 457 798","Modelier Confectii","5178"
"7090225063892","1958-10-19","0242 897 202","Operator Chimist La Producerea Diverselor Produse Anorganice","5179"
"8650127101055","1910-11-01","0739 637 971","Asistent De Cercetare In Telecomenzi Si Electronica In Transporturi","5180"
"6380311435338","1919-12-31","0254 897 204","Mediator Social","5181"
"8290704345819","2002-12-08","0238 679 836","Cercetator In Metrologie","5182"
"7100922015742","1985-06-25","0233 021 836","Expert Jurist","5183"
"8440419080284","1945-07-01","0724 343 937","Administrator Bancar/Produs Leasing","5184"
"6860525121785","1972-06-24","0748 458 103","Masinist La Linii Automate Aschietoare","5185"
"3930912283645","2011-04-26","0741 493 448","Expert Accesare Fonduri Structurale Si De Coeziune Europene","5186"
"3970513298722","1969-09-23","0254 275 485","Inspector Scolar Pentru Invatamantul Special","5187"
"7760306274044","1995-05-19","0756 323 920","Confectioner Tuburi Cinescop","5188"
"4720330350786","1975-10-05","0736 325 732","Agent Literar","5189"
"7990114074977","1974-09-05","021 659 0562","Tipograf Print Digital Si Offset","5190"
"6130601254413","1977-03-23","0240 663 497","Camionagiu","5191"
"5941120048965","2023-08-08","0742 460 346","Cusator Manusi Piele","5192"
"8510614365990","1959-02-17","0269 599 944","Reglor Benzi Montaj","5193"
"6500911469176","1947-11-20","0740 716 069","Telegrafist-Sef","5194"
"3120304204981","1928-06-18","0255 073 570","Sef Atelier Telecomunicatii","5195"
"2941124375522","1929-02-11","0265 971 996","Confectioner Toroane Si Cablaje La Conductori Electrici","5196"
"8591006403028","2019-08-28","0749 254 439","Montator Electromecanic","5197"
"7480706155331","1952-05-03","0253 058 091","Lucrator Pentru Salubrizare Cai Publice","5198"
"5150403341952","1992-10-09","0788 464 540","Inginer De Cercetare In Tehnologia Substantelor Organice","5199"
"2660231293219","1934-02-16","0747 490 822","Manager De Zona","5200"
"5770820468411","1964-12-17","0245 273 743","Crescator De Animale Mici","5201"
"5880118417953","1971-03-18","0762 148 577","Preparator Invatamantul Universitar","5202"
"7900108152571","1963-09-12","0241 831 485","Inspector General Vanatoare","5203"
"1110521286875","1935-11-13","0267 525 277","Emailator","5204"
"1730915296957","1928-03-23","0748 460 921","Maseur","5205"
"3060115355293","1990-02-07","0757 168 316","Operator La Conditionarea Si Prelucrarea Plantelor Medicinale","5206"
"8620610050804","2004-09-29","0768 768 277","Presator Stuf","5207"
"3830617193695","1985-04-14","0755 109 445","Sef Unitati Miniere","5208"
"3860105320554","2018-11-13","0751 808 615","Agent Cumparari","5209"
"6141115199422","1922-03-15","0742 213 332","Sef Departament Banca/Sef-Adjunct Departament","5210"
"1100924454646","2012-09-20","0264 847 934","Vanzator Ambulant De Produse Nealimentare","5211"
"2290318177111","1924-02-06","0247 171 114","Referent De Specialitate Inginer Industrializarea Lemnului","5212"
"1050618141817","1965-04-23","0752 447 747","Mediaplanner","5213"
"3380414020841","1968-01-05","0762 108 863","Confectioner Protectie Dielectrica Pentru Acumulatori","5214"
"2210409466218","1955-09-03","0759 842 690","Cadru Tehnic Cu Atributii In Domeniul Prevenirii Si Stingerii Incendiilor","5215"
"5601104377342","1909-07-17","0741 299 583","Radiochimist","5216"
"6090218325365","2007-04-26","0734 116 917","Modista","5217"
"5010818100295","1986-11-17","0721 614 876","Decuscutor","5218"
"5940229254670","1930-12-24","0723 426 846","Multiplicator Sabloane Croitorie","5219"
"1520508186856","1962-07-06","0248 976 176","Instructor De Dans","5220"
"1790917392561","1999-04-05","0757 490 091","Presedinte Organizatie Politica","5221"
"5500927344143","1974-04-07","0249 486 774","Proiectant Sisteme Informatice","5222"
"5581115133661","1982-03-27","0240 805 389","Inginer De Cercetare In Echipamente Si Instalatii De Bord","5223"
"6940402516184","2003-04-12","0766 804 982","Electromecanic","5224"
"6500825031086","1953-01-22","0239 535 010","Vopsitor Imbracaminte Din Blana","5225"
"1730216456962","1994-03-25","0245 661 554","Expert In Securitate Si Sanatate In Munca","5226"
"5860628217927","1947-11-24","0756 989 862","Operator De Handling","5227"
"3740529114137","1917-03-17","0725 076 357","Asistent De Cercetare In Tricotaje-Confectii Textile","5228"
"3500223188810","1950-01-26","0259 698 089","Organizator Targuri Si Expozitii","5229"
"3681009307765","1966-04-25","0256 089 200","Sef Echipa Lucrari Arta Metrou","5230"
"5730704521522","2004-06-11","0256 658 242","Conditioner-Finisor","5231"
"3811003092994","2020-01-25","0771 206 655","Referent De Specialitate Botanist","5232"
"5040502221888","2020-11-07","0251 761 183","Conducator Autospeciala","5233"
"8610222522989","1981-08-03","0780 220 475","Oficiant Telefoane","5234"
"6800808161150","2002-11-09","0258 156 820","Manager De Zona","5235"
"8411014163001","1943-05-31","0764 759 026","Conducator De Intreprindere Mica ","5236"
"1850611355371","2018-01-06","0743 810 773","Director Palate Si Cluburi Ale Elevilor","5237"
"3420431291235","2022-09-18","0786 411 204","Sef Serviciu Navigatie","5238"
"3281214142671","2015-03-27","0725 013 007","Administrator Editura","5239"
"6080724067756","1918-12-20","0760 760 590","Expert Biochimist","5240"
"7850105245077","2013-11-29","0235 427 418","Preot","5241"
"5830316339229","2014-02-14","0237 743 726","Consilier/Expert/Inspector/Referent/Economist In Comert Si Marketing","5242"
"4441108078892","1988-01-10","0751 608 779","Inspector De Trafic A.R.R. (Studii Medii)","5243"
"4650607173674","1953-10-04","0242 980 306","Comisioner","5244"
"2990920350260","2022-10-29","0738 127 569","Acompaniator","5245"
"1020927140419","2002-12-07","0721 738 321","Barman Preparator","5246"
"4580631253509","1963-04-05","0727 100 938","Diriginte Posta","5247"
"3851009234458","2013-04-15","0247 947 348","Crescator-Ingrijitor Animale Salbatice Captive","5248"
"4100630439041","1934-07-23","0261 048 513","Ofiter De Punte Fluvial/Portuar","5249"
"6080307061301","1985-02-14","0728 851 235","Protectionist Silvic","5250"
"2620314067563","1923-02-07","0758 646 394","Executor Bancar","5251"
"5750315249771","1990-12-25","0262 757 570","Repasator","5252"
"4350526416931","1980-09-21","0751 047 180","Consultant Conditii De Munca","5253"
"2261114179041","1968-12-06","0751 619 128","Inginer Autovehicule Rutiere","5254"
"3510428086205","1997-10-23","0731 663 186","Pompagiu","5255"
"4410828067624","1986-03-05","0756 352 896","Sef Birou Pensii","5256"
"2030908062115","1967-09-18","0788 750 624","Secretar Parlament","5257"
"2500721339154","1986-07-08","0258 686 303","Operator Deratizare, Dezinsectie, Dezinfectie","5258"
"1510426088832","1981-11-19","0236 744 049","Sofer Autobuz","5259"
"2960823440954","2008-09-08","0752 457 734","Operator La Fabricarea Produselor Congelate De Patiserie Si Panificatie","5260"
"7211012195945","1961-03-08","0720 076 537","Preparator Napolitane","5261"
"2620703317532","1917-01-08","0724 921 071","Operator Injectorist","5262"
"7140607262106","1938-02-04","0741 003 444","Manager Tehnologia Informatiilor Si Comunicatii","5263"
"1970120511265","1954-06-01","0756 671 968","Conducator Intreprindere Mica ","5264"
"5530503225734","2020-01-10","0240 536 434","Purtator De Cuvant","5265"
"5080407091399","1915-09-05","0728 745 114","Amc-Ist","5266"
"2851213359127","1999-11-09","0740 944 930","Zidar Cosuri Fabrica","5267"
"4560228332083","2003-09-29","0244 198 081","Subinginer Electromecanic","5268"
"1270420340027","1965-11-13","0758 416 521","Muncitor Manipulare Si Pregatire Furaje","5269"
"3260621336501","1938-03-26","0729 123 442","Cusator Articole Marochinarie","5270"
"8871004061166","1994-05-30","0244 820 549","Operator Miscare Metrou","5271"
"1020828370785","1996-07-12","0252 374 287","Izolator Fonic","5272"
"1660312325914","1978-06-30","0731 502 168","Fasonator Produse Din Azbociment","5273"
"2010910114763","2000-06-13","0232 203 351","Operator Comercial","5274"
"8190514431423","2023-05-29","0734 542 544","Fiziokinetoterapeut","5275"
"8550412332141","1966-12-14","0780 452 529","Sef Centru Zonal Interventii Radiorelee","5276"
"5020407345925","2010-10-09","0256 982 493","Agent Dezinfectie, Deratizare, Dezinsectie","5277"
"3380309025894","1994-01-27","0726 845 298","Maistru Prelucrari Mecanice","5278"
"4020630105970","1955-03-02","0784 242 161","Sef Birou Industrie Extractiva","5279"
"4780605178863","1935-03-30","0759 561 882","Sef De Receptie Hotel","5280"
"8160428148313","1971-09-15","0724 488 821","Scenograf","5281"
"6281206231621","1976-09-25","0743 148 397","Cercetator In Tehnologia Celulozei, Hartiei, Poligrafiei Si Fibrelor","5282"
"5611006408065","1939-01-12","0253 188 387","Auditor De Sistem De Management Pentru Sanatate Si Securitate Ocupationala","5283"
"1400814354141","1987-03-16","0247 552 030","Cercetator In Mineralogia Tehnica Si Experimentala","5284"
"1690316375959","1982-06-08","0764 553 734","Sef Serviciu Informare Zbor","5285"
"3380306061134","1920-06-08","0742 244 977","Tehnician Protectia Navigatiei Aeriene (Comunicatii, Navigatie, Supraveghere)","5287"
"5300305224290","1961-01-13","0266 817 856","Sef Unitati Miniere","5288"
"7100204042983","1999-11-17","0772 204 771","Maestru Corepetitor","5289"
"4780925086434","1941-08-29","0739 968 778","Analist Investitii","5290"
"4420607199146","1990-11-07","0260 111 684","Confectioner-Asamblor Articole Din Lemn","5291"
"5100225145529","2008-09-30","0262 782 110","Preparator Ppf","5292"
"2230603059610","2009-08-10","0732 025 742","Decupator Lamele Din Lemn Pentru Lazi","5293"
"5820219117201","2019-03-11","0245 974 478","Facilitator De Dezvoltare Comunitara","5294"
"3770914182021","1911-03-05","0788 366 838","Inspector De Specialitate Inginer Chimist","5295"
"5510727128703","2016-09-20","0736 166 233","Decapator","5296"
"6370514130092","1969-09-23","0747 542 755","Ramar Poleitor","5297"
"8880624066472","1923-01-21","0236 991 923","Confectioner Jaluzele","5298"
"7470916304589","1950-08-18","0244 469 372","Coordonator Presa","5299"
"4070718012244","1917-11-01","0730 596 006","Operator La Instalatiile De Cazane Din Centrale Electrice","5300"
"7121119031979","1922-05-14","0724 798 723","Lucrator De Tineret","5301"
"1950620353738","1923-12-02","0236 203 166","Corespondent Presa","5302"
"3710123127345","1989-10-14","0722 681 143","Expert Matematician","5303"
"2650413086166","1942-04-20","0729 618 380","Operator Fierbator Textile","5304"
"5740212139931","1947-10-13","0788 427 715","Operator Bobinator-Dublator","5305"
"2241127225867","1952-07-16","0763 374 763","Inginer Electrotehnist","5306"
"8840502294987","1942-09-02","0755 036 133","Agent Comercial","5307"
"6930707076819","2010-10-07","0231 229 567","Operator La Fabricarea Nutreturilor Combinate","5308"
"8540316083251","1971-08-09","0232 006 432","Director/Director Executiv Conformitate","5309"
"2941020041699","1928-09-15","0726 960 944","Inginer Sisteme De Securitate","5310"
"8300329430481","2005-08-02","0752 312 314","Conducator Intreprindere Mica ","5311"
"8820926431987","1980-01-16","0752 702 685","Acordor Piane, Pianine, Orga, Tambal","5312"
"1091124127469","1919-05-17","0737 046 804","Verificator Valori","5313"
"4181209443777","1909-06-25","0753 328 200","Prajitor Minereu","5314"
"8881221418986","1994-03-19","0249 456 586","Operator La Masini De Tricotat Circular","5315"
"1790514445300","1980-04-06","0259 268 558","Confectioner-Montator Structuri Metalice Pentru Constructii","5316"
"3950913371201","1923-09-08","0738 102 378","Baci Montan","5317"
"8291126023011","2021-09-18","0735 798 257","Fasonator Calapoade","5318"
"4270827166487","1976-01-13","0238 177 887","Izolator Hidrofug","5319"
"3750202266366","1934-08-19","0780 188 965","Cercetator In Telecomenzi Si Electronica In Transporturi","5320"
"7380427036822","1966-08-29","0749 542 981","Programator","5321"
"2020227238089","2015-10-08","0752 743 258","Farmacist","5322"
"7900312400350","2006-07-18","0729 274 932","Referent De Specialitate Biochimist","5323"
"8621120330027","1986-03-24","0248 605 922","Impregnator La Innobilare Pfl","5324"
"4240428294803","1994-11-24","0764 577 089","Croitor Confectii Industriale Din Blana","5325"
"3121105149306","1919-02-11","0784 584 995","Curatatoreasa Lenjerie","5326"
"8920631361404","1970-06-05","0247 607 302","Operator La Utilaje Pentru Subtraversari","5327"
"4200407288743","1993-02-01","0247 639 072","Inginer Topograf","5328"
