first_name,last_name,birthdate,personal_number,address,phone_number,job,iban,currency,balance
Flavia,Mocanu,2014-02-24,5221004397192,"Intrarea Mariana Popescu Nr. 857, Bumbesti-Jiu, 140844",0720 806 303,Agent Turism De Afaceri,RO65NHFR4798632466063001,GIP,95446676038
Severin,Ioniță,1972-01-28,4240501294217,"Intrarea Ionescu Nr. 55, Tuzla, 978606",0764 014 067,Crescator De Oi Montan,RO50BMIX9719510764081212,GNF,95211124065
Marin,Nemeș,1969-05-15,5260312287433,"Intrarea Nistor, Zalau, 530956",0764 338 582,Organizator Spectacole,RO98EGXQ7327838473397487,TRY,74120998493
Iolanda,Ardelean,1938-04-21,4400225289615,"Aleea Nistor, Cobadin, 425344",0266 821 927,Inspector Veterinar Sef,RO11KLPL3090587851831868,BRL,4902233492
Lidia,Ardelean,1967-01-26,1300427189152,"Bulevardul Tudor, Floresti, 970504",0766 435 755,Cercetator In Metrologie,RO50XBLU1666680298888536,BWP,58990215277
Eusebiu,Diaconu,2015-04-14,5641131138101,"Strada Toma Nr. 393 Bl. 99  Sc. 37 Ap. 225, Giroc, 430178",0261 979 378,Mecanic-Montator Instalatii Cu Cablu In Silvicultura Si Exploatari Forestiere,RO58OMAB1209535850722815,DKK,12060931846
Adelaida,Nistor,1945-09-23,7740708422610,"Bulevardul Nistor Nr. 69, Huedin, 597486",0729 789 597,"Ajutor Maistru Tesator, Tricoter",RO46CJFG4035490498152731,CUC,74917297378
Cristina,Dumitrescu,1913-10-12,2360127355523,"Soseaua Georgescu Nr. 468 Bl. 13  Sc. 69 Ap. 512, Eforie Nord, 438289",0244 464 406,Inspector Preturi,RO34LVEW8352797427242404,QAR,67125551384
Roxana,Barbu,1938-06-26,3581131182257,"Bulevardul Ionescu Nr. 78, Baciu, 743788",0743 613 059,Zdrobitor Si Uleiator Textile,RO54DWAI7969093483137335,TND,30223767700
Nicolaie,Popescu,1968-04-06,8061215074237,"Intrarea Lazăr Dima, Buftea, 654196",0740 049 868,Morar La Prepararea Materialelor Pentru Acumulatori,RO81DFLE1536095414153993,BDT,7590456851
Ioanina,Dumitrescu,2005-11-15,8800603148741,"Bulevardul Stancu Nr. 368 Bl. 18  Sc. 25 Ap. 586, Roseti, 223224",0241 271 867,Preparator Ser Vaccin,RO34OKWE3217414254518738,QAR,59930729455
Călin,Mazilescu,2021-06-30,5530127439057,"Strada Matei Florea Nr. 617 Bl. 38  Sc. 86 Ap. 698, Comanesti, 863101",0769 970 340,Operator Programare,RO38XRTA5111396771168189,SLL,40950606748
Romulus,Ioniță,1927-02-15,8350920046551,"Drumul Florentina Pop, Harlau, 350521",0736 139 029,Inginer De Cercetare In Tehnologia Constructiilor De Masini,RO32FVRK5911198835416936,MYR,18283109028
Octaviana,Popa,1935-02-28,5590118024059,"Drumul Popa Nr. 54 Bl. 20  Sc. 38 Ap. 993, Barlad, 623046",0748 885 379,Confectioner Scala Radio,RO17XWCG5883618494781253,WST,6470325443
Dorina,Stancu,1948-01-21,7470110116851,"Strada Gheorghiu, Turda, 995540",0748 787 565,Constructor Linii Tramvai,RO79LMTV9220203393020715,NPR,58393382776
Isabela,Popa,1954-09-27,3490629278162,"Strada Ionescu Nr. 139 Bl. 44  Sc. 84 Ap. 875, Poienile de sub Munte, 403887",0252 949 594,Supraveghetor Jocuri (Cazino),RO05KYZP8895689809667673,NGN,40187068324
Fiona,Dumitrescu,1978-11-11,1390431415468,"Bulevardul Tomescu Nr. 859, Codlea, 531304",0761 440 432,Sofer Transport Valori Bancare,RO64JPYB7839118246890980,BMD,15156458259
Agripina,Stoica,1919-04-15,8670325011777,"Bulevardul Nistor Nr. 15, Nadlac, 584485",0262 495 093,Gestionar Depozit,RO92MSQB2848784290709212,MOP,33199676662
Bogdan,Aanei,1976-11-19,7321108440037,"Strada Niță Nr. 86, Tomesti, 190659",0234 230 814,Sef Instalatie Petroliera,RO23ZSLP0264013117921007,BAM,88330498128
Vicenția,Preda,2019-08-19,8640227261278,"Bulevardul Nistor Nr. 154, Savinesti (Poiana Teiului), 330107",0735 978 038,Tehnician In Securitate Si Sanatate In Munca,RO75IHEZ2019638110761566,UAH,93390898436
Paul,Nistor,1943-07-21,2640216296122,"Drumul Eftimie, Rasinari, 783677",0264 122 965,Inspector Cu Supravegherea Si Verificarea Tehnica A Instalatiilor,RO77EMWL7717655082608990,KGS,77163589070
Ilona,Mazilescu,1924-03-26,3230202429111,"Bulevardul Stoica Nr. 349, Fieni, 550652",0756 186 592,Inginer Emisie,RO56KBIL4789668461697910,MVR,90987386856
Caius,Nistor,1924-06-27,8530126329656,"Strada Toma, Afumati, 926605",0241 501 853,Agent Agricol,RO41IJIX2449805591053402,EGP,37687944788
Simina,Dochioiu,1923-03-29,5950207076794,"Soseaua Florea, Caransebes, 488698",0749 464 956,Probator Hidraulic Piese Turnate,RO58DDYB4035797432282862,LBP,58219347683
Aristița,Voinea,2022-09-03,3230502242121,"Soseaua Niță Nr. 982 Bl. 77  Sc. 42 Ap. 906, Tasnad, 909133",0728 115 061,Cercetator In Tehnologia Substantelor Organice,RO39RJHA8520573009024555,LRD,54429393600
Anemona,Mazilescu,2023-07-26,2860231289610,"Soseaua Ioniță Nr. 456, Stei, 255769",0753 249 663,Optometrist (Studii Superioare),RO83YKZO9045305776947378,GYD,70149691351
Melina,Tomescu,1936-09-27,5161231385310,"Strada Eftimie, Nasaud, 884903",0742 035 475,"Preparator Conserve, Legume Si Fructe",RO18WWEX6682399693146377,UAH,88096455606
Tincuța,Dumitrescu,1931-07-15,1410217282498,"Drumul Sanda Nistor Nr. 366 Bl. 75  Sc. 80 Ap. 762, Sacele, 308376",0246 647 460,Operator Albitor Textile,RO62CBXI2109517741893223,XPF,32604272564
Ilinca,Cristea,1991-06-23,2090925019949,"Bulevardul Mariana Ionescu Nr. 88 Bl. 88  Sc. 36 Ap. 188, Calan, 945806",0745 010 951,Sef Raion/Adjunct Marfuri Alimentare/Nealimentare,RO73CURG0339967661618359,HTG,22331711497
Vlaicu,Diaconescu,2023-01-24,8680317462579,"Strada Ababei Nr. 97, Valu lui Traian, 996473",0756 179 729,Operator La Instalatii De Tratament Termic Cu Procesare,RO27IPXF6702418304732702,SCR,98235451705
Pamela,Popa,1978-03-04,2430603105243,"Bulevardul Diaconu Nr. 788 Bl. 45  Sc. 88 Ap. 886, Arbore, 764517",0758 082 373,Designer Instructional,RO58DSSS8779822835371622,MYR,16741933256
Lucia,Albu,1937-01-14,8050702363413,"Intrarea Dobre, Sannicolau Mare, 480833",0729 187 303,Masinist Pentru Prefabricate Din Beton Si Beton Armat,RO77KHSC0390270588053815,CUP,56735268584
Zina,Nemeș,2005-03-04,5280914345455,"Aleea Barbu Dobre Nr. 761 Bl. 45  Sc. 61 Ap. 395, Balan, 815009",0255 509 550,Confectioner Gamalii Chibrituri,RO69UPJY3663453781626319,DOP,21294922026
Edgar,Dinu,2006-07-28,8320507016233,"Soseaua Nemeș, Cluj-Napoca, 789316",0743 911 914,Pedolog,RO35ISQR1221454543694593,MDL,48144463047
Angela,Ababei,2022-11-16,1040917148588,"Aleea Oana Tabacu Nr. 71, Floresti, 442318",0722 973 753,Spalator Covoare Innodate,RO98GFMN4452989964542755,SYP,17200766454
Tamara,Tomescu,2005-09-20,4400821268417,"Bulevardul Savina Dochioiu, Cugir, 682407",0731 345 480,Operator Imprimeur Textile,RO37KOTR6441486974239902,SDG,33943460641
Eric,Nistor,2022-08-31,8590814400215,"Strada Dima Nr. 794 Bl. 31  Sc. 74 Ap. 826, Breaza de Sus, 331313",0755 507 517,Tehnician Proiectant Electronica,RO11IGCL5483439300151505,ZMW,40665739297
Sabina,Ene,1918-10-25,8020126432604,"Soseaua Tabacu, Timisoara, 178013",0743 635 109,Inspector De Specialitate In Administratia Publica,RO23DSFC2551396454250598,AFN,29303433847
Marioara,Pop,1977-02-01,4460505439895,"Soseaua Diaconu Nr. 49 Bl. 89  Sc. 28 Ap. 784, Sacele, 455364",0763 812 134,Operator Curatare Chimica La Schimbatoarele De Caldura Cu Placi,RO36BCTQ9584492820165681,KPW,72605827840
Ștefan,Tudor,2002-02-14,6591011121883,"Soseaua Dobre Nr. 93 Bl. 56  Sc. 34 Ap. 332, Vicovu de Sus, 209889",0766 836 714,Tehnician Hidrotehnic,RO37FHLX9621445837842116,PLN,2121002704
Georgian,Dima,1972-02-26,8250518168541,"Soseaua Voicu Manole, Ramnicu Valcea, 871183",0752 059 080,Responsabil Proces,RO96VKSL3462978229969678,NIS,72857376796
Sofia,Mocanu,1909-11-26,2090311089167,"Soseaua Gheorghiu Nr. 73, Dabuleni, 571295",0767 820 432,Cercetator In Tehnologia Substantelor Organice,RO41SVMV0230051238127933,SZL,76753522310
Gelu,Ababei,1969-05-17,6970426250396,"Aleea Popa Nr. 74, Ocna Mures, 768210",0736 679 049,Tehnolog Alimentatie Publica,RO78RGCW1689189743012039,SYP,84477349240
Andrei,Ardelean,1982-12-26,2171225249654,"Bulevardul Mugur Toma Nr. 858, Balan, 104146",0751 659 754,Asistent De Cercetare In Meteorologie,RO36DBNL9825954763764621,UZS,23065634188
George,Ababei,1991-05-19,1791017454008,"Bulevardul Ababei Nr. 74, Negresti, 847579",0754 537 150,Distribuitor Presa,RO34HKBX4216597382743313,MNT,94371147413
Ioanina,Diaconescu,1916-10-07,7650403031770,"Aleea Șerban Albu, Draganesti-Olt, 242936",0267 479 853,Coordonator Productie Film,RO20DRMH8937785696527264,GYD,19078754708
Gențiana,Albu,1955-01-14,1991014025696,"Bulevardul Tabacu Nr. 522, Iernut, 132341",0756 934 950,Inspector De Stat Sef,RO69WXXP8207257624879344,UYU,10951739927
Safta,Dumitrescu,1920-01-11,5220729261362,"Intrarea Natașa Ionescu Nr. 34 Bl. 76  Sc. 87 Ap. 790, Otelu Rosu, 543413",0267 206 809,Masinist La Lame De Masini Pentru Automate Aschietoare,RO57DEYP2934222324185922,USD,89960180192
Basarab,Stan,1931-04-09,7460918362359,"Intrarea Dinu Nr. 68, Arbore, 371528",021 041 4079,Economist-Sef,RO18QXKX8708466356581061,CHF,82915798976
Daniela,Preda,1962-06-09,5710416020871,"Strada Aanei Nr. 33, Hunedoara, 838445",0260 352 251,Expert Informatii Pentru Afaceri,RO46VLRI2426694088694700,AWG,3736243189
Virginia,Dobre,2022-07-07,1781028033855,"Strada Pop, Dragasani, 180972",0786 856 093,Electrician Constructor Montator Aparataj Si Cabluri De Joasa Tensiune,RO12BRLI3102859158729589,UAH,7619441203
Lică,Dima,1929-06-27,1470424047214,"Drumul Oprea Nr. 34 Bl. 71  Sc. 72 Ap. 326, Satu Mare, 715435",0756 809 882,Revizor Cale Sau Puncte Periculoase,RO79BRUZ4707718185633368,SHP,1215999071
Bebe,Albu,1985-05-06,2590707434888,"Intrarea Diaconu Nr. 29, Calan, 601186",0757 449 014,Inginer Exploatare Instalatii Nucleare,RO11UFTC3033568842560420,CHF,48781604322
Emanuil,Manole,1913-10-14,6461021524646,"Bulevardul Voinea, Cobadin, 463685",0233 867 107,Sora Medicala Sefa,RO63HIPO3962530770615898,PLN,10653539723
Doriana,Suciu,1944-08-12,4491206359788,"Drumul Ștefania Ababei, Giroc, 468423",0725 606 831,Conferentiar Universitar,RO09CREQ7694567675449942,BAM,54826661406
Luana,Cristea,1995-05-31,4261228393021,"Aleea Preda, Alexandria, 463994",0722 008 744,"Asistent De Cercetare In Gestiune, Contabilitate, Control Financiar",RO77QFZR5963109048629996,DZD,30934143000
Elodia,Tudor,1976-12-25,7101207214141,"Intrarea Popa Nr. 78 Bl. 15  Sc. 94 Ap. 865, Nadlac, 848435",0239 607 031,Operator Transport Si Distribuire Butelii De Gpl,RO08WQSQ2528806686366909,MDL,88855663784
Doina,Ene,2020-09-25,4420830109233,"Strada Dinu, Videle, 650605",0772 496 870,Asistent De Cercetare In Stiinta Materialelor,RO61QBYI2792150537920967,IMP,47495768175
Sergiu,Nistor,1924-04-23,3490331276022,"Aleea Nemeș Nr. 491 Bl. 76  Sc. 97 Ap. 965, Husi, 945343",0266 934 994,Grafician Industrial,RO23SNLM5891676382496323,BHD,87813105454
Lelia,Ababei,1971-11-08,3570112366702,"Aleea Vlaicu Suciu Nr. 14, Macin, 695785",0730 173 464,Director Imagine,RO98YAVF8394625626381705,MRO,64345198638
David,Popa,1910-01-08,5330101323291,"Soseaua Ioniță, Giroc, 943607",0730 907 918,Operator Radio-Radioficare,RO66MHCE2533355925828912,TND,5623935934
Ilarie,Florea,1916-08-06,6900830521441,"Intrarea Stoica, Borsa, 534314",021 623 2664,"Sef Serviciu Organizatie Politica, Obsteasca, Umanitara",RO49MILJ0392970305526812,VND,8939873598
Teodor,Gheorghiu,1929-05-08,6310308011019,"Soseaua Rafael Diaconu Nr. 370 Bl. 38  Sc. 44 Ap. 137, Caracal, 190807",0754 013 362,Cercetator In Tehnologia Compusilor Macromoleculari,RO13KGFN1721152148482970,INR,63906819409
Horia,Pop,2020-01-31,4480808111038,"Intrarea Dumitrescu, Nadlac, 107415",0735 077 733,Asistent De Cercetare In Electronica Aplicata,RO21LOAB7494786608080755,RSD,84088189328
Timotei,Dinu,1931-06-08,1390618183432,"Bulevardul Ionescu, Curcani, 480209",0750 623 168,Electrician De Intretinere In Constructii,RO27CDUT0672169170444050,BGN,13041010625
Silvian,Florea,1979-10-30,8180218416171,"Bulevardul Diaconu Nr. 98, Seini, 144345",0723 800 980,Garderobier,RO31EVBY4529235949524300,JOD,4513239756
Beniamin,Aanei,1974-12-10,1100230152015,"Bulevardul Anghel Eftimie Nr. 71 Bl. 76  Sc. 81 Ap. 621, Sangeorgiu de Mures, 761204",0724 756 236,Moasa,RO95BRDY8662933109040446,BMD,31772361060
Renata,Dumitrescu,1984-11-15,6691018246473,"Bulevardul Albu, Gheorgheni, 935857",0241 804 433,Confectioner Fitile,RO82CUGB5433235155663878,BAM,43149806541
Corina,Nemeș,1993-03-08,6240413081777,"Intrarea Tudor Nr. 62 Bl. 59  Sc. 64 Ap. 179, Giarmata, 743810",0256 212 129,Cercetator In Arheologie,RO35XYBF0769973308424306,GNF,76029156626
Carol,Ababei,1993-01-10,2970602176299,"Soseaua Nemeș Nr. 65, Roseti, 737106",0731 589 068,Cercetator In Demografie,RO52UNWB5619858603152840,CVE,29179774949
Florin,Stancu,1988-02-20,6851115108508,"Strada Mazilescu Nr. 997 Bl. 76  Sc. 58 Ap. 700, Vulcan, 414670",0247 177 244,Montator Placaje Uscate,RO18PQBY1770662292775502,ZWD,37228405103
Ștefana,Stănescu,1935-05-31,7840214346821,"Strada Gheorghiu, Fieni, 186023",0766 476 011,Editorialist,RO33FCKZ2025930356766213,SZL,52940199513
Mărioara,Popescu,1920-09-22,3080426236031,"Strada Beniamin Pușcașu, Suceava, 493654",0724 829 605,Operator Confectii Imbracaminte Din Piele Si Inlocuitori,RO23BGTX0875361456968583,KWD,8601203407
Edmond,Suciu,1962-04-03,3391231414711,"Bulevardul Octavia Nistor, Dumbravita, 551379",0263 212 088,Operator La Fabricarea Detergentilor,RO85QEJP8104796283394228,GHS,92682964610
Teodor,Dobre,1958-01-12,8730706246806,"Soseaua Vicențiu Barbu Nr. 228 Bl. 44  Sc. 72 Ap. 766, Copsa Mica, 271189",0722 870 036,"Gaterist La Taiat Blocuri De Piatra, Marmura",RO24SRZF3616374170265073,ERN,16964812125
Olga,Oprea,1946-08-02,5481216526236,"Intrarea Dima Nr. 15, Falticeni, 735617",0755 768 294,Evaluator,RO25HOER2338058988087402,KYD,66869362159
Janina,Niță,1945-02-22,7640425407397,"Bulevardul Nicoară Dinu Nr. 63, Boldesti-Scaeni, 803801",0240 343 928,Rectificator Universal,RO35LTNI1360398096443012,ERN,70240981271
Simina,Manole,1922-05-04,4760718320475,"Aleea Tabacu Nr. 189 Bl. 33  Sc. 27 Ap. 278, Siret, 448576",0743 819 237,Proiectant Inginer Electronist,RO32ZAVW4539406291033208,RUB,10503695311
Vasilică,Toma,2018-09-22,5931221369031,"Strada Pop Nr. 186 Bl. 89  Sc. 82 Ap. 424, Seini, 705368",0240 294 996,Comandant Detasament Zbor,RO16CKQI8479802498184970,KHR,48054139838
Raluca,Ardelean,1996-05-16,8800522445293,"Aleea Florian Marin Nr. 560, Deta, 645926",0747 640 832,Manager Achizitii,RO71DMHA4300121829949242,HTG,47778977524
Ortansa,Stancu,1986-12-12,5771101319841,"Bulevardul Gheorghiu, Buzau, 592294",0245 701 573,Sef Formatie Cercetare-Dezvoltare,RO03CUCY6735334937135531,UZS,83643720494
Aurică,Tabacu,2017-03-01,3050913405297,"Drumul Consuela Dumitrescu Nr. 369, Agnita, 997505",0732 566 131,Manager Financiar,RO67OVJB4470447276687215,BYR,70386831019
Zenobia,Oprea,1996-11-17,7080111245753,"Soseaua Dobre, Fieni, 171937",0245 235 979,Acompaniator,RO09LXCE2361615432989403,AZN,18579092139
Albert,Dima,1991-04-08,1330701376050,"Drumul Dima Nr. 705, Domnesti, 136525",0733 047 250,Asistent De Cercetare In Pedagogie,RO22BGRC8978678953380005,CVE,92275586377
Sabin,Ioniță,2005-01-12,5480516384587,"Soseaua Zaharia Eftimie Nr. 23, Savinesti, 777186",0772 666 216,Agent De Schimb,RO32VWDX9815477200455663,CUC,19795326488
Eric,Tabacu,1914-04-05,8500412094742,"Strada Didina Preda Nr. 351, Calan, 887475",0733 570 414,Asistent De Cercetare In Metalurgia Neferoasa,RO77AXCG1997875896450789,UZS,97923565427
Demetra,Ioniță,1958-10-05,1851003031138,"Aleea Timea Suciu Nr. 17 Bl. 78  Sc. 34 Ap. 164, Zimnicea, 181068",0731 502 850,Circularist La Taiat Lemne De Foc,RO35OGTG1762457386113616,KWD,18671881526
Adelina,Dinu,1925-01-12,4990904218759,"Strada Amedeu Ene Nr. 269 Bl. 36  Sc. 40 Ap. 752, Floresti, 353396",0748 066 946,Laminator,RO93WKEM2996348685000319,GGP,8577311856
Amanda,Pop,1916-06-10,4571005450209,"Aleea Niță Nr. 40, Buftea, 340669",0725 945 570,Confectioner Sabloane Si Cilindri De Imprimat,RO64QMRA5563098338870621,LKR,9335484697
Eufrosina,Dumitrescu,1995-07-19,2060411041285,"Drumul Stănescu, Sannicolau Mare, 475047",0237 231 076,Impregnator-Uscator Chibrituri,RO95BRGB0688898450141191,MZN,21433328354
Cezara,Suciu,1939-06-08,7690325218319,"Soseaua Alexandra Oprea Nr. 899, Lunca Cetatuii, 959735",0263 606 972,Pescar In Ape Interioare Si De Coasta,RO06AHXW3901403882191762,JPY,62566985543
Ana,Dima,1992-03-20,5760505358579,"Drumul Oana Toma, Peris, 697146",0753 506 229,Etaloner,RO50BSQU5606842497210427,AFN,95408130236
Eusebia,Nistor,2020-11-30,3520603410907,"Intrarea Marin, Buftea, 873015",0244 339 502,Lucrator Operativ Pentru Autocontainere,RO72LVPU2318473136072558,NOK,56880696385
Florentina,Preda,1937-10-22,4690418192742,"Strada Geanina Suciu Nr. 55 Bl. 99  Sc. 58 Ap. 465, Valea Caselor (Dragasani), 478925",0246 805 395,Sef Vagon Postal,RO82LIFU7598962852316780,ZMW,32681946441
Melania,Dobre,1987-05-09,5410602331243,"Bulevardul Niță Nr. 50 Bl. 19  Sc. 78 Ap. 978, Odobesti, 795207",0711 499 628,Topitor In Si Canepa,RO30GYJB3157312850857064,CLP,6344180426
Geta,Eftimie,1971-02-20,3930903213975,"Strada Niță, Ploiesti, 166620",0731 952 846,"Tehnician Programare, Lansare, Urmarirea Productiei",RO17NAVM5318873545886743,DOP,14115966987
Gabriel,Ababei,1959-06-24,5111004372012,"Strada Marin Nr. 624 Bl. 33  Sc. 77 Ap. 539, Targu Secuiesc, 536197",0723 610 879,Electrician Echipamente Electrice Si Energetice,RO22OHLQ2389782867252967,TZS,55893867864
Costel,Mazilescu,1942-11-29,3610409296699,"Bulevardul Lucențiu Diaconescu, Braila, 578912",0235 651 724,Crescator-Ingrijitor Animale Salbatice Captive,RO19AVMI0434677538645908,MKD,75657544679
Betina,Gheorghiu,1987-11-07,5430524230182,"Bulevardul Tabacu, Craiova, 387065",0770 900 472,Preparator In Industria Chimica,RO79YDQN3314545324034096,TJS,95650484607
Robertina,Stoica,1918-06-29,3350315351411,"Aleea Nicuță Voinea Nr. 663, Simeria, 912933",0788 573 804,Designer Grafica (Studii Superioare),RO87XPLN7437349322616904,PHP,69725178932
Dumitru,Dumitrescu,1924-06-08,7820201084663,"Aleea Voinea, Alesd, 392709",0241 112 963,Psihopedagog,RO54GNVV5324656478469742,LRD,98328537427
Florica,Preda,1975-02-03,3621213250569,"Aleea Suciu, Barbulesti, 839565",0235 323 448,"Vicepresedinte (La Inalta Curte De Casatie Si Justitie, Curtea De Apel, Tribunale Si Judecatorii",RO64YNUR9848840550567468,IMP,6287252024
Florica,Pușcașu,1945-04-12,3891121288182,"Strada Cristian Dobre, Mihail Kogalniceanu, 217352",0248 703 812,Pictor Decor,RO15HSLO8525268051379893,TJS,98437545061
Francesca,Nistor,2005-04-26,8201127112366,"Strada Lioara Stancu, Cluj-Napoca, 813484",0724 245 678,Analist Investitii,RO94NQFY7889851478053395,BND,3136316722
Irinel,Preda,1956-05-03,2300230167075,"Drumul Anișoara Stoica Nr. 643, Siria, 877103",0740 966 223,Intermediarist Film Desene Animate (Studii Medii),RO87VXES9312648245747840,VUV,66772065998
Crin,Popescu,1974-06-22,6571128288941,"Aleea Cipriana Dumitrescu, Satu Mare, 423062",0259 329 918,Probator Hidraulic Piese Turnate,RO85YMVL4930726184776955,KMF,29867556063
Marius,Dinu,1911-10-28,7881210106789,"Intrarea Oprea Nr. 803 Bl. 46  Sc. 45 Ap. 730, Sadova, 750372",0711 897 355,Sef Serviciu/Sef Birou Daune,RO78JXHC4979689770382076,AWG,15427192542
Dinu,Stoica,1986-11-26,6070814083948,"Intrarea Cristofor Pop, Pascani, 314532",0758 344 741,Preparator Ulei De Copite,RO18PEEH8690583893216640,PGK,95483838663
Alida,Eftimie,1939-04-14,6900811047921,"Intrarea Ababei, Simeria, 562146",0747 411 641,Referent Tir Si Tranzite (Studii Medii),RO92WXFV2625477025256056,BBD,45534417303
Sorina,Stancu,1928-03-23,2311227378131,"Intrarea Pompilia Dinu Nr. 13, Deva, 265468",0765 463 033,Consilier/Expert/Inspector/Referent/Economist In Management,RO17SYHG0674125150698105,UAH,12318874061
Steluța,Stancu,1946-01-13,6271119161575,"Bulevardul Stănescu Nr. 398 Bl. 46  Sc. 20 Ap. 881, Amara, 799081",0758 877 763,"Uscator, Aburitor Material Lemnos",RO48BUFI3192305648070471,PYG,301464910
Antonia,Diaconescu,1925-12-22,1990812411211,"Bulevardul Preda Nr. 673, Suceava, 788537",0753 741 789,Comandant Detasament Zbor,RO82PIPZ3154331231566395,THB,41900508480
Larisa,Oprea,1997-11-08,3100220309537,"Aleea Cristofor Mocanu, Giarmata, 571536",0264 420 188,Judecator Inspector,RO71ZISY5276243831413171,AZN,51841286068
Mihail,Dobre,1948-01-23,8211026362689,"Drumul Nistor Nr. 58, Ramnicu Valcea, 662911",0243 533 316,Mecanic Camera Filmare,RO47HLBF7821252761786626,NOK,23697875391
Liana,Popa,2015-05-03,1790721214126,"Bulevardul Manuela Cristea Nr. 59, Intorsura Buzaului, 559140",0786 156 503,Bioenergetician,RO35KBER9642116692251552,BYR,28480818216
Silviana,Ardelean,1955-12-20,2960730301454,"Drumul Suciu Nr. 27, Barbulesti, 736883",0721 687 370,Consilier Afaceri Europene,RO59PKWQ2731421453040441,MZN,18754749689
Adelaida,Dumitrescu,1976-07-08,6840120228534,"Aleea Toma Nr. 73, Harlau, 565972",021 713 5356,Nutritionist Si Dietetician,RO17RTJG5735439548467980,STD,73487981165
Victor,Mazilescu,1928-05-19,7140724022163,"Bulevardul Ionescu Nr. 18, Greci, 740440",0786 997 888,Preparator Email,RO59LLEA1981285927120500,QAR,14412693455
