first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency
Adelina,Voinea,7460116365941,1975-04-28,"Soseaua Oprea Nr. 64 Bl. 24  Sc. 30 Ap. 616, Caracal, 352074",0238 050 239,dd:93:8e:40:e9:e2,25.255.11.57,RO45KNXH3207863757220430,BWP
Mădălina,Tomescu,2270622283697,1974-12-31,"Soseaua Nistor Nr. 65, Curtici, 652579",0239 821 404,be:7f:34:9e:9f:c8,36.97.146.141,RO47QIDQ9663982773126771,LTL
Emanuela,Diaconescu,4211009295825,2014-11-26,"Strada Dumitrescu, Bolintin-Vale, 237240",0754 770 477,66:ef:ab:45:dc:90,48.163.61.147,RO16XFOK8994934568194155,MGA
Mariana,Tomescu,6030530092333,1943-09-08,"Strada Ludmila Barbu Nr. 300 Bl. 50  Sc. 53 Ap. 581, Turnu Magurele, 116072",0233 509 485,e2:d1:30:af:79:86,11.138.51.142,RO78FLUY6054115524834641,RUB
Angela,Mazilescu,8260820094982,1988-10-01,"Drumul Manole Nr. 925, Sfantu Gheorghe, 754838",0785 595 013,61:68:64:ba:01:f2,74.211.35.19,RO97CSOG4833497707972918,BIF
Sergiu,Eftimie,7610928397939,1933-12-03,"Drumul Nistor Nr. 884 Bl. 23  Sc. 84 Ap. 211, Cudalbi, 663904",0269 298 718,ad:d8:fa:88:53:61,187.70.182.196,RO23SOYR0146655582964169,ZWD
Bănel,Ionescu,2720518368459,1941-09-09,"Bulevardul Popa Nr. 272 Bl. 35  Sc. 84 Ap. 671, Tuzla, 481605",0721 116 182,15:f5:3a:a5:be:7a,67.150.240.87,RO47WPTB6025502534204189,NAD
Cristobal,Ababei,1590324518750,2010-08-06,"Intrarea Toma Nr. 480, Eforie Nord, 745315",0732 660 954,ba:c0:3b:dd:17:68,201.191.206.228,RO57WWUI3703479321544731,MZN
Andreea,Marin,5990931521335,2014-12-31,"Intrarea Ionescu Nr. 43, Valea Caselor (Dragasani), 591289",0738 864 167,78:8a:0a:38:b8:17,67.28.150.163,RO45DMFZ3499027123738076,PAB
Andrada,Aanei,3760830430558,2013-02-06,"Strada Barbu Nr. 11, Domnesti, 926289",0729 937 602,7c:f3:5e:56:33:0f,6.228.150.75,RO69GEQG4217965603001589,LSL
Inocențiu,Stănescu,6831228153549,1975-04-22,"Aleea Barbu Nr. 18 Bl. 90  Sc. 20 Ap. 304, Beclean, 322305",0740 005 834,33:fa:40:73:6c:76,207.224.36.120,RO68XVFO4227010084777690,BMD
Alexandrina,Georgescu,8490320183098,2023-03-30,"Soseaua Ioniță Nr. 32, Tudora, 367496",0786 456 007,86:9e:43:cd:e2:8c,180.89.65.27,RO21UUME7974635296416335,EGP
Stela,Dobre,7940415405178,1969-04-19,"Strada Mocanu Nr. 134, Negresti, 927535",0238 865 186,db:4b:e7:8a:82:b1,199.171.147.33,RO85CLVT0864937416498822,RUB
Laurențiu,Albu,3390818216151,1937-09-14,"Strada Eftimie Nr. 544, Afumati, 621873",0750 027 272,8e:7e:c3:2c:d1:e1,119.130.9.209,RO19TNHK6522549488070511,QAR
Sorina,Niță,8740805297301,1956-05-11,"Intrarea Albu, Lupeni, 904458",0736 429 677,30:cf:3a:c8:44:71,53.164.159.196,RO33XENK3126540836133992,USD
Casiana,Aanei,2070308456659,1980-12-24,"Drumul Preda, Fieni, 742695",0248 293 969,7f:45:6f:03:7f:6f,15.163.18.39,RO07RPSK6840172040761061,ILS
Fiona,Manole,7230825391072,1941-11-12,"Strada Tabacu, Vladimirescu, 656262",0788 319 786,cd:ba:a0:42:56:f4,72.255.74.136,RO49OAQK9447222688333523,INR
Bianca,Dima,6430212071838,1926-03-12,"Aleea Nemeș, Timisoara, 185026",0761 465 685,83:53:71:92:82:89,28.190.177.132,RO16XEPL4078453937778978,PGK
Minodora,Stoica,5630111310267,1947-11-01,"Aleea Voinea Nr. 98, Tandarei, 628463",0747 352 375,7c:41:c7:ed:41:f9,212.102.242.29,RO66GPNK0468177762501614,UYU
Sabrina,Oprea,7190514430307,1953-05-21,"Drumul Aanei, Dancu, 488386",0253 873 781,1f:43:6a:a5:e5:73,190.198.226.46,RO77VOLG7076209483114147,XDR
Dacian,Florea,5300728285521,1916-08-06,"Drumul Preda Nr. 569, Medgidia, 420753",0248 760 372,85:ad:39:58:ee:88,68.59.190.169,RO28YSNA5150460776541001,FKP
Paulina,Stănescu,3080704148380,2006-10-05,"Aleea Oprea Nr. 55 Bl. 86  Sc. 88 Ap. 143, Cajvana, 551608",0246 575 910,8d:41:e6:be:92:3f,218.12.43.186,RO68ODUY6309003763586791,UYU
Emanuil,Manole,1820625193538,2013-10-25,"Intrarea Oprea Nr. 371, Sangeorgiu de Mures, 372441",0760 984 262,44:8b:be:42:b6:e2,106.127.84.197,RO69DZBC9710074340139655,CDF
Gheorghiță,Voinea,7690612348101,1950-04-26,"Strada Vera Tomescu Nr. 84 Bl. 33  Sc. 87 Ap. 705, Ludus, 619635",0745 712 258,a5:cf:44:99:6b:a8,56.14.92.193,RO14IJCK0942315838600446,TOP
Alin,Pușcașu,8090218437786,1960-03-27,"Intrarea Aurel Toma, Peretu, 419425",0236 747 119,ed:04:87:d4:0c:72,199.61.123.22,RO26MUYU0826487303808541,KES
Ana,Toma,4370516403542,1946-03-21,"Drumul Evelina Pop Nr. 26, Moisei, 117226",0735 444 639,5d:b7:85:d4:7f:6a,197.59.80.247,RO66ILFV0400988653634012,INR
Doina,Dinu,4560601457473,1987-08-17,"Aleea Barbu Nr. 51, Dancu, 496328",0237 633 411,ac:52:25:33:79:4a,193.252.208.37,RO78SYWC6271114348604807,NAD
Marian,Pușcașu,5780324068799,2019-09-03,"Drumul Alex Albu Nr. 583, Bistrita, 944136",0233 214 447,65:ca:0e:45:e8:71,185.151.202.92,RO95OKRF6557229449643727,XPF
Aurelian,Oprea,3540120514504,1991-03-24,"Strada Dobre, Gherla, 250155",0767 706 067,35:4b:09:8a:7b:90,33.125.19.255,RO24EKKU9819488405456382,KHR
Isabela,Dochioiu,6780404041825,1972-11-23,"Intrarea Diaconu Nr. 80 Bl. 43  Sc. 25 Ap. 384, Sighisoara, 105382",0255 987 077,ef:ac:ec:2a:7b:6f,172.226.57.206,RO53VKKU4777258698672136,NAD
Olimpian,Stan,4360125455489,1920-11-18,"Intrarea Aanei Nr. 35 Bl. 60  Sc. 24 Ap. 228, Campulung Moldovenesc, 677423",0780 326 960,e4:5d:ff:c3:25:d2,50.180.224.58,RO95WGEM4579182869868918,TVD
Radu,Dinu,3360425462770,1967-01-10,"Strada Preda Nr. 534, Buhusi, 667748",0241 660 369,24:da:3b:99:76:e1,203.141.211.166,RO59WGIX4845963151117068,COP
Șerban,Pușcașu,2350210164311,1959-02-19,"Intrarea Andrian Ioniță Nr. 867, Marghita, 476270",0267 675 552,28:88:de:92:92:59,3.161.88.102,RO56OCGV2528383756759302,GTQ
Leontina,Georgescu,5570202090859,1933-11-05,"Aleea Ionela Dobre Nr. 35 Bl. 67  Sc. 17 Ap. 598, Tandarei, 196717",0256 214 502,53:3e:03:07:bd:66,57.244.134.165,RO27QPXQ1838993847867865,UGX
Aristide,Albu,2220621030967,1920-05-23,"Strada Pop Nr. 12 Bl. 12  Sc. 69 Ap. 441, Cobadin, 412457",0233 816 064,35:49:e7:00:5c:67,15.169.189.69,RO13ZPHH8460731143705885,VUV
Margareta,Nistor,8760528184781,1937-04-09,"Strada Cristea Nr. 14, Tufesti, 440547",0768 274 570,01:fa:d1:e6:2f:7a,85.252.15.68,RO92CTVF1611883441866990,CAD
Norica,Gheorghiu,7771130038168,2015-01-22,"Intrarea Eftimie, Breaza de Sus, 744609",0743 952 756,1b:8a:91:c4:eb:2c,89.241.85.132,RO49BMCG1349594019787946,SBD
Agripina,Ababei,5610911201868,1946-01-29,"Soseaua Ionelia Ardelean Nr. 874, Strejnicu, 320729",0722 162 152,35:c5:ef:91:b8:d1,157.208.36.170,RO20UGHN6090729142049637,INR
Rafila,Tudor,7280127428176,1975-09-13,"Drumul Eftimie, Caransebes, 945895",0753 031 672,2c:59:a4:cc:79:52,178.8.136.211,RO58ZZEN9141506552145519,GEL
Nicoară,Marin,3320708268145,2005-03-21,"Aleea Ducu Ioniță Nr. 46 Bl. 80  Sc. 65 Ap. 169, Gugesti, 482908",0750 526 522,77:57:de:73:0f:1f,52.32.5.120,RO54BVSM5011577951904413,AUD
Olivia,Niță,4081124022964,1956-05-19,"Drumul Olimpian Pușcașu Nr. 47 Bl. 31  Sc. 25 Ap. 392, Sighisoara, 145254",0765 168 698,ec:a9:24:c8:ed:e8,176.90.206.23,RO19PFGC6097206486509236,BHD
Niculiță,Cristea,7840413045353,1970-10-24,"Aleea Tabacu Nr. 35 Bl. 27  Sc. 30 Ap. 197, Gugesti, 382352",0233 807 762,1c:29:47:23:e2:4f,75.20.30.71,RO06JADD5692248939258955,OMR
Codruț,Manole,3331122413730,1997-06-06,"Intrarea Daiana Pop Nr. 171 Bl. 47  Sc. 61 Ap. 741, Nasaud, 174500",0750 145 775,d2:6d:13:29:1a:57,162.160.110.60,RO62YURO2987963268141711,TWD
Catrinel,Dumitrescu,5601031028947,1974-09-25,"Soseaua Emanuel Aanei, Jilava, 837552",0740 120 292,ea:63:93:49:c6:db,64.207.184.204,RO47PKPU6522442953755567,TND
Carol,Niță,3060801105094,1990-04-01,"Drumul Oprea Nr. 69 Bl. 64  Sc. 57 Ap. 646, Segarcea, 898616",0760 168 077,29:6b:e8:58:cb:67,23.118.234.66,RO06ZSHZ7027093772353653,THB
Stela,Ardelean,1630421158561,2003-12-24,"Soseaua Dochioiu, Zarnesti, 384709",0730 800 947,0a:fa:4c:07:2f:99,198.15.229.252,RO56YVDH7503900132134318,SZL
Tudosia,Aanei,5440209047511,1993-02-05,"Aleea Claudiu Preda, Targoviste, 557312",0759 117 445,89:b9:d8:f0:09:ac,194.73.52.19,RO66JUVE1157994093496245,KZT
Vanesa,Gheorghiu,4481206048541,2001-09-25,"Soseaua Stancu Nr. 99 Bl. 92  Sc. 43 Ap. 836, Sacele, 654215",0239 112 896,d7:5c:35:55:c4:3d,153.117.107.153,RO46ZUNA6489220868907778,KYD
Lucențiu,Florea,2791207221621,1926-10-28,"Soseaua Ionescu Nr. 627, Huedin, 961945",0748 292 597,1f:3b:c5:88:0a:0e,157.195.109.86,RO69RCXK5752533615418062,TZS
Geta,Toma,8010122146980,2010-02-02,"Strada Pop Nr. 55 Bl. 41  Sc. 40 Ap. 859, Corund, 678007",0234 229 394,4b:f0:49:67:bc:d2,65.179.196.51,RO64PRDY7129345811703931,TVD
Lidia,Georgescu,3600813208967,2018-03-17,"Intrarea Niță Nr. 410 Bl. 18  Sc. 71 Ap. 259, Dej, 281478",0244 651 778,7d:ef:96:75:b4:bb,145.47.91.83,RO33LGUR7750650805677023,MXN
Voicu,Aanei,7400211176828,1939-07-24,"Bulevardul Marin Nr. 57, Blaj, 801199",0245 637 110,a1:32:30:8b:95:36,37.115.241.50,RO96UFAY6314485551458711,ISK
Dana,Tudor,2051214251410,1954-12-10,"Strada Suciu Nr. 147, Ramnicu Sarat, 976155",0739 178 717,50:54:2b:2b:69:5e,142.21.206.131,RO68HYWK4657297748296449,NGN
Speranța,Toma,8970325057565,1980-08-30,"Bulevardul Dinu, Pecica, 567683",0245 086 262,b5:84:5c:e8:99:11,166.74.141.186,RO13SIBH5436697598232972,ETB
Dorina,Niță,3681115528603,1914-04-03,"Soseaua Pușcașu Nr. 64 Bl. 41  Sc. 60 Ap. 729, Huedin, 405687",0238 597 336,22:f5:5f:6d:05:ee,144.234.18.195,RO93PBSP3275502172573280,ANG
Norica,Niță,1820325387800,1975-07-06,"Soseaua Tabacu Nr. 75 Bl. 60  Sc. 66 Ap. 375, Curtea de Arges, 822753",0250 437 422,df:f2:be:3d:9c:5b,8.152.71.202,RO27NPHY4991113476160619,AWG
Iosif,Pușcașu,6260607288583,1939-07-08,"Bulevardul Eliza Dumitrescu, Bailesti, 526077",0743 341 354,94:fd:e6:e0:e8:94,155.121.104.42,RO93CCRY7744611807283269,GGP
Tamara,Toma,2030203415893,1932-06-20,"Intrarea Nemeș, Fetesti, 166315",0253 256 282,c5:17:f5:d2:18:a8,153.2.133.81,RO06JFJK6493679218234510,PGK
Zamfira,Georgescu,8921120265022,1915-12-25,"Intrarea Ardelean Nr. 83 Bl. 86  Sc. 57 Ap. 792, Iasi, 722945",0248 946 275,8f:4f:bb:cf:1b:65,92.249.138.89,RO84JSCX3087909993703911,KMF
Semenica,Preda,7300204335275,2003-05-02,"Aleea Despina Oprea Nr. 17, Sighetu Marmatiei, 107400",0723 382 200,22:f7:3f:ff:01:2c,99.143.66.201,RO12YQHQ1837862626766170,KMF
Viviana,Dima,6891209274372,1965-01-28,"Intrarea Voinea Nr. 452, Intorsura Buzaului, 526242",0722 796 683,e2:e2:62:fd:b8:29,207.119.128.2,RO74MXFC8266091059443185,RUB
Anda,Marin,1671102025634,1982-03-28,"Drumul Stancu, Cudalbi, 222713",0769 424 766,42:64:a0:75:08:92,60.167.105.194,RO73HLKG6211088642150479,GNF
Alexandrina,Ababei,8020225037163,2002-12-05,"Aleea Decebal Popa Nr. 87 Bl. 49  Sc. 83 Ap. 477, Santana, 384039",0734 413 383,a5:31:34:50:32:07,39.74.159.70,RO19UEBT9994041777673094,PAB
Mirabela,Nemeș,2271016290722,1974-07-26,"Strada Toma Nr. 715, Intorsura Buzaului, 142162",0733 504 908,6e:d4:e2:9b:43:96,198.30.202.48,RO33EEAX3888873895173916,THB
Erica,Cristea,2730525017022,1959-12-23,"Aleea Amedeu Manole, Baia Mare, 730488",0747 734 417,be:1b:02:6d:0b:2b,191.171.52.179,RO92IDAD0337878467544296,GEL
Radu,Pop,1931121012687,1990-11-28,"Intrarea Pușcașu, Arad, 697117",0236 775 719,90:3a:2e:54:db:7c,110.129.237.229,RO51PLMU3316831238696737,WST
Vera,Tabacu,8961002452014,1921-11-11,"Bulevardul Albu Nr. 233, Tomesti, 804814",0771 930 333,ca:12:c8:e8:3b:d3,110.108.2.111,RO11KCFX4253308906970799,UZS
Lia,Oprea,4981026319129,2008-06-24,"Soseaua Ionescu Nr. 86 Bl. 41  Sc. 90 Ap. 591, Galati, 418172",0768 564 017,62:cd:04:af:44:56,103.43.8.242,RO22AUUC7028488612644683,TMT
Simi,Barbu,5100809414133,2019-04-13,"Drumul Norica Mazilescu Nr. 81, Ianca, 554709",0732 645 569,a0:33:58:a8:85:6a,188.8.124.20,RO52SISS7730066442995029,ZWD
Larisa,Stancu,3020217418047,2002-07-07,"Intrarea Albu Nr. 419, Cobadin, 772665",0760 478 765,3f:72:d3:57:85:e3,9.32.104.208,RO60JOTE5334475591156519,NPR
Tatiana,Tomescu,3670628189208,1977-10-17,"Soseaua Albertina Barbu Nr. 985 Bl. 61  Sc. 64 Ap. 307, Fundeni, 461048",0732 653 131,18:c5:d7:aa:77:be,38.169.242.18,RO97ODSX7056767089615683,BBD
Cătălina,Pop,2260723203507,1933-03-02,"Intrarea Doriana Niță Nr. 85, 1 Decembrie, 915531",0251 335 704,83:c4:1c:68:e2:76,69.212.55.141,RO02POTM5201730344171945,CRC
Antonela,Nistor,6960908039393,1915-12-14,"Bulevardul Teodor Marin, Marasesti, 988774",0732 702 863,e3:2f:75:0f:f8:1f,134.10.171.118,RO11JDEJ1541319533667313,SHP
Melina,Mocanu,3961210451088,1915-04-28,"Strada Stancu Nr. 74, Salonta, 363568",0756 575 527,67:2c:e2:db:38:0b,67.109.33.18,RO50ORBS7135601900701596,YER
Luminița,Voinea,2220931050220,1932-09-05,"Soseaua Suciu Nr. 44 Bl. 84  Sc. 29 Ap. 777, Mihail Kogalniceanu, 856401",0250 234 167,ea:7f:f5:82:68:87,108.117.57.48,RO14HSCH8134661044967583,MWK
Ilinca,Barbu,2360822139301,2023-11-26,"Bulevardul Oprea Nr. 78 Bl. 30  Sc. 59 Ap. 698, Cobadin, 972207",0249 948 770,7a:9e:58:e2:3c:2d,67.250.161.118,RO05RKTT0819431776733263,HNL
Victor,Diaconescu,1250407405402,1927-07-16,"Strada Dima Nr. 864, Berceni, 834833",0766 734 773,a1:74:cc:af:aa:0f,4.28.24.26,RO17RZFN4144848428854799,MNT
Geanina,Ioniță,7370509517320,1994-09-14,"Intrarea Stancu, Matca, 390876",0780 469 159,93:bd:08:87:18:0b,195.47.134.49,RO10GRSH6030299286197222,ILS
Andra,Popa,8721030374179,1997-11-17,"Bulevardul Alma Aanei, Moreni, 111860",0247 568 826,77:03:bd:af:98:09,46.63.187.179,RO71SXOZ4834504850601895,BIF
Axinte,Albu,5360625216917,2008-10-19,"Drumul Ababei, Motru, 307823",0726 762 459,82:7d:d5:9c:35:39,161.250.167.214,RO46AEUU3703502451304786,BSD
Vanesa,Tabacu,4461219234180,1916-06-24,"Intrarea Valter Barbu Nr. 371 Bl. 43  Sc. 13 Ap. 470, Tuzla, 107228",0735 724 902,51:12:09:0c:ba:9d,141.129.114.87,RO70POQN9220875630193422,QAR
Paulica,Mocanu,6981131228479,1919-04-28,"Intrarea Gheorghiu Nr. 626, Brad, 777992",0234 915 302,c8:e8:73:9d:2a:34,138.144.204.213,RO50TMRH0472176345330262,DJF
Eliza,Gheorghiu,7330709367242,1913-12-31,"Aleea Jasmina Stănescu Nr. 68, Rosiori de Vede, 180018",0754 646 255,fc:c3:26:c3:74:25,141.119.137.31,RO86QXLW5492557766336409,UAH
Theodor,Barbu,8841105186537,1996-01-19,"Intrarea Barbu Nr. 661, Curcani, 127298",0250 817 142,0c:db:cd:13:f6:df,163.136.105.44,RO58XVNR2141829843476555,HNL
Silviu,Dima,1340814012158,1988-12-17,"Bulevardul Mitică Ababei Nr. 280 Bl. 63  Sc. 70 Ap. 870, Hateg, 473421",0754 788 706,73:9d:a4:1b:cf:a8,159.226.160.164,RO97ETAX0464188187535916,SEK
Milena,Mocanu,1000903346656,1951-06-14,"Drumul Cipriana Ioniță Nr. 87, Gherla, 429355",0245 344 152,f9:ad:cd:9c:35:d4,104.78.29.53,RO27BOCF0039717265098750,XCD
George,Marin,4260622144420,1920-01-03,"Intrarea Mazilescu Nr. 309, Dragasani, 440577",0733 613 082,65:9e:bb:08:f1:e6,172.254.165.185,RO69WXFD6733205640709376,MKD
Romeo,Georgescu,2120431227728,1930-12-31,"Aleea Adam Pușcașu Nr. 13, Topoloveni, 685515",0726 241 078,a3:23:25:46:65:86,178.197.72.227,RO36NMYM9192693118094809,BRL
Dora,Oprea,2190110204878,1919-09-03,"Intrarea Marga Diaconescu Nr. 70 Bl. 17  Sc. 22 Ap. 866, Insuratei, 232405",0735 862 039,5d:d0:5c:77:48:a8,58.232.36.178,RO52ORJE1027266266441111,SZL
Teona,Manole,3680625140552,1926-09-14,"Strada Suciu Nr. 952, Bocsa, 357022",0236 068 958,6f:97:e5:30:1b:10,214.236.131.255,RO67EBBP4402905256363148,PYG
Amanda,Mazilescu,3051216323748,1937-12-09,"Aleea Ludovica Manole, Lipova, 409243",0258 801 062,bb:57:3c:5e:a1:e3,98.83.161.137,RO50JJTJ1060279080983585,PHP
Betina,Stănescu,2480915128043,1943-02-07,"Strada Floarea Dumitrescu Nr. 578, Mogosoaia, 876693",0747 078 623,10:3b:41:ab:e7:bc,193.8.44.63,RO69SPMR3640670136049224,TOP
Sofia,Stănescu,1420703313282,1975-03-17,"Bulevardul Aanei, Marghita, 610252",0244 789 674,88:44:fb:39:53:87,122.140.235.109,RO16TSSL6445579255560176,KES
Niculina,Tudor,6230402036618,2013-12-16,"Strada Estera Voinea, Targoviste, 499849",0768 444 779,b0:e0:15:f8:16:d6,5.33.116.134,RO31RPEW5466564119428601,CDF
Zenobia,Dumitrescu,7660524200771,2022-11-03,"Soseaua Popescu Nr. 770, Vicovu de Sus, 169975",0245 327 672,f7:b3:16:fd:cd:56,213.80.148.100,RO42SRJO9538598998070590,PYG
Severin,Mazilescu,7830516353733,1923-08-28,"Bulevardul Tabacu Nr. 73, Onesti, 174739",0725 771 903,23:a7:18:27:3d:c2,95.5.113.240,RO10QXGY6612480258481277,VEF
Gianina,Tabacu,1110509210171,2000-11-18,"Drumul Pop Nr. 55, Moreni, 841737",0766 388 179,35:17:23:85:c7:f4,50.240.158.246,RO64NWPT3001813866400459,PKR
Hortensia,Dima,3300213037588,2018-06-15,"Strada Dinu, Suceava, 370189",0723 044 743,d6:8d:06:47:95:87,22.248.84.194,RO59LLAP8465680815281184,RWF
Sanda,Popescu,1980208350063,1923-10-22,"Drumul Toma Nr. 79, Motatei, 594595",0764 909 857,0f:59:6d:a7:06:f5,93.140.227.139,RO15GDTB7331884932387055,SAR
Mona,Tomescu,4900503143780,2007-12-08,"Aleea Diaconu Nr. 67, Talmaciu, 929717",0735 805 593,65:5f:40:bf:b9:1a,215.155.47.238,RO22VVJZ9189725062409587,EUR
Alexandru,Dochioiu,2220931303928,2016-11-30,"Drumul Nemeș Nr. 370, Targu Lapus, 280456",0766 083 770,48:2b:ac:24:09:99,186.229.80.212,RO94YMRB9702343881181844,ALL
Mirela,Stancu,6830307460893,1939-09-16,"Intrarea Niță, Caransebes, 642148",0256 378 993,ca:5a:99:f4:ca:c9,103.164.107.33,RO44DIRG7025870516036177,LSL
Corvin,Toma,5190915056201,1984-02-29,"Intrarea Pușcașu, Feldru, 569556",0786 272 753,fb:01:38:69:55:2e,221.65.227.194,RO63LZNM5000331255544733,DOP
Aurel,Cristea,1451205268921,1938-08-23,"Drumul Pop Nr. 51 Bl. 88  Sc. 23 Ap. 548, Pantelimon, 582024",0266 007 903,7c:4d:b0:5b:fa:ed,49.239.95.75,RO51MEML8368528047780743,ZMW
Doina,Eftimie,6130223166403,2023-08-21,"Drumul Gheorghiu Nr. 715 Bl. 55  Sc. 50 Ap. 925, Strejnicu, 258901",0730 075 343,a3:01:fa:c8:56:6a,21.79.198.227,RO15HWCV5039196136648317,PKR
Antonia,Mazilescu,1051215092755,2002-08-17,"Intrarea Stan Nr. 83 Bl. 17  Sc. 46 Ap. 533, Otelu Rosu, 736602",0752 465 756,d8:1a:c0:ba:da:e0,41.177.51.158,RO81STHP7704896307435475,KPW
Ecaterina,Nistor,2191213229137,1968-08-20,"Drumul Aanei Nr. 976 Bl. 43  Sc. 20 Ap. 491, Sebis, 359816",0727 474 070,50:72:a5:02:82:c4,101.167.107.234,RO11DZXQ2215226099791091,CRC
Bianca,Voinea,4430507079619,2014-05-20,"Aleea Matilda Tabacu Nr. 695, Negresti, 823761",0743 482 143,32:58:ad:b1:18:b2,64.175.107.19,RO23AVMS8532471686891672,BZD
Roza,Ioniță,5580307462395,1914-12-26,"Intrarea Ene Nr. 609 Bl. 39  Sc. 37 Ap. 536, Tudora, 972718",0740 025 357,fc:d5:71:3c:ae:1b,153.79.25.10,RO84MYRP5583183313279169,MVR
Alex,Eftimie,7620611280769,1961-12-17,"Drumul Theodor Mazilescu, Ploiesti, 111424",0252 911 196,c0:ca:4f:06:4a:73,9.149.210.9,RO72VKAQ6362906218434648,JMD
Ortansa,Nistor,2191208026034,1920-11-10,"Intrarea Manole, Alba Iulia, 253939",021 395 1709,4b:12:0d:26:4b:f7,198.180.4.177,RO81XRAK9224841505385568,GGP
Roza,Tabacu,6400724230961,2021-09-23,"Soseaua Georgescu Nr. 52, Brasov, 513759",0257 048 048,ba:88:87:b3:9d:7a,69.86.212.131,RO64WEER8507393537772284,TZS
Horațiu,Eftimie,1680611268775,1934-08-01,"Bulevardul Liana Nistor Nr. 525, Petrila, 211166",0786 941 736,90:1f:67:03:47:c5,29.75.122.253,RO33SQKQ2296710060730777,CNY
Elisaveta,Dinu,3880622296161,1944-08-18,"Strada Cristea Nr. 72 Bl. 34  Sc. 93 Ap. 234, Rosiori de Vede, 710828",0752 730 875,b5:79:59:98:53:e3,2.70.153.217,RO89LNCG6327081622132055,LAK
Grigore,Eftimie,8750507194208,1947-06-24,"Aleea Stănescu, Targu Mures, 969597",0764 569 982,14:d2:ed:bd:a2:85,63.31.76.186,RO44FVZG8449900931363291,ARS
Patricia,Dochioiu,2300724047248,2006-01-07,"Soseaua Decebal Pop Nr. 502, Drobeta-Turnu Severin, 300512",0755 680 826,71:5c:2d:97:84:70,154.148.102.6,RO98DCSE4929258715284341,LBP
Pompilia,Manole,5620414110201,1930-10-10,"Strada Nicolaie Stănescu, Braila, 922873",0746 591 322,04:39:cc:20:ea:70,36.136.43.167,RO45OFKE4654627461568667,LKR
Oliviu,Stoica,7150615087678,1909-02-16,"Bulevardul Basarab Manole, Oituz, 421040",0766 507 386,e9:f1:74:ec:fa:79,158.215.17.247,RO55EPHQ5865690968565063,GBP
Lelia,Florea,7620923256436,1980-01-17,"Aleea Ladislau Diaconu, Matca, 378652",0720 565 643,0c:b6:03:5c:62:b5,207.37.234.243,RO41TCKW0477559716060596,NIO
Bogdan,Diaconescu,7770621072160,1942-06-23,"Bulevardul Paul Dochioiu, Hunedoara, 985138",0726 078 150,52:d9:4c:86:1e:e7,149.202.226.227,RO13XGGZ7628058417060369,EGP
Brăduț,Pop,2120814354405,1998-10-14,"Drumul Aanei, Motatei, 282142",0234 500 567,e4:f0:54:4b:4c:0a,134.127.202.128,RO77YSUG1136036671888122,CNY
Speranța,Toma,3270202219677,1958-12-18,"Strada Florina Stancu, Rasnov Romacril, 191047",0755 129 439,a3:21:d2:67:81:79,193.179.48.141,RO24CMAS3808587998239990,LRD
