first_name,last_name,personal_number,birthdate,county,address,phone_number,job,iban,currency,balance,latitude,longitude
Marius,Stoica,6570923527002,1995-08-04,Mureș,"Strada Ada Oprea Nr. 81 Bl. 59  Sc. 19 Ap. 349, Oltenita, 113899",0257 098 546,Analist Financiar,RO49ALYJ8837724843612200,UZS,23795271625,-38.332783,-54.149362
Alma,Diaconu,3410425517861,1946-06-09,Iași,"Aleea Nistor Nr. 82 Bl. 79  Sc. 43 Ap. 537, Botosani, 353814",0757 210 666,Tehnician Pedolog,RO96GDGN8095203783981431,NZD,68358287382,-11.1044655,169.494708
Angela,Ionescu,3850912204155,1965-03-22,Călărași,"Aleea Diaconu, Corabia, 341750",0720 930 125,Tehnician Proiectant Transporturi Si Comunicatii,RO43ACTY5978960778360967,EUR,47988159801,82.225122,125.640509
Teodosia,Pop,8560214325015,1992-06-06,Vaslui,"Aleea Nistor Nr. 73 Bl. 96  Sc. 21 Ap. 244, Slatina, 420981",0759 151 592,Medic Veterinar ,RO90JVGJ2041725946499111,PHP,93555927506,-25.6153135,87.214603
Anabela,Tudor,1920525258287,1961-04-15,Ialomița,"Soseaua Mazilescu, Gherla, 341100",0711 499 115,Tehnician Pedolog,RO12BNSB6755211456700611,IDR,79159934391,-60.978933,-171.452949
Augustin,Dochioiu,2181211037998,2002-05-13,Arad,"Strada Mara Aanei Nr. 47 Bl. 93  Sc. 12 Ap. 449, Popesti-Leordeni, 581218",0250 927 462,Lipitor Lentile Si Prisme,RO51VVKC8800987166745608,SVC,69983028158,19.137648,124.163853
Clarisa,Albu,8861107360823,1954-11-12,Alba,"Intrarea Florea, Valu lui Traian, 931217",0738 962 942,Perceptor,RO97YLXA0200995391593136,SZL,24627741418,-47.039492,-122.162740
Cătălin,Eftimie,1711101511573,2010-02-10,Ialomița,"Aleea Steliana Stoica Nr. 902 Bl. 90  Sc. 86 Ap. 994, Corund, 817505",0248 117 507,Instructor Auto,RO04VZTG1452565223111963,JMD,8705055912,50.227451,-103.070246
Cosmin,Ioniță,6931027401303,1931-10-18,Ilfov,"Aleea Dariana Tabacu Nr. 163, Valu lui Traian, 219268",0268 929 724,Scafandru Salvator,RO06ZQVL1804930927724033,CUC,53803489846,23.031599,67.278297
Paulina,Tabacu,3360514320277,1984-10-18,Mureș,"Drumul Georgescu Nr. 83, Cugir, 843196",0753 193 075,Dispecer Retea Distributie,RO97LYAU8891999338521874,HKD,51871255371,4.314058,139.537634
Costache,Mazilescu,7291203464363,1965-04-22,Vâlcea,"Strada Tomescu, Vulcan, 829779",0762 160 455,Inspector Protectie Sociala,RO78UYIL9896150620562679,CZK,15309645509,75.1763805,-89.206613
Alida,Popa,3760106146119,1950-02-09,Dolj,"Soseaua Carol Manole Nr. 67, Valea Caselor (Dragasani), 708304",0758 457 011,Presedintele Romaniei,RO08PWAC3078381046794035,DOP,39265236194,11.097414,147.879810
Ilinca,Ioniță,8461229285210,1974-07-21,Harghita,"Strada Pușcașu Nr. 90, Campia Turzii, 409818",0722 384 588,Director Centrul Judetean De Asistenta Si Resurse Educationale (Cjare),RO07RSDY6340023178457946,LYD,63693625259,-27.227184,9.148997
Pamela,Nemeș,7140212065572,2007-07-20,Constanța,"Soseaua Stănescu, Caransebes, 424762",0744 641 218,Pontator,RO48CDVZ4884684293163959,LAK,56828333090,-75.554472,162.910614
Anca,Barbu,5470602386379,1956-03-16,Iași,"Soseaua Dorel Pop Nr. 770, Dumbraveni, 723033",0784 216 000,Consilier Inginer Industrializarea Lemnului,RO17TGIE3013112332998308,BTN,44089000791,-68.939935,-4.896036
Eftimia,Georgescu,3861122111043,1915-02-01,Giurgiu,"Strada Popescu, Cudalbi, 666730",0234 790 955,Medic Expertiza A Capacitatii De Munca,RO65HHAV4043736417905828,AZN,43767666839,-43.0421045,-25.296690
Iustinian,Popescu,2960819271837,1957-07-25,Călărași,"Strada David Preda, Aiud, 930122",0727 651 216,Lipitor Si Protejator Spete,RO51DLVS0931300431590997,ISK,49657111115,1.496277,99.570615
Anabela,Dobre,4840715326603,1916-02-10,Constanța,"Soseaua Ionescu Nr. 651, Otelu Rosu, 265471",0267 483 338,Director Resurse Umane,RO44JCVR2000024131809187,HTG,92716142811,-60.9259905,-17.818856
Eliza,Preda,2810321070869,1947-10-19,Hunedoara,"Bulevardul Popescu, Blaj, 490080",0231 737 733,"Sef Birou Organizatie Politica, Obsteasca, Umanitara",RO65BZAT7105633758071154,LAK,52542012851,-67.0111135,137.596495
Casian,Barbu,7530911220012,1930-05-06,Dâmbovița,"Strada Florea Nr. 820, Apahida, 673208",0768 360 609,"Pregatitor Lemn, Stuf, Paie",RO84MSBL8464713273892021,PEN,13631222837,-74.647022,-26.696108
Ianis,Ardelean,3621016150864,1937-03-17,Covasna,"Drumul Rareș Stănescu, Harlau, 925214",0253 132 399,Sef Laborator Informatica,RO28JMGK4618938593313733,IRR,58092271375,70.2241015,-104.109538
Arsenie,Niță,6680117206396,1960-04-12,Giurgiu,"Soseaua Nistor Nr. 299, Chisineu-Cris, 625327",0737 478 802,Conducator Intreprindere Mica ,RO53SHRZ2628557318977212,MGA,81836470517,70.803603,95.278615
Frederic,Cristea,3020422032631,1959-06-15,Covasna,"Intrarea Teofil Oprea, Petrosani, 125468",0721 113 622,Desenator Film Animatie,RO20OYLG2221409443939759,BBD,68089209202,59.8947955,-46.122450
Mirela,Toma,5151019293024,1990-02-19,Neamț,"Intrarea Oprea Nr. 45 Bl. 20  Sc. 14 Ap. 273, Gherla, 766258",0236 418 750,Organist,RO19LBJX8047251719600424,AFN,95867899575,71.2299795,-168.480385
Sebastian,Diaconescu,2740918448177,1933-07-27,Brăila,"Drumul Ababei Nr. 26, Dobroesti, 349376",0740 374 621,Operator La Instalatii Automate Pentru Prelucrarea Topiturii De Sticla,RO50XAYP8404739985908122,LAK,85342070270,-29.4544455,-11.651540
Alina,Ioniță,6260828087962,1945-08-02,Vâlcea,"Bulevardul Dinu Nr. 401, Comanesti, 539678",0763 635 920,Asistent De Cercetare In Cadastru,RO86XLZY3768400274607208,ERN,1374200722,57.465264,154.553592
Narcis,Nistor,5820208155411,2011-02-16,Maramureș,"Strada Diaconescu Nr. 30 Bl. 42  Sc. 94 Ap. 603, Anina, 819500",0744 572 597,"Decan, Rector, Prorector, Prodecan",RO11ITBQ7452024344245130,KMF,10047688846,6.6378695,-21.125018
Georgian,Ioniță,2790507331250,1938-04-16,Dâmbovița,"Soseaua Nemeș Nr. 23, Harlau, 747189",0760 835 887,Maistru In Industrializarea Lemnului,RO75TGJC2343891583592464,KZT,98127467949,31.303119,-104.753790
Lucrețiu,Tomescu,7460928265523,2000-07-06,Cluj,"Drumul Diaconu, Jimbolia, 559092",0232 213 198,Inginer De Cercetare In Comunicatii,RO07GILR0842768664090035,TRY,14568460420,0.370595,134.712906
Noemi,Suciu,5150220281573,1940-09-22,Constanța,"Intrarea Pop Nr. 566 Bl. 65  Sc. 79 Ap. 674, Diosig, 924987",0759 811 055,Director Centru De Calcul,RO48SYHM2305286751561235,SCR,42754272577,36.352201,-31.754226
Bebe,Preda,5000906428049,1961-08-24,Vâlcea,"Aleea Tudor Nr. 635 Bl. 12  Sc. 20 Ap. 591, Glina, 519733",0748 828 079,Artificier La Lucrari De Suprafata,RO84RQOC8155762000789796,TOP,3009952515,2.6662875,-123.202882
Lucreția,Ene,7710813378382,2019-01-21,Caraș Severin,"Drumul Tomescu Nr. 871 Bl. 38  Sc. 12 Ap. 704, Marginea, 554560",0769 110 446,Inspector Documente Secrete,RO08XWJM0097958901973451,YER,49785618129,-23.628973,72.363480
Evanghelina,Manole,2411218357516,2012-12-08,Brăila,"Strada Sinică Diaconu Nr. 94 Bl. 29  Sc. 94 Ap. 325, Gilau, 985512",0726 751 261,Sef Serviciu/Sef Birou Daune,RO50OARK3056795841155896,BAM,75544159527,24.414903,-143.321943
George,Ene,4180614373809,1934-12-15,Neamț,"Bulevardul Stan Nr. 22, Brad, 645359",0785 772 821,Sofer Autobuz,RO86YZWM5138187412788956,BAM,33680661407,9.176488,-0.611685
Alis,Barbu,1530821150846,2022-10-10,Mureș,"Strada Albu, Uricani, 862319",0731 449 771,Procuror Sef Birou/Serviciu,RO54BMRQ2373383437705175,MUR,29215924385,-63.2457595,123.146665
Robert,Ababei,2161210096886,1990-01-07,Mureș,"Bulevardul Natașa Dima Nr. 22 Bl. 14  Sc. 27 Ap. 279, Fieni, 738130",0748 399 108,Sef Manevra,RO40XIRG4424507398138938,SAR,9412401601,35.6289095,57.886720
Sergiu,Voinea,6291222386494,1975-03-23,Buzău,"Intrarea Lucențiu Cristea Nr. 82, Zalau, 555115",0761 069 211,Editor Imagine,RO64UGUL6548587955229434,ZAR,62719717200,-82.7467555,-133.867621
Astrid,Gheorghiu,8840602038581,1977-12-19,Teleorman,"Soseaua Ionescu, Toplita, 834407",0766 384 475,"Muncitor Necalificat La Demolarea Cladirilor, Captuseli Zidarie, Placi",RO36LGVG2282340067085051,MKD,19900461995,44.1395095,39.803049
Ludmila,Ene,8831016125474,1961-07-18,Timiș,"Drumul Mocanu Nr. 405, Sangeorgiu de Mures, 263577",0260 046 641,Bibliograf,RO74EHVT2128451737312387,SDG,28816251032,38.033576,-94.467100
Codruța,Ioniță,6410816335545,1941-12-26,Prahova,"Bulevardul Popa Nr. 626, Popesti-Leordeni, 418572",0231 927 352,Operator La Sfaramarea Minereurilor,RO24WBBH1773631485819427,XDR,23526354564,-72.836781,-54.221743
Anatolie,Dochioiu,7890516264315,1984-12-11,Gorj,"Strada Stancu, Valea Mare (Babeni), 872331",0239 190 282,Asistent De Cercetare In Stiintele Politice,RO91LTWG0282035956994084,IQD,74282906860,-83.461834,67.339339
Grigore,Eftimie,3710807124601,1987-12-04,Prahova,"Soseaua Stoica Nr. 339, Sadova, 628304",0267 980 479,Dispecer Operatiuni Salubrizare,RO61SZXG5474862847853289,AZN,43887222562,-4.362743,79.858758
Draga,Dobre,2440730086652,2022-10-30,Maramureș,"Soseaua Aanei Nr. 19 Bl. 74  Sc. 65 Ap. 189, Caracal, 967408",0732 489 000,Pilot Aeronave,RO46XLZQ9247361909746328,MZN,19241553015,-49.903867,-70.736070
Arsenie,Manole,8110122221187,1931-05-19,Ialomița,"Aleea Florea, Calafat, 570449",0245 968 800,Tehnician Acustician-Audioprotezist,RO21CITJ2247041676754433,JOD,2565804077,20.9768725,131.071772
Mihnea,Eftimie,6170619089888,2007-06-29,Mureș,"Drumul Pușcașu, Oradea, 743541",0723 082 207,Prim-Grefier,RO65QIIC5813799475294838,KMF,41292535835,51.180249,52.055935
Iulian,Nemeș,3280613041221,1997-06-02,Sălaj,"Bulevardul Stan Nr. 180 Bl. 86  Sc. 67 Ap. 294, Baia Mare, 776844",0248 354 085,Sef Oficiu Interjudetean Difuzare Film,RO79RIDP3631666104791289,LAK,57726141363,40.697683,125.429788
Marius,Nemeș,6610214525421,2000-11-05,Arad,"Intrarea Nicuță Niță Nr. 626, Adjud, 239427",0754 626 069,Trasator,RO34IKSP1537326891287073,VEF,3617850669,-43.2992315,100.624899
Raluca,Oprea,6860828323226,2013-09-06,Timiș,"Drumul Stănescu, Falticeni, 272422",0747 581 726,Arbitru Judecator Sportiv,RO73XJXC5965941671464541,KYD,20399441177,57.5662825,-34.488475
Daniela,Dinu,2931112366317,2006-01-28,București,"Drumul Oprea, Pecica, 688296",0762 438 525,Director Unitati Tip Fast-Food,RO05QDWB6396210677928869,DJF,13512087089,-53.8086905,72.369997
Tinca,Diaconu,1301114347366,1931-11-14,Harghita,"Strada Tabacu Nr. 62, Savinesti, 707587",0254 405 717,Administrator Sistem Documentar,RO70DMGE1696424754724346,GMD,61069214670,-26.892435,-25.362865
Cristian,Ionescu,4940307233434,1919-07-06,Ialomița,"Aleea Popa Nr. 86, Mihail Kogalniceanu, 591737",0728 675 249,"Croitor-Confectioner Imbracaminte, Dupa Comanda",RO43ULXP7209369769358957,PLN,7520350493,-31.423193,-21.693500
Antonia,Tomescu,8111212386871,1960-08-02,Prahova,"Bulevardul Mocanu Nr. 31 Bl. 35  Sc. 39 Ap. 973, Baciu, 286260",0264 256 241,Operator Radionavigant Instructor Aviatie,RO42EFQQ0900084525266272,XCD,59391821854,50.6444005,173.883683
Pleșu,Stoica,3190107184623,2013-09-20,Brașov,"Aleea Tomescu Nr. 348, Giurgiu, 502770",0234 757 129,Ghid Turism Ornitologic,RO27UTLK4946125449960769,TMT,87456508525,70.033989,2.418752
Cezara,Pop,8290130403304,1954-08-27,Olt,"Drumul Ababei Nr. 85, Rasinari, 737225",0727 243 101,Tehnician Agronom ,RO41ODJU6748814344573476,BMD,22588682657,66.270849,138.638396
Simion,Stan,7060401153911,1953-05-19,Suceava,"Soseaua Georgescu, Darmanesti, 425713",0770 465 268,"Chimist In Materiale Oxidice (Sticla, Ceramica)",RO95LLGA2917610224178484,PKR,51880644569,-1.0303875,-101.237453
Atena,Nistor,3210425085310,1918-06-10,Sălaj,"Drumul Diaconescu, Giarmata, 348070",0724 562 589,Sef Agentie Publicitate,RO16YSLL8078126293192603,LAK,45782212675,15.890018,-45.592277
Miruna,Georgescu,6580711043269,1974-05-21,Covasna,"Drumul Barbu Nr. 704, Sacele, 292229",0259 464 065,Operator La Confectionarea Industriala A Palariilor,RO44EKIV8407294258010690,SDG,68842918161,62.6921365,114.428119
Isabela,Niță,8130302307965,1924-09-16,Mureș,"Bulevardul Stan Nr. 347, Saveni, 341482",0755 103 176,Bobinator Transformatoare,RO03IPGF3053080402946410,ANG,89311795106,-12.6620275,128.359676
Flaviu,Toma,7390423515666,1970-02-02,Giurgiu,"Drumul Vladimir Florea Nr. 146 Bl. 88  Sc. 67 Ap. 893, Pancota, 927946",0233 768 334,Curatitor-Reparator Palarii,RO96EVFD5071788237665402,GHS,79924709748,-83.2790555,-147.565570
Larisa,Nemeș,6050924372072,2014-09-19,București,"Strada Alex Voinea Nr. 742, Dobroesti, 176424",0788 405 358,Confectioner Cablaje Auto,RO80FXHR8255325879969669,HKD,52182750608,17.7372445,-92.266175
Nechifor,Popa,5470504025136,2018-02-25,Suceava,"Bulevardul Albu Nr. 78, Titu, 185267",0259 040 691,Gazda Club,RO05LBJW1633138626057022,MOP,23784997741,1.3076755,-43.392156
Romina,Tudor,5911101360499,1965-04-15,Timiș,"Drumul Diaconu Nr. 40 Bl. 97  Sc. 24 Ap. 938, Uricani, 517701",0264 893 871,Medic (Farmacist) Director,RO46KUVV3001276135426313,ILS,27201759003,67.205810,103.362119
Aureliana,Toma,1570210527241,2003-11-20,Sălaj,"Aleea Aanei, Negresti-Oas, 362275",0770 730 198,Prelucrator Presa Scrisa,RO60JCBJ5488367354180555,SZL,74042694336,-61.3526715,-56.740875
Petre,Barbu,8260617343773,1966-06-28,Vrancea,"Soseaua Pușcașu Nr. 40 Bl. 73  Sc. 60 Ap. 729, Diosig, 859977",0742 459 179,Asistent De Cercetare Economist In Management,RO55ZHQG6163368034784281,ZMW,5244652921,-2.137276,-73.596258
Leontin,Barbu,5170813033724,1960-10-13,Arad,"Strada Niță, Cristuru Secuiesc, 418847",0737 310 914,Educatoare,RO43BGRD6786983183599301,MNT,17762230425,-82.163153,146.040362
Roza,Ardelean,4120712468531,1974-01-09,Iași,"Aleea Visarion Tudor, Insuratei, 909502",0761 010 362,Expert Receptie Investitii Industriale,RO80VGOJ5560735940318784,FJD,86785897991,72.915290,18.655891
Virginia,Toma,7511226526285,1961-03-09,Alba,"Drumul Nistor, Modelu, 635028",0231 617 420,Referent Transmitere,RO10HWUN4392146825997980,OMR,3352558831,-73.1379005,148.797168
Sinică,Nistor,2520706191401,1918-12-09,Mureș,"Intrarea Toma Nr. 582 Bl. 29  Sc. 11 Ap. 120, Seini, 234929",0743 656 351,Cantaret Bisericesc,RO39POCS2099540757137462,AOA,1370101447,-61.841316,171.712755
Tamara,Tomescu,5211121445541,1946-01-07,Brașov,"Strada Ababei Nr. 48 Bl. 14  Sc. 47 Ap. 972, Giroc, 861079",0758 076 135,Manipulant Marfuri,RO74DTTE4379169471697790,VND,53823353260,-42.437650,161.275115
Codrin,Albu,3650117011475,1986-02-08,Dolj,"Drumul Popescu, Cudalbi, 121374",0246 476 498,Organizator Spectacole,RO73AQNL9846065597638968,PGK,63538729219,10.983735,61.515368
Roxelana,Albu,1140302523748,1908-11-05,Arad,"Aleea Voinea Nr. 739 Bl. 43  Sc. 73 Ap. 792, Balotesti, 355198",0732 097 142,Muncitor Plantatii Si Amenajare Zona Verde,RO17JKRR7635974940204959,BDT,91460792481,13.519093,-13.328218
Dorinel,Ionescu,6420706357358,1954-12-12,Mureș,"Bulevardul Diaconescu Nr. 222 Bl. 52  Sc. 49 Ap. 271, Baia, 420073",0720 778 355,"Inginer Constructii Civile, Industriale Si Agricole",RO88YZHU0003831697306781,ZMW,97651624523,78.4652665,-125.712977
Alberta,Dima,5580327095821,1989-10-25,Argeș,"Soseaua Vladimir Voinea Nr. 14 Bl. 70  Sc. 28 Ap. 904, Moinesti, 497603",0750 267 246,Regizor Scena,RO61BTBM2312922572791079,LYD,98774000665,36.2575895,-170.020993
Georgeta,Florea,1630104399160,1936-02-28,Constanța,"Soseaua Mazilescu, Sinaia, 619379",0232 923 824,Inginer Materiale De Constructii,RO05FEFV1806752100481651,TRY,74425854754,-34.1774125,97.858719
Laurenția,Stan,6470824324916,1987-03-05,Sibiu,"Bulevardul Constantina Stoica, Sacueni, 468033",0248 137 845,Inspector De Specialitate Farmacolog,RO64XDUX2129392325360904,ILS,98014280787,38.3655515,-178.686864
Aurel,Albu,7290213090487,1937-08-18,Bacău,"Bulevardul Ioniță Nr. 45 Bl. 35  Sc. 12 Ap. 272, Boldesti-Scaeni, 962766",0756 560 108,Expert Administratia Publica,RO33GBPB5950781203411665,JMD,35445294975,43.4321185,-169.859722
Aurel,Aanei,7781024214616,1938-01-18,Arad,"Drumul Dobre Nr. 440, Gilau, 258993",0780 633 705,Sef Centrala Telefonica,RO89FOCL9588260479867289,SBD,49380372493,-38.369817,-40.256540
Iulian,Ionescu,4240206255503,1967-08-10,Maramureș,"Aleea Diaconescu Nr. 32, Lupeni, 867286",0785 153 787,Cercetator In Centrale Hidroelectrice In Ingineria Mediului,RO52IMGE4957348130457737,ERN,82717340028,-72.681765,36.662099
Ariadna,Ioniță,6141226448665,1993-04-11,Vâlcea,"Intrarea Mircea Albu, Gilau, 141001",0256 078 715,Impletitor Papura,RO32TPHO8497859447672807,PGK,17590909642,25.3043935,-51.186730
Ieremia,Cristea,8000602270512,1920-04-07,Dolj,"Soseaua Luca Nistor, Pechea, 568818",0265 589 599,Gestionar Depozit,RO96EYWE8512520635308922,BYR,95942278180,79.666366,-51.447402
Marioara,Suciu,3231214102612,1959-06-09,Botoșani,"Aleea Aanei Nr. 206, Rosiori de Vede, 406002",0245 091 971,Inspector Scolar Pentru Implementarea Descentralizarii Institutionale,RO32LDOZ1405329311696372,TJS,28816145037,85.590411,35.166485
Narcis,Stan,5330205515775,1961-05-15,Timiș,"Intrarea Marin Nr. 632 Bl. 67  Sc. 85 Ap. 311, Satu Mare, 318569",0736 847 712,Director Proiect,RO15SUNX4400019446852738,BBD,83551310077,52.0540395,-18.262673
Teona,Tudor,1990923269194,1967-09-14,Maramureș,"Intrarea Nemeș Nr. 72, Arad, 620966",0265 575 101,Tipograf-Tiparitor,RO56CBST4251017669740433,XCD,67308334425,11.389792,41.093512
Grigore,Cristea,6100612518056,1919-03-16,Sălaj,"Soseaua Letiția Mocanu, Blaj, 143290",0738 517 003,Electrician Exploatare Centrale Si Statii Electrice,RO39APEG2301101394918384,DJF,94467458746,20.6347275,-140.993776
Iulian,Pop,3821126191613,2020-12-17,Buzău,"Intrarea Dima Nr. 10 Bl. 88  Sc. 65 Ap. 773, Cudalbi, 612901",0238 390 347,Tragator Fete Pe Calapod,RO04EFUB6065231894149422,SRD,92581209527,-14.564394,2.302832
Dominic,Tudor,8090330075591,1921-07-21,Vâlcea,"Aleea Dobre Nr. 26, Suceava, 747829",0244 852 269,Director Centru Informare Turistica,RO84CARA3565320695123201,KRW,40855044145,-11.2484985,138.662826
Gregorian,Stan,8320117195261,1942-10-20,Vrancea,"Soseaua Georgiana Aanei Nr. 30 Bl. 30  Sc. 85 Ap. 369, Husi, 271002",0238 981 135,Gardian De Inchisoare,RO35PTZA1644534842261657,STD,61922380116,53.8150725,-44.112906
Sânziana,Stănescu,8260208286303,1991-06-30,Vrancea,"Intrarea Dacian Albu Nr. 922 Bl. 47  Sc. 94 Ap. 224, Campulung, 766077",0761 887 730,Tamplar Mecanic La Frezat Si Gaurit,RO19TVVD0051535536102979,EGP,74248551713,-82.017669,156.191737
Patricia,Suciu,7160214158032,1961-04-06,Maramureș,"Strada Zenobia Diaconu Nr. 56 Bl. 87  Sc. 89 Ap. 421, Medgidia, 113680",0231 577 015,Inspector Documente Secrete,RO97YOJC3628064204347889,GEL,4211416940,23.8387765,42.136032
Carmen,Diaconescu,1290215235312,1955-07-20,Buzău,"Bulevardul Diaconu Nr. 74 Bl. 48  Sc. 65 Ap. 899, Baia, 584143",0722 554 601,Reglor Benzi Montaj,RO06ITWE3284012269966603,AED,50880936899,-50.541379,16.647837
Rebeca,Tudor,3010716412721,1985-03-08,Ilfov,"Strada Nemeș Nr. 20 Bl. 21  Sc. 38 Ap. 823, Magurele, 960995",0731 935 699,Analist Pret De Revenire/Costuri,RO48QINI6387111061087573,TRY,36269282809,-84.214404,85.350830
Vasilica,Florea,4670123288235,1932-01-18,Alba,"Intrarea Ababei Nr. 32, Lupeni, 388164",0784 840 610,Carmangier,RO79ROGZ4871952327947638,BND,68965746251,76.968867,35.659327
Artemisa,Stănescu,3790930149441,1924-02-02,Bihor,"Bulevardul Florentina Manole Nr. 629, Curtea de Arges, 163512",0747 891 486,Agent Transporturi,RO10PACG0940786490633530,BZD,14431918522,-86.836130,-12.282968
