first_name,last_name,personal_number,birthdate,address,phone_number,mac_address,ip_address,iban,currency,balance
Inocențiu,Barbu,8381106270991,2004-05-25,"Soseaua Crenguța Eftimie Nr. 10 Bl. 10  Sc. 36 Ap. 501, Stei, 752532",0755 591 928,37:f4:5b:e2:c7:62,62.249.52.56,RO97XQJJ1364616237996879,GBP,88636943762
Rodica,Cristea,5970709052020,1950-08-23,"Soseaua Florea, Cobadin, 391154",0235 876 298,0c:58:e1:b6:aa:ac,147.206.113.80,RO12YDOJ9878620038392282,SPL,62964467590
Lelia,Ardelean,8301013349200,2004-01-29,"Soseaua Eftimie, Arad, 752502",0242 652 685,35:ba:83:91:c6:00,156.65.212.4,RO33AKPL1459602551748857,ETB,60991561748
Brăduț,Pușcașu,7411209160040,1977-02-13,"Aleea Antonia Suciu, Poiana Mare, 432666",0725 412 728,cd:eb:ae:9f:11:5d,179.231.175.173,RO56FRZL2959992977106865,RON,44329907516
Remus,Mocanu,8380705054133,1979-02-11,"Strada Cecilia Preda Nr. 58, Vicovu de Sus, 294733",0735 426 434,17:e8:fe:cb:58:c8,72.237.157.214,RO11HUQI1870687309242174,STD,80670457802
Nicoară,Voinea,8690123523731,1948-05-03,"Soseaua Betina Tabacu Nr. 243, Slobozia, 487628",0724 182 074,87:8b:15:22:22:03,188.53.52.85,RO14NFYR8298978265806126,MOP,26748055159
Constantin,Dobre,2990526359699,2006-12-10,"Strada Ioniță Nr. 55 Bl. 49  Sc. 57 Ap. 572, Oradea, 584963",0769 366 814,4e:87:57:db:6f:6d,192.71.53.59,RO06TTSN2967598743532639,HKD,61255233005
Antim,Ioniță,6170910044077,2020-03-24,"Strada Diaconescu, Vlahita, 423604",0741 648 888,5e:0f:3a:a5:b8:b0,52.18.36.145,RO06SRQY5145672007907526,SYP,44554156196
Cristofor,Toma,7260820443788,1981-02-28,"Bulevardul Ioniță, Valea lui Mihai, 818495",0262 301 257,c0:58:5d:19:59:26,110.31.90.246,RO89IBIY7665480169552777,CZK,31664931080
Luciana,Suciu,3020905339940,1977-12-23,"Aleea Manole Nr. 88 Bl. 51  Sc. 76 Ap. 322, Cisnadie, 930313",0729 580 631,ae:50:64:54:f0:90,47.102.162.46,RO90KOYY0536948471020875,AMD,13251893658
Liana,Mazilescu,2160719131070,2009-10-22,"Soseaua Manole Nr. 752 Bl. 32  Sc. 62 Ap. 832, Buhusi, 428750",0266 965 677,5e:ba:4a:05:ff:e7,77.210.238.193,RO72NISW5421341757714908,EUR,33477790706
Atena,Suciu,1200731235941,1918-10-02,"Intrarea Stan Nr. 812, Sannicolau Mare, 438585",0256 017 421,12:e5:15:50:3b:d0,115.242.217.229,RO04DRNH8045159724954789,GMD,34146470441
Cristofor,Aanei,4100723339000,1946-07-19,"Intrarea Sonia Stan Nr. 226, Peris, 917741",0732 018 112,01:68:2e:4a:63:5d,200.14.15.224,RO34EWBH6615910466941220,NIO,19172080052
Virginia,Niță,3981017244288,2006-04-19,"Soseaua Preda, Huedin, 708681",0711 551 204,5c:86:0e:87:03:56,164.250.202.255,RO20MFFX1657054468690726,SHP,359228293
Gheorghiță,Diaconescu,6651125185546,1994-06-13,"Soseaua Popa Nr. 93 Bl. 90  Sc. 92 Ap. 563, Saveni, 697634",0780 248 782,20:9b:5e:3d:ee:53,17.160.208.52,RO95JSKV1441435404739359,TOP,11223323474
Constantin,Albu,8630728119995,1962-11-02,"Intrarea Anghelina Ababei Nr. 67 Bl. 95  Sc. 60 Ap. 131, Lugoj, 810029",0250 007 751,6e:3c:17:24:de:2c,69.240.202.86,RO32NLBC9397954215870114,DJF,43996388040
Marilena,Dochioiu,4920312045028,1976-03-20,"Bulevardul Caterina Mocanu Nr. 948 Bl. 34  Sc. 89 Ap. 422, Harsova, 356160",0261 041 117,4a:0e:fb:d2:fd:5f,106.174.170.83,RO92RKAL0977547540996908,MZN,50513080904
Pompiliu,Toma,6870623197900,1993-04-13,"Intrarea Lucian Ene, Murfatlar, 949493",0733 511 738,37:0c:d3:d0:e2:8e,156.10.151.142,RO30SPXQ3183722206079744,NOK,72065883507
Cosmina,Albu,3630828056614,1945-09-14,"Drumul Stan Nr. 490, Pascani, 420818",0739 552 420,e5:4d:e6:77:49:ee,24.3.196.226,RO19MJRW5347651050203382,TWD,20554759593
Iuliu,Tabacu,4130616388033,2014-03-14,"Soseaua Silviu Suciu Nr. 387, Sighetu Marmatiei, 759219",0761 044 306,f6:3b:91:d3:f5:d6,2.193.138.208,RO67YSDC4939753119195933,WST,5600341972
Loredana,Stoica,3490615170521,1991-07-08,"Intrarea Stănescu Nr. 46 Bl. 87  Sc. 29 Ap. 960, Cornetu, 568063",0736 610 651,38:34:aa:ca:43:08,202.156.147.155,RO26UNTJ6538324060851732,CAD,96510544896
Iancu,Ionescu,2200525069122,1917-02-21,"Bulevardul Ioniță, Tandarei, 148213",0251 161 418,1c:98:60:28:26:1d,43.231.126.242,RO55UUIR4759529087193584,CAD,76677198125
Elodia,Diaconescu,8851013361967,1958-08-14,"Bulevardul Stan Nr. 61, Baia, 882753",0757 688 156,15:d2:cf:b1:5d:a3,112.151.211.173,RO39QKYI7175864619796898,QAR,54461333727
Luca,Dima,2680415178361,2016-06-04,"Bulevardul Dochioiu Nr. 827 Bl. 56  Sc. 30 Ap. 821, Sancraiu de Mures, 327065",0233 924 010,a9:1c:65:0b:ba:14,26.44.81.120,RO49CRSG8828171371840562,UZS,29085264285
Emil,Ardelean,1711228323157,1977-04-23,"Bulevardul Bogdana Stancu Nr. 96 Bl. 27  Sc. 14 Ap. 289, Targu Frumos, 515094",0744 303 600,d2:d2:ab:ec:d0:c4,167.99.194.101,RO38TNAF2489403268305190,MVR,47187746498
Luca,Aanei,8200203302799,1975-03-03,"Aleea Cristea, Aiud, 547367",0257 072 188,6d:03:49:a2:f7:1b,185.210.183.187,RO80UWGF0354058196446049,PYG,3599601594
Coralia,Florea,2950428348269,1991-12-02,"Strada Florea Nr. 92, Otopeni, 930365",0749 602 102,a9:24:cd:49:fe:fa,128.98.245.72,RO65BJTI9153159076709506,RWF,17650974781
Viorel,Dochioiu,4721223311674,1930-05-14,"Intrarea Dinu, Sighetu Marmatiei, 903407",0266 234 087,dd:bb:9a:aa:aa:2e,125.199.54.143,RO11LWHA9225750888659599,MZN,60888981318
Renata,Florea,2390431315991,2022-10-14,"Strada Popescu, Mangalia, 467938",0760 116 544,91:ba:b2:81:16:a2,131.104.83.196,RO62HAHS1146221825793169,MZN,27968401206
Basarab,Niță,5090424274381,1913-10-22,"Soseaua Saveta Stan Nr. 67, Dobroesti, 872065",0241 654 820,10:6b:81:15:40:a8,111.157.239.159,RO17CCMT1644907408770454,PLN,25442080328
Haralamb,Barbu,3360105152735,1978-11-07,"Drumul Ababei Nr. 596 Bl. 46  Sc. 34 Ap. 516, Tudora, 847780",021 835 5255,da:dc:01:f6:3a:b7,94.194.110.251,RO18GRPD7973807039948484,NGN,34079190889
Barbu,Cristea,3460311101794,1963-07-26,"Bulevardul Nistor Nr. 843 Bl. 68  Sc. 77 Ap. 441, Constanta, 404910",0755 640 223,58:a1:63:1f:23:ab,69.246.86.132,RO05LHCG4035275663658002,CZK,67952928356
Silvian,Stănescu,5640913279783,1935-10-07,"Strada Toma, Harlau, 256742",0751 033 938,cb:90:59:73:c1:2d,60.142.126.175,RO97BEKX0888271201544291,XOF,10359181371
Liliana,Ene,7861019284324,1983-11-28,"Drumul Cristea Nr. 89 Bl. 53  Sc. 48 Ap. 338, Babadag, 552239",0769 804 625,62:08:a8:2b:0a:30,28.77.161.155,RO60SLVV9026635225203849,XDR,8515854621
Iridenta,Ioniță,1071103510280,1954-04-17,"Bulevardul Olimpiu Ionescu Nr. 395, Petrosani, 150999",0771 003 075,40:52:38:27:5d:d0,198.233.3.207,RO04CURQ1101261426478146,PYG,41699720505
Virginia,Dochioiu,7630424519746,1921-05-08,"Aleea Stănescu Nr. 19 Bl. 21  Sc. 13 Ap. 574, Pucioasa, 971835",0759 131 494,64:52:4a:26:d3:4e,106.144.104.0,RO31LPPI2033387048349914,CZK,43008222161
Adela,Ababei,4961202237791,1998-01-22,"Strada Ofelia Marin Nr. 53 Bl. 83  Sc. 18 Ap. 177, Jilava, 598567",0727 959 786,d2:bb:7a:45:5e:e1,51.71.38.136,RO20SUHT0105523673197523,UYU,74303946667
Casiana,Stan,5020216423310,1993-05-24,"Strada Suciu, Giurgiu, 195123",0727 221 966,0b:fb:c3:b5:49:fe,37.170.145.245,RO22HKPF5628761117075112,SRD,69618598261
Victoria,Marin,7310220056989,1927-09-18,"Strada Nemeș Nr. 45, Sebis, 285893",0748 555 627,f7:f1:06:aa:d1:4d,211.104.6.233,RO42FZDQ8725299062157596,AOA,43834457095
Anghelina,Georgescu,1930302321385,1962-11-25,"Intrarea Popa Nr. 902, Baicoi, 936721",0731 716 462,c7:65:59:d6:b7:92,134.87.201.209,RO84UVSX5581717519072625,BIF,95947875887
Caterina,Georgescu,3360529467344,1955-12-26,"Aleea Suciu, Strejnicu, 378223",0259 323 697,b2:f4:5b:23:ae:db,173.159.143.1,RO66MUQO6342021651895155,DKK,67231292600
Aida,Toma,7380728086259,1929-02-12,"Strada Toma Nr. 80, Sinaia, 569534",0254 240 161,0b:db:7e:85:b0:46,190.101.65.195,RO22HVLH8436609352610218,TND,10042221917
Minodora,Pușcașu,3030114249187,1947-02-13,"Soseaua Mazilescu Nr. 922 Bl. 16  Sc. 61 Ap. 432, Alexandria, 518553",0786 202 588,b0:6b:af:a6:6d:a1,183.238.46.248,RO12UMAE5213016937678278,RUB,58972746042
Catrinel,Manole,3700505127671,1933-09-04,"Bulevardul Nistor Nr. 371, Afumati, 458404",0240 894 816,eb:98:7e:5e:6b:83,129.66.72.117,RO46NOHD3780575342937515,ERN,34048299258
Dina,Tabacu,3540618378631,1924-01-01,"Strada Anișoara Dima Nr. 98 Bl. 81  Sc. 93 Ap. 374, Boldesti-Scaeni, 859642",0765 475 691,cf:6d:8a:06:b5:63,14.161.233.94,RO03VAGA6768023857617727,IQD,16216226594
Dina,Ionescu,4671028190533,1927-01-28,"Drumul Ivan Dobre, Ovidiu, 370787",0256 079 789,bb:e3:d1:ff:a9:03,108.149.209.92,RO29MOTR8749173012061787,CLP,48270206270
Olga,Georgescu,7771117081717,1943-07-30,"Soseaua Caterina Stan Nr. 25 Bl. 23  Sc. 32 Ap. 331, Dragalina, 576663",0243 877 365,3f:d7:93:6b:df:d8,166.225.0.164,RO72KHFB8963001451074461,GHS,17967195825
Saveta,Nistor,8071215439171,2017-07-03,"Intrarea Eftimie Nr. 61, Maieru, 861078",0730 861 611,e7:2d:98:50:38:24,100.242.100.198,RO20YAUN6317039737199869,KGS,66839003449
Norica,Suciu,1100411303545,2010-10-20,"Bulevardul Dima Nr. 260, Santana, 211248",0248 187 463,aa:7a:61:52:cf:41,15.197.86.8,RO90JEUY3764092513844588,BHD,67186737454
Tincuța,Popescu,2070611421911,1990-08-15,"Aleea Lorin Dinu, Toflea, 348897",0744 840 355,a8:70:17:9b:2b:33,14.170.111.91,RO46LDMG9538461623018148,KRW,33286974742
Bogdana,Nistor,6880702335572,1950-08-18,"Strada Nistor Nr. 158 Bl. 23  Sc. 36 Ap. 333, Modelu, 505271",0762 136 558,b2:6b:ac:17:52:df,76.212.51.159,RO66TWQP4655573122455008,BIF,98930319671
Coralia,Diaconescu,3120322366258,1996-04-07,"Bulevardul Draga Barbu, Beius, 548869",0266 076 007,45:7e:80:11:6b:3a,173.51.9.115,RO65KTRW6252265892697198,ALL,72858650333
Grațian,Nemeș,4640504126411,2009-04-04,"Soseaua Nistor Nr. 137, Aiud, 852019",0239 353 730,60:ba:38:8a:6a:20,16.89.182.37,RO51ADYO2499001567736041,GTQ,207352219
Lucrețiu,Mocanu,4900819259516,1992-02-18,"Bulevardul Mocanu, Buftea, 500755",0241 474 329,4d:67:d5:ff:df:b6,175.201.33.129,RO87GVSB3452207224632549,GEL,96735031588
Dida,Popescu,5571223359926,1988-03-06,"Drumul Marina Ene Nr. 35 Bl. 10  Sc. 93 Ap. 814, Odorheiu Secuiesc, 637469",0264 988 583,3a:0c:ba:99:a3:60,49.64.201.198,RO55SRTR1352460077396977,VND,78560839891
Geta,Ardelean,5390722258063,1950-04-17,"Aleea Constantina Ionescu Nr. 84, Valea Mare (Negresti), 788648",0752 993 365,02:97:e1:fc:f6:d1,17.98.47.223,RO30YNJX8916875617401701,KHR,10523307394
Grațiana,Florea,7640229397594,1978-09-26,"Bulevardul Popa, Dorohoi, 863142",0231 264 709,66:e1:53:29:da:17,30.103.99.58,RO27ACZD9037577337215669,KRW,6801913599
Antonie,Nistor,7250715451657,1909-07-27,"Soseaua Severina Pop, Sabaoani, 424106",0745 787 055,79:50:05:c2:5d:46,125.211.72.187,RO62UVVX9099692054258877,GEL,93978240313
Gheorghe,Diaconescu,8860627207332,1909-08-13,"Bulevardul Mircea Dochioiu Nr. 52, Copsa Mica, 495432",0742 357 184,d9:3e:f0:8f:c3:01,91.196.39.142,RO89GCAQ9680965854506594,TJS,19889791712
Emanuil,Pop,6180721233527,1933-09-01,"Aleea Suciu, Alba Iulia, 417213",0244 201 656,68:0d:ef:de:eb:5e,17.222.80.148,RO09UVLJ2719044731223696,AMD,53405456204
Dorel,Gheorghiu,2111013090586,1952-02-18,"Soseaua Ioniță Nr. 43, Valenii de Munte, 683086",0722 597 798,44:cc:18:e6:5f:97,92.128.121.174,RO03RSXM9617300015796492,CAD,57772231667
Manuela,Diaconescu,3100223136620,1933-08-09,"Bulevardul Aanei Nr. 50, Berceni, 707846",0768 877 397,f9:08:f2:7f:20:02,3.250.205.147,RO07DNHJ2266565047957377,VND,3949448435
Geta,Albu,6940923156670,2008-02-14,"Drumul Mazilescu, Buftea, 619279",0269 660 249,23:f0:21:b9:39:50,129.215.33.62,RO36IPCB0073114105880444,LTL,71116639566
Evelina,Eftimie,5810622150032,2019-08-25,"Intrarea Nidia Diaconu Nr. 24, Slobozia, 236464",0765 733 438,71:df:e6:57:b2:0c,85.41.49.164,RO92TGUZ9287287333156155,AWG,82840471271
Adam,Stan,7010816151603,1962-04-10,"Intrarea Niță Nr. 56 Bl. 20  Sc. 60 Ap. 388, Sacueni, 431207",0254 648 930,d5:6a:58:1e:43:f8,162.168.191.97,RO38ZPXB2193362984145533,CHF,99401629781
Adi,Ene,5460418335131,1991-03-21,"Bulevardul Popescu, Bumbesti-Jiu, 487005",0254 672 232,54:f0:cf:56:f8:51,107.192.165.113,RO82UBMX9157650784140850,HNL,84952775284
Speranța,Barbu,5900702311318,1963-06-30,"Drumul Oprea, Teius, 579533",0766 551 705,c9:70:ef:87:e0:45,85.54.23.156,RO97YCLH0504340032004843,CZK,76551292158
Olimpiu,Voinea,4080531454192,1913-04-23,"Soseaua Dumitrescu Nr. 187, Homocea, 343326",0739 710 360,4d:71:7e:d8:ab:56,70.156.14.95,RO15FCNQ6235538608625223,HUF,61708699522
Ana,Preda,5970808414403,1958-09-17,"Bulevardul Popescu, Poiana Mare, 249456",0788 872 186,fe:73:17:ae:51:b2,139.212.229.157,RO11YDSO2568329300711260,PEN,39696410742
Aida,Cristea,7470313223781,2001-09-07,"Drumul Ludmila Dobre Nr. 88 Bl. 68  Sc. 19 Ap. 692, Busteni, 787362",0256 535 730,69:2e:c8:8d:ef:54,134.223.141.238,RO56YQIE5675551882676056,BYR,68693012530
Gianina,Florea,6910905136721,1908-08-27,"Drumul Georgescu, Giroc, 997437",0761 307 614,3e:a7:91:01:77:6c,11.91.164.82,RO75LKJV0528115760212535,NGN,87428181248
Ruxandra,Tudor,4450311357962,2002-08-08,"Soseaua Georgescu Nr. 50, Pascani, 631848",0770 873 311,94:b0:8b:64:ff:6c,198.166.168.134,RO44PRNK0564860914989336,SVC,3532181575
Teona,Pop,5470908294535,1909-08-06,"Intrarea Pop Nr. 48, Dabuleni, 515574",0760 381 116,b9:11:fe:1d:78:b6,177.205.110.51,RO87UTMV8387309762397450,IRR,50326158550
Mădălin,Pușcașu,5770905073063,2008-06-27,"Soseaua Albu, Babadag, 417909",0233 509 929,01:e3:93:ed:21:8e,159.247.231.10,RO54FJOA1529963644995141,LAK,12224780730
Livia,Cristea,2671201232523,2009-06-10,"Drumul Diaconescu Nr. 35 Bl. 14  Sc. 47 Ap. 304, Bailesti, 393454",0750 987 253,28:32:3a:9d:64:8c,159.250.36.95,RO89FIHR1521426495931571,HNL,79596920129
Ionela,Suciu,7400206230142,1963-10-27,"Aleea Ioniță Nr. 495 Bl. 44  Sc. 97 Ap. 888, Simeria, 578918",0767 740 619,0e:17:ab:b4:5c:17,203.24.250.174,RO93GKZV7429070040764488,CLP,82529985427
Stelian,Cristea,2170620410698,1958-08-31,"Bulevardul Ionescu, Siret, 692939",0258 806 073,ba:03:69:44:67:4c,30.163.56.28,RO52TROU6634389471101273,GEL,1641213646
Alis,Stănescu,2960913044302,1937-11-20,"Intrarea Mocanu Nr. 77 Bl. 82  Sc. 98 Ap. 802, Prejmer, 801428",0259 993 086,98:0e:02:58:69:77,178.27.37.178,RO96TKRC8852240733907814,JOD,6903939949
Alma,Stan,5500727333737,1964-11-21,"Drumul Tudor Nr. 86 Bl. 44  Sc. 45 Ap. 396, Raducaneni, 581553",0756 980 311,27:a2:a8:ce:b7:13,48.174.4.111,RO33PURF1221039860290010,CUC,44666992287
Andra,Barbu,4320205456317,1949-07-15,"Bulevardul Romeo Stan Nr. 752 Bl. 62  Sc. 96 Ap. 558, Sacueni, 166632",0248 466 185,36:8b:19:0f:bc:4e,151.255.112.2,RO94SYMW4409968867839490,MNT,5834063736
Emanuil,Georgescu,7690814239876,1966-07-10,"Drumul Niță Nr. 336 Bl. 13  Sc. 68 Ap. 946, Botosani, 623253",0746 068 288,d0:6a:78:90:91:e8,197.131.20.21,RO27LQNN4521004038226839,RON,50393077134
Saveta,Popescu,4720520357510,1953-06-13,"Aleea Marin Nr. 99 Bl. 82  Sc. 35 Ap. 956, Baciu, 789392",0728 879 359,bd:e8:b5:fc:4b:c2,214.149.193.233,RO83FMNH8193871035382539,JOD,16899338246
Aida,Barbu,6010115288258,1966-02-06,"Soseaua Nemeș Nr. 771 Bl. 86  Sc. 70 Ap. 113, Miercurea-Ciuc, 276537",0750 206 922,95:8e:f7:33:fd:0d,170.22.62.175,RO64VMFZ5998212814596796,KRW,57625444494
Teea,Stoica,4411229135836,1980-11-09,"Drumul Aleodor Nistor Nr. 378, Bocsa, 883311",0257 394 240,1f:27:eb:cd:54:0b,198.42.86.23,RO21DFJL7883125293230139,MDL,2743729403
Florin,Ardelean,6680420148412,1918-12-03,"Aleea Stan Popa, Moreni, 916749",0751 456 093,a1:9d:66:75:4a:9d,134.69.192.213,RO38PSMT3600394299512494,MRO,73492697105
Camelia,Toma,5311205320736,1955-03-18,"Bulevardul Bogdan Manole Nr. 93, Dragasani, 263906",0763 107 501,ff:d0:71:e9:7d:60,116.184.214.193,RO68WDSW2112038022156542,TMT,12874264615
Nora,Dinu,2300826310756,1969-05-03,"Drumul Toma, Motru, 845878",0761 850 515,0f:25:90:c0:6d:a1,31.120.47.172,RO55PVKO3484119638959707,TVD,71012239434
Angela,Albu,8800322253426,2022-01-02,"Aleea Eftimie Nr. 510, Zimnicea, 836329",0732 191 250,fa:cc:f7:37:b2:00,58.108.15.65,RO67PLYK1490360443155737,TRY,34831908269
Andrada,Diaconu,7321014350532,1989-05-24,"Soseaua Albu, Diosig, 527324",0254 564 588,55:d7:28:d6:eb:b0,131.53.228.252,RO14UQRC6827575945737174,GEL,25356080748
Lucia,Dima,7680716216220,1987-06-19,"Strada Ene, Drobeta-Turnu Severin, 107871",0733 163 742,b7:60:14:9c:86:02,61.254.179.18,RO37HCMQ6233433675598694,ARS,30147769933
Aida,Dumitrescu,6830706032717,1998-08-08,"Aleea Constantin Popescu Nr. 399, Giurgiu, 423174",0736 362 609,68:5b:a5:4b:df:dc,3.174.135.39,RO67OHPB3603837530549624,KGS,64752128589
Teona,Manole,5670127265705,1943-06-23,"Soseaua Preda, Straja, 433433",0249 997 205,49:81:6d:db:82:f4,181.8.203.146,RO18LTLN6271745062803870,MYR,63041712312
Livia,Florea,8100914049081,1966-02-09,"Intrarea Preda Nr. 47, Targu Jiu, 910813",0246 104 315,b1:0f:77:c3:17:f7,54.80.178.253,RO04NXRD7288959977173082,VEF,76193631713
Severin,Nistor,6931231090460,2002-08-30,"Intrarea Stan Nr. 202, Breaza de Sus, 274804",0767 976 660,bd:f1:1e:b4:02:16,23.54.99.191,RO48RGWU5343461546659561,TMT,10032713286
Agata,Ionescu,4290106232746,1934-03-08,"Soseaua Florea Nr. 625, Carei, 734000",0788 279 082,50:1d:07:46:60:fc,75.160.20.254,RO13VCAC5430226666325230,ZMW,7151671859
Paulina,Preda,2060720151661,1994-04-07,"Drumul Benone Ene Nr. 708 Bl. 39  Sc. 45 Ap. 377, Rasinari, 691933",0258 949 679,4d:3c:ec:17:4b:b7,117.219.153.117,RO95WQOE1916010339007355,MNT,79026166343
Claudia,Diaconescu,3660619314716,1910-08-16,"Drumul Stoica, Lugoj, 905380",0728 822 094,f5:40:e4:52:b0:51,27.128.36.236,RO63FGOD2732902963742471,QAR,40452150567
Petronela,Barbu,1760124453001,1999-02-17,"Bulevardul Florea, Campulung Moldovenesc, 132430",0235 634 798,0f:74:7f:39:1f:c3,142.106.227.18,RO86SHPX5625050199007695,MUR,10998218798
Simina,Georgescu,2600819116194,2004-03-03,"Bulevardul Aureliana Dima Nr. 814 Bl. 72  Sc. 99 Ap. 977, Calafat, 755456",0234 987 821,a3:9e:4f:6e:26:6f,67.185.246.30,RO32PUFQ7082847541588441,BTN,55743645990
