iban,currency,balance
RO17JKRR7635974940204959,BDT,91460792481
RO88YZHU0003831697306781,ZMW,97651624523
RO61BTBM2312922572791079,LYD,98774000665
RO05FEFV1806752100481651,TRY,74425854754
RO64XDUX2129392325360904,ILS,98014280787
RO33GBPB5950781203411665,JMD,35445294975
RO89FOCL9588260479867289,SBD,49380372493
RO52IMGE4957348130457737,ERN,82717340028
RO32TPHO8497859447672807,PGK,17590909642
RO96EYWE8512520635308922,BYR,95942278180
RO32LDOZ1405329311696372,TJS,28816145037
RO15SUNX4400019446852738,BBD,83551310077
RO56CBST4251017669740433,XCD,67308334425
RO39APEG2301101394918384,DJF,94467458746
RO04EFUB6065231894149422,SRD,92581209527
RO84CARA3565320695123201,KRW,40855044145
RO35PTZA1644534842261657,STD,61922380116
RO19TVVD0051535536102979,EGP,74248551713
RO97YOJC3628064204347889,GEL,4211416940
RO06ITWE3284012269966603,AED,50880936899
RO48QINI6387111061087573,TRY,36269282809
RO79ROGZ4871952327947638,BND,68965746251
RO10PACG0940786490633530,BZD,14431918522
RO26LZYR2040267147974525,CDF,67313842765
RO80UREB2410405105336154,JEP,79090108329
RO49HFWS3603972501644889,LKR,81181197526
RO15KPUJ9164269205803766,GTQ,42267428108
RO36PRRA8236056392314864,KZT,52025672843
RO13XLNR3612833215831190,SEK,33611783357
RO81DCTV6426797250971511,SAR,327063905
RO56VUOB2588316431791711,MVR,42009943271
RO56KOIR8985607651590627,AUD,86742699525
RO87DUSH0935127288771098,DOP,69854815342
RO71UZCX0295511259396062,SAR,341589007
RO56XWJL6976744306387424,BAM,36571222103
RO93ORGF2445346612721172,LSL,92423170907
RO10ADUD3131834442990991,KYD,718405582
RO74HDXV8135335719761342,LYD,85622067152
RO71XBSG7104981747986996,MNT,21694398276
RO54LWEL6110686501527249,FKP,16106381120
RO72CLDA8832051077709096,TRY,80434729125
RO26NMIP0225227185552501,MKD,52809969885
RO50IVNL7140750939425179,ZMW,3335505110
RO37YCHH3505852622135425,CHF,56998031492
RO52ZSTG8476427412899552,UYU,14586855176
RO49VYAD1261110148182925,KMF,18122770580
RO13HFTJ9570007019308379,LRD,42510217816
RO96CBDM1315138620972112,TRY,96516321683
RO41GNFQ5086088008272336,CUP,82247395326
RO38GIEN3690193761105141,IMP,76110969570
RO41NVVT5070653750588289,LKR,69623429955
RO16BKMC0176907032407834,BDT,40642586903
RO07HGRU7973791551203568,IQD,73356501585
RO52NIJF5664089612504929,RUB,55707711967
RO24BJUI0540378586706757,GIP,99408533629
RO10YFGO3577196102444638,ETB,86721801084
RO19HLBT5034567643952426,GBP,87541361605
RO78NHLW8520467851656156,XCD,99758414160
RO76CVPE3943708075392637,LKR,85282068690
RO58EHSM0646070872396688,XOF,53564138979
RO91XVDV7829507129348141,TOP,19803916857
RO09EFMZ6059330253227011,KRW,7596099284
RO61LKNH7187117181616527,XAF,85100719146
RO02YQBZ3692652204670188,BWP,91590832773
RO55HVUE6982483788815356,BHD,35551775890
RO41CEGG8903302125974148,HUF,75048165806
RO65PPFG8581801271778137,DJF,3293903495
RO69NEYV2290256620662969,MMK,8438850953
RO58KCLW8317502799646271,GNF,73500355677
RO70RWNL0674352623734577,COP,19664154831
RO93YIPK3120877799361072,GNF,94214851901
RO28AVZA7876950471145329,UYU,60703767053
RO71KHUU0093807397850942,NAD,7060673079
RO70VNMT8307973158436377,PAB,37172157912
RO75TRIC1837481866905716,SLL,17238904410
RO05YMDX1811263941276047,KZT,86676969422
RO72FKGL1933903460565355,OMR,65521948374
RO80GEWM6217008751212849,JEP,17511169871
RO19UDBW5123313753150846,IDR,74876156100
RO19WQYE5999706101415296,ZAR,60976370817
RO13HKAE3567582182042529,KGS,16502240172
RO31WBCW7895140754320144,AOA,27588026805
RO26IXYH4887916990804776,FKP,4750031384
RO91RAUG1860210394577981,BND,34269889017
RO74VNEX6055940870388677,GYD,86847471141
RO45RFZP9576937886825267,KHR,32251124426
RO79HERE3132883024746882,SEK,52518310408
RO47FTPN5616175997236678,KPW,2552509057
RO18UKXJ4752403521307143,BRL,40360559936
RO97QYNG5256299803978780,LSL,94606551010
RO65YYSU5117943857647450,TMT,88796506217
RO62INHB4914757226761587,HNL,71521632371
RO93YVCQ9173366966373375,SYP,84797883932
RO10DOXE2190906689751752,MKD,49997336496
RO05RIBC9871797307999835,MZN,35131993619
RO48QFWX5079114980354884,XOF,74447274279
RO38ZCXF0969668632549720,CUP,38016164882
RO93EBKG7059111399769344,GTQ,14287966460
RO81TLLG7372752176149220,TMT,5670789356
RO52YDSZ2786698818726340,BRL,99246077904
RO49GQEE4274106079426986,TND,50075104708
RO38XJQO5482729342257844,XDR,20523705083
RO55LELW5471722009603454,LYD,95029142910
RO53NAHB5968395412407923,MDL,2495171281
RO57OFFM8704790568171035,HRK,26664507822
RO63DIQF3834883945856109,MNT,39902817334
RO88JXJX8456395240556695,SYP,41548588768
RO42SNGU9650110733926228,TVD,56484092409
RO16CQYX1256451969440243,TRY,23329842801
RO61MABC5245476689271427,NAD,98379619697
RO40YOLE2792329374259443,MAD,7378372135
RO04ALMK1986069514839600,SLL,31967401787
RO81VIAL6129316106307492,BRL,27433010259
RO95QJHA1030238868197022,IDR,44101262610
RO47GYGF0685489280579827,KES,32613318539
RO30UNJU8852492348710555,ALL,47219691579
RO23MOKF9507993393513404,TND,90509376568
RO40WAQH0753823250192216,IQD,15327072662
RO85GBHJ2190640290848158,TOP,36916905098
RO23JMQU9532300816748383,SYP,87591993986
RO92KQPA2471415530229299,DOP,76876760737
RO72AOHF9768870738617902,QAR,66472861205
RO19PULO0905592099216894,CHF,14328981359
RO16MGXB6155483961516357,LAK,29022806363
RO05SFPK4925534092033672,AFN,83712069182
RO72UQZO8402174210407521,MWK,66775902840
RO60TGLV7489404055240635,TMT,34033557889
RO51HYWA6713124377786945,BYR,18138845225
RO05XZHS2801338908167367,BSD,81249642481
RO28IITT2981960208009527,TJS,85219676047
RO32STYQ8010799956062556,EUR,23407566657
RO14WMUY8623834577038440,THB,92580043874
RO04BKUO7972227027835837,QAR,62661637347
RO62JHYQ2549557927554310,KES,37485343285
RO67DHZZ1179209028056152,DJF,23755595872
RO49ZDRR3350779448122341,IRR,70222229284
RO71REKC6678626767704594,RUB,88918540934
RO89WUCN0111195181650941,EGP,40840366522
RO02CDWS1049002658185915,KRW,54164603226
RO55QSTN5718904957058372,LKR,91962700802
RO75ZDOE1374599421662476,JOD,67905178307
RO51RAKO9973087141923598,RUB,47792665299
RO97GCHV8261149337014442,EGP,82690950067
RO30BZZY0545964819433721,JMD,52506615092
RO30VIEG5980205621318487,KHR,69834353045
RO63TQVS7058751865539757,BRL,45169992275
RO71KBRE4284403992870262,SPL,58362797185
RO11RAFW1377168375887058,SYP,65048290517
RO37RPKF2440359947203408,ZAR,26966518412
RO70CIQL7663835338097491,IMP,21957924148
RO60KBMP6822521515351386,RUB,64164086252
RO55PQMG1405567529763185,JPY,68153203050
RO10IYMN0856054825033267,PAB,84889999345
RO05SDSF6337110060465578,UGX,95412494925
RO78ZWES8731288064348340,KRW,17317587311
RO71WBWO6827165158504346,MDL,43904018521
RO60VPYR2845263406873063,RSD,65283140368
RO62KPJZ2678905696970300,TVD,14640402035
RO42IETZ5707880067378778,TMT,82751740587
RO90XCZT9269566606743111,GEL,34247528770
RO78CELO4926585687767131,FKP,76389144439
RO51HETU0983166904286640,NPR,47030856565
RO09JSPZ0828789101978857,LKR,58788714549
RO18EDYJ5613280710321903,GYD,88723794246
RO79QXYW9157096228032172,XCD,18339895490
RO26VZAV9143636367159043,NPR,1085448186
RO57ZLDU1531686859788270,MDL,37065576133
RO32OZTE9996363530412092,BZD,30998487729
RO47RKAU8828430749407490,SVC,47557544981
RO13EOQB2107453031217985,MKD,8965908151
RO72DYKD8855303616944651,PHP,87708512443
RO54QIOK3735727738776209,TOP,795224208
RO61PKEZ7491460435750590,AWG,17605038855
RO25QUTZ6947897968086723,NOK,82880727846
RO91CZWC5718246019640243,LRD,49149326926
RO02LGMW6674284132288844,NIS,85009683164
RO58ULLP5106193591139978,XPF,97802712000
RO62TSAU0473425620855634,GIP,40789794426
RO82NWCX2191681700849960,THB,72816499043
RO61GLOK1242862963775057,BDT,80746069669
RO93JJFD2859496651501047,PKR,2223694715
RO98JYZB6273849047158667,IMP,44334318971
RO29JXCN3729556788092491,NIO,40812876533
RO80RQKK3572757366629023,MZN,94109179715
RO34EVCS3649329121517073,LTL,73524743652
RO61EXOJ1722065948911947,FJD,9310126039
RO44LLIV4046971875523853,IMP,44077228578
RO67IJPS2037697958027020,SYP,98177576404
RO64COCV4118761823524612,ETB,79787483254
RO93CJUB6927629569894636,TZS,86039848155
RO22RNIG9276688799364976,GBP,13539151642
RO68QVRC6728526176755265,MWK,38259376419
RO16IVVH4573392454641994,ISK,75508150309
RO74MBLP8648037964413877,IMP,78082626595
RO40JVPY9159571877123774,AZN,24977881441
RO14ZYBQ1944426862478452,SAR,27795053408
RO05REZA2607193838601602,KRW,56973736887
RO97WPXZ1593348834725149,ANG,46530219032
RO58JSGJ3688454827740092,SOS,10844380319
RO55AUUE4050906031230964,CZK,39268892315
RO86BVTN5130784090675519,KYD,52220870939
RO73HROA1699010799644506,MAD,95330539706
RO15SLMY3629742852389567,AUD,89320207141
RO13HFRJ9579174046190247,GMD,53986773577
RO28GMSW7650340700555751,CAD,28583033204
RO15YFHJ6551333222958829,SCR,92667469241
RO95UDIT4176611696398579,VND,19920486185
RO80YNAU1090331395990141,BRL,74544278697
RO63YBDO0248028303655986,TVD,96159846846
RO33CKLP7823809571346701,KGS,31977117350
RO54VLRH8415470694884808,HNL,84374795534
RO81KWWB9996831518578317,RSD,65774971532
RO83ZCTA9886758373545323,PEN,97568749090
RO64QRSG9892195622158349,BND,14290084471
RO58VONH8483406063792725,GTQ,40219319770
RO64TGHT4963201717258207,EUR,76619230614
RO62ZENR1013890266312160,EUR,64651169544
RO87OQDT3363496752563443,DZD,68021151996
RO49PUTY2041437039898723,JOD,13515683263
RO02RHPM5730127671893342,MOP,88594784834
RO28WTUU9361250625138022,BZD,48114513363
RO94ZMJB3721157688127717,SDG,54086993039
RO53HIQN6248409296362978,LSL,86613479520
RO74YTZN2922870813449029,KPW,76037846470
RO52FQFO5895657479505008,LBP,66493967431
RO57TQUF4612910183152365,PGK,53468150573
RO91PSWD7471951120192340,LRD,91517028442
RO76UIYR6096631467471659,JMD,85515969230
RO40MIVW7183714108853240,JPY,16763057065
RO64ZCWR0373015039642800,MDL,41214823605
RO20ISHT2562028744002779,CVE,8659684924
RO34UXIM0053293734732442,KPW,89091149126
RO83HLGW6011162673505801,OMR,20186882026
RO55CHYD4757016276680323,VUV,48458548222
RO08VSER3682961853489158,VND,37382304872
RO82MJNF1523524327213702,ERN,72636345980
RO57YVNC6040660135486355,JMD,78591187289
RO47MJLG4842543608929949,AOA,13145665907
RO32ZEJV4345134664802142,KHR,2146352630
RO07NZUP0698264609708955,LAK,46576942455
RO64WEQE4644217341524137,BAM,40820665759
RO73VLEY2420347686721565,TND,18080213965
RO47WERF1224653898506640,CNY,2207884552
RO62OVRZ3191866880766225,MVR,76990124693
RO71DBRY4429327468497178,HRK,30973683337
RO61BBDJ8922133496502031,TZS,85200340292
RO26MVAC4952827929085556,HKD,52005668050
RO65PDIC7757533420351632,CZK,97578239217
RO54WSTB2796916792829543,MNT,95452818123
RO96ZBPC0375174949467595,HUF,93616300353
RO11FECU3749318231411946,GIP,76800066516
RO87RZHJ8745975710677005,CZK,18803491804
RO26SFSX9024077620803694,MDL,39331425806
RO58HXWX5824361420066716,JEP,25528588729
RO42OQXN3605920607500765,CZK,22312986885
RO19XFQH3497310935195086,SCR,21501975931
RO65OEEZ0178733451660523,CRC,14640237637
RO69VGFM4360903698023556,LKR,93134340822
RO70NJFA9099861060710783,GYD,35404220647
RO32QXZK7003910725497105,NGN,60041849837
RO13PBRL8957374456872842,XPF,51021801673
RO54VSUI9482943300097286,GYD,97509305577
RO62BZFE6266566267870743,SPL,42462866736
RO63BCKE0751271873173220,PEN,81500191479
RO46QUBW5530040926528367,VND,48208074730
RO48CCEY0607591307173109,SCR,25006065818
RO80TXMC6845525158035247,MVR,78873854950
RO02MEAK6338174954191056,BOB,52663822776
RO31YUEP6490617495309857,MAD,10366269103
RO41RVAV5467739196412853,KPW,5124989756
RO03OQKH6864011566671789,ZMW,23212015921
RO33SEHD5509587422635451,MAD,40151417539
RO19XJTB1860641853620110,LRD,83026821853
RO60QKRI7269075652192534,TJS,99872984098
RO84OVBJ9151475028528077,KYD,81601064203
RO75TVHF9012771413209157,CHF,37024304064
RO72WJTG1166794632315806,BAM,82121096078
RO04WPWI0777839897956593,SAR,66019233651
RO64PIND4499288426693633,XDR,28387112500
RO68CFAC3209968584212130,NPR,47720985902
RO84EGVC6802549462548648,TWD,7923555319
RO18OQLB0397226275231630,CVE,70669604507
RO68HAHH6335425637535537,MDL,11458722541
RO56FPBY2622531895393630,MWK,18518979149
RO50XJFG4075115246256503,ILS,62025341323
RO56QFRJ4037072807259440,MXN,41055995085
RO04MMLV9724139762622496,MDL,88729331807
RO87CUKI1443356590243784,PLN,45501333091
RO24HFKR2986920747038065,LBP,42478230730
RO84RFVF8497949491776064,SOS,62529795105
RO14OAZV7987221699177360,SHP,66755522916
RO62RLWZ6674677418914989,BIF,45660157120
RO59CUXF5947068370237549,NOK,2835485279
RO07XPVP4935528027450787,CUP,61241225004
RO17MXVP5493007746254344,MNT,10953835795
RO96PQLU7708887128503889,BIF,38497351390
RO63YPYT4888772371216046,JPY,52284255695
RO71WJJO5396959503632793,KHR,68950348576
RO50URQZ8388884971611811,JEP,5177263500
RO73LTYJ9606961619198551,UAH,19180016323
RO47WOJE4887573044499371,SVC,11151642198
RO51LRGP5632332478216054,LKR,40562208353
RO68POFA2404238254623725,GHS,85223853886
RO44YOKG0787938661654141,SOS,41265731548
RO54GIKP8097424676721119,SZL,78792414968
RO86CEQM0837148736073142,PEN,45690203495
RO60UJEI4263169337947278,KGS,53698734885
RO78BZWO8251212433396968,EUR,21346198046
RO64JHDZ5689942600237475,TRY,96913792308
RO61CJCR4866138058380433,STD,84181650266
RO50CIIB6053010420132478,ANG,9107000003
RO86AFHM5704060515117143,LRD,69801630777
RO30ODRE6808647345322562,BWP,53515963942
RO61GRSC5678560413539956,CLP,70065395817
RO02MAOT5853667506833517,GIP,29059619763
RO83JHLK0758243437827318,ISK,59188895670
RO46CAIK0373692051364066,MOP,33432247275
RO68HALU6407020932061474,TTD,7129412851
RO42RJYB7101669789791426,ISK,72741554074
RO35LBUO7985999652186633,XOF,4055108605
RO13PXIS2108766500119248,KMF,45522673951
RO10RTPK9103930815046295,MOP,3731063528
RO03JCJX0315180487059238,SRD,78888941265
RO95KONT9592904530920290,CRC,20532461279
RO68JEFW0546664882049157,NPR,6125333796
RO82AGHR5269865593034998,AUD,69414968559
RO23WGTH9218504985835298,WST,85954155460
RO39EAMF4974622310915230,BDT,2902612515
RO03IEQY4706540546717061,BTN,22289619617
RO37WFTL5016841738661203,ZAR,59983119672
RO69MAOY2351533469142081,RON,18744919823
RO13RYBR3796462330761055,KRW,59680368431
RO66ZOAD6793107986271737,IRR,39920320843
RO25OLSC0943910557605828,AFN,37677479630
RO31AHIE5713255517274802,BOB,75652535546
RO35FMFZ2282537842969398,JMD,47262363630
RO86YYEI1254730407156608,COP,90603148773
RO42AXHX7509948852942042,KRW,73069448854
RO29QCJK6534465518733144,BND,27755879347
RO58HRYP2394667667410661,IQD,79586033326
RO07QDNB1655905260955948,CLP,10149163847
RO20XXPO4272495114452030,HNL,27571306184
RO91QOTK1527705372551049,SHP,61393318325
RO84YGBB0855538429189684,UGX,93685848358
RO15ISFD5037889274428730,EGP,56105058135
RO53GQSD8970185317118671,JOD,96436334736
RO57JERK9411478460674106,MUR,80509059452
RO92PYEL9500659656456954,GNF,57300228508
RO63JCZU2641892238122470,CHF,78596830358
RO84CWZA6140047517303235,CLP,74080196309
RO90QSMT0959983860509470,ZAR,44812338440
RO30MWDD9755879998915867,NIS,92818688242
RO02MZPU1451746771514023,DKK,84066299421
RO23GKRX1580040430889905,PEN,6896620827
RO74XREA0175143921570481,VEF,87529415314
RO80IDXH1156806284705663,YER,24996320828
RO04XZON4846669664670674,CAD,9703299948
RO82CHGH0669824896060917,LRD,21227493091
RO98FFTB8496669142362135,MWK,89424434929
RO73RTZW5685239510671695,XAF,18797142488
RO73ECMK6657234112923822,ZMW,18566439257
RO74VQUU8032311416012487,HNL,80542280356
RO76DCZM2976356600023499,ISK,99397694867
RO19HKKD1996977269780066,ZMW,64797072740
RO71NBNX1606165925675024,TRY,84821282966
RO03EBWF3070779469562335,TJS,6374403033
RO20AKJA3929630599514658,MKD,79450459200
RO19ZQDQ3949871412244103,IMP,85011547477
RO60PBOD0491407345686737,PGK,56626833922
RO48TKJD8070257178981944,OMR,83640901916
RO79TQKI9945591967787986,ISK,30534548019
RO16WVIQ0535247809956858,SGD,17390686933
RO21SCJC1855944874677655,RSD,35192490154
RO25BYKM6665507887455908,MKD,37313802167
RO04CDFY5342700639913622,XPF,32444466793
RO68GBML0746463963741587,CHF,9086404225
RO61WPXF0103725002534442,XAF,4946427438
RO24TQFU6034051020040211,NAD,50430697260
RO95EIQH8627149225480389,CLP,13551751876
RO42ZYRX2393093196127730,COP,54597360717
RO87TBPC2408750971158772,EUR,7816771446
RO72KDDB8691278278570045,LAK,4716881868
RO68DGMX5960201094972683,IQD,93986426935
RO40QWRI8941283022061514,NAD,41893945049
RO10IQKK1720993584172400,STD,83602675403
RO88RTPV2086712633550945,USD,72169700090
RO36ILUT0739868177872913,TOP,97729003821
RO69QAIN0113969314301203,JOD,40787272216
RO15KLFM7531734829924718,NOK,45164899146
RO44KRWK4145275142597950,SAR,41889584102
RO88VXQK9244046766542778,CUP,300013250
RO33TRYK6427693332410856,BWP,8316734179
RO78WWNN2780834953117713,MGA,58340964491
RO77YZSV4097693166232593,CHF,26077751839
RO96GHOF1154120690479997,NOK,26967203880
RO40BYVZ2946366870075472,STD,84708737444
RO41HBSW5225909307921107,GGP,21575897192
RO60FQLK7536448843606046,BIF,50450119463
RO38YXZS2212373793322466,QAR,65573078388
RO88KAJO6078093376247224,CLP,72005727844
RO28ILMM3273074434901129,MZN,52693493899
RO89RUWQ7733842355418426,XAF,37962852997
RO29UCGM9367648456198407,SAR,95618590129
RO83AYMD0652877059716904,RON,68940115187
RO74GVYC4684340157483969,IQD,10940014939
RO64LAEV9361571378885769,SCR,9529692847
RO21SPZE9924965440588456,PLN,68867882633
RO34IUNM4087977285654222,PEN,78148947419
RO64OJHQ3019064500547115,PLN,80549255072
RO38ZXLY9021377084055707,DZD,96392271366
RO40QKKE3735987222982634,USD,77891836509
RO26EYPO2262684637520831,KGS,65553822998
RO26GFVC7848769167723231,OMR,17758189933
RO41UZKN2954400507976595,KGS,35613482820
RO60HROD6185601017028812,INR,36967631671
RO54VWBR2215671807857452,GIP,9406480246
RO46FURO5802777724446301,MRO,85455281195
RO30JKZP6908051540387332,GTQ,4853870929
RO07RBJL8172510248253284,SDG,6675191063
RO63SESK1729299836640304,SEK,679820818
RO67AWLN4656251510949119,KES,9090142227
RO95OPTH9848242712655752,TOP,84592582863
RO67IXAF4272009925396087,BYR,14371492677
RO63YLTY0964263208715583,DZD,48715180884
RO95DUWB8738747733706722,IRR,70557367332
RO49AFLI5561944240375760,GTQ,64337372013
RO44NDTG7553468010144714,KYD,93213957761
RO90KFBV7372028566879336,UZS,40463332461
RO68XKKS1562922877678405,NPR,38813773206
RO97OMMV6447252758788947,KHR,38450460175
RO31VGEK9989965350140425,TMT,61071277662
RO91FNAM0755745382106583,MVR,43288384286
RO70TCUP3622461020845216,ZMW,39881057238
RO33ZNOT1317585853121286,CUC,59278079712
RO30PEMC5090778928621053,SEK,78463778628
RO58VHBF4589709514547027,AWG,42270671254
RO84ISTZ7267181341555540,GHS,89864278423
RO41MEBB0520030197924740,LTL,69092309160
RO05LFIY0830371275243221,MRO,41458922601
RO29VDIR9720272747072190,PYG,86946776285
RO10DGIJ7650755291071769,LSL,17728444420
RO51HOUC7063620301064389,PYG,73675353509
RO07HXRL1956832322765380,THB,63604783623
RO54KDCS0001372650200890,LTL,61577515611
RO57LLIH2615720248436230,KWD,59231522669
RO91ARLP4652056637819633,ZWD,48012277984
RO12KAFW9714256492680524,UGX,51781913710
RO55MIUA8009786270660316,CUP,67193965098
RO71SUER8960515769004320,FJD,12673823151
RO08VURX5890390568555415,CAD,44752102733
RO98NIBD1268490835848351,JMD,68791532259
RO61XMHX0859619728418387,JMD,25305782172
RO38RTAI6281461442158301,NAD,48868730196
RO20MFCU9362787744219041,NAD,78637130728
RO26DEJJ1132613042067646,CDF,23244539766
RO88SJXM1723890449041561,FJD,22901042338
RO35HOTN3500260619682873,ZAR,96390252081
RO27VPAH2086363208678562,SRD,53910992077
RO67IGUO9944928856142341,XAF,22295883475
RO41CTNT0414162101774183,SLL,62333980821
RO96ECVQ7714905293021549,IMP,69541175514
RO89BSYN1528302877562873,CHF,23460550999
RO94PMMP6294101024773062,LYD,10660294618
RO04FYFY6438152911813794,BDT,3708877258
RO81TAFI8085968243083029,BOB,17545505409
RO68FFOP6180724036595444,KPW,65361299946
RO11QBWN8294423447575375,BZD,41892701218
RO63FUZG4269892006578742,NGN,12197918181
RO66XSIS8786394860185575,CVE,20099611193
RO65BMIU4054471459639428,GMD,72407606752
RO52AWWV9090186825063035,YER,59625488939
RO64CUFJ4458516816766042,JOD,68787976476
RO59OYWY2616438540351298,AZN,41349678585
RO86LLWF6829266122922500,DJF,64855545981
RO34KUSG7857289947419222,JPY,61455863401
RO60SOVW3899903168215083,STD,4806364055
RO45OXZJ4836325750032751,MVR,71111546550
RO85NZHD6088474715027594,IRR,60767559816
RO18VJNL0156189900899035,INR,54674491699
RO12MSTH5319640164956668,CUC,53800361157
RO67VSAW8008983142717770,BAM,85203936381
RO75DHAC9479661888989776,NIS,95836486788
RO04CRXD7760974297629910,MGA,77383666340
RO08UAZO3917647267759448,TTD,79949664689
RO91YBBA3368033574397787,KMF,33423707116
RO41MVEJ8512174887584582,LYD,86665140027
RO98NDIM6886087188652805,XOF,69688202267
RO37FUWY6283027960888325,IMP,28507802715
RO47UDAG4632946051596907,SCR,5959945683
RO07XTMR0598119177733847,IRR,32156438396
RO46SCGY9169776366581454,AZN,85217466288
RO47KBFR6487871933939420,CAD,67133761534
RO95MVNB9535050631332114,HUF,88453350497
RO28YYWB5867979160609730,EUR,49215498391
RO02MCQY1959659918792758,PAB,76090313152
RO74IPJA4492340780535340,NIO,73414453767
RO52IXXA8380844456471962,SLL,37289399326
RO38TEPQ7773037214336869,KYD,89729884463
RO96CJEQ7241456522583402,GMD,67406299558
RO74HYEE1121817851624404,GGP,45030847095
RO02ZYUZ5809915677887003,SZL,91263313235
RO19TQNI1222323871316608,TTD,27924787050
RO13QWKO6354645321826940,SYP,36883332255
RO12MKFX7057945565995588,CHF,16160953229
RO47SCNA2298429663642607,NGN,98363746217
RO21CAZC9113927221582443,PYG,14169737330
RO03ZPMK2843433611588796,GIP,41046337128
RO36IMEX5691197266271437,PHP,94606849013
RO85ZCXW8410086355844595,XOF,28402529950
RO90KZNC0390526269040205,CLP,92067289447
RO51LXVI2392478664633576,KES,25582952267
RO20UZFO8564611996568227,XDR,46705828405
