personal_number,birthdate,phone_number,job
1480824175498,1973-08-09,0771 140 501,Controlor Poarta
3190314309054,2013-07-16,0254 173 669,Inginer De Cercetare In Instalatii Si Utilaje Pentru Transportul Si Depozitarea Produselor Petroliere
3070626512735,1980-07-31,0762 075 935,Montor Emisie
2110212357069,1915-07-28,0769 951 718,Cercetator In Geografie
4010911272651,1961-12-21,0754 032 205,Inginer Masini Hidraulice Si Pneumatice
1520111307578,1990-02-23,0243 583 300,Muncitor Necalificat La Ambalarea Produselor Solide Si Semisolide
7441216178589,1971-03-29,0739 857 885,Fermier In Productia Animala
7860212156759,1954-03-24,0253 723 462,"Asistent De Cercetare In Bacteriologie, Microbiologie, Biochimie, Farmacologie"
8880908111501,1915-10-02,0243 906 921,Modelor Prototipuri Auto
8200715215817,1998-08-16,0760 836 892,Ignifugator
5510814440109,1926-06-04,0235 688 418,Operator Meteorolog
8721120152639,1923-08-30,0761 849 388,Fermentator Otet
4170930278224,1957-08-29,0740 668 958,Linolist
8410517447749,1913-07-12,0247 342 158,Inginer De Cercetare In Prepararea Substantelor Minerale Utile
2740710418231,1929-11-23,0269 252 850,Inginer De Cercetare In Echipamente De Proces
5140507468336,1975-12-31,0732 920 734,Operator La Sfaramarea Minereurilor
7670324409647,1962-01-25,0747 733 052,Diriginte Santier
3650419165891,2000-12-13,0241 085 876,"Masurator De Gaze, Temperatura Si Radiatii"
2180822162943,2023-10-26,0745 606 787,Casier
7520115160741,1994-01-27,0757 875 097,Liftier
1080516397261,1954-07-27,0732 482 734,Regizor Studio
8120718247132,1994-04-10,0727 617 726,Sef Licitatie
7340517440064,1979-02-17,0248 673 433,Evaluator Asigurari
6680605443732,2002-12-03,0238 258 595,Tamplar Universal
8450931267965,2004-08-06,0721 047 890,Preparator Benzi Cauciucate Si Compozitii Emplastre
8720815359625,2023-11-26,0770 310 132,Vinificator-Pivnicer
8480424526799,2005-12-18,0732 411 423,Tragator Fete Pe Calapod
8050518340401,2023-01-22,0758 775 717,"Functionar In Activitati Comerciale, Administrative Si Preturi"
8080826353205,1977-12-27,0239 207 025,Secretar Al Organizatiilor Umanitare
7220420120912,1930-09-29,0711 373 103,Maistru In Industria Alimentara
4880107334843,1974-06-17,0253 736 148,Sef Complex Zootehnic
6790125360873,1938-02-28,0768 036 836,Incleietor Placi Aglomerate
5341021023428,1949-06-18,0234 641 868,Tinichigiu Restaurator
3490516040637,1963-09-22,0254 083 699,Chestor Parlament
3830624211847,1981-02-20,0240 519 092,Cercetator Economist In Economia Generala
5180313323472,1949-01-15,0726 664 289,Telexist
7120910201056,1947-08-18,0720 513 408,Agent Tranzit
8070709135040,1991-11-27,0244 597 171,Organizator Prestari Servicii
2331018394440,1985-05-16,0767 024 180,Servant Pompier
4670402060728,1972-08-19,0740 722 371,Operator Metrar-Volator-Dublator Textile
2990925112868,1918-05-23,0260 384 991,Analist Investitii
3450230112757,2015-10-30,0786 948 001,Cartograf
5101009354316,1916-07-25,0739 614 969,Muncitor Necalificat In Agricultura
6451105147627,2019-08-06,0771 425 245,Pregatitor Si Montator Utilaje Tehnologice
2320422046924,1956-12-05,0732 546 501,Inginer Mineralurg
4450825194689,1971-04-02,0759 731 320,Operator Textile Netesute
2710416143581,2002-02-28,0733 389 837,Cercetator In Demografie
3920612392347,1925-12-05,0721 737 717,Administrator De Retea De Telefonie Voip
3280721250991,1950-01-02,0765 457 798,Modelier Confectii
7090225063892,1958-10-19,0242 897 202,Operator Chimist La Producerea Diverselor Produse Anorganice
8650127101055,1910-11-01,0739 637 971,Asistent De Cercetare In Telecomenzi Si Electronica In Transporturi
6380311435338,1919-12-31,0254 897 204,Mediator Social
8290704345819,2002-12-08,0238 679 836,Cercetator In Metrologie
7100922015742,1985-06-25,0233 021 836,Expert Jurist
8440419080284,1945-07-01,0724 343 937,Administrator Bancar/Produs Leasing
6860525121785,1972-06-24,0748 458 103,Masinist La Linii Automate Aschietoare
3930912283645,2011-04-26,0741 493 448,Expert Accesare Fonduri Structurale Si De Coeziune Europene
3970513298722,1969-09-23,0254 275 485,Inspector Scolar Pentru Invatamantul Special
7760306274044,1995-05-19,0756 323 920,Confectioner Tuburi Cinescop
4720330350786,1975-10-05,0736 325 732,Agent Literar
7990114074977,1974-09-05,021 659 0562,Tipograf Print Digital Si Offset
6130601254413,1977-03-23,0240 663 497,Camionagiu
5941120048965,2023-08-08,0742 460 346,Cusator Manusi Piele
8510614365990,1959-02-17,0269 599 944,Reglor Benzi Montaj
6500911469176,1947-11-20,0740 716 069,Telegrafist-Sef
3120304204981,1928-06-18,0255 073 570,Sef Atelier Telecomunicatii
2941124375522,1929-02-11,0265 971 996,Confectioner Toroane Si Cablaje La Conductori Electrici
8591006403028,2019-08-28,0749 254 439,Montator Electromecanic
7480706155331,1952-05-03,0253 058 091,Lucrator Pentru Salubrizare Cai Publice
5150403341952,1992-10-09,0788 464 540,Inginer De Cercetare In Tehnologia Substantelor Organice
2660231293219,1934-02-16,0747 490 822,Manager De Zona
5770820468411,1964-12-17,0245 273 743,Crescator De Animale Mici
5880118417953,1971-03-18,0762 148 577,Preparator Invatamantul Universitar
7900108152571,1963-09-12,0241 831 485,Inspector General Vanatoare
1110521286875,1935-11-13,0267 525 277,Emailator
1730915296957,1928-03-23,0748 460 921,Maseur
3060115355293,1990-02-07,0757 168 316,Operator La Conditionarea Si Prelucrarea Plantelor Medicinale
8620610050804,2004-09-29,0768 768 277,Presator Stuf
3830617193695,1985-04-14,0755 109 445,Sef Unitati Miniere
3860105320554,2018-11-13,0751 808 615,Agent Cumparari
6141115199422,1922-03-15,0742 213 332,Sef Departament Banca/Sef-Adjunct Departament
1100924454646,2012-09-20,0264 847 934,Vanzator Ambulant De Produse Nealimentare
2290318177111,1924-02-06,0247 171 114,Referent De Specialitate Inginer Industrializarea Lemnului
1050618141817,1965-04-23,0752 447 747,Mediaplanner
3380414020841,1968-01-05,0762 108 863,Confectioner Protectie Dielectrica Pentru Acumulatori
2210409466218,1955-09-03,0759 842 690,Cadru Tehnic Cu Atributii In Domeniul Prevenirii Si Stingerii Incendiilor
5601104377342,1909-07-17,0741 299 583,Radiochimist
6090218325365,2007-04-26,0734 116 917,Modista
5010818100295,1986-11-17,0721 614 876,Decuscutor
5940229254670,1930-12-24,0723 426 846,Multiplicator Sabloane Croitorie
1520508186856,1962-07-06,0248 976 176,Instructor De Dans
1790917392561,1999-04-05,0757 490 091,Presedinte Organizatie Politica
5500927344143,1974-04-07,0249 486 774,Proiectant Sisteme Informatice
5581115133661,1982-03-27,0240 805 389,Inginer De Cercetare In Echipamente Si Instalatii De Bord
6940402516184,2003-04-12,0766 804 982,Electromecanic
6500825031086,1953-01-22,0239 535 010,Vopsitor Imbracaminte Din Blana
1730216456962,1994-03-25,0245 661 554,Expert In Securitate Si Sanatate In Munca
5860628217927,1947-11-24,0756 989 862,Operator De Handling
3740529114137,1917-03-17,0725 076 357,Asistent De Cercetare In Tricotaje-Confectii Textile
3500223188810,1950-01-26,0259 698 089,Organizator Targuri Si Expozitii
3681009307765,1966-04-25,0256 089 200,Sef Echipa Lucrari Arta Metrou
5730704521522,2004-06-11,0256 658 242,Conditioner-Finisor
3811003092994,2020-01-25,0771 206 655,Referent De Specialitate Botanist
5040502221888,2020-11-07,0251 761 183,Conducator Autospeciala
8610222522989,1981-08-03,0780 220 475,Oficiant Telefoane
6800808161150,2002-11-09,0258 156 820,Manager De Zona
8411014163001,1943-05-31,0764 759 026,Conducator De Intreprindere Mica 
1850611355371,2018-01-06,0743 810 773,Director Palate Si Cluburi Ale Elevilor
3420431291235,2022-09-18,0786 411 204,Sef Serviciu Navigatie
3281214142671,2015-03-27,0725 013 007,Administrator Editura
6080724067756,1918-12-20,0760 760 590,Expert Biochimist
7850105245077,2013-11-29,0235 427 418,Preot
5830316339229,2014-02-14,0237 743 726,Consilier/Expert/Inspector/Referent/Economist In Comert Si Marketing
4441108078892,1988-01-10,0751 608 779,Inspector De Trafic A.R.R. (Studii Medii)
4650607173674,1953-10-04,0242 980 306,Comisioner
2990920350260,2022-10-29,0738 127 569,Acompaniator
1020927140419,2002-12-07,0721 738 321,Barman Preparator
4580631253509,1963-04-05,0727 100 938,Diriginte Posta
3851009234458,2013-04-15,0247 947 348,Crescator-Ingrijitor Animale Salbatice Captive
4100630439041,1934-07-23,0261 048 513,Ofiter De Punte Fluvial/Portuar
6080307061301,1985-02-14,0728 851 235,Protectionist Silvic
2620314067563,1923-02-07,0758 646 394,Executor Bancar
5750315249771,1990-12-25,0262 757 570,Repasator
4350526416931,1980-09-21,0751 047 180,Consultant Conditii De Munca
2261114179041,1968-12-06,0751 619 128,Inginer Autovehicule Rutiere
3510428086205,1997-10-23,0731 663 186,Pompagiu
4410828067624,1986-03-05,0756 352 896,Sef Birou Pensii
2030908062115,1967-09-18,0788 750 624,Secretar Parlament
2500721339154,1986-07-08,0258 686 303,"Operator Deratizare, Dezinsectie, Dezinfectie"
1510426088832,1981-11-19,0236 744 049,Sofer Autobuz
2960823440954,2008-09-08,0752 457 734,Operator La Fabricarea Produselor Congelate De Patiserie Si Panificatie
7211012195945,1961-03-08,0720 076 537,Preparator Napolitane
2620703317532,1917-01-08,0724 921 071,Operator Injectorist
7140607262106,1938-02-04,0741 003 444,Manager Tehnologia Informatiilor Si Comunicatii
1970120511265,1954-06-01,0756 671 968,Conducator Intreprindere Mica 
5530503225734,2020-01-10,0240 536 434,Purtator De Cuvant
5080407091399,1915-09-05,0728 745 114,Amc-Ist
2851213359127,1999-11-09,0740 944 930,Zidar Cosuri Fabrica
4560228332083,2003-09-29,0244 198 081,Subinginer Electromecanic
1270420340027,1965-11-13,0758 416 521,Muncitor Manipulare Si Pregatire Furaje
3260621336501,1938-03-26,0729 123 442,Cusator Articole Marochinarie
8871004061166,1994-05-30,0244 820 549,Operator Miscare Metrou
1020828370785,1996-07-12,0252 374 287,Izolator Fonic
1660312325914,1978-06-30,0731 502 168,Fasonator Produse Din Azbociment
2010910114763,2000-06-13,0232 203 351,Operator Comercial
8190514431423,2023-05-29,0734 542 544,Fiziokinetoterapeut
8550412332141,1966-12-14,0780 452 529,Sef Centru Zonal Interventii Radiorelee
5020407345925,2010-10-09,0256 982 493,"Agent Dezinfectie, Deratizare, Dezinsectie"
3380309025894,1994-01-27,0726 845 298,Maistru Prelucrari Mecanice
4020630105970,1955-03-02,0784 242 161,Sef Birou Industrie Extractiva
4780605178863,1935-03-30,0759 561 882,Sef De Receptie Hotel
8160428148313,1971-09-15,0724 488 821,Scenograf
6281206231621,1976-09-25,0743 148 397,"Cercetator In Tehnologia Celulozei, Hartiei, Poligrafiei Si Fibrelor"
5611006408065,1939-01-12,0253 188 387,Auditor De Sistem De Management Pentru Sanatate Si Securitate Ocupationala
1400814354141,1987-03-16,0247 552 030,Cercetator In Mineralogia Tehnica Si Experimentala
1690316375959,1982-06-08,0764 553 734,Sef Serviciu Informare Zbor
5610430052525,1979-06-19,0735 552 564,Ofiter De Punte Maritim
3380306061134,1920-06-08,0742 244 977,"Tehnician Protectia Navigatiei Aeriene (Comunicatii, Navigatie, Supraveghere)"
5300305224290,1961-01-13,0266 817 856,Sef Unitati Miniere
7100204042983,1999-11-17,0772 204 771,Maestru Corepetitor
4780925086434,1941-08-29,0739 968 778,Analist Investitii
4420607199146,1990-11-07,0260 111 684,Confectioner-Asamblor Articole Din Lemn
5100225145529,2008-09-30,0262 782 110,Preparator Ppf
2230603059610,2009-08-10,0732 025 742,Decupator Lamele Din Lemn Pentru Lazi
5820219117201,2019-03-11,0245 974 478,Facilitator De Dezvoltare Comunitara
3770914182021,1911-03-05,0788 366 838,Inspector De Specialitate Inginer Chimist
5510727128703,2016-09-20,0736 166 233,Decapator
6370514130092,1969-09-23,0747 542 755,Ramar Poleitor
8880624066472,1923-01-21,0236 991 923,Confectioner Jaluzele
7470916304589,1950-08-18,0244 469 372,Coordonator Presa
4070718012244,1917-11-01,0730 596 006,Operator La Instalatiile De Cazane Din Centrale Electrice
7121119031979,1922-05-14,0724 798 723,Lucrator De Tineret
1950620353738,1923-12-02,0236 203 166,Corespondent Presa
3710123127345,1989-10-14,0722 681 143,Expert Matematician
2650413086166,1942-04-20,0729 618 380,Operator Fierbator Textile
5740212139931,1947-10-13,0788 427 715,Operator Bobinator-Dublator
2241127225867,1952-07-16,0763 374 763,Inginer Electrotehnist
8840502294987,1942-09-02,0755 036 133,Agent Comercial
6930707076819,2010-10-07,0231 229 567,Operator La Fabricarea Nutreturilor Combinate
8540316083251,1971-08-09,0232 006 432,Director/Director Executiv Conformitate
2941020041699,1928-09-15,0726 960 944,Inginer Sisteme De Securitate
8300329430481,2005-08-02,0752 312 314,Conducator Intreprindere Mica 
8820926431987,1980-01-16,0752 702 685,"Acordor Piane, Pianine, Orga, Tambal"
1091124127469,1919-05-17,0737 046 804,Verificator Valori
4181209443777,1909-06-25,0753 328 200,Prajitor Minereu
8881221418986,1994-03-19,0249 456 586,Operator La Masini De Tricotat Circular
1790514445300,1980-04-06,0259 268 558,Confectioner-Montator Structuri Metalice Pentru Constructii
3950913371201,1923-09-08,0738 102 378,Baci Montan
8291126023011,2021-09-18,0735 798 257,Fasonator Calapoade
4270827166487,1976-01-13,0238 177 887,Izolator Hidrofug
3750202266366,1934-08-19,0780 188 965,Cercetator In Telecomenzi Si Electronica In Transporturi
7380427036822,1966-08-29,0749 542 981,Programator
2020227238089,2015-10-08,0752 743 258,Farmacist
7900312400350,2006-07-18,0729 274 932,Referent De Specialitate Biochimist
8621120330027,1986-03-24,0248 605 922,Impregnator La Innobilare Pfl
4240428294803,1994-11-24,0764 577 089,Croitor Confectii Industriale Din Blana
3121105149306,1919-02-11,0784 584 995,Curatatoreasa Lenjerie
8920631361404,1970-06-05,0247 607 302,Operator La Utilaje Pentru Subtraversari
4200407288743,1993-02-01,0247 639 072,Inginer Topograf
1670713215600,1969-07-27,0721 151 131,Presedinte Senat
3420408253216,1952-02-17,0740 408 004,"Director/Director Adjunct, Inspector-Sef"
6831222131431,2011-06-28,0772 208 879,Mecanic-Montator Instalatii Cu Cablu In Silvicultura Si Exploatari Forestiere
6021228110061,1989-04-14,0243 695 761,Scenograf
6561214108487,1933-03-17,0739 942 537,Sef Trafic Auto Intern
3691030332081,1917-05-27,0245 205 392,"Cercetator In Tehnologia Chimica A Produselor Textile, Pieii, Blanurilor Si Inlocuitorilor"
2550508115147,2015-06-02,0785 527 577,Masinist La Confectionarea Spetelor Si Spiralelor
6921103412391,1943-05-06,0741 758 779,"Tehnician Proiectant Textile, Pielarie"
4911120347784,1971-12-16,0756 653 249,Asistent De Cercetare Economist In Gestiuneaeconomica
4870201322569,1967-06-14,0766 200 256,Preparator Amestec De Invelis
3200909083093,2015-10-14,0761 365 061,Operator La Instalatii De Tras Si Laminat Geam
5100131145263,1937-06-10,0244 764 488,Operator Abrazive Pe Suporti
1530824525399,2006-02-16,0249 205 855,Asistent De Cercetare In Petrochimie Si Carbochimie
2320924512341,1920-02-16,0735 882 906,Imbuteliator Fluide Sub Presiune
6340917017262,1955-02-06,0724 301 908,Medic Veterinar
7681003068784,1932-02-11,0247 591 615,Editor Rtv (Stiri)
1651206170597,1926-02-13,0762 167 557,Inspector General Penitenciare
8981001210913,1974-03-20,0239 348 519,Subinginer Petrolist
3310921453413,1959-11-17,0245 642 039,Agent Veterinar
6090731151483,1954-12-09,0237 605 783,Consilier Farmacolog
6530116246096,2016-05-04,0780 211 368,Finisor Laminate Si Trefilate
8910604427332,1931-10-10,0750 988 436,Istoriograf
6230308245850,1975-10-19,0739 889 501,Preparator Sportiv
3701231119305,1985-07-16,0231 977 530,Analist In Turism
5360330291896,1976-04-24,0746 645 612,Prim-Adjunct Al Procurorului General
1960320230132,1924-11-29,0266 262 781,Manager Al Sistemului De Management Securitate Si Sanatate In Munca
3310523126158,1926-03-10,0741 188 531,"Preparator Conserve, Legume Si Fructe"
1890621109951,1937-11-10,0259 014 090,Consilier Pedolog
8510229456206,1917-11-19,0260 925 457,Lucrator Produse Naturiste
1670106333690,1908-05-24,0766 909 811,Operator La Masini De Macinare Fina (Produse Chimice)
3840821206723,1952-05-03,0772 983 086,Inginer Iluminare
1901226379743,1923-05-20,0240 325 940,Analist In Turism
8900922443266,1953-10-27,0244 403 909,Tehnician Iluminat Tehnologic
6501214265341,2021-05-10,0746 069 267,Asistent De Cercetare In Prelucrarea Lemnului
2170918203598,1960-03-12,0746 484 247,Conducator De Intreprindere Mica 
8750416058753,1994-07-14,0722 113 789,Subinginer Tehnologia Celulozei Si Hartiei
6760507153404,1999-10-19,0233 473 210,Taietor Geam
2701202436548,1988-04-08,0769 978 697,Tipograf Print Digital Si Offset
3320329036221,2006-03-21,0240 964 587,"Montator, Reglor Si Depanator Pentru Aparate De Masura Electrice Si Relee"
4140905333522,1928-07-08,0727 489 144,Tehnician In Industria Alimentara Fermentativa
4990410517546,1932-12-28,0242 947 851,Prelucrator De Fulgi Si Pene
8161125016438,1917-12-31,0240 063 856,Director Proiect
4030201075176,1980-04-01,0786 567 479,Cusator Confectii Industriale Din Blana
8431025016084,2023-03-13,0239 589 101,Manuitor Carte
7880907281449,1918-02-05,0234 737 468,Analist Tehnic Piete Financiare
2100705440197,1915-08-18,0784 996 981,Tehnician In Serviciile De Trafic Aerian
7520610295395,1996-04-02,0728 997 412,Culegator La Masina De Perforat Programe Pentru Masinile De Turnat Text (Monotastor)
3590409249443,1981-04-23,0746 683 662,Inspector Protectie Civila
5530524340068,1938-08-05,0734 275 675,Confectioner Maturi
7001219119781,2007-03-15,0788 391 820,Ambalator Manual
2810413134111,1952-12-12,0745 081 327,Impiegat Auto
2390705364350,1982-02-12,0758 568 770,Operator Transport Si Distribuire Butelii De Gpl
4000821224361,1989-01-21,0733 075 841,Contabil Financiar Bancar
3150121405980,1992-07-09,0763 537 706,Conducator Activitate De Transport Rutier
6120911387202,1973-01-02,0771 992 673,Instructor Parasutism
1490816435431,2014-01-30,0730 771 193,Lacar
3810809157248,1998-07-09,0711 415 266,Referent De Specialitate Arhitect
2841118415303,1967-11-03,0742 124 528,Inspector-Sef In Administratia Publica
3910217215690,1908-11-27,0257 431 859,Consultant In Standardizare
5241014115388,1937-07-15,0737 251 448,Inginer Autovehicule Rutiere
8081003292956,1914-06-09,0266 136 326,Manager Relatii Financiare Externe
6150805363653,2003-09-21,0729 248 838,Asistent De Cercetare In Topografie Miniera
5920310101921,1993-10-06,0772 542 016,Maistru In Industrializarea Lemnului
6240303429056,1954-12-04,0752 049 957,"Inginer De Cercetare In Tehnologia Celulozei, Hartiei, Poligrafiei Si Fibrelor"
1300622017253,1966-04-16,0268 569 124,Farmacolog
