,Unnamed: 0,personal_number,birthdate,address,phone_number
24,24,*****MASKED*****,1965-07-04,"Intrarea Francesca Pop Nr. 377 Bl. 98  Sc. 12 Ap. 708, Lupeni, 737216",0738977316
25,25,*****MASKED*****,1919-10-27,"Intrarea Dumitrescu Nr. 80 Bl. 26  Sc. 91 Ap. 326, Calarasi, 267433",0723356240
26,26,*****MASKED*****,2020-03-26,"Bulevardul Popescu Nr. 97, Apahida, 177687",0725569233
27,27,*****MASKED*****,2015-10-07,"Drumul Denisa Diaconescu, Sfantu Gheorghe, 931559",0732803619
28,28,*****MASKED*****,1925-11-16,"Aleea Valter Dumitrescu, Alexandria, 346521",0763357720
29,29,*****MASKED*****,1920-09-15,"Soseaua Dima Nr. 34, Babadag, 149093",0770787753
30,30,*****MASKED*****,2015-07-28,"Drumul Stan, Borsa, 390337",0788682573
31,31,*****MASKED*****,1917-09-03,"Drumul Marin Nr. 882 Bl. 65  Sc. 34 Ap. 202, Marasesti, 549310",0758048622
32,32,*****MASKED*****,1939-08-15,"Soseaua Mocanu Nr. 478 Bl. 13  Sc. 40 Ap. 725, Teius, 393253",0258871740
33,33,*****MASKED*****,1992-01-16,"Bulevardul Pop Nr. 626 Bl. 29  Sc. 61 Ap. 446, Bumbesti-Jiu, 159987",0746846039
34,34,*****MASKED*****,1954-05-07,"Soseaua Consuela Cristea, Buftea, 845600",0727823676
35,35,*****MASKED*****,1928-11-10,"Aleea Marin Nr. 837 Bl. 24  Sc. 65 Ap. 797, Jilava, 488204",0764873446
36,36,*****MASKED*****,1932-06-11,"Intrarea Florea, Buzau, 920908",0261234090
37,37,*****MASKED*****,1914-12-08,"Bulevardul Ardelean Nr. 49 Bl. 20  Sc. 96 Ap. 803, Radauti, 416347",0245953830
38,38,*****MASKED*****,2005-12-30,"Soseaua Toma Popescu Nr. 181 Bl. 38  Sc. 22 Ap. 260, Straja, 397557",0739517513
39,39,*****MASKED*****,1961-10-01,"Drumul Cristofor Marin Nr. 41, Valenii de Munte, 425754",0764849979
40,40,*****MASKED*****,1912-02-07,"Intrarea Mazilescu Nr. 949, 1 Decembrie, 353991",0711835401
41,41,*****MASKED*****,1908-05-20,"Intrarea Codruța Georgescu Nr. 99 Bl. 82  Sc. 41 Ap. 144, Targu Secuiesc, 533683",0736419945
42,42,*****MASKED*****,1970-01-19,"Intrarea Eftimie Nr. 51 Bl. 24  Sc. 73 Ap. 415, Urziceni, 359697",0762618753
43,43,*****MASKED*****,2010-07-27,"Aleea Mihail Barbu Nr. 63 Bl. 43  Sc. 17 Ap. 171, Sannicolau Mare, 526291",0257075780
44,44,*****MASKED*****,1952-06-20,"Drumul Stancu Nr. 97 Bl. 96  Sc. 70 Ap. 809, Fundulea, 756355",0767619023
45,45,*****MASKED*****,1912-12-02,"Aleea Dochioiu, Savinesti (Poiana Teiului), 142682",0728509622
46,46,*****MASKED*****,2003-11-15,"Intrarea Tabacu Nr. 63, Draganesti-Olt, 572712",0265115569
47,47,*****MASKED*****,1949-10-07,"Drumul Eftimie Nr. 825 Bl. 40  Sc. 29 Ap. 567, Tudora, 447253",0268416830
48,48,*****MASKED*****,2010-09-14,"Intrarea Aurelian Popescu Nr. 89, Cumpana, 177111",0735400579
49,49,*****MASKED*****,1922-08-13,"Bulevardul Suciu, Dumbravita, 422508",0250826993
50,50,*****MASKED*****,1982-10-09,"Drumul Stelian Aanei Nr. 204 Bl. 99  Sc. 71 Ap. 762, Rosiori de Vede, 344540",0267780122
51,51,*****MASKED*****,1954-04-28,"Bulevardul Dumitrescu Nr. 73 Bl. 35  Sc. 64 Ap. 839, Simeria, 865327",0738023936
52,52,*****MASKED*****,1980-08-21,"Strada Barbu Nr. 347 Bl. 58  Sc. 15 Ap. 306, Greci, 688127",0232366632
53,53,*****MASKED*****,1951-10-05,"Strada Voinea, Dumbravita, 210063",0256264122
54,54,*****MASKED*****,2010-10-21,"Soseaua Stoica Nr. 72 Bl. 92  Sc. 95 Ap. 850, Botosani, 462758",0754250135
55,55,*****MASKED*****,1990-05-24,"Drumul Arsenie Dima Nr. 66 Bl. 88  Sc. 20 Ap. 379, Poienile de sub Munte, 916846",0750378221
56,56,*****MASKED*****,1950-09-15,"Drumul Lioara Tudor Nr. 778, Darabani, 751236",0766036295
57,57,*****MASKED*****,1993-04-04,"Drumul Luana Suciu Nr. 732, Gilau, 813489",0720992308
58,58,*****MASKED*****,1989-02-26,"Drumul Niță Nr. 79, Brad, 417797",0738790884
59,59,*****MASKED*****,1944-01-10,"Aleea Ionescu Nr. 195 Bl. 65  Sc. 32 Ap. 681, Tecuci, 979471",0735519959
60,60,*****MASKED*****,1997-03-04,"Bulevardul Bogdana Ardelean Nr. 12, Sadova, 773805",0738386883
61,61,*****MASKED*****,1981-07-05,"Strada Dinu Nr. 47, Breaza de Sus, 117300",0236348105
62,62,*****MASKED*****,1992-10-03,"Soseaua Gheorghiu Nr. 65, Balotesti, 122613",0240504999
63,63,*****MASKED*****,1993-03-24,"Strada Cătălin Diaconescu, Cugir, 315200",0735329613
64,64,*****MASKED*****,1945-09-27,"Strada Stancu, Motru, 626052",0756947429
65,65,*****MASKED*****,2001-09-27,"Aleea Octavia Pop Nr. 81 Bl. 42  Sc. 19 Ap. 718, Victoria, 645403",0217267734
66,66,*****MASKED*****,1960-03-11,"Intrarea Nadia Suciu Nr. 89, Lupeni, 345181",0756776663
67,67,*****MASKED*****,1987-03-16,"Soseaua Sabina Stoica Nr. 51 Bl. 66  Sc. 39 Ap. 239, Zalau, 974813",0250732225
68,68,*****MASKED*****,1973-08-07,"Soseaua Zenovia Florea Nr. 60, Bosanci, 643611",0251624919
69,69,*****MASKED*****,1928-11-26,"Drumul Ardelean Nr. 41 Bl. 24  Sc. 55 Ap. 235, Rasnov Romacril, 318120",0721547686
70,70,*****MASKED*****,2005-01-15,"Bulevardul Pușcașu Nr. 94 Bl. 77  Sc. 89 Ap. 893, Iernut, 400360",0255844357
71,71,*****MASKED*****,1956-06-23,"Aleea Tabacu, Draganesti-Olt, 561071",0747944270
72,72,*****MASKED*****,2004-06-09,"Strada Diaconescu, Baraolt, 501613",0250631652
73,73,*****MASKED*****,1913-01-03,"Drumul Stănescu Nr. 35, Giarmata, 471694",0756426587
74,74,*****MASKED*****,1934-08-26,"Strada Valentin Cristea, Fieni, 400733",0724559690
75,75,*****MASKED*****,1973-05-25,"Drumul Ionescu Nr. 71, Peris, 396247",0732174184
76,76,*****MASKED*****,1941-04-15,"Bulevardul Gențiana Dobre Nr. 35, Campia Turzii, 911459",0231301776
77,77,*****MASKED*****,1918-01-14,"Soseaua Tudor Nr. 755 Bl. 26  Sc. 39 Ap. 584, Bals, 100834",0749183570
78,78,*****MASKED*****,1920-09-21,"Intrarea Popa Nr. 780 Bl. 50  Sc. 51 Ap. 805, Gura Humorului, 817343",0737120506
79,79,*****MASKED*****,1984-08-18,"Aleea Stan Nr. 918, Straja, 721583",0749334956
80,80,*****MASKED*****,1908-07-11,"Intrarea Ghiță Georgescu, Rasinari, 214007",0732328284
81,81,*****MASKED*****,1947-04-17,"Intrarea Ababei Nr. 448 Bl. 12  Sc. 14 Ap. 336, Cluj-Napoca, 217108",0726617457
82,82,*****MASKED*****,1946-09-09,"Bulevardul Norbert Ionescu Nr. 945, Simeria, 154689",0769783687
83,83,*****MASKED*****,1950-12-10,"Drumul Nistor Nr. 38, Teius, 608350",0740760136
84,84,*****MASKED*****,1936-05-31,"Bulevardul Stănescu Nr. 419, Lumina, 867310",0247611272
85,85,*****MASKED*****,1974-05-30,"Bulevardul Toma Nr. 29 Bl. 10  Sc. 11 Ap. 795, Valea Mare (Babeni), 710658",0255294351
86,86,*****MASKED*****,1917-01-15,"Aleea Ioniță Nr. 49 Bl. 10  Sc. 34 Ap. 851, Lumina, 142862",0258186018
87,87,*****MASKED*****,1912-03-07,"Strada Barbu Nr. 948 Bl. 21  Sc. 34 Ap. 413, Medias, 464792",0761531149
88,88,*****MASKED*****,1975-11-06,"Soseaua Mihai Toma Nr. 474 Bl. 12  Sc. 83 Ap. 140, Pancota, 842533",0745150139
89,89,*****MASKED*****,1967-06-07,"Aleea Suciu, Gherla, 555188",0212011826
90,90,*****MASKED*****,1924-12-22,"Strada Nemeș Nr. 82 Bl. 18  Sc. 10 Ap. 808, Sacele, 746755",0266552659
91,91,*****MASKED*****,1944-11-12,"Intrarea Popescu Nr. 88 Bl. 47  Sc. 98 Ap. 192, Alesd, 680162",0733130392
92,92,*****MASKED*****,2022-02-20,"Strada Pop Nr. 542, Sfantu Gheorghe, 449220",0757922414
93,93,*****MASKED*****,1975-07-08,"Aleea Tudor Nr. 628 Bl. 92  Sc. 10 Ap. 997, Tasnad, 927765",0259102224
94,94,*****MASKED*****,2003-09-04,"Strada Dacian Aanei Nr. 61, Corabia, 102593",0780107076
95,95,*****MASKED*****,1920-07-18,"Soseaua Pușcașu Nr. 10 Bl. 96  Sc. 87 Ap. 130, Lipova, 898237",0742963001
96,96,*****MASKED*****,1989-08-17,"Drumul Ernest Stănescu Nr. 165, Radauti, 479886",0763525108
97,97,*****MASKED*****,1925-08-12,"Soseaua Suciu, Husi, 182086",0711010028
98,98,*****MASKED*****,1960-08-03,"Soseaua Stan Nr. 78, Buzau, 926686",0241020107
99,99,*****MASKED*****,1928-05-16,"Strada Tudor Ardelean Nr. 90, Corund, 728209",0761486869
100,100,*****MASKED*****,1933-06-14,"Aleea Nemeș, Fagetel (Remetea), 485713",0761370233
101,101,*****MASKED*****,1939-10-13,"Aleea Stoica Nr. 232, Otopeni, 924951",0733372174
102,102,*****MASKED*****,1993-10-31,"Aleea Aanei Nr. 11 Bl. 72  Sc. 43 Ap. 866, Dragalina, 343314",0254114943
103,103,*****MASKED*****,1918-03-02,"Intrarea Tomescu, Fagaras, 856900",0238212463
104,104,*****MASKED*****,1975-03-24,"Bulevardul Constanța Marin, 1 Decembrie, 603517",0245142494
105,105,*****MASKED*****,2002-07-31,"Intrarea Dima Nr. 44, Satu Mare, 168840",0265712040
106,106,*****MASKED*****,2009-11-12,"Drumul Preda, Insuratei, 667667",0232454280
107,107,*****MASKED*****,1950-10-20,"Drumul Teodor Stancu Nr. 59, Apahida, 620832",0233632987
108,108,*****MASKED*****,1971-12-11,"Strada Ioniță Nr. 937 Bl. 50  Sc. 63 Ap. 733, Alesd, 453205",0738272918
109,109,*****MASKED*****,1939-01-02,"Intrarea Ionescu Nr. 79, Fagaras, 105121",0245674614
110,110,*****MASKED*****,1988-10-28,"Aleea Ionuț Ionescu Nr. 389, Stei, 662471",0231694787
111,111,*****MASKED*****,2003-07-19,"Soseaua Tabacu, Valea Mare (Babeni), 295075",0767940552
112,112,*****MASKED*****,2015-03-10,"Drumul Ioniță Nr. 51 Bl. 88  Sc. 70 Ap. 389, Techirghiol, 946004",0764277307
113,113,*****MASKED*****,2018-10-26,"Strada Stănescu, Baciu, 550172",0250522630
114,114,*****MASKED*****,2019-04-10,"Intrarea Ionescu Nr. 222, Tasnad, 466945",0743474754
115,115,*****MASKED*****,1993-09-08,"Aleea Ioniță, Vatra Dornei, 516188",0738929653
116,116,*****MASKED*****,1952-08-22,"Aleea Mazilescu Nr. 111 Bl. 26  Sc. 43 Ap. 505, Fagaras, 404212",0764703947
117,117,*****MASKED*****,1932-10-21,"Aleea Dina Dumitrescu Nr. 43 Bl. 99  Sc. 25 Ap. 781, Iasi, 493682",0780179656
118,118,*****MASKED*****,1908-05-23,"Aleea Nistor, Vladimirescu, 380080",0253735707
119,119,*****MASKED*****,2011-12-05,"Drumul Toma, Slatina, 569864",0760614112
120,120,*****MASKED*****,1927-03-22,"Soseaua Ene Nr. 82, Branesti, 183225",0266914475
121,121,*****MASKED*****,1982-02-11,"Strada Albu Nr. 388 Bl. 26  Sc. 29 Ap. 612, Teius, 114589",0749009385
122,122,*****MASKED*****,2014-04-27,"Strada Ene Nr. 926, Agnita, 338561",0244982882
123,123,*****MASKED*****,1973-02-25,"Intrarea Lelia Stan, Vaslui, 206622",0767591725
124,124,*****MASKED*****,1996-08-17,"Bulevardul Pușcașu Nr. 96, Darmanesti, 718036",0754322426
125,125,*****MASKED*****,2006-03-19,"Soseaua Albu Nr. 613 Bl. 57  Sc. 22 Ap. 117, Sibiu, 536740",0723121224
126,126,*****MASKED*****,1948-10-16,"Soseaua Vera Nistor Nr. 42 Bl. 20  Sc. 18 Ap. 115, Zimnicea, 990470",0240537894
127,127,*****MASKED*****,1992-05-04,"Strada Florea Nr. 317 Bl. 81  Sc. 10 Ap. 270, Tecuci, 560371",0759067107
128,128,*****MASKED*****,1998-10-28,"Soseaua Miruna Ene Nr. 689 Bl. 24  Sc. 41 Ap. 420, Baicoi, 816318",0268598187
129,129,*****MASKED*****,1968-09-26,"Intrarea Voinea, Matca, 263902",0266857673
130,130,*****MASKED*****,2022-04-03,"Soseaua Nicolae Stancu, Buftea, 160618",0746278293
131,131,*****MASKED*****,2009-04-21,"Bulevardul Dobre Nr. 338 Bl. 11  Sc. 89 Ap. 314, Chitila, 294941",0733330976
132,132,*****MASKED*****,1981-09-28,"Drumul Suciu Nr. 535, Reghin, 907962",0728910978
133,133,*****MASKED*****,1967-08-24,"Drumul Raluca Florea Nr. 154 Bl. 47  Sc. 21 Ap. 731, Sighisoara, 830266",0237486768
134,134,*****MASKED*****,1946-12-28,"Bulevardul Florea Nemeș Nr. 580 Bl. 51  Sc. 17 Ap. 986, Topoloveni, 937898",0754848101
135,135,*****MASKED*****,1972-07-27,"Strada Pop Nr. 19, Ramnicu Valcea, 358955",0256796462
136,136,*****MASKED*****,2003-11-26,"Strada Ababei Nr. 76, Corabia, 615218",0733328038
137,137,*****MASKED*****,2006-08-29,"Bulevardul Dinu Nr. 98, Motru, 529781",0232490538
138,138,*****MASKED*****,1979-05-08,"Bulevardul Diaconu, Arbore, 390424",0255866704
139,139,*****MASKED*****,1955-06-28,"Aleea Evanghelina Nistor, Savinesti (Poiana Teiului), 820096",0745373853
140,140,*****MASKED*****,2015-10-01,"Intrarea Popa Nr. 27, Cernavoda, 497838",0784692497
141,141,*****MASKED*****,1920-07-26,"Drumul Dobre, Borsa, 755353",0739334235
142,142,*****MASKED*****,1923-09-06,"Strada Pleșu Ardelean Nr. 537, Covasna, 572801",0243242045
143,143,*****MASKED*****,1935-04-15,"Bulevardul Niță Nr. 38 Bl. 11  Sc. 73 Ap. 638, Timisoara, 548203",0743067486
144,144,*****MASKED*****,1978-09-28,"Drumul Cristofor Stancu Nr. 609, Pancota, 333995",0731020317
145,145,*****MASKED*****,1951-02-22,"Strada Gheorghiu Nr. 83, Savinesti (Poiana Teiului), 297382",0727430953
146,146,*****MASKED*****,2002-01-14,"Drumul Tomescu Nr. 56 Bl. 85  Sc. 59 Ap. 846, Branesti, 796720",0263035582
147,147,*****MASKED*****,2018-02-08,"Strada Popa, Floresti, 301340",0722197939
148,148,*****MASKED*****,2006-12-01,"Soseaua Pop Nr. 959 Bl. 38  Sc. 62 Ap. 243, Videle, 872762",0758122128
149,149,*****MASKED*****,1998-09-12,"Drumul Violeta Stan Nr. 234 Bl. 21  Sc. 32 Ap. 740, Sangeorz-Bai, 828802",0265051743
150,150,*****MASKED*****,1947-03-30,"Strada Dima, Seini, 267634",0266383970
151,151,*****MASKED*****,1908-08-04,"Drumul Barbu Nr. 514, Corund, 899497",0751955948
152,152,*****MASKED*****,1987-06-24,"Soseaua Albu Nr. 28, Salonta, 630285",0232627699
153,153,*****MASKED*****,1948-03-05,"Bulevardul Dochioiu Nr. 641 Bl. 23  Sc. 72 Ap. 812, Greci, 583249",0256679075
154,154,*****MASKED*****,2013-09-12,"Bulevardul Ionescu, Podu Iloaiei, 703386",0785865539
155,155,*****MASKED*****,2016-06-05,"Aleea Florea Nr. 72 Bl. 59  Sc. 65 Ap. 782, Caransebes, 444541",0723154312
156,156,*****MASKED*****,1990-02-06,"Strada Iacob Oprea, Strehaia, 607015",0769661416
157,157,*****MASKED*****,2013-07-06,"Aleea Toma, Talmaciu, 984855",0768322038
158,158,*****MASKED*****,1915-12-13,"Strada Lucian Stoica Nr. 336 Bl. 23  Sc. 39 Ap. 571, Poienile de sub Munte, 497198",0733583478
159,159,*****MASKED*****,1997-06-09,"Intrarea Mazilescu, Intorsura Buzaului, 362463",0723328693
160,160,*****MASKED*****,2008-10-24,"Soseaua Dacian Oprea, Mangalia, 298357",0749615407
161,161,*****MASKED*****,2008-04-09,"Intrarea Suciu Nr. 857, Brasov, 289923",0263760079
162,162,*****MASKED*****,1926-01-23,"Strada Popa, Horodnic de Sus, 636170",0729369975
163,163,*****MASKED*****,1943-06-01,"Aleea Popescu Nr. 329 Bl. 84  Sc. 47 Ap. 528, Corabia, 150503",0249694300
164,164,*****MASKED*****,1926-02-01,"Strada Nemeș Nr. 293, Constanta, 726654",0730455814
165,165,*****MASKED*****,1935-06-07,"Soseaua Voinea Nr. 888, Motatei, 135471",0788835046
166,166,*****MASKED*****,1983-04-27,"Soseaua Diaconu Nr. 52, Otelu Rosu, 904584",0769365377
167,167,*****MASKED*****,1966-05-05,"Bulevardul Niță Nr. 698, Sadova, 630926",0736772032
168,168,*****MASKED*****,1982-09-10,"Strada Ducu Ardelean Nr. 641 Bl. 73  Sc. 27 Ap. 721, Siria, 352661",0242751176
169,169,*****MASKED*****,1948-05-31,"Intrarea Mazilescu Nr. 79, Boldesti-Scaeni, 616957",0784249467
170,170,*****MASKED*****,1930-09-01,"Drumul Tomescu, Valu lui Traian, 215361",0251504802
171,171,*****MASKED*****,1953-06-05,"Strada Nistor Nr. 62, Blaj, 304306",0735980218
172,172,*****MASKED*****,1959-07-02,"Intrarea Stan Nr. 55 Bl. 96  Sc. 55 Ap. 639, Arad, 905738",0238387203
173,173,*****MASKED*****,1932-02-05,"Bulevardul Stoica, Cornetu, 255488",0248624070
174,174,*****MASKED*****,1964-09-05,"Intrarea Diaconescu Nr. 30 Bl. 32  Sc. 53 Ap. 344, Valu lui Traian, 567593",0260422494
175,175,*****MASKED*****,2016-03-26,"Strada Nicu Albu Nr. 404 Bl. 89  Sc. 20 Ap. 262, Campulung Moldovenesc, 405533",0238287031
176,176,*****MASKED*****,1994-03-21,"Bulevardul Albu Nr. 81, Bistrita, 209069",0232950419
177,177,*****MASKED*****,2021-08-12,"Soseaua Stănescu, Marginea, 606580",0250786917
178,178,*****MASKED*****,1931-09-11,"Aleea Vicenția Pușcașu Nr. 49 Bl. 22  Sc. 43 Ap. 879, Siria, 297655",0753222757
179,179,*****MASKED*****,1977-03-15,"Intrarea Georgescu Nr. 316 Bl. 31  Sc. 83 Ap. 414, Campia Turzii, 270475",0249427323
180,180,*****MASKED*****,1977-10-10,"Strada Ababei, Cornetu, 406046",0264931682
181,181,*****MASKED*****,1913-04-03,"Strada Lucrețiu Ioniță Nr. 22, Dej, 386213",0231166361
182,182,*****MASKED*****,1997-04-29,"Drumul Suciu, Copsa Mica, 843864",0724148253
183,183,*****MASKED*****,1980-11-17,"Strada Eftimie Nr. 60 Bl. 50  Sc. 86 Ap. 922, Vicovu de Jos, 813836",0239802591
184,184,*****MASKED*****,1908-12-17,"Intrarea Vasilica Diaconescu Nr. 133 Bl. 72  Sc. 13 Ap. 533, Carei, 437370",0765281737
185,185,*****MASKED*****,1955-12-11,"Soseaua Popa, Targoviste, 535667",0234361910
186,186,*****MASKED*****,2014-05-24,"Aleea Ababei Nr. 23 Bl. 89  Sc. 19 Ap. 483, Feldru, 286668",0752096347
187,187,*****MASKED*****,1948-11-23,"Soseaua Diaconescu, Cernavoda, 200919",0262190321
188,188,*****MASKED*****,1912-07-26,"Aleea Ciprian Preda Nr. 90, Pitesti, 215790",0784080349
189,189,*****MASKED*****,1925-05-05,"Drumul Amedeu Ionescu Nr. 57 Bl. 34  Sc. 83 Ap. 267, Sebes, 844836",0241629694
190,190,*****MASKED*****,1995-06-25,"Strada Pușcașu Nr. 14, Campia Turzii, 976661",0743472487
191,191,*****MASKED*****,1930-09-20,"Aleea Oprea Nr. 175 Bl. 69  Sc. 66 Ap. 927, Sovata, 635128",0238532765
192,192,*****MASKED*****,1937-04-09,"Strada Anemona Marin Nr. 533 Bl. 41  Sc. 92 Ap. 435, Constanta, 497857",0250944723
193,193,*****MASKED*****,1972-03-26,"Soseaua Tabacu Nr. 11 Bl. 50  Sc. 41 Ap. 560, Segarcea, 605019",0754265119
194,194,*****MASKED*****,1936-06-03,"Drumul Stănescu Nr. 91 Bl. 10  Sc. 85 Ap. 158, Savinesti (Poiana Teiului), 471234",0241243725
195,195,*****MASKED*****,1945-03-24,"Strada Lili Georgescu Nr. 68 Bl. 61  Sc. 66 Ap. 724, Craiova, 329043",0724151035
196,196,*****MASKED*****,1925-02-09,"Bulevardul Popa, Cornetu, 158209",0784526217
197,197,*****MASKED*****,1947-04-24,"Aleea Stănescu Nr. 681 Bl. 27  Sc. 54 Ap. 256, Beclean, 586524",0730745006
198,198,*****MASKED*****,1965-02-23,"Strada Toma Nr. 649 Bl. 73  Sc. 52 Ap. 174, Odobesti, 190947",0241828012
199,199,*****MASKED*****,1990-05-04,"Strada Marin, Navodari, 955907",0769231604
200,200,*****MASKED*****,2017-02-09,"Bulevardul Manole, Timisoara, 895137",0238559459
201,201,*****MASKED*****,2006-08-11,"Aleea Silvian Stancu Nr. 29 Bl. 34  Sc. 98 Ap. 192, Otopeni, 379479",0786704782
202,202,*****MASKED*****,2018-09-30,"Intrarea Suciu Nr. 577 Bl. 86  Sc. 97 Ap. 342, Pantelimon, 360156",0244793734
203,203,*****MASKED*****,1964-03-27,"Strada Flavia Tabacu, Anina, 410546",0263834968
204,204,*****MASKED*****,1992-04-03,"Aleea Aureliana Suciu Nr. 72 Bl. 55  Sc. 69 Ap. 432, Drobeta-Turnu Severin, 338227",0753410925
205,205,*****MASKED*****,1949-08-14,"Strada Oprea Nr. 52 Bl. 15  Sc. 81 Ap. 610, Cluj-Napoca, 852656",0237285931
206,206,*****MASKED*****,2014-03-11,"Soseaua Tatiana Tudor Nr. 35, Cajvana, 881599",0747099172
207,207,*****MASKED*****,1909-09-19,"Bulevardul Oprea Nr. 163, Turda, 410020",0243646550
208,208,*****MASKED*****,1979-08-22,"Aleea Preda Nr. 839 Bl. 95  Sc. 50 Ap. 574, Draganesti-Olt, 647236",0764042527
209,209,*****MASKED*****,1920-06-27,"Drumul Stancu, Vaslui, 461322",0242687930
210,210,*****MASKED*****,2016-01-05,"Soseaua Eftimie Nr. 31, Caracal, 659013",0747699220
211,211,*****MASKED*****,1936-03-05,"Drumul Popa, Deva, 792537",0763389625
212,212,*****MASKED*****,1933-01-25,"Bulevardul Toma, Sacueni, 883212",0233162977
213,213,*****MASKED*****,1923-07-09,"Strada Nemeș, Simleu Silvaniei, 660196",0739963350
214,214,*****MASKED*****,1910-02-23,"Intrarea Manole, Popesti-Leordeni, 966634",0244460594
215,215,*****MASKED*****,1958-06-19,"Aleea Mocanu Nr. 640 Bl. 71  Sc. 97 Ap. 310, Vatra Dornei, 643293",0243176120
216,216,*****MASKED*****,1942-01-20,"Bulevardul Dana Popa Nr. 75 Bl. 55  Sc. 47 Ap. 676, Dragasani, 596894",0725494249
217,217,*****MASKED*****,1977-03-01,"Aleea Popescu Nr. 77 Bl. 78  Sc. 64 Ap. 570, Oituz, 344370",0257583221
218,218,*****MASKED*****,1973-03-25,"Soseaua Ionescu Nr. 15, Negresti-Oas, 685150",0771590097
219,219,*****MASKED*****,2012-09-18,"Strada Ardelean Nr. 56, Techirghiol, 825831",0234016597
220,220,*****MASKED*****,1949-11-15,"Bulevardul Stancu, Miercurea-Ciuc, 150913",0744933119
221,221,*****MASKED*****,1999-05-16,"Soseaua Nistor, Roseti, 124121",0761859363
222,222,*****MASKED*****,1986-05-28,"Intrarea Florea, Roseti, 661444",0763202479
223,223,*****MASKED*****,1916-10-03,"Bulevardul Preda, Valenii de Munte, 396893",0749068885
224,224,*****MASKED*****,1930-02-07,"Drumul Dochioiu Nr. 54, Viseu de Sus, 787370",0266928275
225,225,*****MASKED*****,1936-06-16,"Bulevardul Mazilescu, Arbore, 187344",0724642780
226,226,*****MASKED*****,1924-10-21,"Drumul Gheorghiu, Curtici, 633360",0254278342
227,227,*****MASKED*****,2019-11-11,"Intrarea Dobre Nr. 41, Viseu de Sus, 860703",0788575478
228,228,*****MASKED*****,2006-12-19,"Drumul Pușcașu, Sebis, 196881",0236647265
229,229,*****MASKED*****,1939-04-21,"Drumul Dumitrescu Nr. 878 Bl. 88  Sc. 21 Ap. 565, Rasinari, 681250",0232596759
230,230,*****MASKED*****,2022-06-16,"Drumul Eftimie, Savinesti, 129784",0239627929
231,231,*****MASKED*****,1975-09-06,"Aleea Popescu, Magurele, 867664",0259697963
232,232,*****MASKED*****,1923-01-08,"Strada Dima Nr. 398 Bl. 93  Sc. 70 Ap. 939, Targu Secuiesc, 450563",0245718028
