first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,iban
Loredana,Ardelean,7960306079591,1973-11-13,"Soseaua Stoica Nr. 763 Bl. 68  Sc. 51 Ap. 728, Pecica, 791579",Caraș Severin,0725 183 230,e5:71:45:d3:e5:fa,157.92.191.238,RO20SMYI3886877189114503
Mirona,Manole,6700422514370,2003-09-03,"Drumul Ababei Nr. 931 Bl. 80  Sc. 91 Ap. 415, Bals, 729051",Brăila,0722 043 183,af:ce:ee:ca:bf:e8,8.220.153.30,RO33XGUE3127483611477857
Sergiu,Manole,7770927232071,1973-02-16,"Bulevardul Adela Tudor Nr. 481 Bl. 78  Sc. 51 Ap. 680, Calarasi, 460406",Iași,0740 150 349,3a:74:d5:fa:a6:6d,125.67.209.139,RO74POGL3170856200946202
Cerasela,Eftimie,7880203130044,2016-02-06,"Drumul Ducu Eftimie, Lunca Cetatuii, 389724",Suceava,0767 310 874,c6:a8:35:d7:f1:23,221.53.104.119,RO21VWVP4906661503528725
Dominic,Ardelean,6510705104715,1924-03-17,"Soseaua Amalia Dochioiu Nr. 42 Bl. 43  Sc. 67 Ap. 997, Pantelimon, 224990",Caraș Severin,0730 109 613,ce:e4:29:81:1f:67,106.215.210.62,RO40KUXY3085731283878855
Aurică,Dumitrescu,2820818319240,1921-08-10,"Drumul Preda Nr. 67 Bl. 11  Sc. 33 Ap. 719, Dobroesti, 220773",Constanța,0263 979 681,56:9f:dd:b2:d7:9f,184.76.107.92,RO06HIES9180138547008765
Eva,Ardelean,5210312512997,1983-04-08,"Intrarea Barbu Nr. 23, Bumbesti-Jiu, 107202",Botoșani,0730 943 503,6d:54:28:a1:b7:c0,107.99.109.39,RO28IWSL2542925243738124
Daniel,Oprea,1190504183018,1911-12-01,"Soseaua Ardelean, Harsova, 196159",Constanța,0753 669 295,73:aa:de:e6:af:cd,22.28.114.142,RO30TOZN8891005398172882
Aura,Stan,4450323268124,1976-03-06,"Intrarea Cristea, Poiana Mare, 524015",Suceava,0255 215 677,1a:dc:24:71:2c:f7,96.25.152.58,RO26EAER6732823361268070
Maricica,Nistor,5010605083832,1986-10-12,"Drumul Preda, Floresti, 845684",Iași,0784 047 487,2e:e8:6c:87:5c:75,207.218.43.216,RO85OEDO9641140454089719
Eugenia,Diaconescu,4950827107821,1952-10-16,"Strada Albu Nr. 957 Bl. 67  Sc. 15 Ap. 561, Salonta, 243300",Maramureș,0249 485 091,9e:05:21:09:d6:24,122.203.119.174,RO52JUGE1554557481113764
Andreea,Suciu,7001108195930,1986-11-25,"Soseaua Stănescu, Rasinari, 356727",Neamț,0762 973 728,94:63:6e:38:43:c0,34.58.45.160,RO03SLFB5576997326971933
Niculina,Tomescu,6980408262736,2011-09-14,"Aleea Tomescu, Oltenita, 693035",București,0248 709 155,76:35:27:62:f8:f6,18.187.242.115,RO16FSCX1545186698409713
Speranța,Nistor,3910716053297,1950-10-16,"Bulevardul Ababei Nr. 436 Bl. 98  Sc. 47 Ap. 239, Videle, 528830",Covasna,0733 078 412,d2:64:4d:8f:db:52,70.28.182.227,RO66QZGE1820145059223626
Andra,Manole,5820719265362,1918-10-12,"Bulevardul Marin Nr. 565 Bl. 19  Sc. 19 Ap. 800, Lumina, 530499",Maramureș,0724 058 083,da:c9:a6:6e:c4:5c,27.201.233.126,RO39ZYVL2025299165189487
Severina,Stoica,1511216356724,1931-05-08,"Drumul Roxana Dumitrescu, Reghin, 278495",Brașov,0769 524 558,f4:8f:a1:7f:4a:b9,206.203.194.99,RO34YLUI4006998972787786
Dimitrina,Ioniță,7011104450319,1925-05-29,"Drumul Ancuța Barbu, Rodna, 441509",Vâlcea,0723 670 938,64:cc:4a:42:ca:21,134.239.216.190,RO83LFZV8836295333591406
Vera,Eftimie,4080709145331,1947-02-06,"Bulevardul Eftimie, Dancu, 741289",Suceava,021 986 0432,b8:5b:f8:53:1e:f7,202.194.6.49,RO53YRNU9806655442063174
Ghiță,Ardelean,5571225168485,2019-07-23,"Soseaua Ene, Savinesti (Poiana Teiului), 360919",Argeș,0246 554 139,7c:0c:b7:ed:52:35,98.76.242.213,RO03AAZB6846670379621840
Anastasia,Nemeș,1210329369089,1962-01-29,"Aleea Bartolomeu Mocanu, Rosiori de Vede, 630674",Suceava,0768 686 243,63:d7:ee:16:71:13,179.80.222.112,RO08TAUS9495356844651528
Costel,Toma,8260910304225,1908-12-22,"Soseaua Eftimie Nr. 917 Bl. 83  Sc. 80 Ap. 287, Greci, 184018",Hunedoara,0232 415 227,b0:2b:80:9c:6c:6e,21.255.208.55,RO47FDMZ3232983602760063
Silviu,Voinea,6470517465809,1926-08-18,"Drumul Gheorghiu, Sadova, 204671",Dolj,0750 310 592,c8:61:36:d5:0c:00,123.190.221.219,RO84ZBLM7611526022036843
Sabrina,Tomescu,1390931385075,2022-03-20,"Intrarea Paul Eftimie, Poiana Mare, 444985",Vâlcea,0786 155 130,56:13:c5:57:e6:2c,130.220.230.193,RO85WJAP7394630213260426
Vicenția,Tabacu,2290324203120,1943-03-01,"Strada Iris Ababei, Comanesti, 959916",București,0253 300 374,6d:76:a4:45:2d:8c,167.70.15.229,RO26KTPH8467751672096651
Grațiana,Popescu,1091211044914,1973-02-08,"Strada Ionescu Nr. 832 Bl. 40  Sc. 94 Ap. 962, Horodnic de Sus, 978030",Bihor,0754 767 788,18:e9:f9:57:6d:51,91.219.135.70,RO26RUMN9038241958891002
Catrina,Ene,3550816077556,2011-01-19,"Intrarea Simina Cristea, Insuratei, 846460",Timiș,0768 353 957,0b:76:e9:98:a7:08,37.39.18.44,RO35CQFM4789003798250359
Floare,Tomescu,8950727524951,2013-02-09,"Intrarea Mioara Dima, Iasi, 304230",Suceava,0243 597 878,9c:1e:7a:79:d3:b1,10.195.94.241,RO45MNGZ8483944965893484
Gheorghiță,Cristea,5570331387003,1962-10-04,"Strada Georgescu Nr. 44 Bl. 84  Sc. 67 Ap. 280, Sacele, 219476",Dolj,0248 805 693,3b:0f:dd:91:86:31,123.60.101.147,RO97HDCK2989502679969524
Alida,Dobre,3370123075654,1964-02-02,"Aleea Dima Nr. 64 Bl. 26  Sc. 40 Ap. 389, Alexandria, 619491",Maramureș,0235 922 495,89:95:58:40:97:03,9.45.220.173,RO37GKLF7590317754085988
Mina,Mocanu,8550402158038,2004-12-01,"Aleea Gheorghiu Nr. 67 Bl. 16  Sc. 76 Ap. 962, Negresti, 890158",Satu Mare,0244 805 413,60:b3:57:95:d0:a9,24.159.22.82,RO19VHZH8218770019252993
Carmina,Popescu,3560731207927,1924-07-04,"Intrarea Preda Nr. 20, Caracal, 456554",Teleorman,0239 261 753,97:c2:c3:89:c2:68,117.63.162.166,RO75WYXJ3096366850025103
Lelia,Tomescu,6580531379103,2021-01-20,"Drumul Nistor Nr. 887, Jibou, 950324",Vâlcea,0247 149 321,66:85:12:02:28:98,49.147.247.106,RO52WMCL4138530038896135
Lorena,Ababei,6380702269495,1918-02-17,"Strada Dobre Nr. 99, Podu Iloaiei, 685602",Vaslui,0746 925 791,3d:e5:36:26:73:3a,207.112.100.86,RO88JVQE8089266029309961
Alexandra,Ababei,7940207365890,1923-03-28,"Aleea Dumitrescu Nr. 878 Bl. 38  Sc. 96 Ap. 353, Valea Mare (Babeni), 440622",Vrancea,0254 152 868,04:93:d7:e1:87:f7,82.31.100.9,RO73SJXE7740365165169448
Ludovica,Albu,3940908466531,1988-11-11,"Drumul Iustin Dobre Nr. 82 Bl. 49  Sc. 44 Ap. 297, Covasna, 386307",Bacău,0737 272 438,f4:36:32:41:56:fd,65.133.16.78,RO94MFGI5145756368699628
Adonis,Pușcașu,4721022301781,1938-08-30,"Drumul Barbu Nr. 614, Uricani, 373095",Olt,0737 317 599,4f:ff:15:b0:11:12,125.220.237.205,RO21FHKR6038482729635382
Iulia,Stănescu,1330604237934,1946-01-27,"Soseaua Dobre Nr. 512, Rovinari, 448868",Argeș,0238 412 569,65:67:b8:f6:9f:f6,149.239.83.248,RO10GVYT3304025875923952
Romanița,Eftimie,5160418026993,1951-12-22,"Intrarea Stan Nr. 291, Chisineu-Cris, 341717",Argeș,0758 525 474,48:21:44:cb:a5:80,3.52.195.102,RO89KTUA0617367961974185
Cantemir,Gheorghiu,4131005527417,1988-06-23,"Intrarea Octav Preda Nr. 681, Valea lui Mihai, 880438",Suceava,0767 325 728,52:09:f3:de:cb:61,141.169.145.87,RO26HQMK6088319519714945
Anabela,Ioniță,3321020425048,2002-08-16,"Bulevardul Ababei, Ramnicu Valcea, 758688",Botoșani,0736 394 843,df:83:39:74:ee:c3,203.117.237.77,RO96ZJOE0364071829191707
Atena,Stan,6620804458179,1914-04-02,"Drumul Cristina Florea Nr. 998, Baicoi, 867820",Mureș,0726 706 291,27:71:57:cc:d6:a4,129.254.151.186,RO78BEAL6659740798352237
Vladimir,Stoica,3230925032567,1976-04-21,"Intrarea Andrian Nemeș Nr. 90 Bl. 49  Sc. 65 Ap. 276, Caracal, 423900",Covasna,0752 778 553,cc:b7:27:84:e9:52,44.51.87.109,RO17ANOQ3894397007655985
Decebal,Stan,7900512439399,1927-06-01,"Aleea Niță Nr. 14, Peretu, 820030",București,0233 151 454,13:00:55:94:89:f2,188.88.90.103,RO37CZRO2903733118998339
Cazimir,Cristea,1060827235000,2009-12-03,"Aleea Nemeș, Sebes, 971520",Constanța,0750 167 815,2d:23:bd:fe:84:45,178.157.207.31,RO12BBJF2220549469289454
Olivia,Tomescu,3880601188354,1924-04-23,"Strada Gheorghiu Nr. 219, Harsova, 323365",Tulcea,0729 937 642,3f:59:14:67:dc:2b,122.177.181.105,RO69PIWD9377571604945022
Alexandra,Dinu,2700126287253,1933-01-31,"Drumul Toma, Busteni, 484943",Ilfov,0759 369 174,ba:d1:64:ac:08:5d,23.67.170.96,RO53IVUP2809478966520604
Ligia,Cristea,6790422144132,1943-07-06,"Intrarea Dumitrescu Nr. 80 Bl. 55  Sc. 36 Ap. 477, Dumbravita, 509654",Călărași,0736 849 448,f1:f4:09:f2:10:16,162.241.180.130,RO38TTPI1110608999125672
Alina,Albu,2701128024497,1931-09-28,"Drumul Mazilescu, Rasnov Romacril, 607048",Teleorman,0770 342 799,90:b0:c5:ec:9d:07,105.224.155.160,RO34BXVI7137091541288134
Grațiela,Gheorghiu,5900524325186,1915-07-02,"Bulevardul Ciprian Gheorghiu Nr. 38, Diosig, 770468",Cluj,0721 329 581,8c:db:b2:0c:26:e8,199.195.72.180,RO21GZDE5212287523502239
Beatrice,Albu,1121109392875,1938-10-29,"Drumul Stan, Tecuci, 660299",Sibiu,0257 130 497,94:5a:a9:c8:82:92,166.230.131.138,RO86QWXX3197554473606040
Eleonora,Pop,4980404311965,1964-08-17,"Strada Tabacu, Adjud, 985189",București,0267 545 221,da:95:06:ff:11:73,72.33.10.107,RO33VEVR4703990578935590
Clarisa,Toma,5631128054337,1957-09-05,"Intrarea Mazilescu Nr. 576, Oradea, 103229",Bacău,0263 455 239,d2:b5:42:21:32:7e,158.93.202.91,RO89WEML0006155559431825
Leordean,Nemeș,5670718152504,1939-03-06,"Intrarea Suzana Popescu Nr. 254, Moinesti, 314893",Constanța,0256 751 669,c8:fb:49:b6:64:bc,199.212.66.138,RO96TSCP4295519981964227
Nicolaie,Aanei,7880520126690,1923-05-20,"Aleea Tudor Nr. 49, Filiasi, 508621",Botoșani,0761 210 803,78:9b:be:c2:e7:b2,205.1.186.107,RO76OLKD7392512640163160
Didina,Gheorghiu,3180429424657,1921-01-09,"Soseaua Maximilian Mocanu Nr. 832, Nasaud, 238449",Teleorman,0764 245 825,f2:61:cc:4c:a2:30,118.35.104.47,RO64VAPL5897099893325340
Niculina,Voinea,6280127337175,2001-06-11,"Intrarea Ancuța Dumitrescu Nr. 37, Cornetu, 128554",Brașov,0248 738 037,26:f9:46:6d:17:be,51.97.72.177,RO26LEDS6923471110531450
Margareta,Eftimie,1180221093700,2024-02-14,"Bulevardul Mazilescu Nr. 36 Bl. 82  Sc. 75 Ap. 762, Braila, 693019",Vaslui,0771 233 233,0d:ff:88:9e:00:cb,222.143.210.255,RO91MAYC7162166655627738
Cristian,Niță,2710710256591,1968-08-10,"Soseaua Popa, Slatina, 207738",Vâlcea,0723 791 775,b5:8e:f9:43:46:d2,199.183.174.16,RO24WGWP8957237056198654
Dariana,Nistor,7401123053696,1912-07-10,"Strada Pop, Barbulesti, 512694",Caraș Severin,0243 259 989,4b:96:37:96:c1:f5,153.121.242.98,RO11JSXC0452319245344231
Loredana,Preda,1630912313541,1937-02-17,"Soseaua Clara Popa, Rovinari, 878950",Harghita,0724 411 740,80:52:65:1a:54:69,71.76.64.32,RO62XVLB3390012821886477
Bartolomeu,Voinea,5550725122443,1908-12-05,"Drumul Ionescu Nr. 883, Sabaoani, 915118",Bistrița-Năsăud,0245 295 573,89:35:ff:ba:f7:e8,57.192.96.235,RO02EGCF9560042583270075
Anișoara,Nemeș,6500709287468,1954-04-11,"Strada Mazilescu Nr. 743, Lunca Cetatuii, 810324",Teleorman,0266 315 066,6e:24:62:fe:a2:e7,37.194.95.163,RO26PWAI7073557832514682
Despina,Pop,1440309089895,1969-03-30,"Aleea Filofteia Ababei Nr. 763 Bl. 58  Sc. 88 Ap. 584, Dej, 632194",Olt,0727 754 661,12:fd:bd:e6:bb:73,187.0.202.103,RO63TZGF2070673971469749
Vicențiu,Tomescu,2070314372551,1971-06-18,"Bulevardul Dinu Nr. 10 Bl. 66  Sc. 67 Ap. 428, Husi, 584489",Sibiu,0252 105 447,88:00:dd:b0:6a:c8,29.196.146.209,RO44YHMB4799024891425506
Nelu,Manole,4740728422165,1922-09-07,"Soseaua Aanei, Targu Secuiesc, 230966",Dolj,0726 885 040,cf:eb:36:9d:bf:fc,110.47.148.49,RO09FOVP9812597087988867
Cipriana,Stan,3610727134116,1959-08-12,"Bulevardul Popescu Nr. 19 Bl. 64  Sc. 88 Ap. 693, Craiova, 812846",Harghita,0749 038 496,dd:0b:b4:98:3d:3d,131.67.180.147,RO52MHGK3500809782811288
Nechifor,Barbu,6930716010710,1910-05-03,"Soseaua Pop, Fetesti, 914414",Sălaj,0259 592 668,49:73:49:ce:3a:1a,156.3.130.22,RO53TTUP4701732197838127
Andra,Suciu,5890822078208,1934-02-11,"Soseaua Popescu Nr. 21 Bl. 42  Sc. 12 Ap. 499, Campulung Moldovenesc, 477054",Giurgiu,0732 662 627,43:68:3b:80:0c:a2,158.59.67.219,RO73GWCF7482034218271511
Alexandra,Diaconescu,4660910175737,1926-06-07,"Intrarea Dochioiu, Seini, 667957",Olt,0784 742 045,07:87:ef:02:f3:97,56.149.243.94,RO93ZJLG3214884617025837
Iurie,Dobre,1100507270639,1916-06-18,"Soseaua Teea Ene Nr. 74, Draganesti-Olt, 963352",Bistrița-Năsăud,0743 630 681,e4:0f:6f:01:a9:8d,44.182.202.94,RO59LQSG2416413554733471
Speranța,Dima,8510421431195,1936-11-27,"Soseaua Tabacu Nr. 556 Bl. 68  Sc. 42 Ap. 244, Urlati, 861682",Prahova,0785 009 648,20:d4:2e:fc:ed:ec,109.193.85.80,RO44ECVR4907538304939023
Cristian,Nistor,6420610290718,1944-11-29,"Intrarea Ardelean Nr. 96, Sighetu Marmatiei, 840001",Buzău,0231 627 042,dd:b1:9b:50:55:f7,183.118.72.113,RO45AARH0776552919908536
Amelia,Ardelean,4081209170888,1933-11-01,"Bulevardul Savina Georgescu, Bistrita, 357411",Tulcea,0784 935 526,fb:b1:52:45:1e:a8,193.217.156.156,RO10SJJW2938547866550306
Liviu,Eftimie,7220222331425,2000-01-05,"Strada Dumitrescu Nr. 626, Dumbravita, 369669",Giurgiu,0269 688 104,11:e3:f5:b9:44:1d,170.97.186.145,RO71LNDV1151896825597820
Vanesa,Diaconescu,5000917034508,1980-07-08,"Aleea Florian Stănescu, Moinesti, 908895",Galați,0742 510 249,37:ac:33:2e:7f:81,158.121.161.10,RO85EAJC8935338228356001
Octavian,Diaconu,4980808282168,1945-02-15,"Intrarea Albu Nr. 567 Bl. 77  Sc. 68 Ap. 608, Hateg, 862639",Ilfov,0248 724 816,07:c8:14:5c:61:96,7.85.23.33,RO26DMEJ4796616401077242
Ruxandra,Diaconescu,1680326320635,1948-04-17,"Aleea Pamfil Mazilescu Nr. 569 Bl. 49  Sc. 53 Ap. 823, Topoloveni, 909946",Brașov,0731 574 719,76:e1:8f:c4:3d:0f,144.161.152.207,RO28FLCY1101378371734953
Iris,Tudor,1030802417173,1971-07-13,"Soseaua Popescu Nr. 768, Boldesti-Scaeni, 208837",Vrancea,0744 223 727,4c:0c:c5:c8:f8:20,13.164.85.87,RO13WEZM4762966755208062
Silvian,Dochioiu,3561016433857,1972-12-24,"Intrarea Nicuță Ardelean Nr. 64, Cudalbi, 838079",Sălaj,0269 474 005,d9:5b:02:2f:93:95,220.95.165.56,RO46RDHP7339810601401549
Ivona,Popescu,5680128333983,1926-10-08,"Intrarea Despina Suciu Nr. 591, Barlad, 866684",Constanța,0261 868 421,f1:62:7a:54:6b:8e,87.54.48.20,RO53VFLI7771021012006060
Nechifor,Gheorghiu,6981117049658,1974-04-28,"Intrarea Georgescu Nr. 153 Bl. 99  Sc. 44 Ap. 650, Babeni, 881923",Harghita,0253 566 789,f7:eb:43:9d:22:d9,48.193.40.13,RO90YBNT7570363075173647
Tamara,Marin,6001014193565,1961-12-29,"Soseaua Anemona Nemeș Nr. 57 Bl. 27  Sc. 31 Ap. 988, Alexandria, 637722",Arad,0731 072 405,62:fd:9e:a6:92:ff,170.77.208.149,RO46UTLZ0374515521100752
Basarab,Tabacu,5160205195056,1947-10-16,"Aleea Nemeș Nr. 463, Baia Sprie, 648285",Buzău,0726 688 358,a2:df:26:67:05:fb,166.20.149.184,RO33RFVK9233139220740294
Petrișor,Stănescu,7760931303691,1953-11-18,"Aleea Mazilescu Nr. 79 Bl. 36  Sc. 26 Ap. 382, Copsa Mica, 557403",Vrancea,0249 633 191,86:16:c6:89:d3:89,126.39.120.15,RO42UICR8760080447248365
Simion,Pop,3031131152721,1986-03-26,"Bulevardul Dominic Tabacu, Chitila, 805844",Mureș,0765 443 325,2c:f0:ff:ec:2f:2b,190.168.98.45,RO85OLZV9460084059381393
Cătălin,Marin,5131103013399,1915-04-08,"Soseaua Floare Stan Nr. 39, Dragu-Brad, 153493",Satu Mare,0248 298 228,89:11:ce:14:a1:cc,113.235.7.54,RO23GZVJ4917661956418272
Maia,Dochioiu,8880430294936,1914-07-19,"Soseaua Nicoleta Cristea Nr. 401 Bl. 51  Sc. 44 Ap. 474, Poienile de sub Munte, 704423",Ialomița,0753 848 823,07:cc:a1:68:03:38,185.166.12.32,RO05IIYP3029649520124924
Ludmila,Stan,7091128094795,1916-02-27,"Intrarea Ecaterina Mazilescu Nr. 237 Bl. 60  Sc. 48 Ap. 889, Boldesti-Scaeni, 186330",Dolj,0231 755 263,f4:1f:e3:b3:43:dd,97.75.158.18,RO52NDST9132278156980967
Axenia,Stancu,5791105426042,2017-04-29,"Aleea Tabacu, Targu Mures, 693244",Vâlcea,0731 664 486,24:65:04:db:fe:bd,124.215.255.126,RO45MDXF1583904267544742
Daiana,Ardelean,2360122517742,1957-03-20,"Bulevardul Tabacu Nr. 310 Bl. 92  Sc. 86 Ap. 730, Dragasani, 824797",Iași,0746 543 940,1d:70:03:31:f5:06,90.89.113.206,RO86ADJQ5516166717847518
Amalia,Dobre,1340210020941,1935-11-06,"Bulevardul Dumitrescu Nr. 117, Bumbesti-Jiu, 283934",Hunedoara,0238 193 394,43:f5:0c:b8:56:77,205.161.108.173,RO04PXOO5910634856263109
Petre,Suciu,2890522240706,1932-07-26,"Intrarea Dima Nr. 36, Baraolt, 912244",Neamț,0780 111 845,37:d6:28:f4:ad:00,43.221.206.234,RO85ILJD2626353234822977
Bebe,Marin,7880627196272,1933-08-22,"Soseaua Toma, Gaesti, 140278",Brăila,0733 601 755,0f:f3:c1:b9:a6:00,203.54.251.130,RO69YSTK1820952794363736
Dorin,Florea,4330713209890,2013-09-08,"Strada Gheorghiu, Harsova, 402915",Suceava,0251 679 651,97:1b:8e:5b:fd:38,61.203.126.228,RO63HUOV1469153831779307
Matilda,Stoica,7271013349488,2020-10-28,"Drumul Marius Dinu Nr. 79 Bl. 75  Sc. 93 Ap. 881, Arad, 873185",Sibiu,0767 149 842,65:a5:b1:a7:a7:b0,114.227.127.221,RO68UVEE2061828165852119
Floarea,Dobre,6930605193741,1948-10-03,"Aleea Aristița Tabacu Nr. 58 Bl. 57  Sc. 18 Ap. 295, Tufesti, 579571",Buzău,0721 267 300,18:92:e2:af:b3:98,101.191.148.161,RO61JIXB2032479989243960
Elisabeta,Nemeș,3231222063041,1927-02-02,"Drumul Alexandrina Toma Nr. 54 Bl. 49  Sc. 40 Ap. 106, Simeria, 243425",Timiș,0267 264 238,9c:4f:9e:f0:c5:ac,192.123.51.197,RO13OSNW8845993342326014
Eliana,Voinea,4850923161140,1943-09-26,"Aleea Dinu, Petrila, 479323",Sălaj,0757 054 148,45:57:e7:28:1c:57,67.7.211.247,RO49BLVR7671751208639913
Beatrice,Voinea,4140904039228,1935-08-10,"Bulevardul Stănescu Nr. 74 Bl. 70  Sc. 10 Ap. 830, Rasnov, 502418",Sibiu,0728 791 068,f2:44:98:6c:a0:87,110.44.70.138,RO73XJSS7235944907215055
Silvana,Tabacu,4190625300067,1987-06-03,"Soseaua Dochioiu Nr. 87, Urziceni, 646080",Bistrița-Năsăud,0741 764 164,19:fc:87:d7:ab:09,150.15.88.200,RO21QGTG0800300020053463
Paulina,Cristea,3861228188880,2016-12-27,"Aleea Tabacu, Buzau, 598400",Brașov,0738 902 273,78:14:5c:83:7b:b2,14.180.242.143,RO16IADV2034018313320388
Daniela,Pop,5500318147268,1981-05-01,"Bulevardul Florea, Rovinari, 588300",Teleorman,0266 112 474,8d:1e:7e:e3:de:f7,207.49.168.121,RO49EHEG4775369971247467
Relu,Florea,3760606169168,2014-04-22,"Intrarea Albertina Dima Nr. 57 Bl. 87  Sc. 60 Ap. 600, Domnesti, 387968",București,0236 058 541,25:4e:c2:ba:0b:b3,223.13.177.141,RO08ZXFO4638268023434194
Lucian,Niță,2721227237154,1955-10-12,"Bulevardul Tudor Mocanu Nr. 890 Bl. 87  Sc. 46 Ap. 839, Petrila, 604044",Gorj,0767 089 257,3d:13:9b:25:92:40,54.137.131.144,RO89UMHV2709703379247565
Antonela,Barbu,5350728409889,2008-02-18,"Intrarea Mazilescu Nr. 27, Apahida, 775318",Mehedinți,0764 350 584,95:a3:64:bc:a2:07,36.226.225.135,RO67DMRF1855462463385093
Cipriana,Aanei,1620225070448,1942-12-21,"Strada Mircea Manole, Filiasi, 878767",Dolj,0736 161 850,6b:39:03:db:11:04,53.76.216.29,RO29ZUFE0008465103036982
Octavia,Dima,1341003108125,1913-12-03,"Bulevardul Dinu Nr. 61 Bl. 36  Sc. 63 Ap. 501, Reghin, 232030",Satu Mare,0240 879 785,5a:c1:6b:39:f1:5d,199.100.46.194,RO09TXJQ1914728070606099
Mihaela,Cristea,6900927185388,1947-10-29,"Strada Cristea Nr. 53, Pitesti, 474734",Buzău,0742 018 412,88:f0:7b:6d:6b:fb,73.63.3.250,RO36XXVR2605263134693234
Ilinca,Nistor,8920928434845,1995-06-09,"Drumul Doru Preda Nr. 987 Bl. 14  Sc. 84 Ap. 604, Peretu, 218853",Covasna,0250 749 619,1e:e5:6c:6f:cc:3b,87.74.24.49,RO42XILI8879594937966536
Alexandru,Mazilescu,5141015076000,2014-04-29,"Intrarea Nistor Nr. 49 Bl. 87  Sc. 11 Ap. 354, Targu Ocna, 896236",Suceava,0231 567 915,7e:8b:df:f0:5b:21,172.214.98.225,RO54RRKO1659175008267528
Violeta,Nistor,7180826206546,1922-01-23,"Drumul Savina Albu Nr. 77 Bl. 64  Sc. 61 Ap. 502, Targu Lapus, 826218",Sibiu,0735 432 711,66:14:56:6e:c5:b3,52.71.62.59,RO42REGE3727006822459661
Bogdan,Florea,8200130401876,1946-02-22,"Strada Stela Pușcașu, Slatina, 646760",Maramureș,0766 488 934,43:5d:3d:45:0b:03,129.33.60.108,RO25DIIO1084882702207776
Sanda,Georgescu,8561103179617,1931-06-24,"Strada Valentina Preda Nr. 73 Bl. 86  Sc. 47 Ap. 490, Iasi, 999012",Brașov,0735 268 934,ad:ca:c6:dc:a2:1f,139.205.229.140,RO72JXIC9525379740960672
Ovidiu,Dinu,3410425217577,2011-02-06,"Drumul Nicolaie Ioniță Nr. 188 Bl. 13  Sc. 51 Ap. 686, Alexandria, 533925",Teleorman,0732 095 960,ef:99:67:7b:be:ce,186.218.8.232,RO35ZMPT6871614624823387
