last_name,first_name
Florea,Paul
Barbu,Todor
Suciu,Victor
Mazilescu,Cerasela
Nistor,Zenovia
Dobre,Silvian
Diaconescu,Melina
Tabacu,Octavia
Nistor,Sebastian
Diaconu,Sergiu
Eftimie,Filip
Albu,Raul
Ioniță,Dochia
Tabacu,Pătru
Ioniță,Silvana
Suciu,Ernest
Diaconescu,Oliviu
Tomescu,Tinca
Diaconescu,Silvian
Albu,Eftimia
Tudor,Robert
Stoica,Laurenția
Georgescu,Dinu
Popescu,Vera
Stănescu,Sabin
Toma,Maricica
Florea,Viorica
Dochioiu,Aglaia
Marin,Dorli
Eftimie,Bernard
Oprea,Aurelia
Nistor,Vanesa
Mazilescu,Casiana
Stoica,Isabela
Marin,Renata
Nemeș,Estera
Gheorghiu,Luca
Pușcașu,Lucreția
Gheorghiu,Robertina
Dumitrescu,Valeriu
Stoica,Aglaia
Nistor,Violeta
Diaconu,Anuța
Stan,Dana
Dinu,Marta
Ene,Carla
Ardelean,Timotei
Dumitrescu,Catrina
Niță,Carina
Mazilescu,Codin
Tudor,Romulus
Voinea,Gicu
Ardelean,Cleopatra
Ardelean,Elvira
Mocanu,Salomea
Florea,Teohari
Popescu,Leana
Stan,Matei
Dinu,Pamfil
Dobre,Adina
Diaconu,Mitică
Stancu,Antim
Stan,Dana
Stănescu,Antonie
Dumitrescu,Nidia
Dobre,Viorica
Florea,Fabian
Dochioiu,Virginia
Dima,Julia
Stănescu,Eremia
Tabacu,Pompilia
Diaconu,Speranța
Ababei,Ica
Eftimie,Emanuel
Ioniță,Tudora
Mazilescu,Ariadna
Manole,Adonis
Nemeș,Savina
Stănescu,Clementina
Stan,Ionelia
Florea,Nicolae
Ioniță,Luca
Stoica,Romeo
Mocanu,Janina
Oprea,Beatrice
Diaconescu,Maia
Ene,Nora
Aanei,Corina
Stan,Denis
Diaconu,Anghelina
Stoica,Adina
Ene,Nicușor
Mazilescu,Irinel
Dochioiu,Grigore
Aanei,Maximilian
Dumitrescu,Teona
Barbu,Dacian
Cristea,Noemi
Gheorghiu,Petruț
Pop,Margareta
Oprea,Melania
Florea,Florin
Dinu,Florea
Popa,Carmen
Tabacu,Ozana
Georgescu,Petruța
Oprea,Iurie
Mazilescu,Mihail
Dumitrescu,Alis
Ene,Iustina
Toma,Codrina
Dima,Ramona
Preda,Liana
Florea,Francisc
Diaconescu,Valeriu
Niță,Dalia
Dobre,Carol
Tudor,Sinică
Suciu,Izabela
Toma,Iulian
Mazilescu,Blanduzia
Ioniță,Julieta
Manole,Irina
Niță,Simion
Mazilescu,Gică
Cristea,Teofil
Dumitrescu,Lorelei
Florea,Manuela
Pop,Mioara
Popa,Ofelia
Dochioiu,Crin
Tudor,Liliana
Ioniță,Simion
Nistor,Sanda
Preda,Paula
Dumitrescu,Luiza
Dochioiu,Giorgian
Tudor,Domnica
Nistor,Avram
Oprea,Ofelia
Ene,Voicu
Stan,Nadia
Pop,Alin
Dobre,Rica
Florea,Astrid
Gheorghiu,Catrina
Tabacu,Veronica
Diaconu,Constantina
Florea,Teodor
Stan,Monica
Oprea,Draga
Dochioiu,Anastasia
Stănescu,Ovidiu
Dima,Laurian
Eftimie,Gianina
Tomescu,Smaranda
Dinu,Viorel
Voinea,Albertina
Florea,Iulian
Tabacu,Traian
Oprea,Teofil
Popa,Violeta
Popescu,Rareș
Stan,Marcela
Popescu,Codruța
Diaconu,Pătru
Niță,Cristina
Dochioiu,Alexandra
Stănescu,Jean
Eftimie,Pavel
Popescu,Darius
Aanei,Ștefania
Ababei,Mugurel
Dochioiu,Iustina
Popescu,Ieremia
Pușcașu,Casian
Stancu,Nicu
Ene,Eliza
Ababei,Daria
Marin,Lorin
Tomescu,Alistar
Dobre,Fiona
Preda,Xenia
Gheorghiu,Aura
Florea,Ilarie
Tudor,Octavian
Stoica,Jan
Tabacu,Tudosia
Ardelean,Damian
Diaconu,Fabiana
Dima,Varvara
Pop,Speranța
Stoica,Ina
Pop,Raul
Dobre,Romanița
Ene,Crina
Mazilescu,Ada
Nistor,Geanina
Georgescu,Ivona
Stancu,Pătru
Tomescu,Cosmina
Dinu,Nicolaie
Georgescu,Barbu
Popescu,Alberta
Marin,Romina
Mocanu,Luiza
Florea,Răducu
Toma,Sabin
Aanei,Emilian
Ionescu,Oana
Aanei,Doriana
Ababei,Zeno
Suciu,Jana
Eftimie,Nadia
Cristea,Liviu
Tabacu,Grațiela
Albu,Sonia
Barbu,Roxana
Ababei,Consuela
Nistor,Paul
Niță,Robert
Ababei,Emilia
Ionescu,Teona
Tabacu,Filip
Popescu,Nicolae
Mazilescu,Alma
Cristea,Robertina
Gheorghiu,Emanuil
Dima,Sânziana
Stan,Vicențiu
Georgescu,Zeno
Tudor,Rafael
Stancu,Fiona
Marin,Stan
Nistor,Toma
Barbu,Diana
Mazilescu,Georgia
Diaconu,Jeana
Ioniță,Celia
Pușcașu,Eduard
Stănescu,Flaviu
Dumitrescu,Manole
Ardelean,Maxim
Cristea,Ramona
Nistor,Lucreția
Ardelean,Vladimir
Stoica,Alexandrina
Ionescu,Ivona
Nemeș,Didina
Nistor,Liana
Nemeș,Svetlana
Mocanu,Nicodim
Tudor,Ilinca
Preda,Norman
Oprea,Florea
Dima,Tiberiu
Stănescu,David
Manole,Ilinca
Popa,Savina
Nemeș,Iustinian
Stan,Nae
Ionescu,Varvara
Manole,Beniamin
Oprea,Julieta
Ababei,Domnica
Suciu,Tatiana
Toma,Ancuța
Suciu,Jasmina
Tudor,Todor
Suciu,Flora
Dima,Ludovic
Ioniță,Iancu
Popa,Georgian
Cristea,Lavinia
Nistor,Tudora
Pușcașu,Gina
Tomescu,Georgel
Dobre,Eufrosina
Dima,Cristea
Tomescu,Narcis
Ionescu,Raluca
Preda,Smaranda
Popescu,Lavinia
Suciu,Otilia
Stoica,David
Ionescu,Lorena
Ioniță,Monica
Gheorghiu,Doriana
Dochioiu,Adam
Florea,Cornel
Tomescu,Lavinia
Dobre,Mirona
Suciu,Lucian
Mazilescu,Floriana
Pop,Lorelei
Pop,Eliza
Gheorghiu,Valentin
Ioniță,Mugur
Dumitrescu,Ilarion
Albu,Edmond
Dochioiu,Leana
Aanei,Lorelei
Dinu,Dan
Cristea,Georgel
Dumitrescu,Viorica
Stoica,Aristița
Mocanu,Ludmila
Pop,Iustinian
Toma,Beatrice
Dima,Romeo
Preda,Ada
Preda,Daciana
Stănescu,Nicuță
Ioniță,Clara
Pușcașu,Catrina
Dima,Aristița
Nemeș,Suzana
Stancu,Gelu
Niță,Draga
Suciu,Iurie
Mazilescu,Emilia
Tabacu,Steluța
Toma,Mirela
Toma,Dochia
Ardelean,Catrina
Eftimie,Diana
Voinea,Cristian
Dinu,Iridenta
Tudor,Iacob
Marin,Lucreția
Nistor,Olimpia
Aanei,Maria
Tabacu,Lucia
Oprea,Carmen
Manole,Corvin
Aanei,Gianina
Georgescu,Barbu
Oprea,Augustin
Niță,Viorica
Barbu,Robert
Albu,Viorica
Ene,Casiana
Suciu,Jana
Diaconu,Draga
Oprea,Sabin
Diaconu,Robertina
Mazilescu,Beniamin
Nistor,Ruxanda
Popa,Doru
Niță,Anton
Dochioiu,Natașa
Dobre,Olimpia
Dima,Eusebiu
Voinea,Viviana
Ardelean,Laurenția
Nistor,Venera
Tudor,Marcheta
Suciu,Dorian
Aanei,Anuța
Eftimie,Alin
Pușcașu,Francesca
Ardelean,Alex
Niță,Petruța
Manole,Adela
Ababei,Olga
Ene,Ancuța
Dinu,Teodosia
Preda,Vicenția
Florea,Eliana
Mazilescu,Ozana
Toma,Zeno
Dumitrescu,Miron
Ardelean,Casandra
Pușcașu,Amanda
Nistor,Laurențiu
Manole,Codrin
Dima,Anișoara
Dochioiu,Ecaterina
Nistor,Tiberia
Nistor,Fiona
Toma,Dominic
Dobre,Anton
Barbu,Beniamin
Pop,Ștefania
Ababei,Laurențiu
Popa,Crenguța
Tabacu,Jean
Popescu,Ciprian
Dinu,Dafina
Ardelean,Agripina
Mazilescu,Antonela
Ionescu,Mugurel
Preda,Mădălin
Voinea,Janina
Voinea,Eugenia
Mazilescu,Gina
Diaconescu,Dida
Gheorghiu,Nicușor
Preda,Sabrina
Stancu,Viorel
Tomescu,Norbert
Tudor,Bernard
Dinu,Ciprian
Dima,Liviu
Manole,Doina
Stancu,Ileana
Ene,Janeta
Nistor,Bianca
Barbu,Florența
Nemeș,Monica
Popescu,Consuela
Florea,Vicențiu
Nemeș,Cazimir
Ionescu,Stanca
Nistor,Ecaterina
Aanei,Janeta
Nistor,Profira
Aanei,Norica
Nistor,Mădălina
Florea,Nicu
Dobre,Nelu
Mocanu,Janina
Ababei,Alina
Tabacu,Bogdan
Dima,Virginia
Stănescu,Emil
Niță,Timea
Dinu,Cristofor
Dima,Zenovia
Cristea,Alberta
Tomescu,Rodica
Manole,Clementina
Dochioiu,Bianca
Ene,Constanța
Mocanu,Ludovic
Nemeș,Mitruț
Nistor,Teea
Toma,Mălina
Oprea,Olimpia
Dobre,Lioara
Nistor,Bucur
Diaconu,Florentin
Eftimie,Ducu
Stoica,Letiția
Stan,Aurelia
Nistor,Edgar
Florea,Natalia
Ene,Valeriu
Diaconescu,Dorin
Florea,Constanța
Aanei,Nicolae
Marin,Petrică
Barbu,Darius
Dochioiu,Ciprian
Georgescu,Mirela
Diaconu,Veta
Tudor,Nae
Tabacu,Damian
Toma,Cătălin
Dumitrescu,Varvara
Popescu,Emanuil
Diaconescu,Teodosia
Mazilescu,Adelin
Ioniță,Rica
Tudor,Romanița
Dima,Anica
Tudor,Lucrețiu
Stănescu,Pavel
Stănescu,Profira
Ionescu,Edgar
Florea,Noemi
Stancu,Larisa
Mocanu,Anton
Ene,Cristobal
Florea,Violeta
Cristea,Estera
Mazilescu,Bernard
Suciu,Emilian
Pușcașu,Leordean
Dumitrescu,Axenia
Tabacu,Antoniu
Cristea,Mădălina
Ardelean,Veniamin
Pușcașu,Paulica
Cristea,Ladislau
Toma,Flaviu
Stan,Casandra
Tabacu,Carmen
Popescu,Iuliana
Stoica,Viorela
Ene,Călin
Nistor,Alma
Stan,Costin
Dinu,Letiția
Ene,Fiona
Pop,Iris
Stoica,Ioanina
Diaconu,Norica
Dima,Constanța
Ene,Irinel
Popa,Ariana
Toma,Eduard
Tabacu,Nicolaie
Mocanu,Petru
Albu,Vasilica
Pop,Voichița
Barbu,Iolanda
Eftimie,Ileana
Diaconu,Dorinel
Popa,Răducu
Diaconu,Alexandrina
Ardelean,Fabia
Voinea,Benone
Toma,Denis
Cristea,Martin
Diaconu,Antonie
Stănescu,Răzvan
Popescu,Matilda
Ardelean,Tiberiu
Oprea,Narcisa
Manole,Marinela
Ene,Gina
Voinea,Vasilica
Pușcașu,Daiana
Mazilescu,Ionică
Pop,Dorin
Dinu,Iasmina
Stănescu,Gherghina
Popescu,Silviu
Barbu,Giorgian
Dobre,Laurenția
Ionescu,Lazăr
Tabacu,Mioara
Mazilescu,Lili
Albu,Lidia
Stan,Valeria
Diaconescu,Florian
Ababei,Răducu
Stănescu,Toma
Diaconescu,Steliana
Voinea,Corvin
Dima,Zamfir
Ionescu,Violeta
Ardelean,Felicia
Stoica,Stancu
Gheorghiu,Panait
Voinea,Dinu
Diaconu,Heracleea
Aanei,Lorin
Ioniță,Margareta
Popa,Costel
Tomescu,Steliana
Pop,Iurie
Stănescu,Zaharia
Pușcașu,Andrian
Dima,Gicu
Cristea,Ieremia
Nistor,Dorli
Albu,Adam
Toma,Steliana
Niță,Corvin
Cristea,Magdalena
Diaconescu,Tania
Tabacu,Grațiana
Dochioiu,Eremia
Voinea,Ștefan
Popescu,Edmond
Tudor,Georgiana
Barbu,Victoria
Marin,Valentin
Pușcașu,Veronica
Tudor,Gabriela
Dinu,Florea
Oprea,Stanca
Toma,Pleșu
Voinea,Cosmina
Nemeș,Ileana
Diaconescu,Mioara
Oprea,Sebastian
Barbu,Alma
Diaconescu,Severin
Mazilescu,Marian
Dinu,Barbu
Popescu,Olga
Diaconu,Frederic
Albu,Hortensia
Nistor,Cristian
Diaconu,Flora
Popescu,Laurenția
Dochioiu,Consuela
Ionescu,Angel
Georgescu,Anica
Oprea,Camelia
Albu,Miron
Dumitrescu,Mărioara
Dumitrescu,Benone
Ioniță,Constantina
Popa,Todor
Ene,Antoaneta
Marin,Irinel
Albu,Patricia
Ene,Steliana
Voinea,Barbu
Oprea,Codruța
Ardelean,Emanoil
Ioniță,Mara
Dinu,Lică
Tomescu,Ludovic
Pușcașu,Xenia
Ene,Alex
Albu,Eduard
Nistor,Iulian
Dochioiu,Grigore
Albu,Olimpiu
Suciu,Gicu
Stoica,Gicu
Gheorghiu,Florin
Tabacu,Fabia
Nistor,Gheorghiță
Marin,Denis
Dinu,Albert
Preda,Elvira
Aanei,Evelina
Stoica,Dora
Popescu,Leopoldina
Albu,Iustin
Mocanu,Alice
Aanei,Silviu
Tabacu,Sandu
Popa,Lucian
Florea,Pavel
Stoica,Ciprian
Ioniță,Caius
Oprea,Teohari
Preda,Sofia
Toma,Ionel
Stănescu,Ilarion
Diaconu,Ortansa
Popescu,Alberta
Pușcașu,Aleodor
Stan,Heracleea
Pușcașu,Vicenția
Stan,Panagachie
Oprea,Tudorița
Cristea,Profira
Stan,Lorena
Tudor,Măriuca
Nemeș,Veronica
Manole,Viorica
Preda,Frederic
Cristea,Jeana
Marin,Zamfira
Stoica,Teodosia
Manole,Elena
Oprea,Caterina
Stoica,Ivona
Eftimie,Frederic
Marin,Amanda
Tudor,Leontin
Georgescu,Ionică
Gheorghiu,Dorian
Voinea,Ludovica
Nemeș,Iustinian
Dima,Amedeu
Oprea,Iasmina
Stoica,Leopoldina
Aanei,Steliana
Mazilescu,Anaida
Dobre,Xenia
Mazilescu,Eliza
Popa,Sabina
Dobre,Călin
Oprea,Toma
Mocanu,Iurie
Dima,Amza
Tudor,Iridenta
Dobre,Giorgian
Suciu,Jasmina
Aanei,Stela
Suciu,Tudorița
Dinu,Pătru
Nistor,Lili
Ababei,Iulia
Popa,Lazăr
Nistor,Codrin
Georgescu,Dumitra
Ioniță,Mălina
Ababei,Zamfira
Gheorghiu,Alistar
Suciu,Măriuca
Ardelean,Ofelia
Mocanu,Augustina
Dinu,Nicușor
Ioniță,Vicenția
Ionescu,Luiza
Dobre,Aurica
Nistor,Vasilică
Nistor,Emil
Stan,Dana
Mocanu,Bianca
Marin,Iasmina
Mocanu,Cătălin
Manole,Zoe
Cristea,Ștefania
Suciu,Ducu
Tudor,Jan
Popa,Nicușor
Voinea,Draga
Dobre,Dora
Mocanu,Ianis
Aanei,Lili
Gheorghiu,Lică
Barbu,Denisa
Niță,Dorina
Toma,Horia
Ene,Anabela
Dobre,Dumitrana
Pop,Gianina
Eftimie,Codrina
Marin,Lazăr
Stancu,Sebastian
Popescu,Carla
Tabacu,Maximilian
Albu,Dan
Albu,Dorian
Florea,Timea
Mazilescu,Andrei
Aanei,Ana
Tudor,Romanița
Diaconescu,Flora
Albu,Carolina
Mocanu,Aleodor
Stancu,Aristide
Eftimie,Dalia
Diaconu,Tamara
Ioniță,Draga
Albu,Adrian
Pop,Svetlana
Stancu,Cristea
Tomescu,Silviana
Pușcașu,Călin
Manole,Stancu
Popa,Silviu
Ardelean,Henrieta
Georgescu,Andrian
Ene,Ariana
Diaconescu,Monica
Ababei,Eduard
Dobre,Dominic
Dochioiu,Sorina
Pușcașu,Fabian
Aanei,Darius
Dima,Matilda
Barbu,Ionela
Stancu,Florina
Dima,Angel
Dobre,Camelia
Mocanu,Amelia
Georgescu,Nicoleta
Ene,Tudora
Albu,Zoe
Stan,Anabela
Stancu,Mihail
Nistor,Sofia
Dobre,Arina
Florea,Timea
Ababei,Loredana
Dobre,Carmen
Nistor,Ortansa
Pușcașu,Mihai
Nistor,Mărioara
Cristea,Jean
Stănescu,Eufrosina
Nistor,Sorana
Dobre,Floriana
Georgescu,Geanina
Popescu,Stelian
Pop,Doriana
Florea,Georgian
Dochioiu,Petruța
Voinea,Crenguța
Oprea,Mina
Stoica,Niculiță
Florea,Grațiela
Pușcașu,Benone
Mazilescu,Haralambie
Suciu,Loredana
