"personal_id","personal_number","birthdate","address","phone_number","user_id"
"21","4770213214872","2016-07-10","Aleea Minodora Pop Nr. 754, Insuratei, 359506","0235 309 719","8055"
"22","3950204404796","1985-07-29","Strada Marin, Pogoanele, 353724","0260 671 129","8257"
"23","1160202191520","1994-03-16","Strada Tabacu Nr. 86, Sacele, 916770","0235 156 739","8390"
"24","6141004279658","1983-10-24","Intrarea Cristea Nr. 964, Remetea, 220687","0253 045 908","9186"
"25","3550920131510","1918-11-30","Strada Vlaicu Aanei, Pancota, 727909","0743 508 121","9467"
"26","4700230041103","1912-09-08","Aleea Popa Nr. 199 Bl. 17  Sc. 15 Ap. 420, Gherla, 860804","0721 997 560","9983"
"27","5981127518706","1950-12-24","Aleea Pușcașu Nr. 11, Zarnesti, 985813","0724 508 341","9984"
"28","2770928011924","1978-08-28","Bulevardul Popescu, Negresti-Oas, 892211","0769 961 802","9985"
"29","2001206385966","1954-08-16","Aleea Cristea Nr. 806, Cisnadie, 495553","0737 531 027","9986"
"30","5990228252210","2018-05-30","Drumul Dumitrescu Nr. 388 Bl. 20  Sc. 25 Ap. 438, Dumbravita, 957775","0244 491 972","9987"
"31","4710931092044","1964-01-15","Soseaua Georgescu, Teius, 187563","0727 461 444","9988"
"32","5180508122573","1991-04-10","Strada Popescu Nr. 77, Buftea, 538698","0262 439 990","9989"
"33","8780417155911","1934-03-11","Soseaua Dima, Cajvana, 358839","0264 140 663","9990"
"34","1880805142893","1961-07-12","Drumul Popescu Nr. 27 Bl. 41  Sc. 48 Ap. 313, Targu Frumos, 974597","0753 781 669","9991"
"35","3670813160432","1998-10-23","Bulevardul Tudor Nr. 973 Bl. 66  Sc. 43 Ap. 427, Bosanci, 739075","0247 232 987","9992"
"36","4730807181421","1962-12-26","Bulevardul Dinu Nr. 68 Bl. 45  Sc. 62 Ap. 899, Brasov, 275519","0767 854 285","9993"
"37","3500815221132","1930-02-26","Bulevardul Albu Nr. 224 Bl. 41  Sc. 36 Ap. 966, Bals, 581532","0760 185 314","9994"
"38","2381015265473","1957-09-29","Aleea Cristea Nr. 44 Bl. 53  Sc. 74 Ap. 772, Alesd, 345173","0762 949 520","9995"
"39","6240529516441","1913-11-08","Intrarea Adi Stancu, Techirghiol, 520618","0726 943 522","5001"
"40","5540211448140","1964-11-15","Soseaua Stănescu Nr. 182 Bl. 12  Sc. 57 Ap. 678, Fieni, 721355","0728 701 917","5002"
"41","3720731241554","1913-01-12","Soseaua Anton Dochioiu, Dumbraveni, 177145","0788 283 393","5003"
"42","7860628315470","1991-09-06","Strada Dumitrescu Nr. 66, Rasnov Romacril, 769207","0763 414 819","5004"
"43","3730409354917","1938-01-25","Strada Pușcașu, Chisineu-Cris, 309100","0258 902 800","5005"
"44","7691210390931","1992-01-17","Drumul Oprea, Arad, 851733","0264 547 086","5006"
"45","4080702113474","2011-08-26","Aleea Barbu Nr. 17 Bl. 97  Sc. 38 Ap. 437, Timisoara, 847784","0246 577 409","5007"
"46","2460728088712","1949-01-15","Drumul Popa Nr. 69, Urlati, 824833","0725 051 184","5008"
"47","7870809395062","1934-10-25","Soseaua Popa Nr. 980 Bl. 54  Sc. 41 Ap. 735, Ianca, 462260","0267 404 178","5009"
"48","2460317103081","1948-05-23","Drumul Toma, Sannicolau Mare, 530518","0268 138 597","5010"
"49","5150409376466","1989-11-06","Aleea Simona Dinu Nr. 39, Anina, 888203","0732 239 339","5011"
"50","6370917210431","1996-11-26","Soseaua Eftimie Nr. 551 Bl. 16  Sc. 36 Ap. 418, Pecica, 333547","0729 013 659","5012"
"51","6120804179030","1972-01-08","Soseaua Pop, Mangalia, 218500","0268 281 073","5014"
"52","2091031208281","1986-08-21","Bulevardul Domnica Nistor Nr. 28, Ramnicu Valcea, 479830","0730 565 286","5015"
"53","6480414329964","1947-03-02","Strada Gianina Ababei, Alba Iulia, 469201","0744 755 126","5016"
"54","3761208523918","1937-08-28","Drumul Georgescu Nr. 72 Bl. 96  Sc. 28 Ap. 516, Pogoanele, 686939","0256 196 603","5017"
"55","4940328386856","1963-11-16","Soseaua Emanuela Dinu, Targu Ocna, 464164","0238 077 262","5018"
"56","2860404421012","1982-02-10","Aleea Dorli Niță Nr. 889, Ocna Mures, 782407","0247 022 586","5019"
"57","2240324263061","1970-10-26","Intrarea Maria Diaconu Nr. 61 Bl. 85  Sc. 29 Ap. 635, Drobeta-Turnu Severin, 936268","0728 463 780","5020"
"58","8550311011479","1926-09-09","Strada Dima Nr. 44 Bl. 70  Sc. 11 Ap. 488, Huedin, 281917","0786 334 238","5021"
"59","1510722520802","1960-02-27","Aleea Popa Nr. 166, Popesti-Leordeni, 157161","0239 331 291","5022"
"60","4270613013022","1910-10-10","Bulevardul Aura Nemeș Nr. 366, Pascani, 686156","0728 305 559","5023"
"61","2620517055568","1953-07-25","Strada Stan Nr. 41, Bocsa, 949963","0233 094 635","5024"
"62","2131019043836","2002-03-04","Aleea Gheorghiu Nr. 201 Bl. 91  Sc. 67 Ap. 552, Sebes, 862606","0269 119 822","5025"
"63","6750329407346","1952-09-05","Soseaua Stan Nr. 847, Tulcea, 279641","0745 969 703","5026"
"64","2411129135783","2022-04-27","Bulevardul Dochioiu Nr. 97, Onesti, 578525","0750 047 519","5027"
"65","5241105282741","1910-12-06","Strada Mocanu Nr. 624, Peris, 523970","0753 059 038","5028"
"66","8960907360537","1976-04-16","Intrarea Lucreția Marin Nr. 15, Gilau, 661321","0231 419 104","5029"
"67","3411113253930","1989-11-23","Strada Manole Nr. 672, Macin, 668850","0250 456 584","5030"
"68","2830525336455","1993-10-15","Bulevardul Daciana Eftimie Nr. 43 Bl. 24  Sc. 22 Ap. 233, Vlahita, 466862","0269 930 323","5031"
"69","6980312270364","1988-03-13","Aleea Suciu, Slatina, 391304","0240 063 606","5032"
"70","6450525132731","1979-01-13","Intrarea Oprea, Cudalbi, 125714","0732 123 575","5033"
"71","3711106201123","1980-06-25","Bulevardul Ababei Nr. 45, Cugir, 952117","0734 204 278","5034"
"72","6371205174897","1945-04-26","Drumul Nistor Nr. 252 Bl. 15  Sc. 86 Ap. 111, Negresti-Oas, 550886","0253 460 448","5035"
"73","6570205232284","2006-05-03","Bulevardul Cosmina Tomescu Nr. 806 Bl. 70  Sc. 36 Ap. 578, Motru, 777555","0751 997 298","5036"
"74","4900228455703","1988-02-03","Bulevardul Ardelean Nr. 74, Amara, 349820","0253 710 183","5037"
"75","8610716060539","1945-06-12","Drumul Daiana Florea Nr. 78, Cudalbi, 517415","0753 138 622","5038"
"76","2280506192617","1977-02-15","Strada Tomescu, Marginea, 367892","0742 823 928","5039"
"77","1680319392421","2017-06-21","Drumul Mazilescu, Oituz, 186338","0253 831 288","5040"
"78","7331012278214","1998-02-02","Intrarea Barbu Nr. 43, Alba Iulia, 399030","0268 328 411","5041"
"79","1000522036069","1996-03-22","Soseaua Niță Nr. 79, Otopeni, 179847","0257 192 718","5042"
"80","3100614265838","1951-04-14","Drumul Diaconu Nr. 86 Bl. 58  Sc. 47 Ap. 250, Rasnov, 632660","0259 700 363","5043"
"81","5510612070492","1910-01-22","Strada Dima Nr. 95 Bl. 24  Sc. 69 Ap. 336, Targu Mures, 753828","0784 289 594","5044"
"82","3760202254937","1953-04-30","Strada Stancu Nr. 309 Bl. 84  Sc. 78 Ap. 931, Navodari, 284493","0763 545 378","5045"
"83","8971125390171","1981-04-23","Intrarea Nicoleta Marin Nr. 574, Lupeni, 738848","0260 870 681","5046"
"84","8801204010256","2010-06-22","Aleea Dochioiu Nr. 129, Targoviste, 527697","0729 476 010","5047"
"85","4310911526039","1970-02-14","Bulevardul Stan Nr. 14, Zimnicea, 548675","0233 726 371","5048"
"86","3131012224851","1920-03-07","Intrarea Pop Nr. 827 Bl. 36  Sc. 74 Ap. 202, Satu Mare, 205244","0232 907 700","5049"
"87","5120120069218","1994-10-09","Aleea Niță Nr. 685, Siret, 365765","0739 423 903","5050"
"88","2750710201917","1998-06-18","Strada Aanei Nr. 42 Bl. 33  Sc. 40 Ap. 225, Campulung, 137937","0765 788 669","5051"
"89","6420331246301","2023-05-14","Soseaua Pamela Tabacu, Pantelimon, 351767","0257 049 651","5052"
"90","1870122082627","1927-10-06","Bulevardul Romeo Florea Nr. 525 Bl. 79  Sc. 97 Ap. 228, Valea lui Mihai, 662272","0235 621 594","5053"
"91","6970618142901","1958-10-30","Strada Alida Aanei Nr. 48, Roseti, 403523","0753 978 866","5054"
"92","2860118407209","1935-11-24","Aleea Dobre Nr. 48, Cobadin, 673209","0233 579 617","5055"
"93","6090815337546","1963-07-29","Strada Francisc Manole Nr. 25 Bl. 15  Sc. 18 Ap. 491, Campina, 515532","0771 467 610","5056"
"94","2300219044509","1985-03-26","Soseaua Astrid Georgescu Nr. 49 Bl. 43  Sc. 56 Ap. 515, Savinesti (Poiana Teiului), 128014","0746 926 089","5057"
"95","5120124425085","2022-05-14","Drumul Marin Nr. 344, Ludus, 520037","0235 661 857","5058"
"96","1781103250182","1981-07-13","Aleea Camelia Niță Nr. 10, Dorohoi, 282333","0757 058 826","5059"
"97","6680710147125","1944-01-30","Drumul Dinu Nr. 47, Cristuru Secuiesc, 969966","0752 704 142","5060"
"98","4271208445813","1992-02-04","Aleea Mocanu, Baile Borsa, 775622","0747 042 600","5061"
"99","4411114392873","1926-08-19","Soseaua Pop, Anina, 218649","0720 164 999","5062"
"100","4750824398702","1995-06-12","Soseaua Alina Nemeș Nr. 73 Bl. 72  Sc. 59 Ap. 579, Radauti, 507493","0784 486 103","5063"
"101","6630811288021","1995-09-10","Drumul Eftimie Nr. 12 Bl. 88  Sc. 96 Ap. 584, Valea Mare (Negresti), 856086","0248 156 238","5064"
"102","5900303039952","1956-08-16","Strada Diaconu, Targu Mures, 858337","0248 385 506","5065"
"103","1650822226773","1974-12-24","Drumul George Nistor Nr. 58, Peris, 855499","0262 799 158","5066"
"104","2060514392684","1960-09-04","Drumul Silvia Dinu Nr. 288 Bl. 90  Sc. 97 Ap. 398, Harsova, 748537","0749 066 250","5067"
"105","3180628334902","1962-11-23","Intrarea Pleșu Mocanu Nr. 33 Bl. 35  Sc. 48 Ap. 660, Deta, 513366","0732 437 059","5068"
"106","5540103405611","1996-11-29","Drumul Popescu, Corabia, 891976","0763 511 540","5069"
"107","5790331526411","1957-07-29","Intrarea Pușcașu Nr. 890 Bl. 99  Sc. 10 Ap. 686, Hateg, 358605","0241 114 375","5070"
"108","5370826191901","2021-02-15","Strada Silvian Albu Nr. 747, Valea Mare (Negresti), 377963","0231 217 607","5071"
"109","6401016096196","1935-11-27","Drumul Gabriela Ardelean Nr. 78, Mioveni, 834432","0254 346 341","5072"
"110","7310402401061","1963-02-27","Intrarea Brândușa Diaconu, Tuzla, 752402","0243 764 239","5073"
"111","4070103233855","1975-02-20","Intrarea Rareș Florea Nr. 892 Bl. 16  Sc. 15 Ap. 222, Adjud, 878409","0242 884 869","5074"
"112","4040207257136","1946-06-09","Aleea Nistor Nr. 46 Bl. 72  Sc. 66 Ap. 769, Fundulea, 536808","0734 874 701","5075"
"113","4691115026412","1927-02-16","Soseaua Casiana Diaconescu Nr. 23 Bl. 41  Sc. 25 Ap. 706, Bocsa, 519350","0765 464 458","5076"
"114","3950419424199","1974-10-16","Soseaua Pavel Ene Nr. 497 Bl. 37  Sc. 15 Ap. 605, Rasnov Romacril, 584832","0784 956 903","5077"
"115","3470521240607","1976-03-12","Drumul Diaconu Nr. 49 Bl. 76  Sc. 39 Ap. 202, Baicoi, 800601","0711 180 771","5078"
"116","3270623306466","2011-06-08","Drumul Dumitrescu, Orsova, 527612","0248 202 066","5079"
"117","4530630376526","1983-09-09","Soseaua Mazilescu, Bacau, 563399","0246 270 470","5080"
"118","3650631383961","1988-12-18","Aleea Voicu Diaconu Nr. 79, Ramnicu Valcea, 677404","0786 282 653","5081"
"119","6940820117567","1979-04-14","Drumul Paul Nistor, Iernut, 125249","0711 954 120","5082"
"120","1851227252167","1939-08-10","Soseaua Stancu Nr. 235 Bl. 47  Sc. 70 Ap. 606, Targu Neamt, 422890","0242 888 598","5083"
"121","2330320399697","1960-01-14","Bulevardul Manole Nr. 322, Lunca Cetatuii, 998391","0741 346 807","5084"
"122","4081025029511","1961-05-06","Bulevardul Tabacu, Baia Sprie, 385107","0267 989 690","5085"
"123","4041015027921","1935-03-24","Bulevardul Ionescu Nr. 52 Bl. 87  Sc. 23 Ap. 338, Gaesti, 546751","0724 835 167","5086"
"124","4520613062164","1923-11-10","Bulevardul Diaconescu Nr. 96 Bl. 81  Sc. 67 Ap. 874, Sibiu, 417483","0761 475 976","5087"
"125","5781213259687","1983-12-09","Bulevardul Stancu Nr. 167 Bl. 54  Sc. 96 Ap. 578, Eforie Nord, 427386","0763 873 520","5088"
"126","3301226120528","1986-09-18","Drumul Ina Stan, Bailesti, 504268","0243 367 687","5089"
"127","4141108454111","1939-02-21","Bulevardul Gheorghiu, Lunca Cetatuii, 127400","0756 463 535","5090"
"128","7020905229727","1968-12-30","Aleea George Mocanu Nr. 416 Bl. 19  Sc. 92 Ap. 166, Negresti, 338737","0232 354 410","5091"
"129","5700926065090","1947-03-21","Intrarea Barbu Nr. 26, Tecuci, 148725","0755 927 543","5092"
"130","6220404382431","1913-03-07","Drumul Cristea Nr. 48, Mioveni, 927144","0768 817 031","5093"
"131","1540909221001","1963-10-03","Soseaua Iustina Ionescu, Petrosani, 660873","0234 728 017","5094"
"132","8760524253253","2020-12-18","Strada Grațian Diaconu Nr. 16, Valea Mare (Negresti), 947317","0233 471 210","5095"
"133","3420129194311","1911-09-03","Strada Răducu Ababei Nr. 980 Bl. 56  Sc. 61 Ap. 233, Sannicolau Mare, 939509","0732 517 169","5096"
"134","2641223301809","2000-09-04","Bulevardul Pop, Tomesti, 597266","0734 815 296","5097"
"135","6721028106871","1960-09-20","Aleea Dinu Nr. 102, Rucar, 999616","0269 504 247","5098"
"136","6750820275380","1988-06-26","Intrarea Lorena Nistor, Strejnicu, 510804","0733 890 442","5099"
"137","5930824056384","2002-07-29","Aleea Albu, Anina, 167099","0745 341 231","5100"
"138","5240901145062","1944-04-17","Drumul Eftimie Nr. 960 Bl. 25  Sc. 35 Ap. 880, Dobroesti, 312299","0720 386 658","5101"
"139","8030320356731","1959-03-16","Aleea Cezar Pușcașu Nr. 478 Bl. 24  Sc. 18 Ap. 517, Tudora, 642037","0245 762 020","5102"
"140","1000222067311","1927-02-18","Aleea Eftimie, Zalau, 782887","0747 736 704","5103"
"141","7770307011450","1949-04-12","Intrarea Dobre Nr. 90, Suceava, 796498","0236 323 297","5104"
"142","2950809337370","2003-08-27","Intrarea Aanei Nr. 60 Bl. 30  Sc. 38 Ap. 975, Barbulesti, 566760","0237 666 844","5105"
"143","3001019188354","1930-05-20","Strada Pușcașu Nr. 86 Bl. 47  Sc. 38 Ap. 419, Mizil, 126737","0739 407 850","5106"
"144","6701201452259","1984-08-31","Strada Albu Nr. 45, Oituz, 758531","0235 894 535","5107"
"145","3060907231309","2024-02-10","Soseaua Gelu Tomescu Nr. 273 Bl. 74  Sc. 63 Ap. 359, Blaj, 939846","0246 655 118","5108"
"146","4950308175804","1965-06-09","Aleea Ioniță, Horodnic de Sus, 276163","0263 820 361","5109"
"147","3470805121037","1930-05-24","Soseaua Barbu Nr. 947 Bl. 11  Sc. 46 Ap. 446, Arad, 285237","0730 384 403","5110"
"148","2310815319699","2014-06-29","Soseaua Alberta Popescu Nr. 70 Bl. 82  Sc. 87 Ap. 166, Timisoara, 841007","0265 601 749","5111"
"149","6000927108660","1970-04-28","Intrarea Theodor Florea, Pipera (Voluntari), 653266","0711 078 003","5112"
"150","8730802342461","1958-07-23","Aleea Aanei, Negresti, 463312","0726 826 078","5113"
"151","1370218217782","1964-10-10","Aleea Toma, Fundulea, 104809","0722 617 143","5114"
"152","3611216128559","1926-01-06","Intrarea Tomescu, Glina, 729026","0238 388 001","5115"
"153","8330820086374","1913-04-17","Bulevardul Călin Stancu, Balotesti, 974408","0252 838 827","5116"
"154","2860610131480","1918-05-31","Aleea Diaconescu, Otelu Rosu, 562073","0724 493 208","5117"
"155","2640714515620","1963-06-07","Drumul Tudor, Huedin, 929066","0261 454 779","5118"
"156","3291021264201","1951-05-16","Aleea Dobre, Matca, 809920","0733 741 320","5119"
"157","3531109214013","1969-11-20","Drumul Barbu Nr. 956, Lipova, 248272","0764 269 979","5120"
"158","8181112071259","1972-10-26","Bulevardul Florea, Apahida, 429566","0755 292 490","5121"
"159","6450526173194","1998-03-19","Aleea Stoica Nr. 43 Bl. 94  Sc. 61 Ap. 431, Pascani, 475709","0753 862 410","5122"
"160","1890115371188","1928-04-17","Bulevardul Geta Ardelean Nr. 452 Bl. 61  Sc. 91 Ap. 438, Darmanesti, 747531","0233 986 179","5123"
"161","7050607279281","1987-01-22","Intrarea Diaconu Nr. 189, Schela Cladovei, 803703","0728 609 677","5124"
"162","1970227080311","1988-01-11","Bulevardul Dumitrescu Nr. 94, Barbulesti, 930483","0729 590 282","5125"
"163","2970311449829","1967-09-13","Soseaua Stan, Deta, 547532","0260 553 584","5126"
"164","2010626153681","2006-02-22","Soseaua Dumitrescu Nr. 60 Bl. 19  Sc. 80 Ap. 242, Galati, 168897","0726 246 999","5127"
"165","5990610057939","1971-12-27","Intrarea Niță Nr. 61, Babeni, 454040","0736 209 292","5128"
"166","4300408298934","1962-07-15","Drumul Mirona Voinea Nr. 939 Bl. 50  Sc. 97 Ap. 155, Voluntari, 817191","0748 233 162","5129"
"167","7470328293798","1946-12-13","Bulevardul Alberta Mocanu Nr. 27, Straja, 374515","0263 526 499","5130"
"168","8511011352817","1987-07-15","Strada Diaconescu Nr. 520, Beius, 110797","0252 907 637","5131"
"169","5021123141451","1980-12-18","Soseaua Traian Barbu Nr. 18, Gaesti, 240135","0725 643 477","5132"
"170","3571210421371","2006-08-19","Bulevardul Evanghelina Marin, Sighisoara, 244961","021 377 6965","5133"
"171","5760404150544","1995-03-25","Bulevardul Valentin Toma Nr. 83 Bl. 96  Sc. 21 Ap. 944, Peris, 826819","0240 922 427","5134"
"172","2160531528383","2020-09-09","Soseaua Barbu Nr. 11 Bl. 46  Sc. 76 Ap. 293, Sadova, 731677","0747 561 043","5135"
"173","5660924217465","1998-05-25","Bulevardul Denis Voinea Nr. 515 Bl. 79  Sc. 40 Ap. 620, Zalau, 496193","0749 518 605","5136"
"174","8070213292570","1972-10-16","Strada Ioniță Nr. 387 Bl. 76  Sc. 79 Ap. 650, Gura Humorului, 354872","0767 835 422","5137"
"175","7980402190495","2010-10-05","Intrarea Eftimie Nr. 648 Bl. 96  Sc. 28 Ap. 899, Pancota, 953650","0786 162 874","5138"
"176","1791015249381","1926-04-12","Drumul Ludmila Tomescu Nr. 59, Baia, 880017","0759 754 046","5139"
"177","2661021303021","2009-07-27","Bulevardul Iulia Georgescu Nr. 25, Harsova, 635344","0757 819 919","5140"
"178","8520612338997","2004-07-05","Soseaua Stan Nr. 619, Sacele, 441811","0238 160 623","5141"
"179","6880911205584","1919-05-21","Aleea Niță, Jilava, 215553","0240 313 991","5142"
"180","4470619418213","1952-11-15","Aleea Teodora Stănescu Nr. 848 Bl. 92  Sc. 85 Ap. 176, Breaza de Sus, 994476","0237 993 674","5143"
"181","5370405357488","2014-12-11","Bulevardul Dinu Nr. 220, Valu lui Traian, 627177","0738 015 910","5144"
"182","6300530130714","1984-04-24","Bulevardul Pop Nr. 71 Bl. 57  Sc. 83 Ap. 510, Carei, 656489","0233 262 748","5145"
"183","6880521165541","1964-01-05","Aleea Valentin Preda, Iernut, 256117","0784 584 850","5146"
"184","8930808378920","2006-07-28","Soseaua Eftimie Nr. 970, Santana, 670581","0250 072 466","5147"
"185","5650307205074","1980-05-31","Aleea Arina Stancu, Raducaneni, 478989","0754 957 791","5148"
"186","4460610373990","1998-08-29","Intrarea Codrin Popa Nr. 935, Barlad, 177838","0759 714 416","5149"
"187","3030620360529","1934-08-30","Aleea Popa, Babeni, 401885","0258 982 447","5150"
"188","4751106301018","1948-04-22","Soseaua Aanei Nr. 734 Bl. 22  Sc. 47 Ap. 203, Drobeta-Turnu Severin, 324470","0758 700 730","5151"
"189","8090322283252","1953-03-16","Drumul Dorian Tabacu Nr. 861, Straja, 253935","0766 817 036","5152"
"190","4210209364216","1989-05-08","Soseaua Barbu, Tandarei, 303064","0772 509 545","5153"
"191","2110902308988","1942-07-30","Aleea Zamfira Nemeș, Oradea, 809144","0721 559 030","5643"
"192","4571119049357","2000-10-18","Bulevardul Florea Nr. 289 Bl. 84  Sc. 40 Ap. 833, Turda, 936782","0237 987 291","5154"
"193","5030309151336","1968-04-20","Drumul Mazilescu Nr. 432, Valea Mare (Babeni), 338978","0255 264 841","5155"
"194","8690830254240","1989-08-01","Bulevardul Tabacu, Beius, 423325","0756 944 804","5156"
"195","7890909184152","1955-11-24","Aleea Dacian Nistor Nr. 341, Peris, 945809","0754 580 257","5157"
"196","1491225457976","1928-01-16","Drumul Diaconu Nr. 37, Satu Mare, 455265","0759 696 463","5158"
"197","8590819367114","1962-07-11","Soseaua Popescu Nr. 744, Boldesti-Scaeni, 420683","0753 718 661","5159"
"198","5180303290072","1971-01-21","Aleea Iris Ardelean, Giroc, 659326","0258 418 855","5160"
"199","1830405460577","1919-08-04","Intrarea Dima, Marasesti, 512611","0735 306 283","5161"
"200","8070926117736","1938-03-31","Intrarea Adelina Ionescu Nr. 89, Tecuci, 155553","0257 263 130","5162"
"201","8680602125418","2009-10-09","Drumul Nistor Nr. 64, Sabaoani, 261707","0742 818 957","5163"
"202","4730323386069","1944-12-17","Intrarea Felicia Tomescu Nr. 87, Mizil, 510379","0750 220 032","5164"
"203","6100701037860","2012-08-06","Bulevardul Stănescu, Baia Sprie, 289561","0764 321 702","5165"
"204","7500814232267","1935-12-04","Bulevardul Marina Barbu, Horodnic de Sus, 877082","0240 809 441","5166"
"205","8230312336836","1967-06-25","Soseaua Georgescu, Nasaud, 480239","0737 494 887","5167"
"206","6850905210276","1983-08-29","Intrarea Diaconu, Bragadiru, 938174","0728 069 148","5168"
"207","7860501323075","2016-06-06","Bulevardul Lelia Nemeș Nr. 41 Bl. 69  Sc. 25 Ap. 549, Murfatlar, 221195","0747 389 611","5169"
"208","2251012447499","2015-12-13","Drumul Ababei Nr. 652 Bl. 10  Sc. 67 Ap. 137, Dumbravita, 893751","0744 654 357","5170"
"209","3010711214781","1992-07-02","Soseaua Pușcașu Nr. 426, Baia Mare, 718307","0248 876 371","5171"
"210","5911107313531","1968-01-13","Strada Viviana Stancu Nr. 50, Tecuci, 443479","0728 468 776","5172"
"211","3940620022648","2005-11-17","Soseaua Ioniță Nr. 43, Sandominic, 317592","0767 643 985","5173"
"212","4170821271073","1983-11-12","Intrarea Iridenta Pușcașu, Balan, 193223","0723 287 765","5174"
"213","8230430188115","1962-08-26","Aleea Cazimir Marin Nr. 12 Bl. 33  Sc. 25 Ap. 998, Balotesti, 522285","0767 662 330","5175"
"214","5441118012254","1988-03-29","Strada Toma Nr. 918, Fundeni, 301219","0785 073 145","5176"
"215","8891013469010","1941-03-08","Intrarea Stan Nr. 791, Valea Mare (Babeni), 470155","0746 536 181","5177"
"216","1220114429756","1970-09-25","Strada Florentin Albu, Pechea, 963861","0237 472 975","5178"
"217","6281103400537","1981-02-02","Strada Niță Nr. 738, Saveni, 171662","0755 283 148","5179"
"218","8130816414624","2007-10-17","Aleea Ardelean, Afumati, 343789","0235 272 143","5180"
"219","7990918307529","1971-12-26","Intrarea Mocanu Nr. 813 Bl. 96  Sc. 80 Ap. 975, Arad, 776690","0772 936 640","5181"
"220","1700729454077","1940-01-28","Soseaua Nemeș, Barbulesti, 494163","0757 578 819","5182"
"221","5190612210439","2014-08-03","Drumul Eftimie Nr. 715 Bl. 68  Sc. 63 Ap. 998, Corabia, 280379","0725 027 465","5183"
"222","8700215462482","1991-09-09","Soseaua Pop, Fieni, 151833","0249 976 624","5184"
"223","1210629058204","1935-01-25","Intrarea Dorli Toma Nr. 65, Ramnicu Sarat, 288272","0236 491 459","5185"
"224","1600627146170","1954-09-30","Drumul Albu Nr. 70 Bl. 46  Sc. 91 Ap. 795, Lipova, 691189","0721 524 081","5186"
"225","4710219278192","2000-02-16","Aleea Iris Marin Nr. 634 Bl. 40  Sc. 83 Ap. 194, Constanta, 996527","0251 347 931","5187"
"226","8540609418997","2009-10-11","Strada Agripina Preda Nr. 304 Bl. 87  Sc. 64 Ap. 690, Bistrita, 584931","0739 496 638","5188"
"227","6581204449011","2003-05-01","Soseaua Adela Ioniță Nr. 95, Calarasi, 932252","0269 137 297","5189"
"228","7610821016481","1982-05-22","Intrarea Dochioiu Nr. 94 Bl. 77  Sc. 14 Ap. 245, Odobesti, 694485","0772 489 352","5190"
"229","3930206281668","1963-03-26","Bulevardul Floriana Marin Nr. 29, Bragadiru, 601267","0261 031 295","5191"
"230","5600505364960","1978-09-28","Intrarea Dinu, Ploiesti, 507521","0235 718 751","5192"
"231","1940519200472","2021-12-05","Bulevardul Ioniță Nr. 954, Videle, 226800","0233 541 037","5193"
"232","2340314038755","1987-04-29","Strada Cristea Nr. 209, Curtea de Arges, 308841","0243 299 460","5194"
"233","3460304159720","1976-01-31","Bulevardul Pop Nr. 550 Bl. 22  Sc. 79 Ap. 823, Tarnaveni, 714288","0752 299 051","5195"
"234","8261014371211","1961-04-21","Soseaua Barbu Nr. 700 Bl. 28  Sc. 34 Ap. 642, Drobeta-Turnu Severin, 554207","0237 154 772","5196"
"235","4080523277101","2006-09-02","Aleea Gabi Dinu Nr. 636 Bl. 97  Sc. 26 Ap. 696, Pitesti, 311581","0246 700 113","5197"
