"personal_id","phone_number","birthdate","address","job","user_id"
"45","0732 343 578","2002-05-06","Intrarea Flaviu Florea Nr. 356 Bl. 21  Sc. 19 Ap. 349, Otelu Rosu, 767220","Proiectant Inginer Electromecanic","19977"
"46","0784 409 724","1919-10-26","Intrarea Dima, Saveni, 744218","Confectioner Piese Radio Si Semiconductori","19978"
"47","0235 462 291","2021-01-12","Soseaua Pop, Matca, 690973","Medic Expertiza A Capacitatii De Munca","19979"
"48","0726 523 997","1953-02-09","Drumul Filip Aanei Nr. 57, Odorheiu Secuiesc, 696519","Gradinar","10001"
"49","0745 771 142","1989-11-07","Intrarea Carmen Niță Nr. 67, Focsani, 193905","Consilier Botanist","10002"
"50","0245 544 764","2001-04-05","Intrarea Gabriel Pop, Videle, 984961","Expert Aplicare Legislatie Armonizata In Domeniul Industriei Si Comertului","10003"
"51","0265 611 078","1995-02-15","Soseaua Teodora Diaconescu Nr. 976, Oituz, 760742","Laborant Structura Macroscopica Si Microscopica","10004"
"52","0258 055 675","1982-12-11","Strada Zeno Barbu Nr. 109, Ploiesti, 530973","Inspector De Specialitate Medic","10005"
"53","0734 153 158","1957-08-11","Soseaua Niță Nr. 68 Bl. 42  Sc. 64 Ap. 768, Straja, 788801","Asistent De Cercetare In Exploatari Forestiere","10006"
"54","0720 189 403","2008-09-02","Aleea Gheorghiță Manole Nr. 432 Bl. 57  Sc. 65 Ap. 972, Strehaia, 804293","Marcator Piese","10007"
"55","0720 714 733","1918-12-07","Aleea Petruța Ioniță Nr. 653, Bragadiru, 632422","Secretar De Emisie (Studii Medii)","10008"
"56","0745 412 036","1956-02-03","Strada Gheorghiu Nr. 367 Bl. 18  Sc. 90 Ap. 671, Cugir, 160959","Merceolog","10009"
"57","0720 114 708","1932-03-21","Drumul Alida Stoica Nr. 64, Floresti, 240083","Inginer De Cercetare In Horticultura","10010"
"58","0731 625 812","1967-03-27","Bulevardul Popescu, Dragalina, 152324","Asistent De Cercetare In Electrofizica","10011"
"59","0261 367 625","1988-12-27","Soseaua Ababei Nr. 624, Lugoj, 875510","Specialist Incercari Componente Vehicule/Grup Motopropulsor/Optimizare Energetica/Sisteme De Masurare","10013"
"60","0239 565 455","1939-10-21","Strada Tabacu Nr. 355 Bl. 34  Sc. 24 Ap. 853, Turda, 986404","Cercetator In Comunicatii","10014"
"61","0722 071 129","1936-04-29","Bulevardul Manole Nr. 53 Bl. 36  Sc. 83 Ap. 300, Podu Iloaiei, 776126","Confectioner Izolatii La Conductori Electrici","10015"
"62","0236 398 897","1956-09-18","Intrarea Pop, Rovinari, 769255","Expert Accesare Fonduri Structurale Si De Coeziune Europene","10016"
"63","0241 398 615","1921-02-12","Intrarea Stancu Nr. 15 Bl. 31  Sc. 14 Ap. 399, Dancu, 976103","Tehnician Pentru Sisteme De Detectie, Supraveghere Video, Control Acces","10017"
"64","0737 142 529","1952-07-01","Bulevardul Dobre, Baia, 894401","Tehnician Analist Calitate","10018"
"65","0764 807 406","1929-03-14","Intrarea Anton Marin Nr. 707 Bl. 73  Sc. 34 Ap. 980, Cernavoda, 409822","Responsabil Cazare","10019"
"66","0767 965 652","1948-02-03","Strada Niță Nr. 72 Bl. 39  Sc. 19 Ap. 695, Tecuci, 623825","Cazangiu Recipiente","10020"
"67","0257 378 616","1915-04-09","Drumul Aanei, Targoviste, 743434","Muncitor Necalificat In Metalurgie","10021"
"68","0785 394 624","1931-03-25","Bulevardul Manole, Copsa Mica, 925947","Cercetator Economist In Economia Mediului","10022"
"69","0253 256 408","2016-08-24","Intrarea Dochioiu Nr. 98, Urlati, 170885","Tehnician In Industria Alimentara Extractiva","10023"
"70","0737 429 736","1967-09-14","Aleea Nemeș Nr. 90, Motatei, 873823","Gospodar","10024"
"71","0251 635 680","1931-08-24","Strada Pamela Stănescu, Floresti, 106880","Mestesugar Finisor Mineral","10025"
"72","0729 455 955","1977-01-11","Bulevardul Nistor Nr. 678, Comanesti, 649618","Lucrator In Ateliere De Modele","10026"
"73","0251 002 104","1976-04-06","Strada Nistor Nr. 20, Avrig, 112308","Manager Marketing (Tarife, Contracte, Achizitii)","10027"
"74","0727 816 760","1995-12-11","Aleea Stancu, Timisoara, 532012","Fermier In Productia Vegetala","10028"
"75","0743 875 783","1933-12-31","Strada Pușcașu Nr. 829 Bl. 46  Sc. 22 Ap. 894, Pantelimon, 712064","Manager De Cladire","10029"
"76","0784 712 368","1951-01-03","Soseaua Ababei, Iernut, 447064","Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice","10030"
"77","0256 937 901","2011-04-05","Drumul Horia Marin, Lunca Cetatuii, 188779","Gravor Manual","10031"
"78","0254 906 281","1914-08-17","Bulevardul Zina Ene Nr. 263, Straja, 382593","Asistent De Cercetare In Petrol (Extractieprospectiune)","10032"
"79","0240 392 925","2022-12-04","Strada Camelia Ioniță, Greci, 236374","Analist Bancar/Societate De Leasing","10033"
"80","0240 173 429","1976-07-01","Strada Aida Toma, Corabia, 239335","Uscator Electrozi De Sudura","10034"
"81","0743 378 150","1989-01-24","Bulevardul Marin Nr. 300, Sancraiu de Mures, 657852","Expert Fiscal","10035"
"82","0235 783 897","2001-09-27","Bulevardul Eftimie, Valu lui Traian, 230532","Operator Receptie","10036"
"83","0749 514 605","1944-01-25","Bulevardul Ababei, Homocea, 804075","Astrolog","10037"
"84","0245 783 998","1990-01-10","Drumul Popescu Nr. 84, Barlad, 928205","Operator Emisie-Receptie","10038"
"85","0252 285 037","1928-05-28","Intrarea Mocanu Nr. 476 Bl. 67  Sc. 60 Ap. 379, Gheorgheni, 235123","Inspector Casier","10039"
"86","0730 488 200","1963-01-10","Drumul Ladislau Nistor Nr. 38 Bl. 39  Sc. 47 Ap. 277, Balotesti, 523899","Tehnician In Industria Alimentara Fermentativa","10040"
"87","0744 059 582","1963-08-10","Strada Diaconescu Nr. 386 Bl. 98  Sc. 67 Ap. 508, Motru, 960240","Bucatar-Sef","10041"
"88","021 851 2633","1940-12-09","Aleea Clementina Diaconescu Nr. 642 Bl. 55  Sc. 44 Ap. 814, Cumpana, 808375","Fochist Pentru Cazane De Abur Si De Apa Fierbinte","10042"
"89","0245 786 768","1912-03-10","Soseaua Tomescu Nr. 14, Curcani, 736541","Operator La Masini-Unelte Cu Comanda Numerica","10043"
"90","0722 705 248","1930-09-10","Soseaua Sever Cristea Nr. 287 Bl. 49  Sc. 16 Ap. 537, Techirghiol, 983647","Asistent De Cercetare In Confectii Din Piele Si Inlocuitori","10044"
"91","0268 339 269","1962-03-08","Intrarea Tudor Nr. 230, Giurgiu, 861826","Asistent De Cercetare In Constructii Aerospatiale","10045"
"92","0241 873 999","2023-07-31","Strada Preda Nr. 89, Bumbesti-Jiu, 829311","Ofiter Ajutor Fluvial/Portuar","10046"
"93","0752 174 819","1960-03-04","Aleea Tomescu Nr. 337 Bl. 45  Sc. 69 Ap. 633, Zimnicea, 879753","Operator Control Nedistructiv Cu Ultrasunete","10047"
"94","0260 192 980","1952-02-28","Aleea Zamfira Mocanu, Motatei, 785567","Consilier Afaceri Europene","10048"
"95","0759 299 964","1977-05-10","Drumul Florea Nr. 52 Bl. 96  Sc. 50 Ap. 988, Savinesti, 379294","Dispecer","10049"
"96","0725 432 796","1985-06-19","Drumul Florea, Baraolt, 320315","Custode Pentru Arii Protejate","10050"
"97","0259 266 473","1954-06-07","Bulevardul Benone Dochioiu Nr. 30 Bl. 26  Sc. 16 Ap. 367, Campulung, 863738","Consul","10051"
"98","0231 094 924","1995-12-31","Soseaua Bebe Barbu, Straja, 402067","Terminolog","10052"
"99","0743 210 795","1980-04-22","Bulevardul Antoniu Stancu, Navodari, 568246","Pirogravor","10053"
"100","0738 946 705","1951-04-15","Drumul Georgiana Dobre Nr. 48, Berceni, 873012","Lustragiu","10054"
"101","0260 918 214","1923-03-02","Drumul Diaconescu Nr. 51, Slatina, 567087","Art Director Publicitate (Studii Medii)","10055"
"102","0232 275 148","1979-07-17","Intrarea Voinea Nr. 428, Cisnadie, 647024","Revizor Contabil","10056"
"103","0750 991 240","1967-08-25","Aleea Mazilescu Nr. 815 Bl. 77  Sc. 59 Ap. 857, Gherla, 658911","Comisar General","10057"
"104","0720 366 241","2002-10-18","Strada Stancu Stănescu, Slobozia, 280295","Pontonier Feribot","10058"
"105","0788 320 971","1993-12-27","Aleea Ene Nr. 25, Titu, 503067","Laborant In Industriile Textila, Pielarie","10059"
"106","0784 376 196","1931-10-03","Drumul Stoica Nr. 59 Bl. 86  Sc. 29 Ap. 807, Peretu, 375440","Stantator Piese Pentru Incaltaminte Din Piele Si Cauciuc","10060"
"107","0788 614 496","2011-08-07","Drumul Niță Nr. 459, Tandarei, 679162","Asistent De Cercetare In Sisteme De Propulsie","10061"
"108","0768 119 275","2017-11-21","Bulevardul Maricica Pop Nr. 452 Bl. 93  Sc. 29 Ap. 590, Stei, 537838","Asistent De Cercetare In Turnarea Metalelor","10062"
"109","0744 526 925","1929-11-11","Aleea Dragoș Ionescu, Bosanci, 497735","Sef/Sef Adjunct Centru Exploatare Retele Electrice","10063"
"110","0255 077 664","1998-06-21","Bulevardul Ioniță Nr. 324, Brad, 101534","Preparator La Prepararea Produselor Cosmetice Si De Parfumerie","10064"
"111","0260 748 366","1945-03-29","Bulevardul Pop Nr. 76 Bl. 38  Sc. 33 Ap. 341, Campina, 658459","Preparator Faina Din Peste","10065"
"112","0722 845 646","1944-12-24","Bulevardul Popescu Nr. 53 Bl. 82  Sc. 23 Ap. 474, Vulcan, 390261","Restaurator Opere De Arta Si Monumente Istorice (Studii Superioare)","10066"
"113","0240 148 441","1978-08-27","Drumul Marin Nr. 54 Bl. 61  Sc. 82 Ap. 560, Sancraiu de Mures, 626151","Pregatitor Lemn Aschietor","10067"
"114","0240 314 632","1948-09-19","Intrarea Diaconu, Afumati, 442865","Miezuitor Panele Si Placi Celulare","10068"
"115","0740 416 407","1966-03-01","Bulevardul Flavia Marin Nr. 376, Sadova, 881033","Contabil","10069"
"116","0765 331 427","1963-02-02","Intrarea Diaconescu, Gilau, 711598","Sef Birou Comert Cu Ridicata Si Cu Amanuntul","10070"
"117","0254 766 031","1979-09-12","Aleea Manole Nr. 206 Bl. 88  Sc. 35 Ap. 977, Negresti-Oas, 241431","Procuror Sef Birou/Serviciu","10071"
"118","0748 757 189","1917-03-13","Drumul Ioniță Nr. 643 Bl. 33  Sc. 67 Ap. 202, Targu Frumos, 962272","Sef Serviciu, Centru, Statie, Aeroport","10072"
"119","0728 007 805","1944-10-16","Bulevardul Voinea Nr. 541, Bacau, 783166","Secretara Prelucrare Texte","10073"
"120","0729 923 111","1933-03-27","Strada Rada Gheorghiu Nr. 990 Bl. 83  Sc. 90 Ap. 319, Adjud, 788334","Sef Atelier Editie, Multiplicare, Expeditie","10074"
"121","0739 440 200","1966-01-23","Aleea Veta Albu, Dorohoi, 573886","Climatolog","10075"
"122","0761 169 124","1931-07-10","Soseaua Tatiana Ionescu Nr. 905, Falticeni, 616110","Tehnician Dentar","10076"
"123","0237 138 943","2015-06-27","Intrarea Ioniță Nr. 39, Sabaoani, 930103","Tehnician Prestatii Vehicule","10077"
"124","0243 199 348","1973-01-31","Bulevardul Tudor Nr. 65 Bl. 89  Sc. 95 Ap. 193, 1 Decembrie, 473719","Expert Geolog","10078"
"125","0760 236 120","1922-10-27","Intrarea Dumitrescu Nr. 681, Breaza de Sus, 421471","Operator Masini Puitoare","10079"
"126","0245 513 279","1920-09-11","Drumul Ilie Albu, Miercurea-Ciuc, 885903","Naphtolator La Imprimerie","10080"
"127","0232 370 039","1959-01-22","Soseaua Diaconu, Rosiori de Vede, 607093","Director General Adjunct Societate Comerciala","10081"
"128","0231 527 740","1972-05-18","Strada Manole Nr. 30 Bl. 73  Sc. 77 Ap. 805, Petrila, 206379","Asistent De Cercetare In Microelectronica","10082"
"129","0753 224 280","1948-06-26","Drumul Popa, Sacueni, 733670","Operator Fierbator Textile","10083"
"130","0264 285 596","1984-08-17","Soseaua Mocanu Nr. 841, Satu Mare, 716548","Inginer Masini-Unelte","10084"
"131","0755 370 658","1958-09-19","Bulevardul Albu Nr. 556, Sadova, 893680","Inspector De Specialitate Statistician","10085"
"132","0253 072 856","1922-08-16","Strada Toma, Moisei, 421710","Consultant Bugetar","10086"
"133","0727 637 835","1927-12-05","Bulevardul Iulian Oprea Nr. 78, Roseti, 651206","Probator Hidraulic Piese Turnate","10087"
"134","0744 800 397","1952-12-30","Bulevardul Nemeș Nr. 66, Carei, 758662","Arhitect Urbanism","10088"
"135","0248 271 474","1971-03-17","Intrarea Mazilescu, Poiana Mare, 807716","Preparator Peste, Raci, Broaste In Cherhanale Si Oficii","10089"
"136","0726 884 652","2003-04-27","Aleea Ionel Popescu Nr. 599 Bl. 98  Sc. 79 Ap. 481, Targu Frumos, 509396","Laminator Sarma","10090"
"137","0763 378 281","1977-02-11","Drumul Pușcașu, Tuzla, 993919","Intretinator Textile-Piele","10091"
"138","0252 709 438","1924-02-23","Drumul Stan Nr. 376 Bl. 64  Sc. 26 Ap. 710, Giroc, 647665","Secretar-Sef Notariat","10092"
"139","0232 449 609","1961-12-09","Strada Barbu Nr. 873, Mangalia, 221980","Manager Proiect Informatic","10093"
"140","0761 916 448","1955-05-31","Intrarea Tudor, Beius, 362606","Supraveghetor Hotel","10094"
"141","021 838 3761","1909-11-09","Intrarea Popescu Nr. 94 Bl. 62  Sc. 30 Ap. 522, Intorsura Buzaului, 544243","Operator Argasitor","10095"
"142","0750 961 789","2022-06-21","Strada Silvana Eftimie, Radauti, 272907","Preparator Extracte, Arome Si Esente","10096"
"143","0771 534 198","1916-10-12","Intrarea Tomescu Nr. 421, Otopeni, 515388","Operator Montaj Linii Automate","10097"
"144","0738 759 604","1911-07-24","Bulevardul Alma Eftimie Nr. 13 Bl. 13  Sc. 36 Ap. 946, Pantelimon, 120773","Masinist La Litografiat Si Vernisat Tabla","10098"
"145","0252 236 719","2006-03-03","Aleea Iurie Manole, Odobesti, 594774","Vanzator De Bilete","10099"
"146","0772 903 839","1960-12-03","Soseaua Ionescu Nr. 78, Oituz, 875964","Educator Specializat","10100"
"147","0720 820 317","1942-06-10","Soseaua Sidonia Barbu Nr. 64 Bl. 59  Sc. 56 Ap. 352, Intorsura Buzaului, 482964","Manager Relatii Cu Clientii Bancii/Societate De Leasing","10101"
"148","021 040 1304","2017-03-20","Aleea Mihaela Preda, Targoviste, 943559","Expert Administratia Publica","10102"
"149","0232 152 427","1995-10-15","Intrarea Florea Nr. 542, Cornetu, 531399","Grefier-Sef De Sectie (Curte De Apel, Tribunal, Parchete)","10103"
"150","0260 010 386","2010-08-05","Strada Albu Nr. 42 Bl. 34  Sc. 57 Ap. 671, Negresti-Oas, 942362","Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice","10104"
"151","0723 494 940","1955-09-12","Strada Dobre, Cobadin, 378883","Tehnician In Industria Carnii, Laptelui Si Conservelor","10105"
"152","0735 046 156","2015-03-03","Strada Popescu Nr. 956, Pechea, 973242","Operator Chimist La Producerea Compusilor Anorganici Ai Azotului Si Ingrasamintelor Azotoase","10106"
"153","0741 308 414","2001-10-20","Bulevardul Dinu, Busteni, 930598","Excavatorist Pentru Excavatoare Cu Rotor De Mare Capacitate","10107"
"154","0244 722 653","1929-07-28","Aleea Mocanu, Domnesti, 505929","Maestru Corepetitor","10108"
"155","0744 568 374","2002-01-03","Strada Victor Mocanu Nr. 872, Anina, 417327","Trezorier (Studii Superioare)","10109"
"156","0247 694 060","1939-03-16","Soseaua Nemeș Nr. 145 Bl. 31  Sc. 17 Ap. 874, Braila, 444949","Operator La Fabricarea Spirtului Si Drojdiei De Panificatie","10110"
"157","0258 181 051","1978-02-19","Bulevardul Pop Nr. 124, Agnita, 487349","Primitor-Preparator Produse Fluide","10111"
"158","0249 927 121","1918-12-16","Drumul Stoica, Homocea, 251322","Grefier Arhivar","10112"
"159","0250 959 497","1937-01-28","Drumul Albu Nr. 13 Bl. 39  Sc. 47 Ap. 144, Dragu-Brad, 792644","Asistent De Cercetare In Constructii De Masini Agricole","10113"
"160","0727 746 015","1955-11-26","Drumul Preda Nr. 724 Bl. 99  Sc. 41 Ap. 271, Ineu, 127397","Inspector Probatiune","10114"
"161","0255 140 798","1959-11-07","Bulevardul Dima Nr. 34, Popesti-Leordeni, 367348","Regizor Scena","10115"
"162","0748 322 313","1959-06-23","Soseaua Stănescu Nr. 62 Bl. 90  Sc. 37 Ap. 179, Straja, 993553","Consilier Biolog","10116"
"163","0755 348 862","1951-04-17","Drumul Saveta Cristea Nr. 76, Cisnadie, 706974","Operator La Obtinerea Produselor Din Spume Poliuretanice Si Latex","10117"
"164","0729 691 105","2017-04-18","Intrarea Georgescu Nr. 36 Bl. 43  Sc. 65 Ap. 178, Gaesti, 218607","Inspector De Specialitate Medic","10118"
"165","0754 376 530","1931-12-18","Bulevardul Salomea Stănescu, Harsova, 116806","Fasonator Mecanic (Cherestea)","10119"
"166","0767 745 816","1991-01-19","Strada Ababei, Marginea, 233153","Operator La Fabricarea Uleiurilor Vegetale","10120"
"167","0771 600 731","2014-01-16","Aleea Bogdan Cristea Nr. 82, Ploiesti, 605505","Director De Creatie","10121"
"168","0758 829 680","1937-09-16","Soseaua Stoica, Falticeni, 966650","Operator Control Nedistructiv Pentru Examinare Vizuala","10122"
"169","0740 069 635","2009-01-14","Strada Olga Stan, Dabuleni, 783219","Conducator Firma Mica ","10123"
"170","0258 115 145","1918-04-11","Aleea Oprea Nr. 791, Lugoj, 437611","Sef Sectie Cercetare-Proiectare","10124"
"171","0731 705 150","2012-06-23","Strada Nistor Nr. 79, Savinesti (Poiana Teiului), 643624","Croitor Confectioner Costume Teatru","10125"
"172","0239 006 416","1966-06-13","Intrarea Ababei, Bocsa, 875320","Expert Inginer Mecanic","10126"
"173","0753 235 754","1953-01-31","Intrarea Dobre Nr. 747, Falticeni, 657080","Cercetator In Etnologie","10127"
"174","0766 135 177","2016-08-20","Drumul Nistor Nr. 539 Bl. 35  Sc. 29 Ap. 903, Sacele, 474080","Agent Evidenta Si Plata A Ajutorului De Somaj","10128"
"175","0248 150 872","2002-07-31","Soseaua Pop Nr. 290, Calan, 336309","Ingrijitor De Copii","10129"
"176","0238 517 238","1959-05-13","Drumul Nemeș Nr. 934 Bl. 70  Sc. 68 Ap. 566, Moinesti, 995887","Model ","10130"
"177","0236 681 435","2004-05-26","Strada Voinea Nr. 28 Bl. 44  Sc. 19 Ap. 258, Zarnesti, 755289","Sef Sector Exploatare Imbunatatiri Funciare","10131"
"178","0749 813 505","1963-03-13","Intrarea Gheorghiu Nr. 17, Campulung Moldovenesc, 240350","Remaieur Ciorapi","10132"
"179","0738 890 010","1923-04-10","Bulevardul Stan Nr. 12 Bl. 16  Sc. 45 Ap. 587, Vatra Dornei, 624775","Ajutor Maistru Croitor","10133"
"180","0733 346 328","1933-03-25","Aleea Speranța Gheorghiu, Dumbraveni, 324305","Sef Centru National De Telecomunicatii Aeronautice Aviatie Civila","10134"
"181","0751 313 730","1977-09-19","Strada Niță Nr. 99 Bl. 89  Sc. 82 Ap. 852, Calan, 849445","Masinist La Confectionarea Spetelor Si Spiralelor","10135"
"182","0231 206 732","1997-09-28","Strada Magdalena Dima Nr. 94, Siria, 352248","Analist Studiul Materialelor","10136"
"183","0234 290 768","2006-12-18","Intrarea Marin Nr. 509, Harsova, 497343","Pregatitor Paste Chimice","10137"
"184","0247 117 039","2011-11-24","Strada Ludovica Cristea, Vaslui, 253154","Extractorist In Chimie","10138"
"185","0747 705 806","2016-11-22","Soseaua Ligia Popescu, Segarcea, 729912","Mecanic Pentru Intretinerea Aparatelor De Lansare La Zbor","10139"
"186","0241 812 451","1994-07-07","Strada Voinea Nr. 708, Gaesti, 457467","Miner La Suprafata","10140"
"187","0732 690 156","1957-03-06","Soseaua Varvara Stoica Nr. 55, Odorheiu Secuiesc, 629865","Sef Birou/Serviciu Administrativ","10141"
"188","0255 703 940","1920-10-24","Drumul Elisaveta Suciu Nr. 954 Bl. 83  Sc. 51 Ap. 942, Poienile de sub Munte, 395193","Ambalator Manual","10142"
"189","0241 335 547","1976-04-06","Intrarea Benone Stan, Poienile de sub Munte, 830238","Turnator Fonta Pe Banda","10143"
"190","0251 646 167","1945-06-17","Intrarea Dobre Nr. 196 Bl. 52  Sc. 75 Ap. 663, Reghin, 660973","Referent De Specialitate Inginer Zootehnist","10144"
"191","0753 080 226","2022-01-28","Drumul Paulica Stoica, Valea lui Mihai, 497381","Manechin","10145"
"192","0739 464 760","1942-02-28","Strada Popa Nr. 320 Bl. 79  Sc. 38 Ap. 993, Alexandria, 876963","Operator La Prelucrarea Tuburilor Din Sticla","10146"
"193","0772 583 872","1965-11-16","Bulevardul Lioara Dima, Matca, 299638","Asistent De Cercetare In Energetica Industriala","10147"
"194","0724 740 659","1970-09-29","Aleea Emanoil Marin Nr. 24, Chisineu-Cris, 774566","Ghid Montan","10148"
"195","0748 211 551","1979-10-12","Intrarea Aanei Nr. 501 Bl. 32  Sc. 80 Ap. 788, Cobadin, 369151","Manager Relatia Cu Furnizorii","10149"
"196","0241 030 444","2021-08-10","Soseaua Tudor, Santana, 944990","Inginer Mecanic Utilaj Tehnologic Petrolier","10150"
"197","0256 507 361","2008-10-03","Soseaua Ioniță Nr. 237, Cornetu, 409386","Analist Calitate","10151"
"198","0741 959 643","1932-09-07","Strada Dinu, Vaslui, 116685","Repasator","10152"
"199","0767 373 066","2018-10-08","Bulevardul Popa Nr. 27, Dumbravita, 866647","Inginer De Cercetare In Tehnologia Substantelor Organice","10153"
"200","0764 301 664","1980-08-11","Soseaua Ioniță Nr. 61 Bl. 57  Sc. 42 Ap. 728, Avrig, 495596","Impingator Vagoneti","10154"
"201","0264 235 486","1998-10-04","Drumul Octaviu Mazilescu Nr. 220, Cugir, 956402","Pregatitor Placi Fibrolemnoase Si Hartie Pentru Filme","10155"
"202","0239 287 861","1973-01-02","Drumul Dumitrescu Nr. 679 Bl. 70  Sc. 20 Ap. 417, Comanesti, 214293","Tinichigiu Sisteme De Acoperisuri Si Invelitori","10156"
"203","0772 050 814","1916-09-26","Drumul Popescu Nr. 88 Bl. 34  Sc. 56 Ap. 878, Petrosani, 145669","Director De Club (Hotelier)","10157"
"204","0780 737 091","1997-05-29","Strada Mocanu, Plosca, 258746","Polizator","10158"
"205","0711 393 629","2003-04-03","Aleea Marin, Odorheiu Secuiesc, 687709","Masinist La Masini Speciale Fara Aschiere","10159"
