first_name,last_name,phone_number,birthdate,address,mac_address,ip_address,job,iban,currency
Paraschiva,Oprea,0239 565 455,1939-10-21,"Strada Tabacu Nr. 355 Bl. 34  Sc. 24 Ap. 853, Turda, 986404",78:e9:66:5f:1d:bf,55.16.123.22,Cercetator In Comunicatii,RO13FEKA5722206398822143,ALL
Estera,Cristea,0722 071 129,1936-04-29,"Bulevardul Manole Nr. 53 Bl. 36  Sc. 83 Ap. 300, Podu Iloaiei, 776126",a4:18:15:00:57:d3,216.9.57.3,Confectioner Izolatii La Conductori Electrici,RO45KEOC2529740680062054,TOP
Jasmina,Stan,0236 398 897,1956-09-18,"Intrarea Pop, Rovinari, 769255",44:19:1f:25:4d:49,131.90.32.47,Expert Accesare Fonduri Structurale Si De Coeziune Europene,RO18NEKA9033517825148036,UAH
Mariana,Barbu,0241 398 615,1921-02-12,"Intrarea Stancu Nr. 15 Bl. 31  Sc. 14 Ap. 399, Dancu, 976103",da:2d:4a:17:ca:c4,98.38.112.162,"Tehnician Pentru Sisteme De Detectie, Supraveghere Video, Control Acces",RO91DFDZ8299505952057431,SAR
Antonie,Dochioiu,0737 142 529,1952-07-01,"Bulevardul Dobre, Baia, 894401",a2:f6:4c:84:77:71,212.87.71.240,Tehnician Analist Calitate,RO55DJRP7491933961887284,LTL
Aurica,Ene,0764 807 406,1929-03-14,"Intrarea Anton Marin Nr. 707 Bl. 73  Sc. 34 Ap. 980, Cernavoda, 409822",b0:4d:28:8f:10:f3,126.208.196.154,Responsabil Cazare,RO16NBKR1103722495938333,VUV
Cerasela,Dinu,0767 965 652,1948-02-03,"Strada Niță Nr. 72 Bl. 39  Sc. 19 Ap. 695, Tecuci, 623825",e9:f9:c9:19:2b:23,25.9.242.144,Cazangiu Recipiente,RO24SBKD3687197448796550,HTG
Izabela,Stan,0257 378 616,1915-04-09,"Drumul Aanei, Targoviste, 743434",88:88:e0:db:67:3e,35.134.221.245,Muncitor Necalificat In Metalurgie,RO87PAQT1906430617536729,CHF
Nicu,Dima,0785 394 624,1931-03-25,"Bulevardul Manole, Copsa Mica, 925947",41:30:fc:43:15:e3,56.252.157.169,Cercetator Economist In Economia Mediului,RO24CIAL1704980460435641,WST
Cătălin,Albu,0253 256 408,2016-08-24,"Intrarea Dochioiu Nr. 98, Urlati, 170885",33:b6:bc:5c:db:12,200.211.255.224,Tehnician In Industria Alimentara Extractiva,RO11TJYD4758555285942255,HNL
Ruxanda,Nistor,0737 429 736,1967-09-14,"Aleea Nemeș Nr. 90, Motatei, 873823",1c:03:d3:8c:25:d8,1.207.138.153,Gospodar,RO47MHOX3503166940601005,HUF
Constantina,Popescu,0251 635 680,1931-08-24,"Strada Pamela Stănescu, Floresti, 106880",3d:ca:e6:5c:e1:57,85.133.137.158,Mestesugar Finisor Mineral,RO70QYAH3050379247530459,USD
Brăduț,Diaconescu,0729 455 955,1977-01-11,"Bulevardul Nistor Nr. 678, Comanesti, 649618",4a:4b:57:73:39:d4,93.220.173.111,Lucrator In Ateliere De Modele,RO64DYSI2111361496583162,DKK
Emanuela,Diaconescu,0251 002 104,1976-04-06,"Strada Nistor Nr. 20, Avrig, 112308",17:1f:c9:f8:ce:0b,53.149.59.248,"Manager Marketing (Tarife, Contracte, Achizitii)",RO21ZADS4238292925895611,GTQ
Bernard,Nistor,0727 816 760,1995-12-11,"Aleea Stancu, Timisoara, 532012",c8:7f:f1:ba:b5:f9,203.181.43.64,Fermier In Productia Vegetala,RO21USNU7378046263348844,SCR
Emanuil,Nemeș,0743 875 783,1933-12-31,"Strada Pușcașu Nr. 829 Bl. 46  Sc. 22 Ap. 894, Pantelimon, 712064",fa:83:35:57:c2:74,70.195.246.31,Manager De Cladire,RO25YVZW5554857273793961,BSD
Lavinia,Dinu,0784 712 368,1951-01-03,"Soseaua Ababei, Iernut, 447064",b2:54:1e:af:5a:95,30.220.0.132,Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice,RO12ZGSB8831491695786486,ISK
Costache,Gheorghiu,0256 937 901,2011-04-05,"Drumul Horia Marin, Lunca Cetatuii, 188779",49:49:3a:aa:03:3d,40.110.2.56,Gravor Manual,RO28WALE8241965741147159,MGA
Georgia,Preda,0254 906 281,1914-08-17,"Bulevardul Zina Ene Nr. 263, Straja, 382593",ea:4a:32:e5:4e:93,102.26.93.73,Asistent De Cercetare In Petrol (Extractieprospectiune),RO25YRUR3153428832374649,SVC
Aida,Pușcașu,0240 392 925,2022-12-04,"Strada Camelia Ioniță, Greci, 236374",ef:d4:fc:19:d9:77,169.176.7.56,Analist Bancar/Societate De Leasing,RO05HSQI2222187728606487,KWD
Dochia,Tudor,0240 173 429,1976-07-01,"Strada Aida Toma, Corabia, 239335",60:a3:56:a2:08:86,9.244.212.106,Uscator Electrozi De Sudura,RO47JPHO5272796768218158,DJF
Alex,Dochioiu,0743 378 150,1989-01-24,"Bulevardul Marin Nr. 300, Sancraiu de Mures, 657852",71:7e:e1:73:47:d2,150.59.56.190,Expert Fiscal,RO38ERKC5477084708781919,PGK
Didina,Oprea,0235 783 897,2001-09-27,"Bulevardul Eftimie, Valu lui Traian, 230532",7c:6b:0e:c1:68:41,147.24.37.36,Operator Receptie,RO59KCYW3194095183258633,LYD
Petruț,Preda,0749 514 605,1944-01-25,"Bulevardul Ababei, Homocea, 804075",a4:98:3d:ba:74:a0,12.112.151.249,Astrolog,RO64MPPV7414650134278471,LTL
Ilarion,Dochioiu,0245 783 998,1990-01-10,"Drumul Popescu Nr. 84, Barlad, 928205",ec:8f:28:2e:1b:f3,86.67.17.171,Operator Emisie-Receptie,RO39GKYI5034656788563812,XCD
Casian,Dochioiu,0252 285 037,1928-05-28,"Intrarea Mocanu Nr. 476 Bl. 67  Sc. 60 Ap. 379, Gheorgheni, 235123",2c:8e:53:f5:df:5c,88.8.168.25,Inspector Casier,RO06JUYD6489028419019919,AWG
Raul,Preda,0730 488 200,1963-01-10,"Drumul Ladislau Nistor Nr. 38 Bl. 39  Sc. 47 Ap. 277, Balotesti, 523899",db:7d:45:93:bd:a8,27.205.239.94,Tehnician In Industria Alimentara Fermentativa,RO18JHWL7580224400521845,PLN
Ștefan,Stan,0744 059 582,1963-08-10,"Strada Diaconescu Nr. 386 Bl. 98  Sc. 67 Ap. 508, Motru, 960240",4a:51:0c:e2:7d:21,115.219.43.134,Bucatar-Sef,RO09HUNT5762816704967418,UAH
Aura,Popa,021 851 2633,1940-12-09,"Aleea Clementina Diaconescu Nr. 642 Bl. 55  Sc. 44 Ap. 814, Cumpana, 808375",dd:fa:e9:98:ff:d1,188.46.52.201,Fochist Pentru Cazane De Abur Si De Apa Fierbinte,RO08XFWP9735309744997710,RUB
Patricia,Marin,0245 786 768,1912-03-10,"Soseaua Tomescu Nr. 14, Curcani, 736541",bb:c2:64:01:40:b9,178.219.77.110,Operator La Masini-Unelte Cu Comanda Numerica,RO38ZYXC4349566024866821,SCR
Relu,Niță,0722 705 248,1930-09-10,"Soseaua Sever Cristea Nr. 287 Bl. 49  Sc. 16 Ap. 537, Techirghiol, 983647",3a:a7:cf:4e:f6:b8,50.151.22.172,Asistent De Cercetare In Confectii Din Piele Si Inlocuitori,RO47NQCV2234209618879195,AFN
Sinică,Dochioiu,0268 339 269,1962-03-08,"Intrarea Tudor Nr. 230, Giurgiu, 861826",aa:94:f8:2c:a6:99,133.118.81.60,Asistent De Cercetare In Constructii Aerospatiale,RO31RTEX8246742759824829,BZD
Corvin,Nemeș,0241 873 999,2023-07-31,"Strada Preda Nr. 89, Bumbesti-Jiu, 829311",b4:30:a6:fb:fb:cf,10.104.122.124,Ofiter Ajutor Fluvial/Portuar,RO05DITD3383344271295769,CHF
Otilia,Niță,0752 174 819,1960-03-04,"Aleea Tomescu Nr. 337 Bl. 45  Sc. 69 Ap. 633, Zimnicea, 879753",db:82:a5:74:2f:f7,126.37.29.195,Operator Control Nedistructiv Cu Ultrasunete,RO88ADUW8247941629446890,AMD
Ancuța,Pop,0260 192 980,1952-02-28,"Aleea Zamfira Mocanu, Motatei, 785567",82:d6:4f:9b:88:f0,183.161.36.128,Consilier Afaceri Europene,RO84JYXC4135631909740602,SBD
Violeta,Nistor,0759 299 964,1977-05-10,"Drumul Florea Nr. 52 Bl. 96  Sc. 50 Ap. 988, Savinesti, 379294",04:c9:01:72:cc:32,66.128.252.252,Dispecer,RO87XZDZ1403708977437192,GEL
Voichița,Dobre,0725 432 796,1985-06-19,"Drumul Florea, Baraolt, 320315",ba:a1:92:ab:89:b1,162.159.147.168,Custode Pentru Arii Protejate,RO13WJIB8864619936448688,UAH
Ovidiu,Oprea,0259 266 473,1954-06-07,"Bulevardul Benone Dochioiu Nr. 30 Bl. 26  Sc. 16 Ap. 367, Campulung, 863738",2f:21:ee:7f:d0:d9,88.241.246.231,Consul,RO41PVWP9534849868808144,RON
Vera,Ene,0231 094 924,1995-12-31,"Soseaua Bebe Barbu, Straja, 402067",de:06:3e:99:b3:34,54.59.85.83,Terminolog,RO98DNTQ1613447245711334,BHD
Lidia,Preda,0743 210 795,1980-04-22,"Bulevardul Antoniu Stancu, Navodari, 568246",44:ea:ce:01:41:8f,80.209.78.120,Pirogravor,RO29FJAM4489653015448816,GGP
Cedrin,Dinu,0738 946 705,1951-04-15,"Drumul Georgiana Dobre Nr. 48, Berceni, 873012",b5:13:22:6a:0d:4b,113.237.24.179,Lustragiu,RO96HRFC3073905508439521,DZD
Eftimie,Manole,0260 918 214,1923-03-02,"Drumul Diaconescu Nr. 51, Slatina, 567087",19:7f:0a:29:66:47,39.171.44.242,Art Director Publicitate (Studii Medii),RO93VYYM9245883665405903,ETB
Vasilica,Diaconescu,0232 275 148,1979-07-17,"Intrarea Voinea Nr. 428, Cisnadie, 647024",f9:fa:50:9d:6e:4e,129.17.121.228,Revizor Contabil,RO33OVUO2059652360666889,GIP
Daiana,Manole,0750 991 240,1967-08-25,"Aleea Mazilescu Nr. 815 Bl. 77  Sc. 59 Ap. 857, Gherla, 658911",b9:d9:d3:29:30:f5,17.58.212.4,Comisar General,RO16GCVJ5317553607591361,COP
Lidia,Ene,0720 366 241,2002-10-18,"Strada Stancu Stănescu, Slobozia, 280295",cc:e3:18:0e:4b:b4,34.143.134.232,Pontonier Feribot,RO90EINF6447333720798587,MVR
Liviu,Tomescu,0788 320 971,1993-12-27,"Aleea Ene Nr. 25, Titu, 503067",77:0b:39:00:ec:3f,49.53.162.112,"Laborant In Industriile Textila, Pielarie",RO68JTFM4558560569176483,JEP
Ilarion,Georgescu,0784 376 196,1931-10-03,"Drumul Stoica Nr. 59 Bl. 86  Sc. 29 Ap. 807, Peretu, 375440",4d:23:0a:a5:27:50,13.202.80.50,Stantator Piese Pentru Incaltaminte Din Piele Si Cauciuc,RO49OAKZ4782984851020125,USD
Axinte,Ionescu,0788 614 496,2011-08-07,"Drumul Niță Nr. 459, Tandarei, 679162",0f:b8:d4:73:f6:2f,32.190.255.203,Asistent De Cercetare In Sisteme De Propulsie,RO41DJJM1759758255502713,PHP
Nicolaie,Oprea,0768 119 275,2017-11-21,"Bulevardul Maricica Pop Nr. 452 Bl. 93  Sc. 29 Ap. 590, Stei, 537838",5a:15:80:ed:d0:ab,65.241.165.248,Asistent De Cercetare In Turnarea Metalelor,RO57SLJV2069101027189099,KPW
Alis,Oprea,0744 526 925,1929-11-11,"Aleea Dragoș Ionescu, Bosanci, 497735",98:7c:ec:bd:fe:1e,123.211.130.18,Sef/Sef Adjunct Centru Exploatare Retele Electrice,RO83MWDP8505095645264016,AWG
Maximilian,Dumitrescu,0255 077 664,1998-06-21,"Bulevardul Ioniță Nr. 324, Brad, 101534",64:9c:c6:44:4d:73,209.185.93.30,Preparator La Prepararea Produselor Cosmetice Si De Parfumerie,RO12QVEE6116596203818941,GMD
Dominic,Preda,0260 748 366,1945-03-29,"Bulevardul Pop Nr. 76 Bl. 38  Sc. 33 Ap. 341, Campina, 658459",39:0f:71:72:9c:84,210.248.14.17,Preparator Faina Din Peste,RO78OQLO8864081202164047,MXN
Savina,Stoica,0722 845 646,1944-12-24,"Bulevardul Popescu Nr. 53 Bl. 82  Sc. 23 Ap. 474, Vulcan, 390261",f6:c1:ad:e6:54:44,35.165.178.90,Restaurator Opere De Arta Si Monumente Istorice (Studii Superioare),RO91NZNI0853800781878187,MUR
Tudosia,Nistor,0240 148 441,1978-08-27,"Drumul Marin Nr. 54 Bl. 61  Sc. 82 Ap. 560, Sancraiu de Mures, 626151",80:d6:d0:9a:78:ee,128.213.30.97,Pregatitor Lemn Aschietor,RO13MBEV7155855875521309,GEL
Anatolie,Popescu,0240 314 632,1948-09-19,"Intrarea Diaconu, Afumati, 442865",48:b9:cd:c5:93:60,148.21.103.29,Miezuitor Panele Si Placi Celulare,RO89HSHS8762358042224031,TZS
Ilarion,Aanei,0740 416 407,1966-03-01,"Bulevardul Flavia Marin Nr. 376, Sadova, 881033",64:ce:ac:a8:f5:97,222.244.81.43,Contabil,RO47NTBT8383929648983143,DZD
Severina,Nistor,0765 331 427,1963-02-02,"Intrarea Diaconescu, Gilau, 711598",eb:bf:8a:17:0c:30,217.149.69.32,Sef Birou Comert Cu Ridicata Si Cu Amanuntul,RO28OKBV7990433381774546,CDF
Melina,Florea,0254 766 031,1979-09-12,"Aleea Manole Nr. 206 Bl. 88  Sc. 35 Ap. 977, Negresti-Oas, 241431",b8:fc:36:f0:d9:a6,4.40.202.104,Procuror Sef Birou/Serviciu,RO41YPJB2964862129383654,BDT
Augustina,Eftimie,0748 757 189,1917-03-13,"Drumul Ioniță Nr. 643 Bl. 33  Sc. 67 Ap. 202, Targu Frumos, 962272",cd:ee:dd:47:d8:44,94.26.149.224,"Sef Serviciu, Centru, Statie, Aeroport",RO22CHSC3598446836017822,KPW
Veniamin,Suciu,0728 007 805,1944-10-16,"Bulevardul Voinea Nr. 541, Bacau, 783166",50:c4:3f:6b:5e:81,20.219.42.104,Secretara Prelucrare Texte,RO52DBPH4447494827825764,UAH
Lucreția,Dumitrescu,0729 923 111,1933-03-27,"Strada Rada Gheorghiu Nr. 990 Bl. 83  Sc. 90 Ap. 319, Adjud, 788334",29:9d:b8:75:75:87,118.49.233.117,"Sef Atelier Editie, Multiplicare, Expeditie",RO43NJYK7531455851789117,VND
Steluța,Stancu,0739 440 200,1966-01-23,"Aleea Veta Albu, Dorohoi, 573886",1f:70:54:dd:c0:dd,200.32.236.236,Climatolog,RO50VXIF6376546271456008,VEF
Georgel,Dobre,0761 169 124,1931-07-10,"Soseaua Tatiana Ionescu Nr. 905, Falticeni, 616110",2b:a6:ae:cc:d7:d6,87.122.88.122,Tehnician Dentar,RO32PMMP5713284469361877,JPY
Albert,Tudor,0237 138 943,2015-06-27,"Intrarea Ioniță Nr. 39, Sabaoani, 930103",38:c5:f3:56:23:88,4.114.16.125,Tehnician Prestatii Vehicule,RO81YOGJ2868825701829098,LKR
Denisa,Ioniță,0243 199 348,1973-01-31,"Bulevardul Tudor Nr. 65 Bl. 89  Sc. 95 Ap. 193, 1 Decembrie, 473719",d8:f4:e6:01:e9:65,45.38.8.161,Expert Geolog,RO73ZTOU3491771902864400,ALL
Iuliu,Florea,0760 236 120,1922-10-27,"Intrarea Dumitrescu Nr. 681, Breaza de Sus, 421471",be:f8:df:7a:3d:26,116.210.237.251,Operator Masini Puitoare,RO76KRPR1722017773635467,TRY
Beniamin,Nistor,0245 513 279,1920-09-11,"Drumul Ilie Albu, Miercurea-Ciuc, 885903",cd:d5:43:64:76:73,171.59.117.229,Naphtolator La Imprimerie,RO36GNOH1558330915525573,JPY
Ion,Pop,0232 370 039,1959-01-22,"Soseaua Diaconu, Rosiori de Vede, 607093",ad:97:5d:bf:93:bf,220.234.131.42,Director General Adjunct Societate Comerciala,RO43QVNR6120452619521762,SVC
Antim,Pop,0231 527 740,1972-05-18,"Strada Manole Nr. 30 Bl. 73  Sc. 77 Ap. 805, Petrila, 206379",d3:23:73:60:35:f2,141.156.136.186,Asistent De Cercetare In Microelectronica,RO96ONGQ2482615114620261,ZWD
Gabriela,Albu,0753 224 280,1948-06-26,"Drumul Popa, Sacueni, 733670",82:76:95:2f:17:44,87.15.67.33,Operator Fierbator Textile,RO44NRVH0789741479081504,BBD
Eric,Gheorghiu,0264 285 596,1984-08-17,"Soseaua Mocanu Nr. 841, Satu Mare, 716548",3a:1f:60:f4:3d:ab,63.128.206.82,Inginer Masini-Unelte,RO11XQQI8947093932801354,SRD
Lascăr,Preda,0755 370 658,1958-09-19,"Bulevardul Albu Nr. 556, Sadova, 893680",a5:6c:a1:a8:dc:cc,159.50.249.153,Inspector De Specialitate Statistician,RO53RMKO7828344703142142,HTG
Mădălin,Tudor,0253 072 856,1922-08-16,"Strada Toma, Moisei, 421710",a0:79:49:4b:55:93,46.215.68.113,Consultant Bugetar,RO51ZQXP5897344037619428,THB
Zamfira,Ababei,0727 637 835,1927-12-05,"Bulevardul Iulian Oprea Nr. 78, Roseti, 651206",2f:0c:2b:c9:15:b6,102.182.125.222,Probator Hidraulic Piese Turnate,RO40BOCE2966322462843427,LAK
Grațiela,Manole,0744 800 397,1952-12-30,"Bulevardul Nemeș Nr. 66, Carei, 758662",8c:fd:c8:a1:71:29,83.150.179.191,Arhitect Urbanism,RO17EJZO5845874970646891,NOK
Alexandrina,Tomescu,0248 271 474,1971-03-17,"Intrarea Mazilescu, Poiana Mare, 807716",80:10:48:bc:0c:c2,35.8.249.113,"Preparator Peste, Raci, Broaste In Cherhanale Si Oficii",RO18ZPDV3679328148612289,MYR
Iosif,Oprea,0726 884 652,2003-04-27,"Aleea Ionel Popescu Nr. 599 Bl. 98  Sc. 79 Ap. 481, Targu Frumos, 509396",41:3d:b2:16:b7:ab,165.116.245.45,Laminator Sarma,RO85CWYQ9425741866830993,MDL
Vera,Diaconu,0763 378 281,1977-02-11,"Drumul Pușcașu, Tuzla, 993919",28:9c:7d:67:d0:da,51.131.79.52,Intretinator Textile-Piele,RO91IJTS0019898871737627,TVD
Anamaria,Mocanu,0252 709 438,1924-02-23,"Drumul Stan Nr. 376 Bl. 64  Sc. 26 Ap. 710, Giroc, 647665",be:b6:e1:cb:b9:b1,130.176.70.49,Secretar-Sef Notariat,RO13EZXN8306180812407578,DJF
Bartolomeu,Dumitrescu,0232 449 609,1961-12-09,"Strada Barbu Nr. 873, Mangalia, 221980",57:a6:94:02:5a:af,178.218.90.28,Manager Proiect Informatic,RO92AHYP1643679114657318,GGP
Matilda,Georgescu,0761 916 448,1955-05-31,"Intrarea Tudor, Beius, 362606",c2:c2:85:4c:d2:7f,16.157.104.135,Supraveghetor Hotel,RO67WPZY7959803787894465,BND
Georgeta,Barbu,021 838 3761,1909-11-09,"Intrarea Popescu Nr. 94 Bl. 62  Sc. 30 Ap. 522, Intorsura Buzaului, 544243",f1:b0:f7:44:f8:b9,210.14.165.46,Operator Argasitor,RO71WYYT6899023455992319,LSL
Ana,Cristea,0750 961 789,2022-06-21,"Strada Silvana Eftimie, Radauti, 272907",46:79:dc:0e:c9:5c,114.38.46.64,"Preparator Extracte, Arome Si Esente",RO04XYEK8330402621297469,CLP
Crenguța,Diaconu,0771 534 198,1916-10-12,"Intrarea Tomescu Nr. 421, Otopeni, 515388",c5:cf:e8:81:d3:ea,113.61.237.72,Operator Montaj Linii Automate,RO12GPPU5149856921507982,GHS
Anuța,Voinea,0738 759 604,1911-07-24,"Bulevardul Alma Eftimie Nr. 13 Bl. 13  Sc. 36 Ap. 946, Pantelimon, 120773",ba:45:7f:d3:9a:c0,222.200.26.76,Masinist La Litografiat Si Vernisat Tabla,RO63XPIC7164851443550102,BGN
Ada,Niță,0252 236 719,2006-03-03,"Aleea Iurie Manole, Odobesti, 594774",ed:cd:9f:7e:62:19,41.104.166.158,Vanzator De Bilete,RO26GHQW0837027108695074,UZS
Voichița,Voinea,0772 903 839,1960-12-03,"Soseaua Ionescu Nr. 78, Oituz, 875964",0a:b3:bd:8d:94:a8,139.36.118.185,Educator Specializat,RO84XCNV9428496734540652,VUV
Sanda,Preda,0720 820 317,1942-06-10,"Soseaua Sidonia Barbu Nr. 64 Bl. 59  Sc. 56 Ap. 352, Intorsura Buzaului, 482964",c3:c5:03:90:da:12,205.161.39.141,Manager Relatii Cu Clientii Bancii/Societate De Leasing,RO16HPIW7867774367245506,VND
Bănel,Aanei,021 040 1304,2017-03-20,"Aleea Mihaela Preda, Targoviste, 943559",1d:91:1f:bb:7d:d8,186.125.240.85,Expert Administratia Publica,RO11JIBE7051334910731797,SZL
Francisc,Dobre,0232 152 427,1995-10-15,"Intrarea Florea Nr. 542, Cornetu, 531399",31:38:44:c6:67:2c,95.35.253.82,"Grefier-Sef De Sectie (Curte De Apel, Tribunal, Parchete)",RO87YMEX6217300693868018,HKD
Marilena,Gheorghiu,0260 010 386,2010-08-05,"Strada Albu Nr. 42 Bl. 34  Sc. 57 Ap. 671, Negresti-Oas, 942362",4a:2d:38:68:0f:83,80.164.245.7,Armator De Izolatori Electrici (Prelucrator Produse Electrotehnice,RO66EXPD6751600513569467,ISK
Antonie,Ababei,0723 494 940,1955-09-12,"Strada Dobre, Cobadin, 378883",fb:4b:b2:7c:e7:d2,163.204.204.82,"Tehnician In Industria Carnii, Laptelui Si Conservelor",RO07HWPL6636534545491316,AMD
Adriana,Stancu,0735 046 156,2015-03-03,"Strada Popescu Nr. 956, Pechea, 973242",e7:c8:34:50:8a:6e,95.236.13.138,Operator Chimist La Producerea Compusilor Anorganici Ai Azotului Si Ingrasamintelor Azotoase,RO64KRJJ1869485270343016,CUC
Stan,Tomescu,0741 308 414,2001-10-20,"Bulevardul Dinu, Busteni, 930598",65:23:b9:7d:91:8c,204.44.49.7,Excavatorist Pentru Excavatoare Cu Rotor De Mare Capacitate,RO94HJFT3469008539038250,UAH
Evanghelina,Ene,0244 722 653,1929-07-28,"Aleea Mocanu, Domnesti, 505929",06:70:6e:25:b1:43,39.75.118.27,Maestru Corepetitor,RO29NZOY6665495373217322,CVE
Iosif,Voinea,0744 568 374,2002-01-03,"Strada Victor Mocanu Nr. 872, Anina, 417327",8b:c4:35:89:6f:83,34.156.162.186,Trezorier (Studii Superioare),RO52SASZ0690208884911959,TVD
Maria,Oprea,0247 694 060,1939-03-16,"Soseaua Nemeș Nr. 145 Bl. 31  Sc. 17 Ap. 874, Braila, 444949",c1:a3:e4:83:ca:95,211.14.201.136,Operator La Fabricarea Spirtului Si Drojdiei De Panificatie,RO88IGOZ0043975320188698,BZD
Anișoara,Toma,0258 181 051,1978-02-19,"Bulevardul Pop Nr. 124, Agnita, 487349",db:79:1b:36:cf:61,191.229.167.236,Primitor-Preparator Produse Fluide,RO15SPID6848156394750959,DZD
Anton,Toma,0249 927 121,1918-12-16,"Drumul Stoica, Homocea, 251322",61:c5:a0:7b:51:d7,9.27.49.217,Grefier Arhivar,RO77SDKP7592871716323700,MNT
Crina,Nistor,0250 959 497,1937-01-28,"Drumul Albu Nr. 13 Bl. 39  Sc. 47 Ap. 144, Dragu-Brad, 792644",19:5a:fd:61:5f:bb,71.69.16.246,Asistent De Cercetare In Constructii De Masini Agricole,RO58DUXR5929519712134172,FKP
Frederic,Nemeș,0727 746 015,1955-11-26,"Drumul Preda Nr. 724 Bl. 99  Sc. 41 Ap. 271, Ineu, 127397",87:45:96:dd:0f:28,8.224.13.13,Inspector Probatiune,RO73HCAJ7641506874894452,CUP
Olivia,Stan,0255 140 798,1959-11-07,"Bulevardul Dima Nr. 34, Popesti-Leordeni, 367348",41:62:4b:cc:ea:59,39.45.89.31,Regizor Scena,RO36RNPF5898317414183980,PAB
Domnica,Stoica,0748 322 313,1959-06-23,"Soseaua Stănescu Nr. 62 Bl. 90  Sc. 37 Ap. 179, Straja, 993553",b7:40:52:c4:95:b5,110.17.145.12,Consilier Biolog,RO79ICIQ8609452894110712,IRR
Dorina,Dima,0755 348 862,1951-04-17,"Drumul Saveta Cristea Nr. 76, Cisnadie, 706974",7d:68:33:a5:60:e0,153.197.206.103,Operator La Obtinerea Produselor Din Spume Poliuretanice Si Latex,RO97WAVG8976558484519064,LYD
Evelina,Dumitrescu,0729 691 105,2017-04-18,"Intrarea Georgescu Nr. 36 Bl. 43  Sc. 65 Ap. 178, Gaesti, 218607",dd:98:7b:53:ae:18,203.222.60.27,Inspector De Specialitate Medic,RO93JMND7474871541356004,MZN
Grațiela,Ababei,0754 376 530,1931-12-18,"Bulevardul Salomea Stănescu, Harsova, 116806",67:39:76:21:f9:d9,141.47.55.250,Fasonator Mecanic (Cherestea),RO32GEGR6023116007777450,LAK
