first_name,last_name,personal_number,birthdate,address,county,phone_number,mac_address,ip_address,job
Lucia,Diaconu,8671131247793,1914-10-04,"Aleea Ardelean Nr. 422 Bl. 60  Sc. 43 Ap. 180, Lumina, 100096",Olt,0247 424 315,21:46:68:22:96:d5,169.237.181.174,"Tehnician Pentru Sisteme De Detectie, Supraveghere Video, Control Acces"
Floriana,Marin,7050906037956,1947-01-06,"Soseaua Georgian Toma, Vaslui, 501325",Caraș Severin,0251 611 415,c2:c5:b2:86:0e:53,162.114.184.249,Mecanic Locomotiva Si Automotor
Andrada,Popa,3130715390924,1945-04-18,"Soseaua Liviu Dobre, Tarnaveni, 607219",Prahova,0233 835 257,51:21:a2:57:91:77,50.20.36.223,Critic Literar
Mariana,Stan,5890413095365,1997-03-07,"Bulevardul Ilinca Ioniță Nr. 341, Rovinari, 271416",Iași,0251 060 436,fc:66:28:17:5b:a0,84.47.175.74,Tocator La Masini De Maruntit Roci
Eleonora,Aanei,4011224013770,1997-09-20,"Soseaua Ene Nr. 51 Bl. 85  Sc. 93 Ap. 330, Simleu Silvaniei, 395329",Suceava,0249 214 276,8b:1e:b5:f5:ce:e0,169.106.208.202,Tehnician Pret De Cost
Teodor,Stan,2850415446112,1957-02-11,"Aleea Maximilian Dinu, Tandarei, 173811",Prahova,0720 993 583,fc:88:84:1b:d5:67,32.11.146.242,Vicepresedinte Cooperativa De Consum
Emil,Niță,1840721319934,1962-08-13,"Drumul Cristea Nr. 61 Bl. 56  Sc. 13 Ap. 210, Cluj-Napoca, 172956",București,0246 919 083,2a:bf:58:4d:a5:93,70.92.177.17,Sef Birou Exploatare Postala
Ion,Cristea,8120630183354,1922-06-18,"Soseaua Dumitru Manole Nr. 92 Bl. 85  Sc. 50 Ap. 291, Galati, 880329",Brașov,0759 499 082,03:4b:c2:63:b4:90,39.118.17.117,Asistent De Cercetare In Telecomenzi Si Electronica In Transporturi
Dorina,Ababei,8361221079838,2002-06-08,"Intrarea Stancu Nr. 71, Galati, 639869",Ialomița,0235 718 581,37:20:0c:a8:31:4a,12.164.71.73,Frizer
Albertina,Stănescu,8630101043420,1940-04-28,"Strada Nora Pușcașu, Bacau, 338762",Mehedinți,0736 175 587,6b:f1:b8:b0:29:ad,96.214.181.222,Inspector De Specialitate Biolog
Aura,Ioniță,3020112362876,2014-08-07,"Bulevardul Ivona Niță, Deva, 320885",Sălaj,0238 388 692,5c:f4:c3:e9:12:4c,209.11.245.43,Cazangiu Formator
Lucrețiu,Diaconescu,3030606329812,1951-01-05,"Intrarea Ariana Nistor, Rovinari, 325696",București,0241 816 407,c8:cf:db:ab:74:6f,75.12.238.96,Operator Pregatire Incercari Vehicule
Teea,Dobre,8100614289775,1983-09-29,"Soseaua Gherghina Popescu Nr. 291, Beius, 383542",Ialomița,0733 227 963,ed:fb:f7:90:8d:03,201.12.51.251,Copilot
Marina,Dobre,3700701389525,1920-03-28,"Strada Cristea Nr. 191 Bl. 47  Sc. 79 Ap. 286, Urziceni, 654392",Dolj,0747 806 877,15:aa:33:d2:d5:49,88.130.45.30,Sef Centru Meteo Aeronautic
Ladislau,Popa,7510209043173,1958-03-05,"Soseaua Pop Nr. 663 Bl. 66  Sc. 72 Ap. 337, Borsa, 226463",Suceava,0726 856 485,4c:d4:9c:03:1a:ac,129.217.133.248,"Tehnician Transporturi, Posta Si Telecomunicatii"
Iuliana,Diaconescu,5960906247540,1958-07-12,"Soseaua Nistor, Moreni, 382599",Gorj,0254 836 202,5c:f1:01:92:fa:ca,195.218.75.85,Editor Rtv (Stiri)
Frederic,Dumitrescu,7540918017956,1960-07-31,"Drumul Marin Nr. 475 Bl. 31  Sc. 72 Ap. 282, Valenii de Munte, 976578",Arad,0247 562 901,39:6c:ce:73:8a:96,18.60.116.12,Instructor Sistem De Productie
Valeria,Popa,7140415241794,1910-04-25,"Aleea Emanoil Suciu Nr. 33 Bl. 20  Sc. 88 Ap. 968, Arad, 223545",Ilfov,0788 383 243,d1:f8:fc:33:13:11,197.97.81.23,Confectioner Garnituri Pentru Etansare
Codruța,Voinea,6360627174266,1967-10-12,"Bulevardul Laurențiu Tudor, Sancraiu de Mures, 972347",Ialomița,0242 994 838,9d:94:dd:f6:0a:30,6.99.120.73,Ofiter Port
Emanoil,Ioniță,2840220196471,1972-10-10,"Aleea Natașa Ababei, Dorohoi, 942686",Mehedinți,0727 980 715,74:a3:74:c7:bb:e1,191.196.234.2,Inspector Scolar Pentru Managementul Resurselor Umane
Rebeca,Mocanu,7650806140968,1995-09-17,"Strada Alexandrina Dobre Nr. 45, Simeria, 878330",Dolj,0755 457 807,c8:5b:f6:dd:af:7d,114.59.35.160,Inspector-Sef In Administratia Publica
Mărioara,Albu,7391101328444,1952-04-21,"Intrarea Larisa Oprea, Odobesti, 517654",Botoșani,0255 532 541,e6:21:12:84:ab:82,95.94.12.189,Mediator Scolar
Clarisa,Niță,6581027199487,2009-08-23,"Aleea Pușcașu Nr. 10, Rasnov, 447461",Suceava,0768 473 922,bd:fa:62:75:32:f3,204.0.235.32,Funicularist
Silviana,Ene,8770318259074,1914-02-19,"Drumul Arina Dumitrescu Nr. 16, Barbulesti, 312114",Iași,0788 437 985,18:d3:ba:81:ec:2b,103.178.56.247,Proiectant Inginer Constructii
Anișoara,Nemeș,1321204466720,1944-08-05,"Aleea Lucrețiu Diaconu, Mihail Kogalniceanu, 557123",Caraș Severin,0242 159 967,48:53:f0:73:32:5d,189.149.180.79,Conceptor/Conceptor Cao
Iulian,Oprea,4150309419600,1976-09-21,"Aleea Tudor, Ovidiu, 590729",București,0753 073 327,dd:53:bc:ec:7c:55,140.68.44.30,Prelucrator Mica
Florian,Stănescu,4680430252239,1924-07-31,"Bulevardul Didina Oprea, Ovidiu, 326199",Alba,0735 065 373,1d:ba:e4:b6:9f:61,80.162.243.225,Vicepresedinte Asociatie Patronala
Liana,Eftimie,8720330315687,1947-01-18,"Aleea Andrei Preda, Vlahita, 166439",Tulcea,0764 179 975,82:02:a7:50:ab:fe,195.3.87.196,Impresar Artistic
Diana,Pop,3260522340080,1959-02-23,"Aleea Mădălin Gheorghiu Nr. 31, Jibou, 726421",Alba,0749 320 911,2a:a2:c4:12:d3:c7,222.185.26.161,Director General Adjunct Societate Comerciala
Mircea,Diaconescu,3351129244554,1957-05-19,"Bulevardul Cristea Nr. 219 Bl. 39  Sc. 57 Ap. 885, Bocsa, 918692",Brașov,0752 085 246,48:e0:a9:72:d6:fc,193.31.50.156,Psiholog In Specialitatea Psihologie Aplicata In Domeniul Securitatii Nationale
Minodora,Cristea,4640610303381,1965-11-01,"Aleea Georgescu Nr. 37, Gugesti, 294690",Harghita,0764 845 649,51:64:23:30:ed:c0,49.24.64.43,Secretar General
Evanghelina,Nistor,5670921154667,1942-10-29,"Aleea Voinea, Zimnicea, 617073",Gorj,0764 463 073,4f:74:1a:fa:99:40,19.125.83.148,Confectioner Cartuse De Vanatoare
Tinca,Barbu,3860702203441,2006-05-14,"Aleea Suciu Nr. 10, Calan, 622054",Ilfov,0758 675 718,52:e6:29:f4:2e:ff,214.156.200.152,Preparator Invatamantul Universitar
Xenia,Florea,7091029425910,2002-05-17,"Aleea Ababei, Campulung Moldovenesc, 112466",Arad,0248 694 171,80:69:d6:5a:59:b5,128.235.101.156,Director Disco-Bar
Blanduzia,Oprea,6650623280324,1973-04-30,"Soseaua Cristea, Sangeorgiu de Mures, 142320",Hunedoara,0728 019 716,62:eb:0c:4d:93:34,105.23.186.238,Inspector General Industria Petroliera
Iustina,Ionescu,4850110212324,1914-04-19,"Drumul Eftimie, Dumbraveni, 637741",Covasna,0729 698 362,f7:05:09:f8:90:b3,56.20.132.87,Operator Control Nedistructiv Pentru Verificarea Etanseitatii
Petruț,Stancu,6670630319467,1985-01-13,"Aleea Voinea Nr. 763, Savinesti (Poiana Teiului), 613945",Constanța,0748 423 817,13:d1:8b:d5:4f:65,56.29.96.95,Responsabil Cte (Control Tehnic-Economic) In Cercetare-Proiectare
Eleonora,Ene,6200304437930,1933-05-16,"Soseaua Pop Nr. 812 Bl. 56  Sc. 62 Ap. 435, Cajvana, 699472",Harghita,0747 133 112,23:39:93:c9:4d:d7,26.193.185.6,"Confectioner Obiecte Din Os, Scoica, Mica Etc."
Ludovic,Stănescu,3151002098771,1944-06-21,"Bulevardul Liliana Pușcașu Nr. 70 Bl. 95  Sc. 88 Ap. 961, Turda, 296182",Timiș,0760 780 918,bf:31:6d:dd:b5:cf,189.211.204.24,Masinist La Instalatiile De Preparat Si Turnat Beton Si Mixturi Asfaltice
Ion,Dima,3860218186469,1920-01-11,"Intrarea Mocanu, Cristuru Secuiesc, 485753",Timiș,0256 352 601,38:4a:96:94:1f:55,81.149.254.188,Tehnician In Serviciile De Trafic Aerian
Aurică,Niță,7470131335943,1916-12-07,"Drumul Stan Nr. 317 Bl. 51  Sc. 79 Ap. 254, Darabani, 437657",Buzău,0242 835 666,98:6e:32:ba:f1:2b,107.229.247.215,Cercetator In Finante-Banci
Giorgiana,Stancu,6060303464201,1970-07-26,"Drumul Toma Nr. 68 Bl. 23  Sc. 29 Ap. 297, Chitila, 792492",Brăila,0233 874 192,35:62:55:bb:d5:49,203.230.17.80,Instalator Centrale Termice
Virginia,Dima,5720223419375,1927-08-19,"Intrarea Ileana Barbu, Botosani, 881046",Satu Mare,0768 707 990,d9:9f:29:a6:d3:77,205.60.39.142,Inginer De Cercetare In Topografie Miniera
Sava,Dochioiu,5590605294977,2015-01-23,"Soseaua Pop, Sandominic, 919628",Covasna,0232 862 797,85:5b:8f:b9:09:4a,191.138.212.74,Vidanjor-Curatitor Canale
Ernest,Mocanu,5091129466921,2008-10-04,"Strada Dochioiu, Corabia, 557544",București,0239 363 885,66:4b:5d:ad:5d:9d,171.3.231.249,Producator De Fire Si Fibre Sintetice
Simona,Tabacu,2521212177907,1938-04-23,"Strada Stoica, Avrig, 121110",Brăila,0730 914 127,5b:33:c3:f4:de:b8,156.56.64.135,"Funicularist, Funiculare Pasagere"
Smaranda,Stancu,5301124307255,1980-04-25,"Soseaua Diaconu Nr. 466, Sfantu Gheorghe, 557101",Harghita,0764 216 014,69:8b:72:8f:99:bb,106.186.227.199,Preparator Electrolit Si Amestec Depolarizator
Zina,Mazilescu,8620202136712,2023-10-26,"Drumul Eftimie Nr. 244, Sabaoani, 828809",Satu Mare,0262 294 058,5e:49:a9:e8:84:fa,174.61.92.239,Fochist Locomotiva Cu Abur
Horea,Popescu,3070118253961,2018-01-05,"Intrarea Mirela Stănescu Nr. 84, Baraolt, 329402",Sibiu,0258 657 132,43:2c:4c:f8:47:f2,173.105.46.147,Mentor
Lidia,Florea,1521020237866,1948-07-31,"Intrarea Florea Nr. 27 Bl. 88  Sc. 76 Ap. 343, Adjud, 499439",Sălaj,0248 410 384,2b:d1:f0:e1:fc:f9,5.203.216.79,Confectioner Cocleti
Sonia,Aanei,2230613035040,2011-10-15,"Bulevardul Georgescu Nr. 663 Bl. 64  Sc. 18 Ap. 979, Alexandria, 114073",Harghita,0731 464 960,77:07:e3:5b:aa:25,93.151.15.145,Magistrat Consultant
Flavia,Manole,1250224055764,1929-03-05,"Soseaua Popescu Nr. 18, Hunedoara, 281064",Ialomița,0740 319 649,33:d2:ad:d2:c1:de,85.40.104.165,Operator Sortator In Industria Pielariei
Sofia,Tabacu,7790721014654,1974-04-15,"Intrarea Teodor Ababei, Gheorgheni, 539176",Satu Mare,0236 149 278,9b:41:04:4d:5a:e4,146.235.44.130,Peisagist-Floricultor
Cătălin,Cristea,8700114298965,2012-08-15,"Soseaua Cristea Nr. 28, Harlau, 163175",Prahova,0246 192 545,1d:2d:cd:97:df:ac,35.161.201.133,Farmacist Diriginte
Teofil,Manole,3061231299943,2022-12-08,"Strada Estera Gheorghiu Nr. 23, Prejmer, 967935",Botoșani,0723 072 457,65:db:93:81:21:78,134.185.96.164,Presedinte Curtea De Conturi A Romaniei
Laurian,Ardelean,8521028320857,1936-05-19,"Drumul Oprea, Intorsura Buzaului, 134322",Ialomița,0239 483 987,8b:af:13:63:ed:d1,78.163.182.225,Cusator Manusi Piele
Bernard,Tabacu,2221109353980,1995-02-08,"Drumul Antonie Nistor Nr. 37 Bl. 87  Sc. 36 Ap. 567, Cisnadie, 602422",Dolj,0786 369 285,cc:1f:44:fb:91:3d,72.182.231.62,Protopop
Alida,Stan,7031017201401,1978-06-18,"Aleea Eftimie, Targu Lapus, 131111",Bihor,0235 492 097,60:54:9f:f8:31:d1,146.40.78.204,Economist-Sef
Monalisa,Dinu,4950121083365,1951-01-17,"Strada Cristea Nr. 64, Avrig, 182165",Gorj,0742 349 503,fa:df:c1:cc:ce:42,218.167.16.175,Profesor De Cultura Fizica Medicala
Achim,Preda,5061221101170,1950-11-01,"Bulevardul Nistor Nr. 803, Podu Iloaiei, 997206",Vâlcea,0784 571 238,81:71:04:54:81:f2,80.208.228.137,Croitor-Stantator Piese Incaltaminte
Eugenia,Ababei,3270610304290,1978-01-19,"Intrarea Margareta Popescu Nr. 166, Barlad, 295814",Arad,0720 883 355,f5:1d:34:30:55:90,126.144.108.210,Masinist La Masini Cale Mecanizare Usoara Si Grea
Dragoș,Ionescu,6631107201949,1944-01-30,"Bulevardul Stoica Nr. 74, Schela Cladovei, 734766",Alba,0732 499 623,c3:85:33:cf:13:90,129.192.109.152,"Chimist Sef Sectie, Laborator"
Elena,Pușcașu,3120727259946,1941-05-25,"Aleea Toma, Chitila, 809642",Sălaj,0262 261 577,3b:bd:ec:5a:f3:87,154.147.241.106,"Inginer Tricotaje, Confectii"
Axinte,Dinu,1511207427064,2024-03-18,"Aleea Lili Diaconu Nr. 340 Bl. 72  Sc. 58 Ap. 155, Tasnad, 232722",Giurgiu,0262 170 262,69:8e:2c:5a:e2:3b,27.96.191.189,"Preparator Lacuri, Vopsele, Paste De Fludor Folosite La Aparataj Electric"
Iustin,Dochioiu,3510119177585,1938-10-14,"Soseaua Ioniță, Adjud, 338157",Galați,0727 803 551,88:52:4f:8e:61:4c,146.172.34.9,Tehnician Proiectant Mecanic
Iosif,Oprea,1850403324619,1967-03-19,"Drumul Albu, Petrosani, 409034",Bacău,0259 092 002,2b:2e:d4:a3:f9:8f,4.131.215.207,Operator La Instalatii De Incinerare
Tiberia,Pop,1870826352270,1970-01-11,"Intrarea Nistor, Roseti, 481338",Bacău,0235 928 176,33:27:21:e0:e6:cb,99.64.84.100,Tractorist
George,Manole,3360810451590,1942-07-30,"Soseaua Manole Nr. 932, Agnita, 820112",Mehedinți,0260 649 337,4c:2f:61:09:2d:77,50.43.236.84,Capelan
Steliana,Pop,4221006150865,2013-02-20,"Intrarea Aurel Popescu Nr. 571, Negresti-Oas, 880908",Arad,0743 693 174,ae:a8:a6:84:64:b5,161.63.139.38,Controlor Calitate Pentru Executia Elementelor La Armament Si Munitie
Aurică,Pușcașu,3170414405198,1945-03-19,"Soseaua Dobre Nr. 759, Tuzla, 926575",Bihor,0235 106 444,ad:30:54:d5:8b:33,128.121.211.57,Referent De Specialitate Medic
Sever,Eftimie,5700302142421,1908-04-22,"Soseaua Albu Nr. 25 Bl. 65  Sc. 75 Ap. 981, Avrig, 858476",Botoșani,0249 947 953,10:ba:08:2d:9b:ed,72.219.143.176,Operator La Prelucrarea Maselor Plastice
Eusebia,Ene,1611208018991,1939-04-09,"Aleea Popa Nr. 139 Bl. 16  Sc. 84 Ap. 438, Strejnicu, 436985",Arad,0711 687 511,7a:0a:6d:0a:a3:6d,186.34.225.49,Pilot Incercare
Francisc,Albu,5510927270741,1939-11-09,"Aleea Bogdana Cristea, Motatei, 398351",Vaslui,0239 881 474,ea:00:e9:dc:d2:9f,142.67.57.240,Masinist La Confectionarea Foliilor De Cauciuc Electroizolante
Pavel,Dobre,3400212315675,2008-11-16,"Aleea Diaconu, Calafat, 667567",Bacău,0736 129 607,23:48:8e:3d:e6:9f,17.193.65.188,Operator Degamator Textile
Marilena,Preda,5251230282631,1909-06-15,"Bulevardul Caius Toma, Deta, 757886",Giurgiu,0729 999 770,09:4d:f9:fa:42:96,154.94.100.126,Tamplar Mecanic La Strunjit
Nicoleta,Tudor,1470508516233,2005-05-17,"Strada Maxim Stan Nr. 538 Bl. 74  Sc. 55 Ap. 459, Murfatlar, 444679",Covasna,0780 273 099,0e:e1:80:5e:53:19,93.75.71.217,Sef Birou Reclama Publicitara
Corvin,Stancu,2490208031874,1984-06-29,"Intrarea Gheorghiu Nr. 344, Dragalina, 330563",Cluj,0743 881 809,eb:92:5a:a1:03:11,89.29.254.71,Videojurnalist (Studii Superioare)
Adonis,Stan,7471025049891,1992-02-14,"Soseaua Florea, Stei, 347999",Satu Mare,0751 041 334,c2:7d:af:fb:97:40,129.247.239.53,Inginer De Cercetare In Electroenergetica
Patricia,Suciu,7970826390433,1984-03-14,"Drumul Stănescu, Calan, 366539",Bacău,0753 913 591,01:e0:00:09:51:c0,33.226.128.80,Consilier Pedolog
